acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-12292,-984,-5824,-85,318,-213,2025-01-29 10:47:00,0
-12216,-1008,-5940,-18,219,-206,2025-01-29 10:47:00,0
-12104,-1016,-5664,32,263,-169,2025-01-29 10:47:00,0
-11848,-1012,-5688,45,363,-208,2025-01-29 10:47:00,0
-11860,-1124,-5796,65,521,-208,2025-01-29 10:47:00,0
-12168,-1024,-5800,149,580,-200,2025-01-29 10:47:00,0
-12112,-816,-5932,160,509,-194,2025-01-29 10:47:00,0
-12172,-700,-5832,114,357,-216,2025-01-29 10:47:00,0
-12132,-808,-5860,156,209,-239,2025-01-29 10:47:01,0
-12076,-952,-5876,153,204,-190,2025-01-29 10:47:01,0
-12032,-1092,-5860,221,292,-148,2025-01-29 10:47:01,0
-12048,-1088,-5828,265,354,-74,2025-01-29 10:47:01,0
-12184,-960,-5940,294,299,-35,2025-01-29 10:47:01,0
-12252,-860,-6032,286,230,-4,2025-01-29 10:47:01,0
-12476,-600,-6020,258,-27,24,2025-01-29 10:47:01,0
-12260,-760,-6228,138,-235,58,2025-01-29 10:47:01,0
-12168,-808,-5952,194,-329,81,2025-01-29 10:47:01,0
-11860,-844,-5856,396,-165,83,2025-01-29 10:47:01,0
-11632,-728,-5468,502,275,-57,2025-01-29 10:47:01,0
-11864,-796,-5572,658,512,-101,2025-01-29 10:47:01,0
-12148,-1188,-5332,1035,737,-27,2025-01-29 10:47:01,0
-12552,-1360,-5180,1570,793,91,2025-01-29 10:47:01,0
-12592,-960,-5276,1889,407,164,2025-01-29 10:47:01,0
-12668,-976,-5136,2070,-147,151,2025-01-29 10:47:01,0
-12580,-952,-5120,2349,-493,110,2025-01-29 10:47:01,0
-12244,-800,-5188,2537,-554,39,2025-01-29 10:47:01,1
-12100,-668,-5308,2650,-402,24,2025-01-29 10:47:01,1
-12092,-532,-5516,2823,-171,11,2025-01-29 10:47:01,1
-12284,-552,-5808,2857,-270,-2,2025-01-29 10:47:01,1
-12236,-576,-5868,2529,-436,-118,2025-01-29 10:47:01,1
-12364,-628,-5516,2388,-813,-210,2025-01-29 10:47:01,1
-12144,-568,-5316,2422,-1052,-406,2025-01-29 10:47:01,1
-12032,-404,-5752,2253,-659,-561,2025-01-29 10:47:01,1
-11804,-564,-5608,1979,-222,-1015,2025-01-29 10:47:01,1
-12380,-732,-5688,1716,109,-1519,2025-01-29 10:47:01,1
-12732,-820,-5728,1617,24,-1771,2025-01-29 10:47:01,1
-12524,-800,-5564,1461,-392,-1911,2025-01-29 10:47:01,1
-12144,-904,-5692,1042,-735,-2040,2025-01-29 10:47:01,1
-11816,-1224,-5348,718,-809,-2022,2025-01-29 10:47:01,1
-11588,-1604,-5212,565,-483,-1846,2025-01-29 10:47:01,1
-11268,-1976,-4788,545,6,-1661,2025-01-29 10:47:01,1
-11156,-2688,-4824,599,576,-1637,2025-01-29 10:47:01,1
-11744,-3480,-4552,919,1411,-1839,2025-01-29 10:47:01,1
-15644,-5388,-4256,1394,1215,-1293,2025-01-29 10:47:01,1
-13572,-4744,-3552,2919,-420,-1420,2025-01-29 10:47:01,1
-13344,-3400,-5476,2574,-1135,-1833,2025-01-29 10:47:01,1
-12088,-2552,-4856,2194,-1070,-2530,2025-01-29 10:47:01,1
-12308,-2196,-4736,1839,-238,-3141,2025-01-29 10:47:01,1
-12900,-2076,-3764,1259,228,-2746,2025-01-29 10:47:01,1
-13136,-2556,-3828,916,-403,-1828,2025-01-29 10:47:01,1
-9676,-3624,-4028,332,-739,-2836,2025-01-29 10:47:01,1
-11988,-3932,-3816,902,522,-2302,2025-01-29 10:47:01,1
-12116,-3856,-4872,989,823,-2458,2025-01-29 10:47:01,1
-12528,-4152,-5536,937,670,-3347,2025-01-29 10:47:01,1
-12808,-3628,-3800,405,419,-2137,2025-01-29 10:47:01,1
-12588,-3760,-3752,987,454,-970,2025-01-29 10:47:01,1
-12124,-4036,-4040,884,646,-271,2025-01-29 10:47:01,1
-11564,-4436,-3856,874,897,-114,2025-01-29 10:47:01,1
-11720,-4328,-4028,779,777,-203,2025-01-29 10:47:01,1
-11692,-4116,-4236,668,607,-254,2025-01-29 10:47:01,1
-11724,-3628,-4312,384,836,83,2025-01-29 10:47:01,1
-10992,-3564,-4236,77,1388,-100,2025-01-29 10:47:01,1
-12540,-3272,-3992,152,1195,-178,2025-01-29 10:47:01,1
-12544,-3248,-3672,194,957,283,2025-01-29 10:47:01,1
-12280,-3428,-4352,-44,665,590,2025-01-29 10:47:01,1
-12140,-3472,-4504,-560,603,754,2025-01-29 10:47:01,1
-11900,-3024,-4192,-1175,669,679,2025-01-29 10:47:01,1
-12676,-3000,-3596,-1485,297,804,2025-01-29 10:47:01,1
-12548,-2828,-3472,-1949,-202,452,2025-01-29 10:47:01,1
-13260,-3376,-3552,-2461,-744,2,2025-01-29 10:47:01,1
-13648,-3472,-3836,-3356,-1680,-246,2025-01-29 10:47:01,1
-13848,-2988,-3492,-4051,-2588,-209,2025-01-29 10:47:01,1
-14004,-3004,-3200,-4078,-2938,230,2025-01-29 10:47:02,1
-14104,-3240,-3132,-4338,-2571,675,2025-01-29 10:47:02,1
-13428,-3596,-3760,-4590,-2750,563,2025-01-29 10:47:02,1
-12400,-3996,-3412,-4715,-3421,-215,2025-01-29 10:47:02,1
-12808,-4436,-4024,-4756,-3925,-903,2025-01-29 10:47:02,1
-15364,-4864,-4220,-4643,-3732,-1421,2025-01-29 10:47:02,1
-16724,-5344,-5228,-3873,-2024,-1230,2025-01-29 10:47:02,1
-16928,-5688,-4600,-2940,-1326,-633,2025-01-29 10:47:02,1
-16916,-5836,-4332,-2187,-2282,220,2025-01-29 10:47:02,1
-15600,-5284,-4164,-1222,-3295,965,2025-01-29 10:47:02,1
-14620,-5124,-3848,-134,-4252,1101,2025-01-29 10:47:02,1
-13036,-3712,-4272,231,-4665,1406,2025-01-29 10:47:02,1
-11712,-3224,-4584,642,-4166,1514,2025-01-29 10:47:02,1
-11040,-2632,-5300,1037,-3598,1545,2025-01-29 10:47:02,1
-10808,-1976,-5800,593,-3096,1179,2025-01-29 10:47:02,1
-10468,96,-5952,578,-2935,837,2025-01-29 10:47:02,1
-10504,328,-6680,227,-2493,237,2025-01-29 10:47:02,1
-11796,820,-6244,-84,-1799,-420,2025-01-29 10:47:02,1
-13644,1096,-5560,-423,-606,677,2025-01-29 10:47:02,1
-13140,608,-5340,-390,-11,1577,2025-01-29 10:47:02,1
-12312,-596,-5428,-495,80,1822,2025-01-29 10:47:02,1
-12392,-1160,-5908,-905,623,1961,2025-01-29 10:47:02,1
-12468,-1792,-4960,-1549,1023,2184,2025-01-29 10:47:02,1
-13396,-1696,-3588,-1246,692,2724,2025-01-29 10:47:02,1
-13668,-1164,-4012,-1412,-240,3332,2025-01-29 10:47:02,1
-13200,-1064,-3736,-1694,-1212,3504,2025-01-29 10:47:02,1
-12100,-660,-3284,-2037,-1502,3289,2025-01-29 10:47:02,1
-12236,-200,-2132,-2029,-615,3847,2025-01-29 10:47:02,1
-10704,-28,-2872,-1214,-511,3947,2025-01-29 10:47:02,1
-10004,-184,-2160,-508,5,3406,2025-01-29 10:47:02,1
-9984,-716,-1772,187,118,2421,2025-01-29 10:47:02,1
-10592,-884,-1880,678,-46,1415,2025-01-29 10:47:02,1
-11396,-468,-2484,603,620,707,2025-01-29 10:47:02,1
-11940,-76,-2244,695,1466,292,2025-01-29 10:47:02,1
-12228,244,-1972,1015,1952,139,2025-01-29 10:47:02,1
-12264,488,-1980,1149,1871,74,2025-01-29 10:47:02,1
-12588,352,-2004,951,1365,2,2025-01-29 10:47:02,1
-12932,336,-1652,1016,889,33,2025-01-29 10:47:02,1
-12684,500,-2060,1046,64,276,2025-01-29 10:47:02,1
-12788,580,-1764,1111,-257,297,2025-01-29 10:47:02,1
-12608,688,-1952,1197,-358,161,2025-01-29 10:47:02,1
-13456,232,-1368,1154,-483,136,2025-01-29 10:47:02,1
-13768,448,-1564,1340,-631,346,2025-01-29 10:47:02,1
-14148,468,-1380,1402,-1451,422,2025-01-29 10:47:02,1
-14760,980,-1556,1527,-2320,704,2025-01-29 10:47:02,1
-15068,1008,-2144,1916,-3042,1286,2025-01-29 10:47:02,1
-15324,908,-2476,1949,-3468,2304,2025-01-29 10:47:02,1
-14716,740,-1864,1655,-3450,3207,2025-01-29 10:47:02,1
-14100,796,-1284,1729,-3272,3551,2025-01-29 10:47:02,1
-13640,776,-376,1877,-3439,3391,2025-01-29 10:47:02,1
-14056,712,-480,2273,-3133,3520,2025-01-29 10:47:02,1
-14516,508,-1972,3024,-1706,3875,2025-01-29 10:47:02,1
-15012,1196,-2620,3419,-227,3603,2025-01-29 10:47:02,1
-14884,1824,-4572,3324,1743,2410,2025-01-29 10:47:02,1
-16060,2280,-5420,2947,1928,1604,2025-01-29 10:47:02,1
-16396,2220,-5420,2310,531,1295,2025-01-29 10:47:02,1
-15788,2144,-4928,1676,-877,612,2025-01-29 10:47:02,1
-14044,2024,-5324,857,-1734,-105,2025-01-29 10:47:02,1
-12208,1344,-5476,483,-1812,-1008,2025-01-29 10:47:02,1
-11640,988,-5628,402,-1276,-1922,2025-01-29 10:47:02,1
-10736,-472,-5780,-243,-360,-2363,2025-01-29 10:47:02,1
-10556,-1068,-5896,-864,862,-2858,2025-01-29 10:47:03,1
-11204,-1680,-4800,-1176,2354,-3126,2025-01-29 10:47:03,1
-12316,-2468,-3984,-1321,3193,-3139,2025-01-29 10:47:03,1
-12812,-2612,-3280,-1406,3182,-2961,2025-01-29 10:47:03,1
-13100,-2476,-3100,-1327,2727,-2887,2025-01-29 10:47:03,1
-13492,-2436,-3424,-1125,2080,-2876,2025-01-29 10:47:03,1
-13516,-2044,-3340,-1100,1774,-2870,2025-01-29 10:47:03,1
-12940,-2048,-3076,-969,1695,-2855,2025-01-29 10:47:03,1
-12788,-1756,-3508,-923,1651,-2959,2025-01-29 10:47:03,1
-12760,-1364,-3592,-1205,1265,-3120,2025-01-29 10:47:03,1
-12612,-1556,-852,-752,-72,-3149,2025-01-29 10:47:03,1
-12120,-1156,-2700,-769,-430,-2554,2025-01-29 10:47:03,1
-11660,-1436,-2752,-849,97,-2145,2025-01-29 10:47:03,1
-11712,-1888,-2924,-801,606,-1585,2025-01-29 10:47:03,1
-11296,-2216,-2736,-1077,648,-1516,2025-01-29 10:47:03,1
-10980,-2248,-3304,-1502,803,-1724,2025-01-29 10:47:03,1
-11256,-2092,-3420,-1675,1042,-1929,2025-01-29 10:47:03,1
-11324,-2088,-3296,-1896,1206,-1861,2025-01-29 10:47:03,1
-11476,-2020,-3352,-2205,1241,-1663,2025-01-29 10:47:03,1
-11684,-2132,-2988,-2372,1232,-1550,2025-01-29 10:47:03,1
-11720,-2240,-3064,-2394,1265,-1507,2025-01-29 10:47:03,1
-12576,-1948,-2792,-2196,1335,-1512,2025-01-29 10:47:03,1
-12928,-1936,-2624,-2180,1103,-1370,2025-01-29 10:47:03,1
-13452,-2248,-2284,-2202,695,-1092,2025-01-29 10:47:03,1
-13404,-2164,-2300,-2239,230,-517,2025-01-29 10:47:03,1
-13136,-2288,-2048,-2243,-56,-174,2025-01-29 10:47:03,1
-12720,-2308,-1152,-2090,-345,-43,2025-01-29 10:47:03,1
-12304,-2356,-1832,-2041,-522,-139,2025-01-29 10:47:03,1
