acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-13516,-1152,-920,-136,174,-155,2025-01-29 15:18:33,0
-13540,-1252,-952,-161,188,-156,2025-01-29 15:18:33,0
-13600,-1104,-940,-149,265,-184,2025-01-29 15:18:33,0
-13536,-1104,-1056,-232,307,-207,2025-01-29 15:18:33,0
-13532,-1140,-1040,-244,290,-208,2025-01-29 15:18:34,0
-13696,-1208,-984,-256,321,-203,2025-01-29 15:18:34,0
-13700,-1220,-944,-239,294,-175,2025-01-29 15:18:34,0
-13752,-1176,-1112,-192,181,-176,2025-01-29 15:18:34,0
-13644,-1224,-972,-220,137,-155,2025-01-29 15:18:34,0
-13660,-1164,-1012,-158,90,-173,2025-01-29 15:18:34,0
-13624,-1224,-1020,-149,139,-153,2025-01-29 15:18:34,0
-13568,-1296,-936,-169,209,-188,2025-01-29 15:18:34,0
-13592,-1240,-936,-115,270,-178,2025-01-29 15:18:34,0
-13660,-1204,-972,-106,285,-166,2025-01-29 15:18:34,0
-13664,-1280,-1040,-127,269,-183,2025-01-29 15:18:34,0
-13616,-1256,-1020,-107,165,-168,2025-01-29 15:18:34,0
-13708,-1196,-1088,-121,92,-155,2025-01-29 15:18:34,0
-13592,-1308,-1184,-155,71,-167,2025-01-29 15:18:34,0
-13600,-1176,-988,-124,89,-194,2025-01-29 15:18:34,0
-13564,-1272,-968,-117,127,-174,2025-01-29 15:18:34,0
-13540,-1288,-1040,-145,168,-173,2025-01-29 15:18:34,0
-13520,-1156,-1072,-128,245,-170,2025-01-29 15:18:34,0
-13676,-1148,-1064,-140,292,-155,2025-01-29 15:18:34,0
-13688,-1088,-1104,-180,301,-202,2025-01-29 15:18:34,0
-13592,-1196,-1036,-194,197,-190,2025-01-29 15:18:34,0
-13512,-1092,-924,-243,102,-171,2025-01-29 15:18:34,0
-13572,-1016,-1016,-218,174,-145,2025-01-29 15:18:34,0
-13540,-1144,-1060,-258,345,-203,2025-01-29 15:18:34,0
-13680,-1288,-1208,-255,133,-208,2025-01-29 15:18:34,0
-13728,-1280,-1088,-148,58,-160,2025-01-29 15:18:34,0
-13576,-1280,-1004,-144,160,-176,2025-01-29 15:18:34,0
-13592,-1128,-1056,-130,123,-141,2025-01-29 15:18:34,0
-13688,-1184,-928,-103,103,-160,2025-01-29 15:18:34,0
-13452,-952,-908,-125,227,-161,2025-01-29 15:18:34,0
-13432,-952,-864,-150,363,-171,2025-01-29 15:18:34,0
-13492,-1048,-1016,-185,476,-212,2025-01-29 15:18:34,0
-13608,-1088,-1144,-197,489,-182,2025-01-29 15:18:34,0
-13612,-992,-1240,-271,433,-170,2025-01-29 15:18:34,0
-13728,-932,-1184,-320,290,-157,2025-01-29 15:18:34,0
-13620,-1180,-1208,-329,114,-173,2025-01-29 15:18:34,0
-13704,-1124,-1192,-294,141,-92,2025-01-29 15:18:34,0
-13636,-1148,-948,-217,252,-99,2025-01-29 15:18:34,0
-13632,-1196,-980,-207,307,-114,2025-01-29 15:18:34,0
-13692,-1152,-944,-122,400,-37,2025-01-29 15:18:34,0
-13748,-1076,-1040,-38,464,34,2025-01-29 15:18:34,1
-13784,-892,-1072,-12,545,95,2025-01-29 15:18:34,1
-13880,-792,-1308,-121,592,170,2025-01-29 15:18:34,1
-13912,-756,-792,-149,516,278,2025-01-29 15:18:34,1
-13856,-876,-764,-71,196,356,2025-01-29 15:18:34,1
-13796,-1056,-964,-77,-152,338,2025-01-29 15:18:34,1
-13756,-884,-1120,-81,-92,384,2025-01-29 15:18:34,1
-13592,-924,-1076,87,-2,347,2025-01-29 15:18:34,1
-13396,-696,-1120,100,-99,213,2025-01-29 15:18:34,1
-13448,-580,-1032,40,-171,104,2025-01-29 15:18:34,1
-13356,-352,-888,45,-125,59,2025-01-29 15:18:34,1
-13364,-116,-632,-53,37,-50,2025-01-29 15:18:34,1
-13576,-132,-464,-122,102,-139,2025-01-29 15:18:34,1
-13764,-376,-376,-128,-10,-214,2025-01-29 15:18:34,1
-13768,-372,-240,-104,-424,-286,2025-01-29 15:18:34,1
-13840,-396,-456,-100,-925,-388,2025-01-29 15:18:34,1
-13648,-256,-600,-38,-1136,-434,2025-01-29 15:18:34,1
-13600,92,-408,-67,-975,-489,2025-01-29 15:18:34,1
-13304,28,-748,-206,-817,-584,2025-01-29 15:18:34,1
-13312,-64,-628,-294,-817,-718,2025-01-29 15:18:34,1
-13680,-220,-284,-257,-737,-802,2025-01-29 15:18:35,1
-13808,-484,-72,-172,-819,-861,2025-01-29 15:18:35,1
-13864,-296,-444,-234,-1175,-975,2025-01-29 15:18:35,1
-13992,-316,-768,-384,-1562,-1027,2025-01-29 15:18:35,1
-13664,-476,-404,-483,-1800,-1125,2025-01-29 15:18:35,1
-13676,-548,-500,-569,-1836,-1214,2025-01-29 15:18:35,1
-13540,-896,-940,-778,-1815,-1357,2025-01-29 15:18:35,1
-13176,-1040,-768,-790,-1694,-1555,2025-01-29 15:18:35,1
-13024,-1032,-460,-629,-1203,-1717,2025-01-29 15:18:35,1
-13088,-1188,-776,-462,-593,-1714,2025-01-29 15:18:35,1
-12900,-1900,-660,-428,139,-1795,2025-01-29 15:18:35,1
-13296,-2240,212,-255,952,-1773,2025-01-29 15:18:35,1
-13748,-2544,336,-47,1510,-1604,2025-01-29 15:18:35,1
-14076,-2608,340,139,1650,-1486,2025-01-29 15:18:35,1
-14324,-2564,112,79,1226,-1374,2025-01-29 15:18:35,1
-14436,-2316,600,-38,320,-1295,2025-01-29 15:18:35,1
-14080,-2016,996,-146,-465,-1261,2025-01-29 15:18:35,1
-13876,-1744,1036,-456,-680,-1344,2025-01-29 15:18:35,1
-13196,-1684,588,-935,-578,-1594,2025-01-29 15:18:35,1
-13192,-1616,756,-1443,-280,-1679,2025-01-29 15:18:35,1
-12912,-1516,656,-1936,595,-1701,2025-01-29 15:18:35,1
-12864,-1748,280,-2424,1796,-1903,2025-01-29 15:18:35,1
-12916,-2336,392,-2836,2629,-2275,2025-01-29 15:18:35,1
