acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-11112,-316,-7568,-65,-124,-110,2025-01-29 10:42:04,1
-10932,-252,-7320,-67,-9,-122,2025-01-29 10:42:04,1
-10904,-292,-7332,-67,171,-102,2025-01-29 10:42:04,1
-10816,-240,-7536,-50,476,-140,2025-01-29 10:42:04,1
-10908,-228,-7648,-42,672,-196,2025-01-29 10:42:04,1
-11096,-280,-7852,-43,592,-176,2025-01-29 10:42:04,1
-11244,-348,-7988,-70,386,-138,2025-01-29 10:42:04,1
-11208,-328,-7972,-109,212,-126,2025-01-29 10:42:04,1
-11028,-244,-7920,-186,126,-143,2025-01-29 10:42:04,1
-11100,-172,-7784,-231,134,-204,2025-01-29 10:42:04,1
-10896,-176,-7692,-243,115,-233,2025-01-29 10:42:04,1
-10964,-180,-7928,-252,156,-284,2025-01-29 10:42:04,1
-10928,-236,-7744,-315,175,-298,2025-01-29 10:42:04,1
-10972,-312,-7696,-340,219,-320,2025-01-29 10:42:04,1
-11036,-384,-7620,-344,247,-297,2025-01-29 10:42:04,1
-11040,-496,-7668,-334,277,-257,2025-01-29 10:42:04,1
-10884,-460,-7704,-313,332,-269,2025-01-29 10:42:05,1
-11020,-312,-7736,-302,329,-251,2025-01-29 10:42:05,1
-11048,-296,-7784,-285,310,-258,2025-01-29 10:42:05,1
-11036,-332,-8000,-287,256,-237,2025-01-29 10:42:05,1
-11072,-360,-7780,-260,107,-255,2025-01-29 10:42:05,1
-11032,-340,-7736,-295,63,-260,2025-01-29 10:42:05,1
-10964,-280,-7732,-299,108,-232,2025-01-29 10:42:05,1
-11032,-344,-7524,-327,189,-210,2025-01-29 10:42:05,1
-10964,-364,-7684,-275,284,-157,2025-01-29 10:42:05,1
-11020,-400,-7636,-265,408,-128,2025-01-29 10:42:05,1
-11224,-456,-7756,-171,500,-98,2025-01-29 10:42:05,1
-11352,-476,-7880,-69,335,-4,2025-01-29 10:42:05,1
-11464,-688,-7696,-19,153,102,2025-01-29 10:42:05,1
-11584,-740,-7248,192,93,329,2025-01-29 10:42:05,1
-11548,-852,-7444,636,181,449,2025-01-29 10:42:05,1
-11956,-548,-8700,571,-13,711,2025-01-29 10:42:05,1
-12120,-152,-8472,513,-153,1123,2025-01-29 10:42:05,1
-12260,136,-7800,599,-744,1441,2025-01-29 10:42:05,1
-12612,272,-7204,679,-1451,1531,2025-01-29 10:42:05,1
-12500,-236,-6788,683,-2510,1502,2025-01-29 10:42:05,1
-11636,-1000,-5476,910,-5060,1172,2025-01-29 10:42:05,1
-11364,-920,-5144,1637,-6199,963,2025-01-29 10:42:05,1
-11208,-208,-5452,2370,-4653,1412,2025-01-29 10:42:05,1
-10520,1008,-5608,2787,-2497,1752,2025-01-29 10:42:05,1
-10516,1816,-6480,2179,-1124,1227,2025-01-29 10:42:05,1
-11304,1648,-6324,1244,-302,643,2025-01-29 10:42:05,1
-12048,664,-5820,916,-200,189,2025-01-29 10:42:05,1
-12424,252,-5968,1226,-214,259,2025-01-29 10:42:05,1
-12244,600,-6324,1305,-456,443,2025-01-29 10:42:05,1
-11852,960,-6392,1265,-839,378,2025-01-29 10:42:05,1
-11752,1128,-6024,1254,-1094,256,2025-01-29 10:42:05,1
-11396,1060,-6456,1240,-1085,101,2025-01-29 10:42:05,1
-11308,808,-6856,1146,-1143,-182,2025-01-29 10:42:05,1
-11584,248,-6244,1274,-993,-294,2025-01-29 10:42:05,1
-11792,-136,-6128,1420,-845,-345,2025-01-29 10:42:05,1
-11536,-396,-6092,1544,-1062,-360,2025-01-29 10:42:05,1
-11448,-288,-6200,1685,-1187,-265,2025-01-29 10:42:05,1
-10668,-352,-7104,1646,-1196,-109,2025-01-29 10:42:05,1
-10300,-328,-6988,1471,-639,-70,2025-01-29 10:42:05,1
-10212,-368,-7092,1346,543,-361,2025-01-29 10:42:05,1
-10684,-268,-7084,1532,1839,-1000,2025-01-29 10:42:05,1
-11456,-220,-7584,1764,2330,-1758,2025-01-29 10:42:05,1
-12492,-60,-7768,1950,1857,-2286,2025-01-29 10:42:05,1
-13240,32,-7096,2134,825,-2436,2025-01-29 10:42:05,1
-12772,-164,-6512,1906,-812,-2349,2025-01-29 10:42:05,1
-11588,-588,-5772,1532,-1326,-2726,2025-01-29 10:42:05,1
-11108,-1116,-4508,1070,-962,-3171,2025-01-29 10:42:05,1
-11168,-1516,-3892,484,622,-3352,2025-01-29 10:42:05,1
-11624,-1868,-3484,105,2680,-3443,2025-01-29 10:42:05,1
-11952,-2212,-3504,-221,3777,-3638,2025-01-29 10:42:05,1
-12600,-2432,-3420,-284,3962,-3787,2025-01-29 10:42:05,1
-12980,-2588,-3784,-173,3498,-3853,2025-01-29 10:42:05,1
-12896,-2896,-4288,-67,2639,-3872,2025-01-29 10:42:05,1
-12688,-3280,-4724,131,1702,-3581,2025-01-29 10:42:05,1
-12252,-3288,-4400,207,1224,-3185,2025-01-29 10:42:05,1
-11684,-2692,-4244,5,1247,-2731,2025-01-29 10:42:05,1
-11140,-2340,-4460,-590,1432,-2442,2025-01-29 10:42:05,1
-11060,-2588,-4856,-1347,1697,-2251,2025-01-29 10:42:05,1
-11368,-2732,-4884,-1989,1904,-2085,2025-01-29 10:42:05,1
-11960,-2592,-4472,-2635,2031,-1752,2025-01-29 10:42:05,1
-12024,-2304,-3736,-3137,1645,-1602,2025-01-29 10:42:06,1
-12068,-2112,-4064,-3349,944,-1527,2025-01-29 10:42:06,1
-11640,-2484,-5004,-3505,343,-1487,2025-01-29 10:42:06,1
-10848,-2916,-5728,-3540,577,-1838,2025-01-29 10:42:06,1
-10556,-2712,-6488,-3611,1478,-2395,2025-01-29 10:42:06,1
-12012,-2408,-6440,-3959,2970,-3086,2025-01-29 10:42:06,1
-12332,-3916,-6176,-3751,3224,-3827,2025-01-29 10:42:06,1
-13920,-5196,-5600,-3554,2149,-4372,2025-01-29 10:42:06,1
-16308,-5732,-4160,-3432,-241,-3266,2025-01-29 10:42:06,1
-15444,-5332,-3552,-2693,-1579,-1749,2025-01-29 10:42:06,1
-13364,-3988,-7544,-1489,-1881,-2172,2025-01-29 10:42:06,1
-13480,-2796,-9360,-1682,-1215,-3541,2025-01-29 10:42:06,1
-13884,-3040,-7608,-1077,-1193,-4392,2025-01-29 10:42:06,1
-14928,-4548,-8520,-585,-1583,-4580,2025-01-29 10:42:06,1
-16512,-6124,-9928,-753,-1678,-3298,2025-01-29 10:42:06,1
-16956,-7488,-9772,-445,-2351,-827,2025-01-29 10:42:06,1
-15836,-5996,-8056,1003,-2875,1331,2025-01-29 10:42:06,1
-14844,-3512,-7860,501,-4117,1913,2025-01-29 10:42:06,1
-13860,-2792,-9316,-886,-5578,3200,2025-01-29 10:42:06,1
-11304,-2892,-10592,-1970,-6371,4867,2025-01-29 10:42:06,1
-9392,-1736,-10828,-2255,-6334,5969,2025-01-29 10:42:06,1
-7336,524,-9472,-2309,-4882,6385,2025-01-29 10:42:06,1
-6004,1792,-7764,-2128,-2083,5255,2025-01-29 10:42:06,1
-5740,2300,-7140,-1913,1105,3047,2025-01-29 10:42:06,1
-7380,1960,-7672,-1956,3196,1317,2025-01-29 10:42:06,1
-10084,992,-7932,-2514,3565,1449,2025-01-29 10:42:06,1
-11216,-340,-7656,-2811,3143,2505,2025-01-29 10:42:06,1
-12052,-1448,-7244,-2650,2978,3391,2025-01-29 10:42:06,1
-11872,-2116,-7260,-2160,2512,3774,2025-01-29 10:42:06,1
-11916,-1956,-6896,-1394,1018,3936,2025-01-29 10:42:06,1
-11596,-1272,-6916,-733,-697,4109,2025-01-29 10:42:06,1
-11188,-372,-6344,-251,-1625,4198,2025-01-29 10:42:06,1
-10520,420,-5704,-89,-1927,4210,2025-01-29 10:42:06,1
-9808,1196,-5636,37,-1797,3959,2025-01-29 10:42:06,1
-9544,1988,-5396,16,-905,3573,2025-01-29 10:42:06,1
-8940,2068,-6000,-250,-146,3094,2025-01-29 10:42:06,1
-9712,1952,-5920,-562,569,2830,2025-01-29 10:42:06,1
-10788,2032,-5904,-633,1277,2923,2025-01-29 10:42:06,1
-11848,2116,-5936,-757,1553,3233,2025-01-29 10:42:06,1
-11536,1880,-6176,-757,617,2759,2025-01-29 10:42:06,1
-11764,1448,-5792,-430,-1646,1602,2025-01-29 10:42:06,1
-11776,880,-5364,-250,-3461,1038,2025-01-29 10:42:06,1
-10876,560,-5072,-76,-4340,635,2025-01-29 10:42:06,1
-9972,336,-4616,44,-4660,132,2025-01-29 10:42:06,1
-9628,300,-4228,302,-4675,-206,2025-01-29 10:42:06,1
-9272,500,-3920,513,-4317,-481,2025-01-29 10:42:06,1
-9164,928,-3768,713,-3252,-942,2025-01-29 10:42:06,1
-9696,1188,-3644,964,-1824,-1300,2025-01-29 10:42:06,1
-10424,1400,-4116,1184,-435,-1446,2025-01-29 10:42:06,1
-11076,1512,-4600,1262,740,-1387,2025-01-29 10:42:06,1
-12368,1540,-4400,1415,1742,-995,2025-01-29 10:42:06,1
-13024,1424,-4736,1755,2510,-360,2025-01-29 10:42:06,1
-13832,732,-4704,1962,3203,179,2025-01-29 10:42:06,1
-14968,-192,-4632,2557,3820,551,2025-01-29 10:42:06,1
-15692,-324,-5404,3216,3267,1034,2025-01-29 10:42:06,1
-15708,1280,-6016,3547,744,1576,2025-01-29 10:42:06,1
-15100,2780,-5016,3367,-1428,1627,2025-01-29 10:42:06,1
-14704,3168,-3256,3322,-2337,1090,2025-01-29 10:42:06,1
-14668,2604,-4084,3170,-1481,1018,2025-01-29 10:42:06,1
-14168,1908,-6452,2709,833,1465,2025-01-29 10:42:06,1
-14748,3472,-8268,1767,3572,1929,2025-01-29 10:42:07,1
-14292,5328,-9620,393,5677,2258,2025-01-29 10:42:07,1
-12660,5272,-10784,-1167,4565,1424,2025-01-29 10:42:07,1
-10860,4396,-11820,-2112,2249,-690,2025-01-29 10:42:07,1
-10900,2156,-12044,-2698,158,-2928,2025-01-29 10:42:07,1
-11052,-280,-10436,-3026,-1011,-2750,2025-01-29 10:42:07,1
-9524,-2544,-8660,-2149,-1775,-1853,2025-01-29 10:42:07,1
-8300,-4976,-8272,-697,-405,-1412,2025-01-29 10:42:07,1
-8700,-5928,-8448,452,2317,-1447,2025-01-29 10:42:07,1
-9696,-4636,-8440,1351,3843,-1238,2025-01-29 10:42:07,1
-10128,-2188,-8812,2305,4313,-1349,2025-01-29 10:42:07,1
-10192,-192,-9328,2386,3657,-2182,2025-01-29 10:42:07,1
-10444,1212,-8936,1660,1620,-3354,2025-01-29 10:42:07,1
-10648,1268,-8456,684,-450,-4190,2025-01-29 10:42:07,1
-10796,680,-8028,32,-1293,-4188,2025-01-29 10:42:07,1
-9820,-360,-8248,-467,-1389,-3761,2025-01-29 10:42:07,1
-8720,-1240,-7872,-799,-1130,-3723,2025-01-29 10:42:07,1
-9008,-2236,-6276,-809,-451,-3869,2025-01-29 10:42:07,1
-9508,-2752,-5836,-647,748,-3709,2025-01-29 10:42:07,1
-10404,-2684,-5492,-582,1743,-3378,2025-01-29 10:42:07,1
-10668,-2412,-5752,-586,2071,-2899,2025-01-29 10:42:07,1
-10824,-1996,-6048,-587,1843,-2424,2025-01-29 10:42:07,1
-10780,-1780,-5900,-572,1471,-2081,2025-01-29 10:42:07,1
-10764,-1804,-5916,-518,1494,-1875,2025-01-29 10:42:07,1
