acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-13660,-888,-372,-77,176,-204,2025-01-29 15:16:55,1
-13736,-712,-424,-73,173,-201,2025-01-29 15:16:55,1
-13692,-868,-316,-69,233,-212,2025-01-29 15:16:55,1
-13844,-904,-352,-31,235,-205,2025-01-29 15:16:55,1
-13808,-744,-380,-36,209,-174,2025-01-29 15:16:55,1
-13764,-776,-428,-48,148,-179,2025-01-29 15:16:55,1
-13776,-784,-372,-69,103,-163,2025-01-29 15:16:55,1
-13620,-688,-432,-64,119,-157,2025-01-29 15:16:55,1
-13688,-812,-340,-48,193,-164,2025-01-29 15:16:55,1
-13728,-780,-340,-79,205,-173,2025-01-29 15:16:55,1
-13688,-756,-532,-107,208,-196,2025-01-29 15:16:55,1
-13748,-740,-376,-116,177,-208,2025-01-29 15:16:55,1
-13692,-752,-220,-171,280,-183,2025-01-29 15:16:55,1
-13784,-784,-384,-175,204,-213,2025-01-29 15:16:55,1
-13676,-816,-432,-158,-59,-191,2025-01-29 15:16:55,1
-13636,-760,-188,-156,138,-169,2025-01-29 15:16:55,1
-13628,-776,-352,-190,358,-183,2025-01-29 15:16:55,1
-13824,-724,-168,-185,366,-188,2025-01-29 15:16:55,1
-13792,-852,-136,-163,261,-161,2025-01-29 15:16:55,1
-13748,-856,-116,-141,188,-166,2025-01-29 15:16:55,1
-13836,-812,-336,-163,113,-201,2025-01-29 15:16:55,1
-13748,-864,-352,-162,102,-199,2025-01-29 15:16:55,1
-13724,-704,-420,-144,142,-207,2025-01-29 15:16:55,1
-13748,-836,-324,-146,199,-212,2025-01-29 15:16:55,1
-13768,-752,-248,-157,174,-217,2025-01-29 15:16:56,1
-13764,-748,-204,-147,84,-190,2025-01-29 15:16:56,1
-13792,-840,-276,-153,56,-189,2025-01-29 15:16:56,1
-13620,-804,-164,-139,-7,-182,2025-01-29 15:16:56,1
-13696,-860,-144,-148,76,-188,2025-01-29 15:16:56,1
-13620,-696,-236,-122,141,-184,2025-01-29 15:16:56,1
-13664,-644,-316,-227,273,-217,2025-01-29 15:16:56,1
-13828,-776,-292,-232,330,-218,2025-01-29 15:16:56,1
-13764,-768,-308,-152,332,-166,2025-01-29 15:16:56,1
-13780,-644,-120,-130,230,-163,2025-01-29 15:16:56,1
-13704,-756,-284,-161,157,-185,2025-01-29 15:16:56,1
-13808,-764,-360,-153,62,-164,2025-01-29 15:16:56,1
-13760,-656,-340,-149,103,-179,2025-01-29 15:16:56,1
-13664,-736,-364,-117,200,-230,2025-01-29 15:16:56,1
-13752,-728,-332,-132,194,-235,2025-01-29 15:16:56,1
-13740,-676,-112,-156,142,-217,2025-01-29 15:16:56,1
-13704,-672,-164,-177,107,-179,2025-01-29 15:16:56,1
-13632,-700,-152,-198,277,-214,2025-01-29 15:16:56,1
-13872,-924,-644,-228,119,-207,2025-01-29 15:16:56,1
-13808,-844,-412,-167,-35,-187,2025-01-29 15:16:56,1
-13632,-904,-232,-148,64,-146,2025-01-29 15:16:56,1
-13700,-704,-356,-97,159,-154,2025-01-29 15:16:56,1
-13680,-704,-216,-146,137,-183,2025-01-29 15:16:56,1
-13608,-656,-336,-165,238,-182,2025-01-29 15:16:56,1
-13744,-784,-284,-150,290,-186,2025-01-29 15:16:56,1
-13756,-708,-348,-176,308,-175,2025-01-29 15:16:56,1
-13820,-760,-420,-148,210,-203,2025-01-29 15:16:56,1
-13800,-852,-492,-193,96,-162,2025-01-29 15:16:56,1
-13664,-692,-424,-228,68,-163,2025-01-29 15:16:56,1
-13572,-764,-424,-272,137,-159,2025-01-29 15:16:56,1
-13644,-768,-348,-289,260,-183,2025-01-29 15:16:56,1
-13600,-764,-316,-203,281,-151,2025-01-29 15:16:56,1
-13532,-756,-348,-202,327,-183,2025-01-29 15:16:56,1
-13576,-724,-216,-248,363,-223,2025-01-29 15:16:56,1
-13712,-736,-240,-276,320,-216,2025-01-29 15:16:56,1
-13636,-752,-524,-253,320,-185,2025-01-29 15:16:56,1
-13684,-732,-252,-231,371,-137,2025-01-29 15:16:56,1
-13784,-592,-264,-239,395,-127,2025-01-29 15:16:56,1
-13788,-508,-428,-262,366,-140,2025-01-29 15:16:56,1
-13884,-456,-512,-328,310,-101,2025-01-29 15:16:56,1
-13584,-312,-420,-409,350,-115,2025-01-29 15:16:56,1
-13572,-484,-360,-447,435,-150,2025-01-29 15:16:56,1
