acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-12312,0,7752,153,1150,1023,2025-02-17 11:39:04,0.0
-11552,288,8104,-370,-63,491,2025-02-17 11:39:04,0.0
-11652,76,9292,-460,-414,92,2025-02-17 11:39:04,0.0
-11776,0,9696,-343,-329,-382,2025-02-17 11:39:04,0.0
-11668,-104,9608,-208,-190,-615,2025-02-17 11:39:04,0.0
-11704,-292,9312,-203,-69,-763,2025-02-17 11:39:04,0.0
-11852,-128,9296,-343,49,-773,2025-02-17 11:39:04,0.0
-11868,-256,9752,-337,108,-788,2025-02-17 11:39:04,0.0
-12216,-188,9868,-255,90,-661,2025-02-17 11:39:04,0.0
-12212,-208,9712,-197,79,-498,2025-02-17 11:39:04,0.0
-11972,-244,9608,-200,-29,-427,2025-02-17 11:39:04,0.0
-11824,-236,9620,-263,5,-450,2025-02-17 11:39:04,0.0
-11820,-384,9568,-330,52,-411,2025-02-17 11:39:04,0.0
-11848,-376,9684,-335,196,-380,2025-02-17 11:39:04,0.0
-11876,-368,9728,-307,414,-316,2025-02-17 11:39:04,0.0
-11776,-416,9648,-338,593,-378,2025-02-17 11:39:04,0.0
-11936,-500,9424,-334,636,-429,2025-02-17 11:39:04,0.0
-12104,-448,9392,-339,444,-469,2025-02-17 11:39:04,0.0
-12232,-528,9376,-258,274,-420,2025-02-17 11:39:04,0.0
-12184,-624,9440,-391,269,-343,2025-02-17 11:39:04,0.0
-12116,-688,9648,-298,291,-203,2025-02-17 11:39:04,0.0
-12160,-588,9172,-248,318,-145,2025-02-17 11:39:04,0.0
-12032,-472,9016,-297,285,-114,2025-02-17 11:39:04,0.0
-11840,-328,9244,-242,294,-214,2025-02-17 11:39:04,0.0
-12000,-292,9284,-198,159,-307,2025-02-17 11:39:04,0.0
-11908,-508,9564,-158,-103,-402,2025-02-17 11:39:04,0.0
-12068,-376,9348,-403,-123,-451,2025-02-17 11:39:04,0.0
-12368,-628,9584,-339,18,-238,2025-02-17 11:39:04,0.0
-11976,-532,9536,-266,40,-116,2025-02-17 11:39:04,0.0
-11988,-504,9536,-213,40,-161,2025-02-17 11:39:04,0.0
-11896,-452,9488,-202,18,-201,2025-02-17 11:39:04,0.0
-11964,-436,9452,-127,133,-244,2025-02-17 11:39:04,0.0
-12028,-584,9472,-128,136,-258,2025-02-17 11:39:04,0.0
-12064,-440,9168,-135,30,-276,2025-02-17 11:39:04,0.0
-12096,-612,9428,-191,18,-308,2025-02-17 11:39:04,0.0
-12240,-548,9640,-196,163,-207,2025-02-17 11:39:04,0.0
-12020,-476,9648,-117,97,-146,2025-02-17 11:39:04,0.0
-11868,-424,9800,-129,68,-133,2025-02-17 11:39:04,0.0
-11696,-444,9420,-72,126,-163,2025-02-17 11:39:04,0.0
-11728,-392,9304,-264,160,-303,2025-02-17 11:39:04,0.0
-11944,-404,9916,-175,182,-357,2025-02-17 11:39:04,0.0
-12024,-456,9612,32,231,-419,2025-02-17 11:39:04,0.0
-12496,-584,9424,18,379,-301,2025-02-17 11:39:04,0.0
-12416,-624,9508,-19,239,-88,2025-02-17 11:39:04,0.0
-11980,-376,9600,54,117,-34,2025-02-17 11:39:04,0.0
-11948,-504,9132,-56,305,-65,2025-02-17 11:39:04,0.0
-12012,-364,9528,-82,233,-57,2025-02-17 11:39:04,0.0
-11876,-424,9600,-94,147,-77,2025-02-17 11:39:04,0.0
-11924,-444,9736,-37,138,-218,2025-02-17 11:39:04,0.0
-12032,-472,9712,76,221,-244,2025-02-17 11:39:04,0.0
-11840,-284,9732,271,444,-305,2025-02-17 11:39:04,0.0
-11952,-292,9560,480,667,-365,2025-02-17 11:39:04,0.0
-12396,-516,9120,448,845,-255,2025-02-17 11:39:04,0.0
-12916,-540,9792,1188,1041,367,2025-02-17 11:39:04,0.0
-12028,-304,8000,86,1000,688,2025-02-17 11:39:04,0.0
-11772,204,8332,-296,-103,414,2025-02-17 11:39:04,0.0
-11776,32,9164,-184,-372,261,2025-02-17 11:39:04,0.0
-11744,188,9384,108,-210,-65,2025-02-17 11:39:04,0.0
-11828,72,9252,255,123,-492,2025-02-17 11:39:04,0.0
-11780,-476,9208,161,-156,-963,2025-02-17 11:39:05,0.0
-12096,-860,9428,11,-302,-980,2025-02-17 11:39:05,0.0
-11816,-1324,9060,-226,88,-808,2025-02-17 11:39:05,0.0
-12148,-952,9244,-172,387,-448,2025-02-17 11:39:05,0.0
-12560,-388,9704,-122,918,-143,2025-02-17 11:39:05,0.0
