acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-12552,-1076,-5216,-196,174,-168,2025-02-17 10:28:37,0.0
-12572,-1152,-5320,-220,-13,-149,2025-02-17 10:28:37,0.0
-12516,-1036,-5212,-203,-102,-157,2025-02-17 10:28:37,0.0
-12412,-1160,-4816,-181,-107,-163,2025-02-17 10:28:37,0.0
-12508,-1044,-4908,-137,-50,-166,2025-02-17 10:28:37,0.0
-12528,-1088,-4772,-99,33,-129,2025-02-17 10:28:37,0.0
-12400,-1072,-4996,-110,38,-135,2025-02-17 10:28:37,0.0
-12376,-1152,-5120,-121,56,-137,2025-02-17 10:28:37,0.0
-12520,-1120,-5004,-62,34,-102,2025-02-17 10:28:37,0.0
-12404,-1052,-5312,-90,-11,-113,2025-02-17 10:28:37,0.0
-12412,-1008,-5240,-180,55,-139,2025-02-17 10:28:37,0.0
-12440,-1012,-5096,-168,147,-135,2025-02-17 10:28:37,0.0
-12320,-1064,-5236,-255,160,-175,2025-02-17 10:28:37,0.0
-12472,-1044,-4972,-244,125,-202,2025-02-17 10:28:37,0.0
-12504,-1056,-5296,-285,169,-134,2025-02-17 10:28:37,0.0
-12288,-1080,-5136,-428,118,-219,2025-02-17 10:28:37,0.0
-12356,-1092,-5108,-369,157,-240,2025-02-17 10:28:37,0.0
-12444,-1168,-4772,-322,248,-192,2025-02-17 10:28:37,0.0
-12508,-1136,-4792,-177,171,-197,2025-02-17 10:28:37,0.0
-12492,-1044,-5156,-136,208,-128,2025-02-17 10:28:37,0.0
-12468,-1088,-5100,-192,89,-209,2025-02-17 10:28:37,0.0
-12372,-1088,-5184,-306,38,-217,2025-02-17 10:28:38,0.0
-12532,-1072,-5008,-215,65,-206,2025-02-17 10:28:38,0.0
-12512,-1124,-5264,-152,111,-147,2025-02-17 10:28:38,0.0
-12380,-1060,-5208,-241,82,-159,2025-02-17 10:28:38,0.0
-12392,-1004,-5040,-252,141,-203,2025-02-17 10:28:38,0.0
-12480,-1180,-5012,-156,238,-192,2025-02-17 10:28:38,0.0
-12532,-1152,-5160,-38,149,-113,2025-02-17 10:28:38,0.0
-12452,-1052,-5156,-158,135,-137,2025-02-17 10:28:38,0.0
-12284,-1044,-5192,-293,100,-198,2025-02-17 10:28:38,0.0
