acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-11236,-348,10820,-224,290,-170,2025-02-17 10:52:07,0.0
-11284,-528,10652,-165,288,-128,2025-02-17 10:52:07,0.0
-11272,-368,10708,-158,226,-145,2025-02-17 10:52:07,0.0
-11256,-460,10876,-145,215,-161,2025-02-17 10:52:07,0.0
-11304,-412,10656,-152,303,-138,2025-02-17 10:52:07,0.0
-11416,-368,10768,-173,290,-130,2025-02-17 10:52:07,0.0
-11304,-520,10720,-173,183,-128,2025-02-17 10:52:07,0.0
-11208,-412,10720,-195,76,-167,2025-02-17 10:52:07,0.0
-11136,-380,10956,-200,108,-188,2025-02-17 10:52:07,0.0
-11224,-444,10800,-161,171,-179,2025-02-17 10:52:07,0.0
-11264,-436,10684,-200,141,-197,2025-02-17 10:52:07,0.0
-11260,-444,10696,-222,175,-223,2025-02-17 10:52:07,0.0
-11344,-448,10752,-185,195,-224,2025-02-17 10:52:07,0.0
-11220,-468,10648,-195,219,-163,2025-02-17 10:52:07,0.0
-11260,-544,10620,-167,241,-129,2025-02-17 10:52:07,0.0
-11284,-488,10684,-178,216,-121,2025-02-17 10:52:07,0.0
-11232,-440,10708,-166,169,-105,2025-02-17 10:52:07,0.0
-11196,-500,10696,-161,194,-129,2025-02-17 10:52:07,0.0
-11300,-432,10712,-143,322,-159,2025-02-17 10:52:07,0.0
-11328,-424,10608,-162,288,-162,2025-02-17 10:52:07,0.0
-11356,-416,10564,-180,181,-206,2025-02-17 10:52:07,0.0
-11320,-376,10596,-132,141,-170,2025-02-17 10:52:07,0.0
-11284,-408,10564,-148,120,-191,2025-02-17 10:52:07,0.0
-11300,-448,10660,-157,102,-189,2025-02-17 10:52:07,0.0
-11236,-368,10820,-162,101,-164,2025-02-17 10:52:07,0.0
-11324,-436,10624,-165,86,-210,2025-02-17 10:52:07,0.0
-11216,-524,10680,-175,40,-218,2025-02-17 10:52:07,0.0
-11352,-360,10856,-158,103,-197,2025-02-17 10:52:07,0.0
-11284,-484,10732,-166,146,-170,2025-02-17 10:52:07,0.0
-11312,-440,10676,-142,136,-191,2025-02-17 10:52:07,0.0
-11328,-488,10632,-154,54,-186,2025-02-17 10:52:07,0.0
-11228,-388,10792,-127,87,-187,2025-02-17 10:52:07,0.0
-11276,-400,10692,-158,98,-203,2025-02-17 10:52:07,0.0
-11296,-404,10756,-173,133,-183,2025-02-17 10:52:07,0.0
-11248,-508,10688,-200,146,-213,2025-02-17 10:52:07,0.0
-11268,-396,10696,-160,112,-176,2025-02-17 10:52:07,0.0
-11172,-496,10776,-189,149,-195,2025-02-17 10:52:07,0.0
-11236,-528,10620,-166,150,-168,2025-02-17 10:52:07,0.0
-11164,-528,10768,-117,164,-158,2025-02-17 10:52:07,0.0
-11288,-468,10740,-154,154,-171,2025-02-17 10:52:07,0.0
-11268,-364,10860,-184,151,-205,2025-02-17 10:52:07,0.0
-11332,-440,10760,-176,176,-214,2025-02-17 10:52:07,0.0
-11276,-468,10684,-170,98,-179,2025-02-17 10:52:07,0.0
-11380,-420,10724,-138,142,-185,2025-02-17 10:52:07,0.0
-11272,-420,10740,-140,87,-144,2025-02-17 10:52:07,0.0
-11224,-448,10776,-146,71,-170,2025-02-17 10:52:07,0.0
-11244,-388,10816,-170,121,-187,2025-02-17 10:52:07,0.0
-11316,-536,10872,-197,83,-187,2025-02-17 10:52:07,0.0
-11280,-524,10760,-173,66,-175,2025-02-17 10:52:07,0.0
-11328,-456,10744,-189,143,-163,2025-02-17 10:52:07,0.0
-11364,-500,10800,-165,189,-156,2025-02-17 10:52:07,0.0
-11356,-512,10864,-189,174,-162,2025-02-17 10:52:07,0.0
-11256,-552,10736,-164,55,-162,2025-02-17 10:52:07,0.0
-11172,-444,10896,-147,88,-175,2025-02-17 10:52:07,0.0
-11264,-348,10828,-129,235,-199,2025-02-17 10:52:07,0.0
-11412,-512,10780,-134,212,-162,2025-02-17 10:52:08,0.0
-11452,-484,10596,-170,108,-128,2025-02-17 10:52:08,0.0
-11308,-528,10588,-149,-2,-117,2025-02-17 10:52:08,0.0
-11060,-480,10736,-224,17,-167,2025-02-17 10:52:08,0.0
-11188,-540,10756,-224,22,-219,2025-02-17 10:52:08,0.0
-11180,-472,10780,-184,3,-194,2025-02-17 10:52:08,0.0
-11224,-512,10736,-144,1,-212,2025-02-17 10:52:08,0.0
-11176,-512,10836,-157,-8,-188,2025-02-17 10:52:08,0.0
-11288,-420,10780,-153,23,-211,2025-02-17 10:52:08,0.0
-11176,-416,10836,-96,78,-139,2025-02-17 10:52:08,0.0
-11116,-336,10988,-97,162,-164,2025-02-17 10:52:08,0.0
-11392,-236,10936,-129,523,-148,2025-02-17 10:52:08,0.0
-11560,-400,10096,-332,595,-237,2025-02-17 10:52:08,0.0
-11532,-496,10212,-489,14,-211,2025-02-17 10:52:08,0.0
-11572,-668,10592,-457,-92,-147,2025-02-17 10:52:08,0.0
-11432,-548,9888,-445,387,-150,2025-02-17 10:52:08,0.0
-11300,-720,10160,-206,230,-380,2025-02-17 10:52:08,0.0
-12056,-28,9856,-18,-358,-333,2025-02-17 10:52:08,0.0
-11972,-356,10144,-48,-1047,-381,2025-02-17 10:52:08,0.0
-11868,-888,10464,52,-1443,-135,2025-02-17 10:52:08,0.0
-10480,-816,11040,156,-1756,-26,2025-02-17 10:52:08,0.0
-10196,-548,10544,293,-1260,78,2025-02-17 10:52:08,0.0
-10120,-800,10952,235,-559,136,2025-02-17 10:52:08,0.0
-10520,-832,11764,124,135,137,2025-02-17 10:52:08,0.0
-10616,-564,10188,-183,578,344,2025-02-17 10:52:08,0.0
-11372,-512,10984,-297,596,439,2025-02-17 10:52:08,0.0
-11540,-608,10620,-126,476,637,2025-02-17 10:52:08,0.0
-11632,-876,10284,-183,358,673,2025-02-17 10:52:08,0.0
-11608,-596,10380,-291,-83,662,2025-02-17 10:52:08,0.0
-11552,-24,10772,-192,-18,550,2025-02-17 10:52:08,0.0
-11528,136,10680,-271,-36,369,2025-02-17 10:52:08,0.0
-11932,320,10956,-275,2,251,2025-02-17 10:52:08,0.0
-11556,220,10520,-325,54,351,2025-02-17 10:52:08,0.0
-12084,628,10312,-387,-301,450,2025-02-17 10:52:08,0.0
-11148,-164,10744,-922,-929,655,2025-02-17 10:52:08,0.0
-11060,-700,11916,-907,-997,678,2025-02-17 10:52:08,0.0
-10148,-792,12216,-973,-685,432,2025-02-17 10:52:08,0.0
