acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-11656,-856,-924,-606,-1020,555,2025-02-17 11:22:34,0.0
-11536,-1068,-848,23,725,-388,2025-02-17 11:22:34,0.0
-12436,-488,-3060,-778,2493,-341,2025-02-17 11:22:34,0.0
-11860,-324,-3404,-3032,4824,-487,2025-02-17 11:22:34,0.0
-11700,-1012,-1608,-3639,7602,-1035,2025-02-17 11:22:34,0.0
-12700,-676,-3440,-4132,11098,-1012,2025-02-17 11:22:34,0.0
-12556,-1092,-2768,-5555,14432,-416,2025-02-17 11:22:34,0.0
-13504,-1420,-3300,-5542,15617,-90,2025-02-17 11:22:34,0.0
-13460,-1268,-3584,-5552,14081,-188,2025-02-17 11:22:34,0.0
-14432,-1484,-1816,-2756,8920,-1737,2025-02-17 11:22:34,0.0
-17704,-2096,-1568,-184,2897,-734,2025-02-17 11:22:34,0.0
-16284,-1628,-3432,1130,-2677,593,2025-02-17 11:22:34,0.0
-13276,-832,-4240,1025,-5737,142,2025-02-17 11:22:34,0.0
-12336,-692,-4996,45,-6071,-719,2025-02-17 11:22:34,0.0
-11832,-920,-4260,-964,-4178,-439,2025-02-17 11:22:34,0.0
-10816,-572,-4036,-2213,-1127,-569,2025-02-17 11:22:34,0.0
-11948,-1408,-2096,-1917,1794,-479,2025-02-17 11:22:34,0.0
-12604,-1876,-1876,61,2586,-252,2025-02-17 11:22:34,0.0
-13684,-1704,-3396,1335,1525,-147,2025-02-17 11:22:34,0.0
-13796,-1148,-3356,1696,75,-276,2025-02-17 11:22:34,0.0
-13480,-412,-5208,782,-1599,-317,2025-02-17 11:22:34,0.0
-12184,460,-5124,-2772,-392,-575,2025-02-17 11:22:34,0.0
-13160,-1488,-3084,-1633,191,-730,2025-02-17 11:22:34,0.0
-12676,-1764,-2380,-433,633,-87,2025-02-17 11:22:34,0.0
-12956,-1280,-2976,-100,722,39,2025-02-17 11:22:34,0.0
-13692,-1672,-2476,994,67,120,2025-02-17 11:22:34,0.0
-13436,-1368,-2952,1882,-1038,206,2025-02-17 11:22:34,0.0
-13444,-692,-3900,1152,-1715,31,2025-02-17 11:22:34,0.0
-13340,-868,-3884,340,-1565,222,2025-02-17 11:22:34,0.0
-12836,-1336,-2772,414,-1267,472,2025-02-17 11:22:34,0.0
-12776,-1436,-2668,1352,-1520,325,2025-02-17 11:22:34,0.0
-13176,-1200,-4124,1140,-1547,483,2025-02-17 11:22:34,0.0
-13064,-1008,-3472,696,-778,535,2025-02-17 11:22:34,0.0
-12852,-960,-2928,763,-193,451,2025-02-17 11:22:34,0.0
-13164,-896,-3960,584,225,654,2025-02-17 11:22:34,0.0
-13016,-668,-3736,-155,719,964,2025-02-17 11:22:34,0.0
-12840,-924,-3116,10,1165,810,2025-02-17 11:22:34,0.0
