acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-10464,-732,-8148,-138,366,-172,2025-01-29 10:35:44,0
-10644,-800,-8212,-54,385,-176,2025-01-29 10:35:44,0
-10732,-716,-8180,-71,337,-193,2025-01-29 10:35:44,0
-10724,-712,-8320,-6,218,-160,2025-01-29 10:35:44,0
-10720,-796,-8352,-44,136,-147,2025-01-29 10:35:44,0
-10640,-640,-8296,-101,132,-126,2025-01-29 10:35:44,0
-10500,-704,-8352,-101,199,-132,2025-01-29 10:35:44,0
-10508,-616,-8288,-61,288,-146,2025-01-29 10:35:44,0
-10688,-572,-8292,-89,336,-153,2025-01-29 10:35:44,0
-10832,-716,-8508,-52,35,-153,2025-01-29 10:35:44,0
-10668,-844,-8160,-72,-69,-165,2025-01-29 10:35:44,0
-10716,-804,-8212,-15,-57,-103,2025-01-29 10:35:44,0
-10588,-652,-8316,-39,54,-93,2025-01-29 10:35:44,0
-10612,-484,-8400,-50,162,-94,2025-01-29 10:35:44,0
-10648,-556,-8192,-109,200,-129,2025-01-29 10:35:44,0
-10684,-684,-8156,-89,174,-111,2025-01-29 10:35:44,0
-10712,-752,-8320,-118,146,-155,2025-01-29 10:35:44,0
-10696,-780,-8344,-126,88,-135,2025-01-29 10:35:44,0
-10592,-668,-8372,-144,66,-170,2025-01-29 10:35:44,0
-10684,-592,-8284,-173,53,-157,2025-01-29 10:35:44,0
-10628,-728,-8328,-175,69,-127,2025-01-29 10:35:44,0
-10612,-728,-8344,-180,146,-154,2025-01-29 10:35:44,0
-10536,-700,-8268,-187,158,-156,2025-01-29 10:35:44,0
-10632,-696,-8144,-203,77,-180,2025-01-29 10:35:44,0
-10764,-716,-8028,-188,83,-202,2025-01-29 10:35:44,0
-10548,-672,-8176,-193,135,-209,2025-01-29 10:35:44,0
-10640,-476,-8292,-217,170,-241,2025-01-29 10:35:44,0
-10720,-528,-8324,-245,262,-200,2025-01-29 10:35:45,0
-10684,-556,-8276,-274,298,-234,2025-01-29 10:35:45,0
-10712,-580,-8092,-281,272,-215,2025-01-29 10:35:45,0
-10680,-624,-8312,-292,233,-196,2025-01-29 10:35:45,0
-10612,-540,-8080,-286,251,-206,2025-01-29 10:35:45,0
-10648,-520,-8156,-244,296,-239,2025-01-29 10:35:45,0
-10664,-592,-8224,-256,300,-262,2025-01-29 10:35:45,0
-10668,-592,-8368,-258,317,-230,2025-01-29 10:35:45,0
-10832,-576,-8404,-264,279,-241,2025-01-29 10:35:45,0
-10676,-528,-8312,-225,202,-237,2025-01-29 10:35:45,0
-10840,-656,-8224,-204,126,-215,2025-01-29 10:35:45,0
-10680,-572,-8152,-187,44,-159,2025-01-29 10:35:45,0
-10576,-556,-8260,-218,89,-198,2025-01-29 10:35:45,0
-10600,-696,-8068,-182,131,-185,2025-01-29 10:35:45,0
-10560,-660,-8180,-145,189,-160,2025-01-29 10:35:45,0
-10608,-656,-8120,-167,242,-176,2025-01-29 10:35:45,0
-10736,-520,-8296,-142,252,-160,2025-01-29 10:35:45,0
-10728,-652,-8148,-125,176,-149,2025-01-29 10:35:45,0
-10700,-728,-8268,-125,109,-128,2025-01-29 10:35:45,1
-10812,-812,-8192,-86,82,-76,2025-01-29 10:35:45,1
-10684,-688,-8124,-17,55,-17,2025-01-29 10:35:45,1
-10576,-684,-8308,26,79,-25,2025-01-29 10:35:45,1
-10732,-824,-8408,110,146,0,2025-01-29 10:35:45,1
-10632,-816,-8272,257,92,40,2025-01-29 10:35:45,1
-10640,-876,-8336,389,147,-2,2025-01-29 10:35:45,1
-10700,-904,-7924,567,301,9,2025-01-29 10:35:45,1
-11012,-664,-8236,659,320,11,2025-01-29 10:35:45,1
-10972,-632,-8352,674,122,32,2025-01-29 10:35:45,1
-11028,-484,-8360,627,-142,158,2025-01-29 10:35:45,1
-10772,-188,-8248,503,-281,98,2025-01-29 10:35:45,1
-10680,-36,-8092,448,-297,-28,2025-01-29 10:35:45,1
