acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-11584,-1340,-6764,-205,377,-257,2025-01-29 10:43:00,0
-11640,-1284,-6672,-178,390,-261,2025-01-29 10:43:00,0
-11704,-1204,-6608,-154,334,-270,2025-01-29 10:43:00,0
-11704,-1144,-6864,-153,172,-226,2025-01-29 10:43:00,0
-11652,-1260,-6788,-104,122,-157,2025-01-29 10:43:00,0
-11532,-1188,-6840,-150,173,-168,2025-01-29 10:43:00,0
-11384,-1272,-6744,-111,229,-144,2025-01-29 10:43:00,0
-11576,-1168,-6812,-35,281,-128,2025-01-29 10:43:00,0
-11516,-1116,-7008,-37,322,-113,2025-01-29 10:43:00,0
-11508,-1228,-6880,-33,274,-123,2025-01-29 10:43:00,0
-11608,-992,-6812,-21,227,-128,2025-01-29 10:43:00,0
-11592,-948,-6776,-51,224,-125,2025-01-29 10:43:00,0
-11600,-1060,-6948,-87,201,-103,2025-01-29 10:43:00,0
-11488,-1080,-6860,-136,176,-97,2025-01-29 10:43:00,0
-11480,-1092,-6888,-143,205,-136,2025-01-29 10:43:00,0
-11636,-1020,-6816,-130,192,-97,2025-01-29 10:43:00,0
-11588,-1084,-6732,-85,217,-90,2025-01-29 10:43:00,0
-11572,-992,-6716,-85,225,-131,2025-01-29 10:43:00,0
-11476,-1056,-6896,-63,257,-148,2025-01-29 10:43:00,0
-11476,-1152,-6904,-35,253,-175,2025-01-29 10:43:00,0
-11556,-1080,-6740,-19,287,-156,2025-01-29 10:43:00,0
-11532,-988,-6616,17,346,-164,2025-01-29 10:43:00,0
-11564,-1108,-6904,-24,387,-149,2025-01-29 10:43:00,0
-11660,-1128,-7164,-27,324,-127,2025-01-29 10:43:00,0
-11676,-1092,-7116,6,184,-73,2025-01-29 10:43:00,0
-11564,-1048,-6984,-13,169,-109,2025-01-29 10:43:00,0
-11440,-1108,-7068,-3,185,-107,2025-01-29 10:43:00,0
-11528,-1104,-6816,-13,209,-105,2025-01-29 10:43:00,0
-11408,-1128,-7048,10,210,-71,2025-01-29 10:43:00,0
-11660,-1080,-6952,40,262,-80,2025-01-29 10:43:00,0
-11432,-1000,-6912,67,223,-94,2025-01-29 10:43:00,0
-11504,-1032,-6904,53,128,-88,2025-01-29 10:43:00,0
-11592,-888,-7128,22,85,-84,2025-01-29 10:43:00,0
-11472,-988,-7016,1,125,-75,2025-01-29 10:43:00,0
-11468,-956,-7128,-48,186,-91,2025-01-29 10:43:00,0
-11428,-984,-6908,-58,261,-129,2025-01-29 10:43:00,0
-11376,-1004,-6848,-69,251,-155,2025-01-29 10:43:00,0
