acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-12712,2740,-1664,-5721,-1155,-2349,2025-02-06 17:34:17,1
-12668,2372,-1576,-5298,-615,-2237,2025-02-06 17:34:17,1
-12880,1788,-1736,-4926,-331,-2128,2025-02-06 17:34:17,1
-13996,1408,-2036,-4481,-213,-1731,2025-02-06 17:34:17,1
-16500,1672,-4576,-4584,-524,-597,2025-02-06 17:34:17,1
-16796,244,-4432,-5095,-1385,128,2025-02-06 17:34:17,1
-16500,-784,-2728,-4971,-3998,138,2025-02-06 17:34:17,1
-16568,-668,-3196,-4842,-6441,1061,2025-02-06 17:34:17,1
-13896,-1036,-2808,-4492,-6820,1453,2025-02-06 17:34:17,1
-12068,-908,-3116,-4258,-5535,1283,2025-02-06 17:34:17,1
-10220,-992,-3980,-4586,-3879,638,2025-02-06 17:34:17,1
-9048,-1124,-4228,-4657,-1225,-1192,2025-02-06 17:34:17,1
-11980,-1948,-5452,-5172,2901,-2702,2025-02-06 17:34:17,1
-13860,-3120,-3652,-5700,4625,-3044,2025-02-06 17:34:17,1
-15168,-4768,-1696,-5887,3198,-3259,2025-02-06 17:34:17,1
-15900,-5560,-644,-5471,607,-3638,2025-02-06 17:34:17,1
-15556,-5784,32,-4956,-1312,-4232,2025-02-06 17:34:17,1
-14280,-6100,132,-4745,-2440,-4859,2025-02-06 17:34:17,1
-12956,-6340,-420,-5094,-2448,-5116,2025-02-06 17:34:17,1
-12348,-5504,-1100,-5460,-2067,-5061,2025-02-06 17:34:17,1
-12080,-4708,-680,-5986,-1856,-5113,2025-02-06 17:34:17,1
-11716,-3984,-100,-6224,-1895,-4975,2025-02-06 17:34:17,1
-11588,-3912,-28,-6415,-1738,-4681,2025-02-06 17:34:17,1
-11796,-3972,-436,-6482,-1228,-4570,2025-02-06 17:34:17,1
-12284,-4508,-268,-6388,-704,-4521,2025-02-06 17:34:17,1
-12368,-5012,-148,-6115,-363,-4278,2025-02-06 17:34:17,1
-13116,-5068,-760,-5771,-533,-3738,2025-02-06 17:34:17,1
-13288,-4612,-1132,-5677,-867,-3067,2025-02-06 17:34:17,1
-12788,-4304,-1076,-5925,-850,-3009,2025-02-06 17:34:17,1
-12732,-4272,-736,-6068,-651,-2743,2025-02-06 17:34:17,1
-12976,-4360,-444,-5937,-587,-2103,2025-02-06 17:34:17,1
-12720,-3852,-256,-5706,-853,-1088,2025-02-06 17:34:17,1
-12964,-3960,-868,-5715,-829,-496,2025-02-06 17:34:17,1
-13476,-3756,-592,-5901,-465,-531,2025-02-06 17:34:17,1
-14124,-3552,-212,-5811,-315,-498,2025-02-06 17:34:17,1
-13804,-3868,84,-5517,-1211,-34,2025-02-06 17:34:17,1
-12912,-4052,-612,-5057,-2420,517,2025-02-06 17:34:17,1
-11892,-4472,-1936,-4875,-2161,789,2025-02-06 17:34:17,1
-11524,-4476,-2044,-4784,-519,758,2025-02-06 17:34:17,1
-11820,-4552,-772,-4491,854,938,2025-02-06 17:34:18,1
-12360,-4444,-152,-3845,1301,1084,2025-02-06 17:34:18,1
-12668,-4264,-476,-3263,1483,1291,2025-02-06 17:34:18,1
-12400,-4552,-980,-2774,1173,1571,2025-02-06 17:34:18,1
-12400,-4816,-1476,-2489,1145,1824,2025-02-06 17:34:18,1
-12888,-4872,-2260,-2259,2162,1895,2025-02-06 17:34:18,1
-13812,-4124,-2820,-2182,3350,1649,2025-02-06 17:34:18,1
-14776,-3280,-1984,-2088,3665,1249,2025-02-06 17:34:18,1
-15068,-2564,-1024,-1761,2244,1120,2025-02-06 17:34:18,1
-14600,-2472,-1080,-1304,393,666,2025-02-06 17:34:18,1
-14028,-3300,-3076,-1345,-6,-97,2025-02-06 17:34:18,1
-13188,-3876,-3808,-1530,746,-613,2025-02-06 17:34:18,1
-12632,-4148,-2940,-1514,1239,-954,2025-02-06 17:34:18,1
-12720,-3680,-2052,-1354,1064,-844,2025-02-06 17:34:18,1
-12920,-3752,-1404,-1118,599,-480,2025-02-06 17:34:18,1
-13104,-3836,-1868,-842,405,-163,2025-02-06 17:34:18,1
