acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-12012,-820,-6120,-56,310,-172,2025-02-17 10:15:31,0.0
-11984,-736,-6104,-33,284,-184,2025-02-17 10:15:31,0.0
-11944,-752,-6112,-64,234,-154,2025-02-17 10:15:31,0.0
-11956,-688,-6140,-165,205,-192,2025-02-17 10:15:31,0.0
-11904,-688,-6296,-116,261,-181,2025-02-17 10:15:31,0.0
-12076,-716,-6144,-63,283,-135,2025-02-17 10:15:31,0.0
-12016,-628,-6220,-52,212,-130,2025-02-17 10:15:31,0.0
-11952,-748,-6260,-44,139,-164,2025-02-17 10:15:31,0.0
-11956,-576,-6356,-101,196,-132,2025-02-17 10:15:31,0.0
-11888,-624,-6336,-165,129,-190,2025-02-17 10:15:31,0.0
-11936,-680,-6220,-140,99,-163,2025-02-17 10:15:31,0.0
-11904,-696,-6164,-141,92,-175,2025-02-17 10:15:31,0.0
-11900,-816,-6136,-119,62,-153,2025-02-17 10:15:31,0.0
-11840,-732,-6224,-184,89,-157,2025-02-17 10:15:31,0.0
-11896,-704,-6152,-294,237,-171,2025-02-17 10:15:31,0.0
-12044,-824,-6364,-206,230,-145,2025-02-17 10:15:31,0.0
-12008,-612,-6324,-153,154,-45,2025-02-17 10:15:31,0.0
-11840,-692,-6304,-166,60,-108,2025-02-17 10:15:31,0.0
-11964,-620,-6404,-51,-14,-48,2025-02-17 10:15:31,0.0
-11620,-516,-6316,-232,57,-60,2025-02-17 10:15:31,0.0
-11776,-672,-6364,-238,152,-162,2025-02-17 10:15:31,0.0
-11956,-636,-6368,-302,284,-186,2025-02-17 10:15:31,0.0
-12028,-668,-6184,-319,269,-240,2025-02-17 10:15:31,0.0
-12052,-612,-6088,-353,166,-262,2025-02-17 10:15:31,0.0
-11984,-608,-6004,-360,128,-258,2025-02-17 10:15:31,0.0
-12000,-724,-6200,-297,162,-257,2025-02-17 10:15:31,0.0
-11880,-628,-6308,-263,119,-251,2025-02-17 10:15:31,0.0
-11936,-700,-6212,-254,108,-229,2025-02-17 10:15:31,0.0
-11900,-712,-6180,-249,168,-225,2025-02-17 10:15:31,0.0
-11932,-676,-6148,-247,217,-251,2025-02-17 10:15:31,0.0
-11888,-688,-6160,-287,189,-255,2025-02-17 10:15:31,0.0
-11880,-692,-6276,-241,132,-204,2025-02-17 10:15:31,0.0
-11916,-752,-6324,-270,95,-193,2025-02-17 10:15:32,0.0
-11804,-704,-6252,-255,135,-242,2025-02-17 10:15:32,0.0
-11828,-724,-6216,-230,199,-243,2025-02-17 10:15:32,0.0
-11888,-676,-6280,-210,207,-200,2025-02-17 10:15:32,0.0
-11944,-720,-6260,-218,174,-132,2025-02-17 10:15:32,0.0
-11896,-376,-6060,-174,257,52,2025-02-17 10:15:32,0.0
-11788,-504,-6624,-381,555,112,2025-02-17 10:15:32,0.0
-12104,-132,-6760,-480,772,365,2025-02-17 10:15:32,0.0
-12232,-52,-6808,-388,944,513,2025-02-17 10:15:32,0.0
-12396,-156,-6832,-461,764,399,2025-02-17 10:15:32,0.0
-13008,-632,-6708,-572,24,263,2025-02-17 10:15:32,0.0
-13156,-456,-6500,-606,-1032,274,2025-02-17 10:15:32,0.0
-12224,-116,-6512,-641,-2379,97,2025-02-17 10:15:32,0.0
-11500,276,-5804,-529,-2940,-183,2025-02-17 10:15:32,0.0
-11164,336,-5188,-251,-2419,-301,2025-02-17 10:15:32,0.0
-11332,308,-5040,-151,-1334,-296,2025-02-17 10:15:32,0.0
-11496,12,-4792,-485,-588,-578,2025-02-17 10:15:32,0.0
-12256,-300,-4788,-616,-741,-1194,2025-02-17 10:15:32,0.0
-12444,-88,-4824,-700,-956,-1188,2025-02-17 10:15:32,0.0
-12192,-28,-5344,-652,-541,-1240,2025-02-17 10:15:32,0.0
-12040,128,-5500,-701,-139,-1262,2025-02-17 10:15:32,0.0
-12076,44,-5360,-657,162,-1291,2025-02-17 10:15:32,0.0
-12172,204,-5328,-642,133,-1243,2025-02-17 10:15:32,0.0
-12160,-24,-5692,-731,-63,-1305,2025-02-17 10:15:32,0.0
-12152,-160,-5628,-845,-236,-1370,2025-02-17 10:15:32,0.0
-12268,-384,-5740,-980,-297,-1378,2025-02-17 10:15:32,0.0
-12368,-452,-5096,-991,-193,-1336,2025-02-17 10:15:32,0.0
-12300,-508,-4880,-579,-174,-1225,2025-02-17 10:15:32,0.0
-12484,-548,-5004,-146,-313,-1199,2025-02-17 10:15:32,0.0
-12332,-760,-5624,136,-649,-1266,2025-02-17 10:15:32,0.0
-11976,-1196,-6212,242,-883,-1486,2025-02-17 10:15:32,0.0
-11876,-1748,-6028,323,-754,-1730,2025-02-17 10:15:32,0.0
-11944,-1836,-6296,477,-64,-1774,2025-02-17 10:15:32,0.0
-12272,-1512,-6488,383,342,-1768,2025-02-17 10:15:32,0.0
-12360,-884,-6244,356,476,-1831,2025-02-17 10:15:32,0.0
-11972,-548,-6008,270,-158,-2231,2025-02-17 10:15:32,0.0
-11988,-1024,-4928,347,-542,-2699,2025-02-17 10:15:32,0.0
-12020,-1824,-5148,97,-614,-2723,2025-02-17 10:15:32,0.0
-12012,-2116,-5020,-474,-34,-2409,2025-02-17 10:15:32,0.0
-11816,-1752,-4868,-938,476,-2132,2025-02-17 10:15:32,0.0
-12116,-1516,-4640,-1326,1350,-2034,2025-02-17 10:15:32,0.0
-12192,-1256,-4312,-1806,1489,-2230,2025-02-17 10:15:32,0.0
-12468,-1228,-4348,-2203,1665,-2663,2025-02-17 10:15:32,0.0
-13012,-1776,-4636,-2296,1237,-3105,2025-02-17 10:15:32,0.0
-13036,-2392,-4688,-2230,814,-3124,2025-02-17 10:15:32,0.0
-12836,-2768,-4456,-1977,174,-2961,2025-02-17 10:15:32,0.0
-12212,-3248,-4224,-1729,-294,-2606,2025-02-17 10:15:32,0.0
-11572,-3388,-4244,-1650,-151,-2196,2025-02-17 10:15:32,0.0
-11472,-3560,-4008,-1589,486,-1824,2025-02-17 10:15:32,0.0
-11524,-3032,-4012,-1301,1082,-1272,2025-02-17 10:15:32,0.0
-11600,-2636,-4184,-1070,1454,-801,2025-02-17 10:15:32,0.0
-12120,-2196,-4524,-1011,1790,-565,2025-02-17 10:15:32,0.0
-12676,-2272,-3940,-1082,1916,-650,2025-02-17 10:15:32,0.0
-13144,-2028,-4384,-1095,1575,-739,2025-02-17 10:15:32,0.0
-13424,-2392,-3852,-810,234,-804,2025-02-17 10:15:32,0.0
-12696,-2316,-4520,-1005,-705,-762,2025-02-17 10:15:32,0.0
-11504,-2572,-4476,-1282,-714,-848,2025-02-17 10:15:32,0.0
-11216,-2812,-4160,-1453,305,-796,2025-02-17 10:15:32,0.0
-11296,-2836,-4472,-1625,1863,-680,2025-02-17 10:15:32,0.0
-11820,-2448,-5200,-2098,3177,-805,2025-02-17 10:15:32,0.0
-13036,-2312,-5060,-2411,2925,-1192,2025-02-17 10:15:32,0.0
-13496,-2768,-5256,-2584,1763,-1600,2025-02-17 10:15:33,0.0
-13692,-3272,-4612,-2547,234,-1787,2025-02-17 10:15:33,0.0
-13036,-3764,-4444,-2263,-512,-1609,2025-02-17 10:15:33,0.0
-12336,-4276,-4476,-2068,-114,-1546,2025-02-17 10:15:33,0.0
-12332,-4236,-4864,-1993,635,-1578,2025-02-17 10:15:33,0.0
-13148,-4028,-5028,-1778,665,-1298,2025-02-17 10:15:33,0.0
-13504,-3756,-5008,-1866,4,-896,2025-02-17 10:15:33,
-13524,-3864,-4188,-1909,-587,-946,2025-02-17 10:15:33,0.0
-13472,-3844,-3700,-2041,-982,-1137,2025-02-17 10:15:33,0.0
-13732,-4176,-3388,-2300,-1129,-916,2025-02-17 10:15:33,0.0
-13576,-4764,-3276,-2404,-957,-1,2025-02-17 10:15:33,0.0
-12752,-5372,-4616,-2435,-223,435,2025-02-17 10:15:33,0.0
-12832,-5132,-5844,-2014,1477,355,2025-02-17 10:15:33,0.0
-14208,-4688,-5740,-1369,3180,15,2025-02-17 10:15:33,0.0
-16484,-5280,-3548,717,2778,374,2025-02-17 10:15:33,0.0
-16592,-3616,-6076,860,-505,1603,2025-02-17 10:15:33,0.0
-16092,-2724,-7340,960,-2893,1601,2025-02-17 10:15:33,0.0
-14680,-2296,-7348,976,-3919,1522,2025-02-17 10:15:33,0.0
-13912,-1736,-8576,872,-4094,1896,2025-02-17 10:15:33,0.0
-11696,-1756,-8516,188,-4196,2349,2025-02-17 10:15:33,0.0
-10344,-2360,-7720,120,-3858,2610,2025-02-17 10:15:33,0.0
-9832,-1616,-7404,650,-2772,3398,2025-02-17 10:15:33,0.0
