acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
17700,-416,-5160,2376,876,-442,2025-02-17 11:37:51,0.0
17376,176,-5744,2312,2387,95,2025-02-17 11:37:51,0.0
17336,148,-6100,1388,3658,677,2025-02-17 11:37:51,0.0
17804,-120,-4932,255,3491,421,2025-02-17 11:37:51,0.0
17052,-388,-4460,-199,1247,-279,2025-02-17 11:37:51,0.0
16724,-104,-4824,-294,-1648,-372,2025-02-17 11:37:51,0.0
16980,120,-5660,-1232,-2775,-3,2025-02-17 11:37:51,0.0
17556,-96,-5404,-1788,-2372,121,2025-02-17 11:37:51,0.0
17876,-396,-4820,-1443,-1426,332,2025-02-17 11:37:51,0.0
18068,-160,-5440,-1173,22,437,2025-02-17 11:37:51,0.0
17488,-40,-5144,-1307,725,248,2025-02-17 11:37:51,0.0
17612,-192,-4472,-745,119,-102,2025-02-17 11:37:51,0.0
17492,-204,-4304,-176,-1226,-811,2025-02-17 11:37:51,0.0
17396,-148,-5080,580,-2121,-922,2025-02-17 11:37:51,0.0
17720,-192,-5556,1015,-1384,-681,2025-02-17 11:37:51,0.0
18344,-180,-5404,975,-255,-637,2025-02-17 11:37:51,0.0
18112,-544,-5412,1205,725,-981,2025-02-17 11:37:52,0.0
17464,-628,-4684,1859,788,-983,2025-02-17 11:37:52,0.0
17448,-308,-5512,2047,562,-721,2025-02-17 11:37:52,0.0
17480,-148,-5764,1681,750,-460,2025-02-17 11:37:52,0.0
16932,68,-5792,861,749,-5,2025-02-17 11:37:52,0.0
17648,-428,-5392,466,502,-295,2025-02-17 11:37:52,0.0
17280,-296,-4512,-426,-2050,-1170,2025-02-17 11:37:52,0.0
17632,-464,-5284,1222,-3059,-1033,2025-02-17 11:37:52,0.0
17816,36,-6276,764,-2566,-1824,2025-02-17 11:37:52,0.0
17592,172,-6344,355,-1723,-1540,2025-02-17 11:37:52,0.0
16964,120,-5668,200,-730,-1478,2025-02-17 11:37:52,0.0
17076,404,-5940,139,-582,-1073,2025-02-17 11:37:52,0.0
17008,448,-6300,-263,-466,-1041,2025-02-17 11:37:52,0.0
17044,204,-5976,-264,-438,-1016,2025-02-17 11:37:52,0.0
17280,284,-5604,-28,-685,-1124,2025-02-17 11:37:52,0.0
17508,400,-5988,-22,-478,-1256,2025-02-17 11:37:52,0.0
17548,412,-5708,39,90,-1360,2025-02-17 11:37:52,0.0
17140,348,-5764,239,563,-1420,2025-02-17 11:37:52,0.0
16920,376,-5716,366,462,-1280,2025-02-17 11:37:52,0.0
16808,356,-6104,283,102,-1264,2025-02-17 11:37:52,0.0
16776,372,-5636,203,-405,-1242,2025-02-17 11:37:52,0.0
17120,476,-5752,245,-910,-1303,2025-02-17 11:37:52,0.0
17200,504,-5832,264,-1185,-1483,2025-02-17 11:37:52,0.0
16924,536,-6224,251,-1243,-1413,2025-02-17 11:37:52,0.0
16796,608,-6092,402,-1204,-1141,2025-02-17 11:37:52,0.0
16944,628,-6416,524,-1059,-1044,2025-02-17 11:37:52,0.0
16912,644,-6492,505,-876,-930,2025-02-17 11:37:52,0.0
17060,524,-6396,391,-803,-925,2025-02-17 11:37:52,0.0
16900,776,-6496,457,-684,-986,2025-02-17 11:37:52,0.0
17020,1068,-6276,479,-592,-1058,2025-02-17 11:37:52,0.0
16692,1128,-6452,596,-595,-846,2025-02-17 11:37:52,0.0
16848,1036,-6568,541,-482,-664,2025-02-17 11:37:52,0.0
17036,1080,-6688,377,-53,-585,2025-02-17 11:37:52,0.0
17440,824,-6360,274,588,-698,2025-02-17 11:37:52,0.0
17372,840,-6128,632,1219,-963,2025-02-17 11:37:52,0.0
17196,1148,-6276,553,1834,-807,2025-02-17 11:37:52,0.0
16724,1208,-6152,450,2230,-309,2025-02-17 11:37:52,0.0
16968,1304,-5560,721,2324,83,2025-02-17 11:37:52,0.0
16720,1196,-5928,693,2187,261,2025-02-17 11:37:52,0.0
16660,1068,-6332,302,2041,488,2025-02-17 11:37:52,0.0
16920,968,-5756,113,1857,585,2025-02-17 11:37:52,0.0
17124,768,-5364,57,1425,584,2025-02-17 11:37:52,0.0
17160,708,-5488,-27,721,708,2025-02-17 11:37:52,0.0
17044,704,-5688,-126,-24,884,2025-02-17 11:37:52,0.0
17480,616,-5552,20,-577,1069,2025-02-17 11:37:52,0.0
17656,328,-5696,310,-783,1060,2025-02-17 11:37:52,0.0
17788,184,-5684,443,-980,893,2025-02-17 11:37:52,0.0
17688,-384,-5804,480,-511,647,2025-02-17 11:37:52,0.0
17688,-660,-6216,663,265,281,2025-02-17 11:37:52,0.0
17548,-960,-5868,915,1332,-194,2025-02-17 11:37:52,0.0
17548,-1268,-5644,1188,2611,-671,2025-02-17 11:37:52,0.0
17236,-1356,-5016,1526,3578,-1204,2025-02-17 11:37:52,0.0
16992,-1484,-4628,1895,4336,-1408,2025-02-17 11:37:52,0.0
17924,-1680,-3912,2065,4534,-1488,2025-02-17 11:37:52,0.0
18168,-1604,-3236,1795,4388,-1459,2025-02-17 11:37:52,0.0
18192,-1088,-2960,1706,3981,-1395,2025-02-17 11:37:52,0.0
17724,120,-2316,1913,3488,-1173,2025-02-17 11:37:52,0.0
17848,976,-1352,2524,2825,-655,2025-02-17 11:37:52,0.0
17644,664,-812,2991,578,-520,2025-02-17 11:37:52,0.0
17320,296,-1748,3465,-2823,-429,2025-02-17 11:37:52,0.0
17580,-268,-2860,4025,-5132,11,2025-02-17 11:37:52,0.0
17856,-620,-3484,4254,-5651,380,2025-02-17 11:37:52,0.0
18580,-732,-4528,3560,-4582,490,2025-02-17 11:37:52,0.0
19184,-1108,-4820,2393,-1035,1,2025-02-17 11:37:52,0.0
18824,-1172,-3964,1874,1111,-619,2025-02-17 11:37:53,0.0
18028,-692,-3952,968,1410,-1089,2025-02-17 11:37:53,0.0
16852,-428,-3412,149,1020,-1044,2025-02-17 11:37:53,0.0
16020,-92,-2812,-195,-30,-542,2025-02-17 11:37:53,0.0
16156,-232,-2784,-214,-1937,178,2025-02-17 11:37:53,0.0
16616,-1096,-3552,-211,-3988,680,2025-02-17 11:37:53,0.0
17812,-1144,-4164,-542,-5077,874,2025-02-17 11:37:53,0.0
18372,-1004,-3944,-172,-4477,1061,2025-02-17 11:37:53,0.0
18644,-956,-4476,-226,-3451,1067,2025-02-17 11:37:53,0.0
18848,-1056,-4800,-838,-2496,1254,2025-02-17 11:37:53,0.0
19064,-1352,-4264,-1014,-1627,979,2025-02-17 11:37:53,0.0
19108,-1952,-4172,-959,-323,287,2025-02-17 11:37:53,0.0
18440,-1976,-3328,-668,965,-282,2025-02-17 11:37:53,0.0
17524,-1688,-3272,-448,1644,14,2025-02-17 11:37:53,0.0
17852,-1476,-3172,-679,1372,174,2025-02-17 11:37:53,0.0
18300,-2184,-3216,-1082,1602,-76,2025-02-17 11:37:53,0.0
18392,-2668,-3064,-1399,2024,-353,2025-02-17 11:37:53,0.0
18780,-3332,-2812,-1336,2065,-697,2025-02-17 11:37:53,0.0
19516,-3908,-2496,-1623,1078,-1198,2025-02-17 11:37:53,0.0
20128,-4312,-2532,-1416,105,-1002,2025-02-17 11:37:53,
19908,-4704,-4712,-427,-374,6,2025-02-17 11:37:53,0.0
20832,-4276,-6656,-55,-1012,501,2025-02-17 11:37:53,0.0
21660,-3844,-5800,64,-1204,706,2025-02-17 11:37:53,0.0
22524,-4320,-5168,880,-562,1154,2025-02-17 11:37:53,0.0
23080,-4912,-9072,1710,1361,1171,2025-02-17 11:37:53,0.0
21700,-4508,-9324,2094,3434,536,2025-02-17 11:37:53,0.0
20064,-3228,-7960,3327,6338,-162,2025-02-17 11:37:53,0.0
15768,384,-6052,4410,8715,-1624,2025-02-17 11:37:53,0.0
14204,1148,-4968,5473,8377,-1665,2025-02-17 11:37:53,0.0
14216,740,-4420,6393,4740,-1943,2025-02-17 11:37:53,0.0
14336,-748,-6344,7118,-344,-1840,2025-02-17 11:37:53,0.0
16056,-2300,-7840,7878,-2968,-2152,2025-02-17 11:37:53,0.0
18580,-2268,-8432,8216,-3522,-4087,2025-02-17 11:37:53,0.0
19328,-968,-8544,7488,-2330,-6095,2025-02-17 11:37:53,0.0
18996,-780,-8232,6924,-136,-7260,2025-02-17 11:37:53,0.0
17716,360,-8160,6655,2256,-7611,2025-02-17 11:37:53,0.0
16228,1548,-7656,6149,4064,-7139,2025-02-17 11:37:53,0.0
15060,1636,-5844,5383,4996,-6296,2025-02-17 11:37:53,0.0
14232,1956,-4848,5177,5059,-5335,2025-02-17 11:37:53,0.0
14832,1760,-4560,5046,3752,-4848,2025-02-17 11:37:53,0.0
14784,1628,-4156,5424,3115,-4463,2025-02-17 11:37:53,0.0
15128,1140,-4476,5855,2973,-4117,2025-02-17 11:37:53,0.0
14924,600,-4744,6016,3269,-3822,2025-02-17 11:37:53,0.0
15008,100,-5116,5846,3210,-3416,2025-02-17 11:37:53,0.0
15968,204,-4308,5593,1724,-3588,2025-02-17 11:37:53,0.0
16384,1152,-3068,5663,-622,-4272,2025-02-17 11:37:53,0.0
16744,1852,-3200,5618,-2014,-4539,2025-02-17 11:37:53,0.0
16728,1612,-4216,5148,-2685,-4792,2025-02-17 11:37:53,0.0
16148,1392,-4120,4547,-2874,-4367,2025-02-17 11:37:53,0.0
16088,1676,-4060,4299,-1883,-3253,2025-02-17 11:37:53,0.0
16052,1684,-4080,3663,-110,-2078,2025-02-17 11:37:53,0.0
16908,1528,-3088,2823,1968,-1458,2025-02-17 11:37:53,0.0
17568,1808,-2392,2201,2564,-1156,2025-02-17 11:37:53,0.0
17760,2064,-2272,1439,2679,-617,2025-02-17 11:37:53,0.0
17816,2052,-2476,826,3410,-98,2025-02-17 11:37:53,0.0
17260,1676,-2428,471,4264,636,2025-02-17 11:37:53,0.0
17340,788,-2492,841,4990,1299,2025-02-17 11:37:53,0.0
17616,-40,-2312,740,4132,1336,2025-02-17 11:37:53,0.0
17980,-756,-1796,1058,2204,1146,2025-02-17 11:37:53,0.0
19700,-208,-1564,2206,-479,635,2025-02-17 11:37:54,0.0
20876,388,-1924,2877,-1179,278,2025-02-17 11:37:54,0.0
20968,296,-1368,3112,-46,318,2025-02-17 11:37:54,0.0
20880,1064,-340,3809,2033,987,2025-02-17 11:37:54,0.0
20744,1328,-2004,6010,718,1130,2025-02-17 11:37:54,0.0
18900,3088,-10216,7167,-1682,3115,2025-02-17 11:37:54,0.0
19628,5704,-13252,5072,-3572,2963,2025-02-17 11:37:54,0.0
16764,8368,-9888,5551,-5133,3138,2025-02-17 11:37:54,0.0
13528,5084,-10044,5344,-8200,5588,2025-02-17 11:37:54,0.0
15524,-1216,-13440,1701,-14315,7657,2025-02-17 11:37:54,0.0
20316,-3584,-7932,-1097,-25108,7150,2025-02-17 11:37:54,0.0
22076,-3372,-8992,-1801,-32663,4178,2025-02-17 11:37:54,0.0
14952,-1940,-13912,-2038,-29483,5155,2025-02-17 11:37:54,0.0
14136,-4,-18540,-2163,-15714,7580,2025-02-17 11:37:54,0.0
14116,2148,-16592,-3765,-7205,8798,2025-02-17 11:37:54,0.0
14040,4668,-13108,-3645,-4903,9230,2025-02-17 11:37:54,0.0
13256,6376,-10544,-3731,-5314,10820,2025-02-17 11:37:54,0.0
11100,7352,-6728,-2513,-9171,13686,2025-02-17 11:37:54,0.0
6432,4244,-6348,-497,-13416,17245,2025-02-17 11:37:54,0.0
4712,-476,-4384,1425,-8472,20719,2025-02-17 11:37:54,0.0
9136,-1440,-7928,3326,-4009,21358,2025-02-17 11:37:54,0.0
9880,-676,-13844,3035,2103,20286,2025-02-17 11:37:54,0.0
10180,1656,-10036,6451,4389,19840,2025-02-17 11:37:54,0.0
7456,-1056,-14264,10580,-1099,19249,2025-02-17 11:37:54,0.0
4208,-2904,-14976,10789,-1725,20312,2025-02-17 11:37:54,0.0
