acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-12648,396,-4484,-24,47,-66,2025-02-17 10:25:28,0.0
-12408,424,-4716,-49,176,-114,2025-02-17 10:25:28,0.0
-12616,416,-4848,-43,327,-166,2025-02-17 10:25:28,0.0
-12592,344,-4928,-94,444,-24,2025-02-17 10:25:28,0.0
-12424,412,-4940,-174,456,-208,2025-02-17 10:25:28,0.0
-12764,328,-4664,-302,319,-144,2025-02-17 10:25:28,0.0
-12432,264,-4596,-142,197,-234,2025-02-17 10:25:28,0.0
-12620,308,-4744,-160,134,-309,2025-02-17 10:25:28,0.0
-12516,368,-4904,-202,230,-166,2025-02-17 10:25:28,0.0
-12408,464,-4964,-290,322,-241,2025-02-17 10:25:28,0.0
-12832,408,-4868,-437,295,-366,2025-02-17 10:25:28,0.0
-12740,356,-4476,-429,194,-218,2025-02-17 10:25:28,0.0
-12760,192,-4712,-306,150,-213,2025-02-17 10:25:28,0.0
-12636,272,-4636,-281,102,-188,2025-02-17 10:25:28,0.0
-12544,388,-4756,-200,130,-53,2025-02-17 10:25:28,0.0
-12380,464,-4944,-288,390,-180,2025-02-17 10:25:28,0.0
-12472,448,-4812,-424,550,-228,2025-02-17 10:25:28,0.0
-12508,436,-4728,-248,431,-303,2025-02-17 10:25:28,0.0
-12772,344,-5028,-238,261,-233,2025-02-17 10:25:28,0.0
-12516,364,-4856,-240,84,-167,2025-02-17 10:25:28,0.0
-12572,328,-4900,-223,16,-145,2025-02-17 10:25:28,0.0
-12392,392,-4812,-243,41,-242,2025-02-17 10:25:28,0.0
-12668,352,-4844,-227,129,-297,2025-02-17 10:25:28,0.0
-12524,260,-4800,-159,158,-309,2025-02-17 10:25:28,0.0
-12404,396,-4824,-150,195,-323,2025-02-17 10:25:28,0.0
-12568,284,-4588,-162,168,-246,2025-02-17 10:25:28,0.0
-12544,360,-4796,-96,206,-147,2025-02-17 10:25:28,0.0
-12652,396,-4924,-162,176,-128,2025-02-17 10:25:28,0.0
-12408,280,-4820,-170,131,-132,2025-02-17 10:25:28,0.0
-12444,348,-4828,-168,100,-161,2025-02-17 10:25:28,0.0
-12600,252,-4664,-142,18,-214,2025-02-17 10:25:28,0.0
-12576,256,-4660,-40,-19,-217,2025-02-17 10:25:28,0.0
-12624,448,-4692,-29,77,-223,2025-02-17 10:25:28,0.0
-12600,388,-4816,-81,120,-206,2025-02-17 10:25:28,0.0
-12704,364,-4768,-158,151,-183,2025-02-17 10:25:28,0.0
-12600,364,-4820,-164,93,-132,2025-02-17 10:25:28,0.0
-12648,344,-4828,-172,16,-197,2025-02-17 10:25:28,0.0
-12672,408,-4696,-155,4,-202,2025-02-17 10:25:28,0.0
-12544,452,-4748,-198,-32,-234,2025-02-17 10:25:29,0.0
-12584,360,-4872,-262,-45,-288,2025-02-17 10:25:29,0.0
-12456,248,-4876,-343,-2,-315,2025-02-17 10:25:29,0.0
-12424,212,-4628,-376,319,-321,2025-02-17 10:25:29,0.0
-12272,176,-4564,-249,638,-239,2025-02-17 10:25:29,0.0
-11728,128,-5220,-352,793,-416,2025-02-17 10:25:29,0.0
-12232,188,-4712,-573,550,-683,2025-02-17 10:25:29,0.0
-12456,268,-4408,-566,573,-839,2025-02-17 10:25:29,0.0
-12520,180,-4824,-484,1036,-865,2025-02-17 10:25:29,0.0
-12496,68,-4944,-478,1663,-786,2025-02-17 10:25:29,0.0
-12632,8,-5136,-611,2284,-775,2025-02-17 10:25:29,0.0
