acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-11048,508,11280,-117,-126,47,2025-02-17 10:55:49,0.0
-10756,520,11352,-167,-71,16,2025-02-17 10:55:49,0.0
-10688,508,11276,-215,53,-47,2025-02-17 10:55:49,0.0
-10788,428,11236,-210,122,-156,2025-02-17 10:55:49,0.0
-10880,360,11528,-191,143,-199,2025-02-17 10:55:49,0.0
-10824,388,11220,-144,76,-197,2025-02-17 10:55:49,0.0
-10884,420,11332,-159,75,-137,2025-02-17 10:55:49,0.0
-10820,388,11248,-131,157,-168,2025-02-17 10:55:49,0.0
-10652,464,11524,-166,283,-198,2025-02-17 10:55:49,0.0
-10812,576,11364,-157,409,-236,2025-02-17 10:55:49,0.0
-11024,584,11376,-109,461,-238,2025-02-17 10:55:49,0.0
-11132,508,11156,-153,401,-170,2025-02-17 10:55:49,0.0
-11120,524,11176,-107,321,-131,2025-02-17 10:55:49,0.0
-10936,428,11156,-106,304,-193,2025-02-17 10:55:49,0.0
-10752,440,11204,-169,298,-237,2025-02-17 10:55:49,0.0
-10804,408,11260,-182,447,-227,2025-02-17 10:55:49,0.0
-10968,492,11232,-176,493,-206,2025-02-17 10:55:49,0.0
-11068,452,11164,-193,388,-205,2025-02-17 10:55:49,0.0
-11040,576,11120,-188,288,-198,2025-02-17 10:55:49,0.0
-11040,552,11216,-186,356,-168,2025-02-17 10:55:49,0.0
-11000,476,11076,-196,280,-147,2025-02-17 10:55:49,0.0
-10992,448,11092,-194,175,-148,2025-02-17 10:55:49,0.0
-10788,544,11168,-168,170,-129,2025-02-17 10:55:49,0.0
-10960,488,11148,-147,346,-162,2025-02-17 10:55:49,0.0
-11036,420,11148,-173,281,-181,2025-02-17 10:55:49,0.0
-11116,372,11288,-212,205,-182,2025-02-17 10:55:49,0.0
-11088,412,11108,-234,161,-171,2025-02-17 10:55:49,0.0
-11008,416,11324,-197,172,-133,2025-02-17 10:55:49,0.0
-11028,456,11224,-126,219,-112,2025-02-17 10:55:49,0.0
-10780,452,11040,-111,236,-109,2025-02-17 10:55:49,0.0
-10988,484,11196,-148,215,-136,2025-02-17 10:55:49,0.0
-10976,424,11088,-132,210,-169,2025-02-17 10:55:49,0.0
-11004,392,11180,-163,256,-162,2025-02-17 10:55:49,0.0
-11012,404,11216,-165,293,-152,2025-02-17 10:55:49,0.0
-11036,556,11160,-181,326,-185,2025-02-17 10:55:49,0.0
-11072,568,11220,-162,360,-156,2025-02-17 10:55:49,0.0
-11056,492,11180,-193,290,-147,2025-02-17 10:55:49,0.0
-10976,520,11260,-200,231,-155,2025-02-17 10:55:49,0.0
-10944,472,11124,-178,234,-160,2025-02-17 10:55:49,0.0
-10908,440,11168,-205,303,-183,2025-02-17 10:55:49,0.0
-11036,464,11284,-173,362,-221,2025-02-17 10:55:49,0.0
-11008,464,11116,-211,367,-196,2025-02-17 10:55:49,0.0
-11080,528,11240,-160,422,-211,2025-02-17 10:55:49,0.0
-11108,520,11028,-202,414,-148,2025-02-17 10:55:49,0.0
-11040,640,11048,-154,345,-138,2025-02-17 10:55:49,0.0
-11056,524,11112,-173,279,-164,2025-02-17 10:55:49,0.0
-10908,524,11056,-168,240,-180,2025-02-17 10:55:49,0.0
-11068,472,11204,-198,291,-144,2025-02-17 10:55:49,0.0
-11076,464,11164,-160,305,-134,2025-02-17 10:55:49,0.0
-10964,500,11192,-178,314,-151,2025-02-17 10:55:50,0.0
-11180,456,11060,-174,311,-158,2025-02-17 10:55:50,0.0
-10976,468,11108,-129,241,-126,2025-02-17 10:55:50,0.0
-10940,328,11124,-132,245,-148,2025-02-17 10:55:50,0.0
-10872,488,11084,-162,203,-174,2025-02-17 10:55:50,0.0
-10944,540,11352,-106,314,-211,2025-02-17 10:55:50,0.0
-11164,540,11032,-118,570,-168,2025-02-17 10:55:50,0.0
-11408,572,10956,-180,562,-68,2025-02-17 10:55:50,0.0
-11436,476,11112,-166,214,-67,2025-02-17 10:55:50,0.0
