acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-13276,-592,-2000,40,319,-811,2025-02-17 11:27:15,0.0
-13364,-520,-1836,73,452,-871,2025-02-17 11:27:15,0.0
-13516,-456,-2220,-133,510,-956,2025-02-17 11:27:15,0.0
-13312,-512,-1960,-130,440,-1060,2025-02-17 11:27:15,0.0
-13080,-768,-2136,19,228,-1324,2025-02-17 11:27:15,0.0
-13232,-700,-2340,-207,137,-1532,2025-02-17 11:27:15,0.0
-13088,-728,-2132,-459,339,-1737,2025-02-17 11:27:15,0.0
-13332,-772,-2280,-726,580,-1789,2025-02-17 11:27:15,0.0
-13484,-936,-1936,-759,808,-1687,2025-02-17 11:27:15,0.0
-13708,-1024,-2064,-704,941,-1424,2025-02-17 11:27:16,0.0
-13724,-1128,-2272,-696,1015,-993,2025-02-17 11:27:16,0.0
-13572,-1188,-2164,-645,1200,-554,2025-02-17 11:27:16,0.0
-13480,-1060,-2120,-625,1322,-444,2025-02-17 11:27:16,0.0
-13508,-984,-2208,-566,1279,-295,2025-02-17 11:27:16,0.0
-13452,-1012,-2044,-422,1227,-292,2025-02-17 11:27:16,0.0
-13532,-1072,-2200,-249,1038,-254,2025-02-17 11:27:16,0.0
-13696,-864,-2360,-354,700,-237,2025-02-17 11:27:16,0.0
-13752,-880,-2408,-537,339,-11,2025-02-17 11:27:16,0.0
-13308,-1024,-2260,-640,168,50,2025-02-17 11:27:16,0.0
-13088,-1052,-2420,-712,379,-42,2025-02-17 11:27:16,0.0
-13084,-864,-2324,-519,696,-76,2025-02-17 11:27:16,0.0
-13468,-824,-2448,-588,850,-35,2025-02-17 11:27:16,0.0
-13184,-928,-2584,-470,1311,101,2025-02-17 11:27:16,0.0
-12904,-1096,-2424,-308,1356,124,2025-02-17 11:27:16,0.0
-13228,-1076,-2360,216,1142,-76,2025-02-17 11:27:16,0.0
-13668,-1268,-1632,1188,795,-94,2025-02-17 11:27:16,0.0
-12988,-928,-1924,1830,148,58,2025-02-17 11:27:16,0.0
-12384,-640,-4144,1099,325,-162,2025-02-17 11:27:16,0.0
-12952,-404,-3680,-646,645,-511,2025-02-17 11:27:16,0.0
-12892,-920,-2276,-885,1047,-817,2025-02-17 11:27:16,0.0
-13220,-1100,-2416,-422,1261,-881,2025-02-17 11:27:16,0.0
-13480,-1132,-2556,111,1195,-724,2025-02-17 11:27:16,0.0
-13712,-1084,-2616,239,966,-480,2025-02-17 11:27:16,0.0
-13344,-1000,-2412,558,745,-410,2025-02-17 11:27:16,0.0
-13408,-924,-2748,661,611,-459,2025-02-17 11:27:16,0.0
-13256,-872,-2732,454,686,-460,2025-02-17 11:27:16,0.0
-13032,-1012,-2544,457,763,-533,2025-02-17 11:27:16,0.0
-13364,-1124,-2872,307,1001,-437,2025-02-17 11:27:16,0.0
-13184,-1116,-2880,264,1152,-313,2025-02-17 11:27:16,0.0
-13184,-1032,-2524,379,1133,-281,2025-02-17 11:27:16,0.0
-13412,-1208,-2748,316,1037,-222,2025-02-17 11:27:16,0.0
-13380,-1104,-2692,342,973,-133,2025-02-17 11:27:16,0.0
-13340,-976,-2836,187,1030,-29,2025-02-17 11:27:16,0.0
-13084,-816,-2704,78,1090,-67,2025-02-17 11:27:16,0.0
-12988,-828,-2864,-8,1029,-147,2025-02-17 11:27:16,0.0
-13008,-1036,-2652,-111,1098,-151,2025-02-17 11:27:16,0.0
-13156,-976,-2568,72,1241,-156,2025-02-17 11:27:16,0.0
-13468,-808,-2632,262,1070,-29,2025-02-17 11:27:16,0.0
-13688,-672,-2900,260,521,175,2025-02-17 11:27:16,0.0
-13228,-672,-2772,154,74,154,2025-02-17 11:27:16,0.0
-13180,-548,-3024,-30,177,168,2025-02-17 11:27:16,0.0
-12896,-612,-2864,-188,715,129,2025-02-17 11:27:16,0.0
-13044,-908,-2680,74,1002,-17,2025-02-17 11:27:16,0.0
-13360,-784,-2604,275,862,-7,2025-02-17 11:27:16,0.0
-13424,-524,-2660,281,455,-157,2025-02-17 11:27:16,0.0
-13296,-396,-2888,-51,95,-428,2025-02-17 11:27:16,0.0
-13428,-608,-2688,-249,-303,-619,2025-02-17 11:27:16,0.0
-13328,-828,-2528,-428,-496,-743,2025-02-17 11:27:16,0.0
-13376,-1072,-2608,-460,-333,-663,2025-02-17 11:27:16,0.0
-13492,-1024,-2564,-176,-183,-447,2025-02-17 11:27:16,0.0
-13548,-852,-2484,44,23,-430,2025-02-17 11:27:16,0.0
-14212,-832,-2068,392,516,-524,2025-02-17 11:27:16,0.0
-13972,-1320,-2676,748,337,-534,2025-02-17 11:27:16,0.0
-13256,-1644,-3736,666,-21,-429,2025-02-17 11:27:16,0.0
-12216,-1688,-3360,136,-137,-513,2025-02-17 11:27:16,0.0
-11480,-1960,-3924,-389,130,-504,2025-02-17 11:27:16,0.0
-11756,-1768,-3248,-705,794,131,2025-02-17 11:27:16,0.0
-12160,-2044,-2560,-180,2150,899,2025-02-17 11:27:16,0.0
-12868,-2344,-1664,876,3944,1038,2025-02-17 11:27:17,0.0
-14096,-1460,-3064,799,3805,718,2025-02-17 11:27:17,0.0
-14540,-904,-2044,792,2009,370,2025-02-17 11:27:17,0.0
-13556,-600,-1912,1007,-285,-614,2025-02-17 11:27:17,0.0
-13220,140,-1716,684,-693,-1572,2025-02-17 11:27:17,0.0
-12268,300,-2036,239,209,-2459,2025-02-17 11:27:17,0.0
-12180,-456,-2344,-207,1430,-3300,2025-02-17 11:27:17,0.0
-12772,-1928,-2212,-837,2364,-3665,2025-02-17 11:27:17,0.0
-13916,-2632,-980,-643,2029,-3026,2025-02-17 11:27:17,0.0
-14076,-2872,-1464,-326,977,-2123,2025-02-17 11:27:17,0.0
-14052,-3036,-1640,-635,219,-1837,2025-02-17 11:27:17,0.0
-13564,-2864,-2100,-1385,-525,-1492,2025-02-17 11:27:17,0.0
-12628,-2924,-2108,-1888,-566,-1376,2025-02-17 11:27:17,0.0
-11876,-2712,-1864,-2147,315,-1391,2025-02-17 11:27:17,0.0
-12200,-2816,-1264,-1875,1382,-1294,2025-02-17 11:27:17,0.0
-12808,-2620,-880,-1411,1983,-1007,2025-02-17 11:27:17,0.0
-13288,-2468,-1368,-1058,2165,-669,2025-02-17 11:27:17,0.0
-13944,-2268,-1368,-881,1661,-638,2025-02-17 11:27:17,0.0
-14140,-2268,-756,-566,909,-284,2025-02-17 11:27:17,0.0
-13488,-2096,-856,-398,65,-94,2025-02-17 11:27:17,0.0
-12932,-1808,-936,-314,-555,-284,2025-02-17 11:27:17,0.0
-12944,-1584,-952,-505,-657,-570,2025-02-17 11:27:17,0.0
-13156,-1280,-556,-789,-485,-936,2025-02-17 11:27:17,0.0
-13528,-1084,-696,-1147,-390,-1411,2025-02-17 11:27:17,0.0
