acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-10836,-440,-7984,-211,210,-176,2025-01-29 10:35:08,1
-10948,-508,-7980,-203,84,-238,2025-01-29 10:35:08,1
-10912,-616,-7916,-197,4,-195,2025-01-29 10:35:08,1
-10864,-684,-8000,-151,25,-170,2025-01-29 10:35:08,1
-10732,-656,-7800,-111,125,-108,2025-01-29 10:35:08,1
-10736,-612,-7820,-102,236,-107,2025-01-29 10:35:08,1
-10924,-360,-7888,-56,254,-134,2025-01-29 10:35:08,1
-10964,-436,-7964,-55,231,-159,2025-01-29 10:35:08,1
-10916,-432,-7992,-84,140,-146,2025-01-29 10:35:08,1
-11020,-636,-7904,-106,80,-142,2025-01-29 10:35:08,1
-11032,-524,-8112,-132,41,-145,2025-01-29 10:35:08,1
-10904,-396,-8044,-197,-9,-155,2025-01-29 10:35:08,1
-10772,-364,-7960,-299,-57,-185,2025-01-29 10:35:08,1
-10748,-376,-7876,-354,-4,-152,2025-01-29 10:35:08,1
-10796,-248,-7896,-453,128,-206,2025-01-29 10:35:08,1
-11008,-252,-7956,-478,162,-271,2025-01-29 10:35:08,1
-10968,-516,-7644,-492,88,-283,2025-01-29 10:35:08,1
-10928,-664,-7820,-450,102,-286,2025-01-29 10:35:08,1
-10888,-684,-7660,-348,155,-237,2025-01-29 10:35:08,1
-10896,-688,-7804,-259,236,-260,2025-01-29 10:35:08,1
-10808,-564,-7948,-202,286,-215,2025-01-29 10:35:08,1
-10800,-588,-7828,-217,321,-247,2025-01-29 10:35:08,1
-10864,-524,-7956,-239,349,-242,2025-01-29 10:35:08,1
-10848,-604,-8000,-197,310,-224,2025-01-29 10:35:08,1
-10864,-520,-8088,-181,349,-223,2025-01-29 10:35:08,1
-11004,-584,-8076,-170,282,-212,2025-01-29 10:35:08,1
-11024,-656,-7956,-125,149,-186,2025-01-29 10:35:08,1
-10900,-608,-8028,-130,48,-173,2025-01-29 10:35:08,1
-10860,-624,-8152,-136,8,-198,2025-01-29 10:35:08,1
-10768,-688,-7900,-158,122,-170,2025-01-29 10:35:08,1
-10780,-592,-7764,-109,263,-148,2025-01-29 10:35:08,1
-10792,-536,-8016,-120,269,-161,2025-01-29 10:35:08,1
-10900,-660,-8048,-145,200,-136,2025-01-29 10:35:08,1
-10980,-440,-7976,-145,110,-59,2025-01-29 10:35:08,1
-10832,-456,-7964,-157,173,-140,2025-01-29 10:35:08,1
-10864,-384,-7936,-180,254,-161,2025-01-29 10:35:08,1
-10936,-484,-7980,-179,251,-133,2025-01-29 10:35:08,1
-10936,-484,-8068,-170,194,-130,2025-01-29 10:35:08,1
-10936,-492,-8132,-180,211,-163,2025-01-29 10:35:08,1
-10960,-492,-7868,-172,198,-160,2025-01-29 10:35:08,1
-10900,-476,-8024,-161,92,-152,2025-01-29 10:35:08,1
-10868,-540,-7924,-122,-39,-95,2025-01-29 10:35:08,1
-10784,-468,-8000,-50,72,-122,2025-01-29 10:35:08,1
-10752,-500,-7964,-57,163,-127,2025-01-29 10:35:08,1
-10860,-496,-7968,-17,312,-114,2025-01-29 10:35:08,1
-10964,-508,-7876,-29,333,-106,2025-01-29 10:35:08,1
-10952,-384,-7876,-12,271,-73,2025-01-29 10:35:08,1
-10888,-324,-7836,-64,170,-98,2025-01-29 10:35:08,1
-10928,-392,-8096,-99,124,-116,2025-01-29 10:35:08,1
-10768,-396,-8032,-104,186,-116,2025-01-29 10:35:08,1
-10980,-544,-7868,-124,172,-91,2025-01-29 10:35:08,1
-10840,-556,-7892,-102,166,-87,2025-01-29 10:35:08,1
-10852,-408,-8012,-110,158,-132,2025-01-29 10:35:08,1
-10752,-376,-7972,-144,125,-130,2025-01-29 10:35:08,1
