acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-11408,-1096,-7404,-5,310,-122,2025-01-29 10:42:31,1
-11352,-1084,-7472,27,129,-36,2025-01-29 10:42:31,1
-11240,-980,-7392,-1,-14,-71,2025-01-29 10:42:31,1
-11064,-880,-7460,-42,11,-121,2025-01-29 10:42:31,1
-11020,-752,-7532,-32,181,-160,2025-01-29 10:42:32,1
-11144,-708,-7464,-84,286,-194,2025-01-29 10:42:32,1
-11104,-700,-7416,-68,352,-182,2025-01-29 10:42:32,1
-11256,-788,-7528,-159,309,-156,2025-01-29 10:42:32,1
-11296,-904,-7484,-164,262,-171,2025-01-29 10:42:32,1
-11328,-1028,-7544,-142,180,-172,2025-01-29 10:42:32,1
-11216,-976,-7576,-118,121,-128,2025-01-29 10:42:32,1
-11160,-772,-7556,-122,68,-123,2025-01-29 10:42:32,1
-11060,-688,-7676,-154,95,-144,2025-01-29 10:42:32,1
-10992,-728,-7620,-203,147,-175,2025-01-29 10:42:32,1
-11100,-788,-7552,-194,266,-183,2025-01-29 10:42:32,1
-11224,-856,-7380,-221,294,-201,2025-01-29 10:42:32,1
-11260,-972,-7308,-219,285,-179,2025-01-29 10:42:32,1
-11164,-984,-7724,-155,185,-142,2025-01-29 10:42:32,1
-11068,-1032,-7516,-160,190,-139,2025-01-29 10:42:32,1
-11112,-1044,-7508,-140,265,-143,2025-01-29 10:42:32,1
-11000,-896,-7364,-129,343,-167,2025-01-29 10:42:32,1
-11048,-904,-7508,-115,418,-211,2025-01-29 10:42:32,1
-11056,-620,-7568,-107,427,-231,2025-01-29 10:42:32,1
-11084,-760,-7480,-141,249,-292,2025-01-29 10:42:32,1
-11008,-844,-7816,-36,-25,-336,2025-01-29 10:42:32,1
-10868,-1136,-7500,-23,-20,-496,2025-01-29 10:42:32,1
-10668,-1396,-7364,86,288,-613,2025-01-29 10:42:32,1
-10808,-1396,-7336,96,780,-733,2025-01-29 10:42:32,1
-11048,-1128,-7568,235,944,-670,2025-01-29 10:42:32,1
-11164,-1156,-7828,197,1120,-686,2025-01-29 10:42:32,1
-11340,-1112,-7808,213,1281,-818,2025-01-29 10:42:32,1
-12016,-1132,-7816,175,1041,-825,2025-01-29 10:42:32,1
-12388,-908,-8044,-64,378,-686,2025-01-29 10:42:32,1
-12508,-500,-7904,-520,-832,-474,2025-01-29 10:42:32,1
-12044,-688,-7564,-906,-1983,-255,2025-01-29 10:42:32,1
-11388,-828,-7244,-1286,-2381,-189,2025-01-29 10:42:32,1
-10704,-820,-7112,-1599,-1867,-309,2025-01-29 10:42:32,1
-10672,-1088,-6540,-1812,-1004,-482,2025-01-29 10:42:32,1
-11016,-1220,-6324,-1760,-329,-543,2025-01-29 10:42:32,1
-11292,-1236,-6324,-1799,13,-493,2025-01-29 10:42:32,1
-11796,-1548,-6404,-1832,-69,-548,2025-01-29 10:42:32,1
-12128,-1732,-6444,-1776,-321,-482,2025-01-29 10:42:32,1
-12028,-1916,-6604,-1693,-611,-289,2025-01-29 10:42:32,1
-11784,-1796,-6508,-1651,-820,-117,2025-01-29 10:42:32,1
