acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-12488,-556,-5104,-263,156,-200,2025-01-29 11:52:18,1
-12376,-604,-5144,-259,123,-193,2025-01-29 11:52:18,1
-12380,-568,-5228,-259,134,-187,2025-01-29 11:52:18,1
-12400,-600,-5144,-233,138,-216,2025-01-29 11:52:18,1
-12444,-608,-5136,-211,165,-190,2025-01-29 11:52:18,1
-12424,-644,-5156,-203,156,-187,2025-01-29 11:52:18,1
-12492,-640,-5124,-218,165,-190,2025-01-29 11:52:18,1
-12356,-624,-5216,-257,183,-204,2025-01-29 11:52:18,1
-12300,-524,-5360,-276,196,-227,2025-01-29 11:52:18,1
-12336,-540,-4996,-287,183,-216,2025-01-29 11:52:18,1
-12456,-592,-5244,-295,157,-229,2025-01-29 11:52:18,1
-12388,-544,-5120,-326,212,-258,2025-01-29 11:52:18,1
-12344,-608,-4968,-315,317,-231,2025-01-29 11:52:19,1
-12428,-640,-5100,-275,176,-252,2025-01-29 11:52:19,1
-12316,-808,-5232,-270,109,-221,2025-01-29 11:52:19,1
-12304,-796,-5140,-192,195,-212,2025-01-29 11:52:19,1
-12396,-740,-5144,-141,242,-176,2025-01-29 11:52:19,1
-12508,-692,-5052,-92,264,-160,2025-01-29 11:52:19,1
-12612,-468,-5040,-64,225,-140,2025-01-29 11:52:19,1
-12440,-612,-5092,-80,161,-134,2025-01-29 11:52:19,1
-12476,-504,-5192,-58,128,-130,2025-01-29 11:52:19,1
-12452,-584,-5228,-58,168,-105,2025-01-29 11:52:19,1
-12468,-544,-5216,-78,108,-126,2025-01-29 11:52:19,1
-12420,-492,-5184,-102,22,-134,2025-01-29 11:52:19,1
-12324,-492,-5116,-167,63,-149,2025-01-29 11:52:19,1
-12392,-560,-5104,-150,113,-153,2025-01-29 11:52:19,1
-12232,-524,-5040,-175,165,-174,2025-01-29 11:52:19,1
-12292,-420,-5092,-200,222,-210,2025-01-29 11:52:19,1
-12312,-592,-5048,-210,310,-211,2025-01-29 11:52:19,1
-12432,-648,-5064,-171,317,-176,2025-01-29 11:52:19,1
-12284,-696,-5088,-132,295,-181,2025-01-29 11:52:19,1
-12476,-700,-5156,-117,301,-183,2025-01-29 11:52:19,1
-12420,-568,-5112,-110,307,-208,2025-01-29 11:52:19,1
-12464,-592,-5164,-132,348,-217,2025-01-29 11:52:19,1
-12452,-712,-4996,-71,318,-230,2025-01-29 11:52:19,1
-12604,-664,-5048,-90,266,-207,2025-01-29 11:52:19,1
-12440,-632,-5116,-72,219,-207,2025-01-29 11:52:19,1
-12548,-608,-5064,-84,194,-204,2025-01-29 11:52:19,1
-12592,-632,-5040,-132,209,-212,2025-01-29 11:52:19,1
-12440,-580,-5160,-121,235,-217,2025-01-29 11:52:19,1
-12492,-668,-4968,-210,260,-188,2025-01-29 11:52:19,1
-12480,-608,-5248,-216,277,-166,2025-01-29 11:52:19,1
-12476,-636,-5148,-258,209,-174,2025-01-29 11:52:19,1
-12396,-568,-5168,-268,208,-211,2025-01-29 11:52:19,1
-12384,-576,-5096,-262,162,-154,2025-01-29 11:52:19,1
-12312,-636,-5136,-291,218,-168,2025-01-29 11:52:19,1
-12392,-652,-4960,-242,253,-140,2025-01-29 11:52:19,1
-12460,-616,-5048,-244,322,-114,2025-01-29 11:52:19,1
-12536,-752,-5172,-249,367,-105,2025-01-29 11:52:19,1
-12548,-776,-5088,-186,323,-77,2025-01-29 11:52:19,1
-12496,-640,-5128,-194,240,-92,2025-01-29 11:52:19,1
-12444,-556,-5148,-172,161,-56,2025-01-29 11:52:19,1
-12460,-572,-5112,-132,163,-81,2025-01-29 11:52:19,1
-12360,-536,-5128,-90,187,-75,2025-01-29 11:52:19,1
-12380,-508,-5128,-30,190,-64,2025-01-29 11:52:19,1
-12352,-608,-5200,-50,259,-96,2025-01-29 11:52:19,1
-12380,-680,-5292,14,316,-119,2025-01-29 11:52:19,1
-12388,-764,-5116,69,334,-90,2025-01-29 11:52:19,1
-12344,-604,-5244,165,307,-61,2025-01-29 11:52:19,1
-12408,-680,-5216,142,306,-74,2025-01-29 11:52:19,1
-12292,-572,-5220,192,312,-22,2025-01-29 11:52:19,1
-12272,-580,-5244,172,407,-8,2025-01-29 11:52:19,1
-12296,-740,-5248,200,499,-26,2025-01-29 11:52:19,1
-12444,-680,-5020,266,468,14,2025-01-29 11:52:19,1
-12528,-696,-5096,315,463,32,2025-01-29 11:52:19,1
-12528,-440,-5244,277,428,77,2025-01-29 11:52:19,1
-12616,-328,-4944,291,449,130,2025-01-29 11:52:19,1
-12660,-248,-5256,270,446,169,2025-01-29 11:52:19,1
-12592,-344,-5656,223,314,284,2025-01-29 11:52:19,1
-12856,-368,-5792,158,178,293,2025-01-29 11:52:19,1
-12972,-332,-5484,149,-2,305,2025-01-29 11:52:19,1
-12924,-376,-4928,260,-336,302,2025-01-29 11:52:19,1
-12708,-264,-4608,513,-1104,159,2025-01-29 11:52:20,1
-12168,-180,-4640,791,-1679,-31,2025-01-29 11:52:20,1
-12280,-156,-4568,1184,-1694,-84,2025-01-29 11:52:20,1
-12760,76,-4240,1450,-922,131,2025-01-29 11:52:20,1
-13072,652,-4040,1524,-306,474,2025-01-29 11:52:20,1
-13420,1268,-3992,1493,-426,670,2025-01-29 11:52:20,1
-13832,1524,-4036,1205,-955,910,2025-01-29 11:52:20,1
-12964,1272,-3340,1372,-1628,821,2025-01-29 11:52:20,1
-12240,1000,-2276,2038,-2397,385,2025-01-29 11:52:20,1
-11808,36,-2360,2990,-2825,-15,2025-01-29 11:52:20,1
-11684,-1288,-2520,4039,-2269,-52,2025-01-29 11:52:20,1
