acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-13912,212,3152,-565,306,-126,2025-02-06 17:23:42,1
-13796,276,3232,-523,315,-104,2025-02-06 17:23:42,1
-13872,156,2988,-560,285,-58,2025-02-06 17:23:42,1
-13768,168,3152,-590,258,-53,2025-02-06 17:23:42,1
-13780,244,3168,-570,382,-40,2025-02-06 17:23:42,1
-13944,196,2992,-683,427,-66,2025-02-06 17:23:42,1
-14008,176,3148,-859,338,-57,2025-02-06 17:23:42,1
-13952,292,3360,-926,233,7,2025-02-06 17:23:42,1
-13900,228,3224,-873,151,47,2025-02-06 17:23:42,1
-13764,76,3180,-892,135,16,2025-02-06 17:23:42,1
-13792,164,3436,-773,28,-32,2025-02-06 17:23:42,1
-13656,316,3652,-491,-173,-83,2025-02-06 17:23:42,1
-13448,256,3436,-206,-258,-232,2025-02-06 17:23:42,1
-13280,312,3200,45,-147,-423,2025-02-06 17:23:42,1
-13288,112,3016,235,41,-638,2025-02-06 17:23:42,1
-13512,164,2816,166,63,-847,2025-02-06 17:23:42,1
-13772,304,2712,34,0,-999,2025-02-06 17:23:42,1
-13808,196,2440,-178,-163,-1001,2025-02-06 17:23:42,1
-13560,236,2320,-566,-28,-794,2025-02-06 17:23:42,1
-13328,184,2268,-813,560,-490,2025-02-06 17:23:42,1
-13500,60,2304,-934,1429,-79,2025-02-06 17:23:42,1
-13708,100,3300,-863,1871,358,2025-02-06 17:23:42,1
-13908,-80,3440,-829,2072,658,2025-02-06 17:23:42,1
-14208,120,3548,-855,2117,652,2025-02-06 17:23:42,1
-14512,32,3732,-899,1773,405,2025-02-06 17:23:42,1
-13964,196,3680,-859,969,-140,2025-02-06 17:23:42,1
-14152,516,4408,-601,-449,-752,2025-02-06 17:23:42,1
-14244,476,2432,-812,-798,-955,2025-02-06 17:23:42,1
-14036,224,2680,-881,-680,-674,2025-02-06 17:23:42,1
-13160,508,3092,-650,-366,-447,2025-02-06 17:23:42,1
-12952,688,2688,-147,-17,-617,2025-02-06 17:23:42,1
-13980,616,1408,-250,691,-88,2025-02-06 17:23:42,1
-13992,1124,2148,-262,1351,222,2025-02-06 17:23:42,1
-14004,1256,1924,-504,1444,633,2025-02-06 17:23:42,1
-13984,1592,2180,-917,1316,774,2025-02-06 17:23:42,1
-14216,1796,2248,-1364,1592,884,2025-02-06 17:23:42,1
-13792,2148,2576,-1789,1657,939,2025-02-06 17:23:42,1
-13836,2428,2892,-2017,1385,1018,2025-02-06 17:23:42,1
-13568,2532,3032,-2119,1120,1009,2025-02-06 17:23:42,1
-13452,2572,2612,-2302,884,973,2025-02-06 17:23:42,1
-13500,2488,2804,-2614,665,777,2025-02-06 17:23:42,1
-13640,2272,2924,-3088,584,694,2025-02-06 17:23:42,1
-13744,2200,2864,-3474,504,704,2025-02-06 17:23:42,1
-13980,1940,2636,-3927,473,774,2025-02-06 17:23:42,1
-13808,1912,2364,-4459,365,832,2025-02-06 17:23:42,1
-13480,1920,2168,-4955,356,806,2025-02-06 17:23:42,1
-13348,1980,2248,-5300,317,727,2025-02-06 17:23:42,1
-13864,2072,1952,-5475,-90,718,2025-02-06 17:23:42,1
-13732,1500,2304,-5661,-439,682,2025-02-06 17:23:43,1
-13624,1612,2248,-5681,-449,568,2025-02-06 17:23:43,1
-13468,1436,2072,-5454,-86,326,2025-02-06 17:23:43,1
-13128,1496,2240,-5102,364,97,2025-02-06 17:23:43,1
-11180,32,3924,-4456,394,-487,2025-02-06 17:23:43,1
-14876,952,2300,-4131,843,-438,2025-02-06 17:23:43,1
-14380,348,2444,-3423,1764,-650,2025-02-06 17:23:43,1
-14308,544,2616,-3240,2198,-593,2025-02-06 17:23:43,1
-14164,484,2612,-2702,2462,-796,2025-02-06 17:23:43,1
-13988,236,2576,-2249,2238,-867,2025-02-06 17:23:43,1
-13820,-244,2236,-2041,2054,-1027,2025-02-06 17:23:43,1
-13860,-844,1952,-2080,2136,-1047,2025-02-06 17:23:43,1
-14008,-952,2812,-2066,2177,-957,2025-02-06 17:23:43,1
-13848,-1612,3380,-1599,-889,-2237,2025-02-06 17:23:43,1
-13260,-1524,3768,-1750,-1128,-2168,2025-02-06 17:23:43,1
-12492,-1572,2796,-1887,-881,-1949,2025-02-06 17:23:43,1
-11892,-952,3068,-2132,-1389,-1958,2025-02-06 17:23:43,1
-11556,-672,3180,-2510,-1299,-2105,2025-02-06 17:23:43,1
-11536,-616,3024,-2698,-1148,-1972,2025-02-06 17:23:43,1
-10436,-1268,4052,-2120,613,-2724,2025-02-06 17:23:43,1
-11384,-792,2632,-2246,2144,-2895,2025-02-06 17:23:43,1
-12520,-388,3640,-2434,2648,-2743,2025-02-06 17:23:43,1
-14008,-188,4588,-1923,2798,-2371,2025-02-06 17:23:43,1
-14252,-300,3652,-1816,3236,-1771,2025-02-06 17:23:43,1
-15380,-532,2708,-2682,2832,-917,2025-02-06 17:23:43,1
-15076,-1284,3052,-3496,2215,-280,2025-02-06 17:23:43,1
-14388,-1448,3724,-3972,2295,266,2025-02-06 17:23:43,1
-14004,-1916,3892,-4042,1998,436,2025-02-06 17:23:43,1
-14124,-1672,3700,-4254,1121,710,2025-02-06 17:23:43,1
-13780,-1400,4620,-4070,320,705,2025-02-06 17:23:43,1
-13524,-1416,4640,-3981,-66,565,2025-02-06 17:23:43,1
-13872,-1160,4400,-3951,-290,510,2025-02-06 17:23:43,1
-13644,-1004,3984,-3712,-1189,473,2025-02-06 17:23:43,1
-13784,-1436,5096,-3877,1412,367,2025-02-06 17:23:43,1
-15240,-892,6468,-2094,2356,746,2025-02-06 17:23:43,1
-14664,-376,5224,-833,2799,1523,2025-02-06 17:23:43,1
-13604,-540,5764,-753,2124,1625,2025-02-06 17:23:43,1
-14136,192,7404,-573,-972,1395,2025-02-06 17:23:43,1
-14604,-804,4544,-1050,-4369,957,2025-02-06 17:23:43,1
-16340,-1156,4752,-2472,-3920,573,2025-02-06 17:23:43,1
-17200,-1208,3872,-2474,-3812,788,2025-02-06 17:23:43,1
-17776,-748,2908,-2519,-2239,1072,2025-02-06 17:23:43,1
-17760,-796,1692,-3008,-975,945,2025-02-06 17:23:43,1
-18668,-1340,1480,-4105,-950,1044,2025-02-06 17:23:43,1
-18664,-1448,1452,-4957,-1444,1166,2025-02-06 17:23:43,1
-18124,-1200,2368,-5287,-3372,2059,2025-02-06 17:23:43,1
-17556,-380,1388,-4726,-4602,3144,2025-02-06 17:23:43,1
-16324,320,-916,-4374,-4128,3553,2025-02-06 17:23:43,1
-14788,844,-2100,-4368,-3112,3443,2025-02-06 17:23:43,1
-13376,1220,-2280,-4294,-1945,3206,2025-02-06 17:23:43,1
-12192,1588,-1668,-4116,-1146,3004,2025-02-06 17:23:43,1
-11044,1808,-1064,-4071,48,2718,2025-02-06 17:23:43,1
-9644,1948,-804,-4057,965,2243,2025-02-06 17:23:43,1
-10364,2052,552,-4057,1957,1756,2025-02-06 17:23:44,1
-10944,1796,1300,-4019,3373,1351,2025-02-06 17:23:44,1
-11592,1860,1488,-3977,4372,1090,2025-02-06 17:23:44,1
-12320,432,884,-4024,4168,283,2025-02-06 17:23:44,1
-13704,928,16,-5019,3608,774,2025-02-06 17:23:44,1
-12632,576,-56,-6119,2705,486,2025-02-06 17:23:44,1
-11976,488,1140,-7011,2045,26,2025-02-06 17:23:44,1
-12112,656,2552,-7178,1487,-483,2025-02-06 17:23:44,1
-11332,724,3496,-6751,496,-999,2025-02-06 17:23:44,1
-11356,884,3756,-5754,-600,-1513,2025-02-06 17:23:44,1
-11536,952,3504,-4536,-1189,-1899,2025-02-06 17:23:44,1
-11536,880,3208,-3285,-1182,-1985,2025-02-06 17:23:44,1
-11256,720,2920,-2109,-653,-1930,2025-02-06 17:23:44,1
-11528,736,3000,-911,-533,-1947,2025-02-06 17:23:44,1
-12280,804,2816,110,-305,-1810,2025-02-06 17:23:44,1
-14272,1176,2924,918,1214,-1434,2025-02-06 17:23:44,1
-14548,1232,3256,1390,2980,-1087,2025-02-06 17:23:44,1
-14272,1444,4036,1809,3636,-893,2025-02-06 17:23:44,1
-14088,1476,4912,2173,2320,-695,2025-02-06 17:23:44,1
-13732,1660,5032,2065,655,-683,2025-02-06 17:23:44,1
-13136,1468,4756,1589,-481,-919,2025-02-06 17:23:44,1
-12152,1352,4536,978,-1434,-1495,2025-02-06 17:23:44,1
-11600,1304,3644,486,-1271,-1920,2025-02-06 17:23:44,1
-10884,1112,1812,-186,-319,-2491,2025-02-06 17:23:44,1
-10452,1188,400,-857,780,-3244,2025-02-06 17:23:44,1
-9916,1268,140,-1183,1388,-4162,2025-02-06 17:23:44,1
-12576,1824,2652,-577,3720,-4497,2025-02-06 17:23:44,1
-16776,2396,5900,1408,7867,-3577,2025-02-06 17:23:44,1
-19512,1608,7316,3265,8259,-2046,2025-02-06 17:23:44,1
-22184,596,7832,4538,5404,572,2025-02-06 17:23:44,1
-21896,-892,7560,4583,45,1502,2025-02-06 17:23:44,1
-20360,-588,7544,3979,-5865,1693,2025-02-06 17:23:44,1
-19944,-488,7076,3866,-8752,1462,2025-02-06 17:23:44,1
-18236,-416,6124,4384,-8325,763,2025-02-06 17:23:44,1
-16524,684,2820,5078,-4945,-524,2025-02-06 17:23:44,1
-16388,1844,980,5057,-2166,-1904,2025-02-06 17:23:44,1
-16996,1628,612,5185,327,-2576,2025-02-06 17:23:44,1
-17304,1100,-856,5763,5026,-2218,2025-02-06 17:23:44,1
-13556,1040,-2328,5990,4296,-2085,2025-02-06 17:23:44,1
-13404,816,-4356,5070,-1777,-1884,2025-02-06 17:23:44,1
-12480,328,-5404,3913,-4699,-1494,2025-02-06 17:23:44,1
-11588,104,-4332,2913,-6535,-900,2025-02-06 17:23:44,1
-11320,-1112,-3032,2454,-7040,61,2025-02-06 17:23:44,1
-10864,-1572,-3744,1694,-4414,1098,2025-02-06 17:23:44,1
-9816,-2588,-4048,892,-2272,1653,2025-02-06 17:23:44,1
-9696,-3156,-3612,-427,644,1869,2025-02-06 17:23:44,1
-10384,-2920,-2308,-1045,3780,1627,2025-02-06 17:23:44,1
-10692,-1996,748,-487,6044,1106,2025-02-06 17:23:44,1
-12416,-696,3072,170,6061,255,2025-02-06 17:23:44,1
-13564,136,3876,1838,5386,184,2025-02-06 17:23:44,1
-15576,-8,4684,4277,5083,367,2025-02-06 17:23:44,1
-16240,-616,2992,5528,5076,567,2025-02-06 17:23:44,1
-16464,-1216,1848,5981,4637,570,2025-02-06 17:23:44,1
-16840,-1392,2092,5949,3203,1212,2025-02-06 17:23:44,1
-16256,-1780,3096,6076,857,2003,2025-02-06 17:23:44,1
-15196,-1412,2832,5969,-418,3075,2025-02-06 17:23:44,1
-12268,-1120,2816,5386,-1799,3646,2025-02-06 17:23:44,1
-10404,-1160,1252,4234,-2194,3495,2025-02-06 17:23:44,1
-9632,-1076,208,2587,-1081,2697,2025-02-06 17:23:44,1
-9888,-1100,-156,1149,310,1761,2025-02-06 17:23:44,1
-10640,-1248,556,-532,1690,603,2025-02-06 17:23:44,1
-11392,-1172,996,-1790,2451,-254,2025-02-06 17:23:45,1
-12300,-840,2016,-2808,2241,-764,2025-02-06 17:23:45,1
-13016,-488,2844,-3565,1317,-921,2025-02-06 17:23:45,1
-13280,-176,4112,-3811,219,-823,2025-02-06 17:23:45,1
-13376,292,4876,-3511,-446,-603,2025-02-06 17:23:45,1
-13104,640,5568,-2711,-1422,-78,2025-02-06 17:23:45,1
-13360,1120,4296,-1755,-1493,297,2025-02-06 17:23:45,1
-12256,808,3080,-801,-949,478,2025-02-06 17:23:45,1
-11928,560,1420,-263,-435,883,2025-02-06 17:23:45,1
-11860,-468,572,-678,268,1213,2025-02-06 17:23:45,1
-12884,-1068,880,-1934,1714,1072,2025-02-06 17:23:45,1
-14500,-1204,2772,-3243,3149,696,2025-02-06 17:23:45,1
-16344,-872,4456,-4457,3614,-228,2025-02-06 17:23:45,1
-17900,-396,6460,-4841,2300,-967,2025-02-06 17:23:45,1
-18140,336,5948,-4935,299,-1148,2025-02-06 17:23:45,1
-17788,1472,6684,-5251,-2704,-836,2025-02-06 17:23:45,1
-10964,1464,-772,-3669,-2905,-666,2025-02-06 17:23:45,1
-9684,2092,-116,-2584,-1874,-574,2025-02-06 17:23:45,1
-9708,2752,-204,-1928,-141,-536,2025-02-06 17:23:45,1
-10276,4080,392,-1269,1535,-400,2025-02-06 17:23:45,1
-10084,2568,1252,-1098,3116,-604,2025-02-06 17:23:45,1
-11708,1288,1940,-774,3530,-549,2025-02-06 17:23:45,1
-12244,1000,2356,-805,3526,303,2025-02-06 17:23:45,1
-13184,100,1592,-1091,3189,783,2025-02-06 17:23:45,1
-12908,-8,120,-1884,2906,1117,2025-02-06 17:23:45,7
-13792,-328,-588,-2993,2835,1224,2025-02-06 17:23:45,7
-12944,-584,-848,-4445,2872,800,2025-02-06 17:23:45,7
-12296,-352,180,-5605,2762,-78,2025-02-06 17:23:45,7
-13240,-308,2188,-6177,2365,-1177,2025-02-06 17:23:45,7
-13636,92,4344,-5362,1422,-1632,2025-02-06 17:23:45,7
-13616,364,4884,-3813,940,-1552,2025-02-06 17:23:45,7
-13456,620,5448,-1895,1058,-1451,2025-02-06 17:23:45,7
-13112,928,5024,70,1344,-1314,2025-02-06 17:23:45,7
-12740,1004,4292,1730,1388,-928,2025-02-06 17:23:45,7
-11908,868,4128,3083,1056,-642,2025-02-06 17:23:45,7
-11804,884,4476,4239,101,-416,2025-02-06 17:23:45,7
-11556,696,4772,5377,-661,-306,2025-02-06 17:23:45,7
-11740,420,4728,6216,-1051,-209,2025-02-06 17:23:45,7
-12032,428,4388,6529,-1128,-102,2025-02-06 17:23:45,7
-11780,300,2868,6187,-1191,-161,2025-02-06 17:23:45,7
-12032,388,972,5483,234,-260,2025-02-06 17:23:45,7
-11284,620,360,5252,2051,-843,2025-02-06 17:23:45,7
-12520,1648,536,5504,2563,-1230,2025-02-06 17:23:46,7
-14904,2188,2016,6172,3306,-1397,2025-02-06 17:23:47,7
-15844,2132,3584,6750,3805,-1373,2025-02-06 17:23:47,7
-19272,1976,5332,7219,4110,-784,2025-02-06 17:23:47,7
-19964,692,6056,7330,2961,88,2025-02-06 17:23:47,7
-20100,-308,7280,7420,1158,951,2025-02-06 17:23:47,7
-19124,-816,8292,8143,-1122,1757,2025-02-06 17:23:47,7
-17240,-1476,6656,8328,-4103,1860,2025-02-06 17:23:47,7
-17236,-2968,6252,8350,-6042,1582,2025-02-06 17:23:47,7
-17136,2804,732,4852,1005,-1094,2025-02-06 17:23:47,7
-15116,-724,476,13014,826,-843,2025-02-06 17:23:47,7
-14540,-680,776,13918,353,-1035,2025-02-06 17:23:47,7
-14296,-644,880,14791,-297,-1071,2025-02-06 17:23:47,7
-13544,-824,712,15567,-604,-1050,2025-02-06 17:23:47,7
-13416,-772,540,16233,-795,-941,2025-02-06 17:23:47,7
-13400,-784,528,16734,-1050,-644,2025-02-06 17:23:47,7
-13072,-1024,328,17084,-941,-308,2025-02-06 17:23:47,7
-12504,-1064,-372,17213,-560,7,2025-02-06 17:23:47,7
-12300,-1380,-332,17131,-210,258,2025-02-06 17:23:47,7
-12112,-1176,-948,16830,359,456,2025-02-06 17:23:47,7
-12428,-1180,-1364,16431,563,475,2025-02-06 17:23:47,7
-12444,-1340,-1856,15984,784,305,2025-02-06 17:23:47,7
-12548,-1388,-1420,15545,1469,-25,2025-02-06 17:23:47,7
-12996,-1768,-696,15485,2084,-164,2025-02-06 17:23:47,7
-13216,-1524,-500,15501,1810,-401,2025-02-06 17:23:47,7
-13104,-1776,-676,15517,1410,-759,2025-02-06 17:23:47,7
-13020,-2228,-164,15674,1251,-1160,2025-02-06 17:23:47,7
-13012,-2648,260,15777,1151,-1386,2025-02-06 17:23:47,7
-13024,-2696,460,15990,1214,-1622,2025-02-06 17:23:47,7
-13732,-2644,412,16253,1539,-1717,2025-02-06 17:23:47,7
-13872,-2524,-16,16516,2311,-1857,2025-02-06 17:23:48,7
-14536,-2244,316,16815,3162,-2004,2025-02-06 17:23:48,7
-15004,-1632,780,17176,3489,-2054,2025-02-06 17:23:48,7
-15992,-1040,1544,17748,2869,-1935,2025-02-06 17:23:48,7
-16404,-452,2188,18588,1608,-1663,2025-02-06 17:23:48,7
