acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-16028,256,-6116,-1356,1224,-2584,2025-02-03 17:40:17,0.0
-15696,-572,-4812,-2132,-2995,-3632,2025-02-03 17:40:17,0.0
-16504,-2932,-3100,-2999,-7273,-4359,2025-02-03 17:40:17,0.0
-15868,-5660,-2084,-3101,-9361,-4651,2025-02-03 17:40:17,0.0
-14288,-8080,-1396,-2894,-11091,-4366,2025-02-03 17:40:17,0.0
-12620,-9496,-236,-1715,-12489,-3430,2025-02-03 17:40:17,0.0
-10032,-9716,-784,287,-11966,-2630,2025-02-03 17:40:17,0.0
-8848,-8068,-1532,2048,-8882,-2074,2025-02-03 17:40:17,0.0
-9112,-5120,-2344,3762,-2102,-1860,2025-02-03 17:40:17,0.0
-10388,-4136,-3404,4610,4752,-1605,2025-02-03 17:40:17,0.0
-13544,-4576,-3912,4985,9391,-317,2025-02-03 17:40:17,0.0
-15240,-5496,-2596,5681,8554,1184,2025-02-03 17:40:17,0.0
-15584,-5920,-1308,6436,4196,2340,2025-02-03 17:40:17,0.0
-16152,-6000,-804,6769,814,2867,2025-02-03 17:40:17,0.0
-14488,-5716,-696,6452,-1411,2201,2025-02-03 17:40:17,0.0
-13356,-4864,-1500,5838,-3434,987,2025-02-03 17:40:17,0.0
-12496,-4332,-1492,4830,-4883,-244,2025-02-03 17:40:17,0.0
-12180,-3348,-1140,4179,-5256,-845,2025-02-03 17:40:17,0.0
-12800,-2232,496,3594,-3771,-388,2025-02-03 17:40:17,0.0
-13056,-2284,820,2778,-1636,496,2025-02-03 17:40:17,0.0
-12932,-3300,632,1174,567,1174,2025-02-03 17:40:17,0.0
-13296,-4164,284,-156,1838,735,2025-02-03 17:40:17,0.0
-14580,-3660,252,-886,2211,249,2025-02-03 17:40:17,0.0
-14756,-4144,360,-1305,1746,93,2025-02-03 17:40:17,0.0
-14568,-4564,116,-1911,693,144,2025-02-03 17:40:17,0.0
-14596,-4140,348,-2055,66,347,2025-02-03 17:40:17,0.0
-14264,-3144,-56,-1942,-500,957,2025-02-03 17:40:17,0.0
-13660,-2724,-404,-1859,-908,2073,2025-02-03 17:40:17,0.0
-12944,-2824,-772,-2107,-1269,2793,2025-02-03 17:40:17,0.0
-12268,-3324,-716,-2348,-1283,2727,2025-02-03 17:40:17,0.0
-12056,-3696,-512,-2404,-851,2156,2025-02-03 17:40:17,0.0
-12308,-3444,-272,-2306,-240,1427,2025-02-03 17:40:17,0.0
-12572,-3104,-84,-2364,337,1053,2025-02-03 17:40:17,0.0
-12236,-2244,-564,-2276,684,917,2025-02-03 17:40:17,0.0
-12156,-1628,-988,-2391,913,1133,2025-02-03 17:40:17,0.0
-12480,-1536,-828,-2730,999,1500,2025-02-03 17:40:17,0.0
-12904,-1628,-1100,-3137,1247,1756,2025-02-03 17:40:17,0.0
-13060,-1788,-1268,-3825,1658,1233,2025-02-03 17:40:17,0.0
-13324,-2692,-572,-4609,1605,-19,2025-02-03 17:40:17,0.0
-14052,-3600,364,-5006,588,-549,2025-02-03 17:40:17,0.0
-14128,-3352,816,-4912,-929,-54,2025-02-03 17:40:17,0.0
-13624,-3248,236,-4741,-2541,853,2025-02-03 17:40:17,0.0
-12480,-2996,-604,-4617,-2947,1243,2025-02-03 17:40:17,0.0
-12200,-2692,-1660,-4564,-1407,1303,2025-02-03 17:40:17,0.0
-12464,-3272,-1396,-4220,1071,1323,2025-02-03 17:40:17,0.0
-11556,-3348,-1588,-3504,2422,1029,2025-02-03 17:40:18,0.0
-10772,-3320,-2160,-3494,1953,540,2025-02-03 17:40:18,0.0
-10708,-2168,-2880,-3529,2141,-124,2025-02-03 17:40:18,0.0
-11748,44,-2536,-3379,3870,112,2025-02-03 17:40:18,0.0
-12812,1796,-1664,-2958,6275,1286,2025-02-03 17:40:18,0.0
-13956,1728,-2488,-2900,7023,3065,2025-02-03 17:40:18,0.0
-14668,1328,-2676,-3267,6020,4236,2025-02-03 17:40:18,0.0
-14756,392,-2660,-3571,4495,4276,2025-02-03 17:40:18,0.0
-14464,-284,-3140,-3913,3791,3033,2025-02-03 17:40:18,0.0
-15228,-1292,-2464,-4325,3853,1162,2025-02-03 17:40:18,0.0
-15456,-1384,-1456,-3920,2092,1016,2025-02-03 17:40:18,0.0
-15380,-784,-104,-3149,-689,1695,2025-02-03 17:40:18,0.0
-15120,28,-592,-2796,-2855,1796,2025-02-03 17:40:18,0.0
-12936,-260,444,-2679,-4764,1008,2025-02-03 17:40:18,0.0
-12624,-1064,-188,-2907,-5702,138,2025-02-03 17:40:18,0.0
-11048,-1324,1320,-2706,-5520,-554,2025-02-03 17:40:18,0.0
-10708,-924,1176,-2279,-3426,-798,2025-02-03 17:40:18,0.0
-10556,-260,812,-1852,658,-974,2025-02-03 17:40:18,0.0
-11332,972,68,-1503,4369,-1279,2025-02-03 17:40:18,0.0
-11948,2468,-760,-1186,6293,-1510,2025-02-03 17:40:18,0.0
-13672,3900,-1984,-1426,6078,-1613,2025-02-03 17:40:18,0.0
-13892,3148,-2252,-1700,3831,-1722,2025-02-03 17:40:18,0.0
-13184,1800,-2244,-2151,506,-2872,2025-02-03 17:40:18,0.0
-13548,472,-1812,-2063,-1599,-3697,2025-02-03 17:40:18,0.0
-12244,-572,-1744,-1956,-2837,-4392,2025-02-03 17:40:18,0.0
-10544,-1020,-1976,-1895,-3375,-5849,2025-02-03 17:40:18,0.0
-11852,-1092,-1368,-1847,-2084,-6597,2025-02-03 17:40:18,0.0
-13784,-348,-1244,-998,1262,-5559,2025-02-03 17:40:18,0.0
-15452,-364,-2032,-496,5425,-4104,2025-02-03 17:40:18,0.0
-16864,-1352,-2640,-88,7082,-2347,2025-02-03 17:40:18,0.0
-17284,-3032,-2828,-161,5177,-451,2025-02-03 17:40:18,0.0
-16764,-4616,-3156,-138,1049,600,2025-02-03 17:40:18,0.0
-14576,-5032,-3076,308,-4038,-29,2025-02-03 17:40:18,0.0
-13672,-3084,-3008,1014,-7101,-285,2025-02-03 17:40:18,0.0
-11360,-1764,-2052,1752,-6088,-828,2025-02-03 17:40:18,0.0
-12092,-948,-2548,2006,-2824,-603,2025-02-03 17:40:18,0.0
-10088,212,-1556,2869,379,-1005,2025-02-03 17:40:18,0.0
-11324,-428,-3164,2804,3125,-1319,2025-02-03 17:40:18,0.0
-12220,-824,-3108,2154,4429,-1274,2025-02-03 17:40:18,0.0
-13188,-1076,-3244,1753,4265,-1022,2025-02-03 17:40:18,0.0
-13836,-796,-3588,1166,3429,-587,2025-02-03 17:40:18,0.0
-14000,-328,-3700,790,2975,-261,2025-02-03 17:40:18,0.0
-14080,208,-3260,548,2646,-120,2025-02-03 17:40:18,0.0
-14572,320,-3112,96,2351,-11,2025-02-03 17:40:18,0.0
-14856,-84,-3340,-340,1690,295,2025-02-03 17:40:18,0.0
-14484,-920,-3120,-491,455,309,2025-02-03 17:40:18,0.0
-13888,-1688,-2944,-537,-1091,40,2025-02-03 17:40:18,0.0
-13360,-2288,-2392,-477,-2327,-202,2025-02-03 17:40:18,0.0
-12744,-2616,-1820,-267,-2873,-423,2025-02-03 17:40:18,0.0
-12448,-2344,-1404,265,-2061,-463,2025-02-03 17:40:18,0.0
-12632,-1632,-1948,559,61,-231,2025-02-03 17:40:18,0.0
-13040,-1144,-2228,608,1729,32,2025-02-03 17:40:18,0.0
-13384,-884,-2224,640,2065,98,2025-02-03 17:40:18,0.0
-13464,-1092,-1744,572,1115,-69,2025-02-03 17:40:18,0.0
-13428,-1780,-1544,466,-248,-444,2025-02-03 17:40:18,
-13336,-2024,-1876,429,-590,-597,2025-02-03 17:40:18,0.0
-13432,-1964,-2048,553,70,-506,2025-02-03 17:40:18,0.0
-13512,-1840,-2344,729,826,-308,2025-02-03 17:40:18,0.0
