acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-11144,296,-7084,-336,-351,-733,2025-01-29 10:34:14,0.0
-11328,384,-6972,-191,-165,-708,2025-01-29 10:34:14,0.0
-11776,388,-7096,-42,266,-645,2025-01-29 10:34:14,0.0
-12044,172,-6672,86,-103,-508,2025-01-29 10:34:14,0.0
-11808,36,-7116,273,-515,-373,2025-01-29 10:34:14,0.0
-11472,-332,-7232,320,-692,-243,2025-01-29 10:34:14,0.0
-11124,-340,-7396,503,-752,-122,2025-01-29 10:34:14,0.0
-10736,-592,-7308,699,-661,-56,2025-01-29 10:34:14,0.0
-10748,-232,-6892,795,-472,-8,2025-01-29 10:34:14,0.0
-10724,104,-6800,770,-46,-55,2025-01-29 10:34:14,0.0
-10624,408,-6916,615,602,-367,2025-01-29 10:34:14,0.0
-11280,444,-6888,498,1101,-712,2025-01-29 10:34:14,0.0
-11952,368,-6940,485,1003,-859,2025-01-29 10:34:14,0.0
-12320,300,-7260,236,277,-902,2025-01-29 10:34:15,0.0
-12504,288,-6928,34,-788,-876,2025-01-29 10:34:15,0.0
-12456,40,-7320,-108,-1456,-699,2025-01-29 10:34:15,0.0
-12608,-224,-7212,-177,-1537,-411,2025-01-29 10:34:15,0.0
-12184,-768,-6788,-80,-1616,-100,2025-01-29 10:34:15,0.0
-11864,-560,-6496,225,-1807,142,2025-01-29 10:34:15,0.0
-11276,-104,-6544,321,-1555,218,2025-01-29 10:34:15,0.0
-11304,28,-6900,182,-773,158,2025-01-29 10:34:15,0.0
-11484,112,-6848,-55,148,222,2025-01-29 10:34:15,0.0
-11792,28,-6480,-112,358,206,2025-01-29 10:34:15,0.0
-11772,28,-6404,-204,248,81,2025-01-29 10:34:15,0.0
-12496,188,-5612,-297,-254,12,2025-01-29 10:34:15,0.0
-12340,260,-5628,-364,-516,-78,2025-01-29 10:34:15,0.0
-11968,12,-6128,-451,-505,-108,2025-01-29 10:34:15,0.0
-11716,-228,-6328,-580,-356,-134,2025-01-29 10:34:15,0.0
-11908,-508,-6004,-602,-175,-149,2025-01-29 10:34:15,0.0
-12072,-704,-5860,-542,1,-209,2025-01-29 10:34:15,0.0
-12212,-616,-6012,-257,-67,-248,2025-01-29 10:34:15,0.0
-12260,-400,-6396,-65,-550,-200,2025-01-29 10:34:15,0.0
-12216,-180,-6348,50,-855,-171,2025-01-29 10:34:15,0.0
-11952,-308,-6496,71,-920,-156,2025-01-29 10:34:15,0.0
-11688,-268,-6680,93,-806,-136,2025-01-29 10:34:15,0.0
-11600,-412,-6196,205,-529,-298,2025-01-29 10:34:15,0.0
-11756,-424,-6280,422,-239,-506,2025-01-29 10:34:15,0.0
-12320,-176,-6224,516,-112,-599,2025-01-29 10:34:15,0.0
-12668,-176,-5860,510,-399,-625,2025-01-29 10:34:15,0.0
