acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-11900,-612,-6288,-363,232,-186,2025-01-29 10:48:20,0.0
-11780,-640,-6204,-354,184,-213,2025-01-29 10:48:20,0.0
-11840,-640,-6176,-356,213,-270,2025-01-29 10:48:20,0.0
-11948,-772,-6212,-327,276,-240,2025-01-29 10:48:20,0.0
-12068,-612,-6276,-267,231,-226,2025-01-29 10:48:20,0.0
-12076,-752,-6312,-222,125,-227,2025-01-29 10:48:20,0.0
-12028,-708,-6176,-222,-5,-211,2025-01-29 10:48:20,0.0
-11896,-744,-6156,-200,-34,-212,2025-01-29 10:48:20,0.0
-11740,-776,-6132,-177,36,-137,2025-01-29 10:48:20,0.0
-11832,-752,-6296,-118,177,-157,2025-01-29 10:48:20,0.0
-11860,-648,-6096,-117,223,-166,2025-01-29 10:48:20,0.0
-11892,-592,-6056,-139,204,-162,2025-01-29 10:48:20,0.0
-11980,-684,-6020,-93,123,-140,2025-01-29 10:48:20,0.0
-11840,-696,-6256,-116,127,-128,2025-01-29 10:48:20,0.0
-11984,-728,-6216,-113,182,-126,2025-01-29 10:48:20,0.0
-11836,-680,-6180,-123,159,-145,2025-01-29 10:48:20,0.0
-11936,-768,-6208,-157,66,-159,2025-01-29 10:48:20,0.0
-11900,-616,-6252,-199,39,-181,2025-01-29 10:48:20,0.0
-11900,-556,-6140,-231,119,-154,2025-01-29 10:48:20,0.0
-11992,-612,-6024,-224,127,-186,2025-01-29 10:48:21,0.0
-11988,-708,-5984,-217,-76,-145,2025-01-29 10:48:21,0.0
-11976,-816,-5852,-227,-149,-171,2025-01-29 10:48:21,0.0
-11836,-780,-6072,-218,0,-163,2025-01-29 10:48:21,0.0
-11840,-736,-6156,-226,219,-189,2025-01-29 10:48:21,0.0
-12004,-640,-6148,-274,373,-154,2025-01-29 10:48:21,0.0
-12068,-528,-6020,-303,414,-166,2025-01-29 10:48:21,0.0
-12200,-624,-6016,-304,327,-156,2025-01-29 10:48:21,0.0
-12008,-720,-6028,-283,244,-149,2025-01-29 10:48:21,0.0
-11820,-660,-6212,-268,328,-144,2025-01-29 10:48:21,0.0
-11836,-648,-6252,-283,398,-150,2025-01-29 10:48:21,0.0
-11920,-608,-6152,-263,474,-140,2025-01-29 10:48:21,0.0
-11928,-440,-6248,-272,419,-184,2025-01-29 10:48:21,0.0
-11888,-536,-6228,-320,464,-176,2025-01-29 10:48:21,0.0
-12008,-504,-6276,-350,392,-214,2025-01-29 10:48:21,0.0
-12084,-476,-6420,-381,316,-211,2025-01-29 10:48:21,0.0
-12064,-560,-6532,-400,218,-209,2025-01-29 10:48:21,0.0
-11908,-652,-6284,-418,155,-201,2025-01-29 10:48:21,0.0
-11856,-716,-6344,-427,125,-220,2025-01-29 10:48:21,0.0
-11780,-708,-6224,-416,139,-201,2025-01-29 10:48:21,0.0
-11740,-600,-6288,-409,189,-217,2025-01-29 10:48:21,0.0
-11732,-632,-6180,-406,314,-253,2025-01-29 10:48:21,0.0
-11720,-680,-6016,-373,381,-278,2025-01-29 10:48:21,0.0
-11864,-680,-6032,-332,464,-270,2025-01-29 10:48:21,0.0
-12024,-676,-6232,-312,402,-257,2025-01-29 10:48:21,0.0
-11916,-688,-6372,-210,322,-207,2025-01-29 10:48:21,0.0
-11948,-720,-6168,-183,229,-180,2025-01-29 10:48:21,0.0
-11968,-740,-6524,-111,135,-206,2025-01-29 10:48:21,0.0
-11908,-688,-6272,-92,90,-175,2025-01-29 10:48:21,0.0
-11892,-664,-6156,-61,62,-132,2025-01-29 10:48:21,0.0
-11912,-632,-6264,14,151,-112,2025-01-29 10:48:21,0.0
-11956,-700,-6104,-8,213,-96,2025-01-29 10:48:21,0.0
-12036,-772,-6100,67,216,-15,2025-01-29 10:48:21,0.0
-11916,-724,-6040,96,186,14,2025-01-29 10:48:21,0.0
-12084,-700,-6240,73,249,57,2025-01-29 10:48:21,0.0
-11952,-664,-6224,100,415,103,2025-01-29 10:48:21,0.0
-11904,-540,-6356,53,532,124,2025-01-29 10:48:21,0.0
-12076,-248,-6544,-63,461,118,2025-01-29 10:48:21,0.0
-12088,4,-6796,-184,305,154,2025-01-29 10:48:21,0.0
-12124,0,-6636,-438,353,218,2025-01-29 10:48:21,0.0
-12080,-336,-6376,-526,431,268,2025-01-29 10:48:21,0.0
-12088,-668,-6024,-547,420,219,2025-01-29 10:48:21,0.0
-12276,-460,-6656,1338,654,-48,2025-01-29 10:48:21,0.0
-12660,-728,-6380,1549,155,155,2025-01-29 10:48:21,0.0
-12492,-312,-5996,1580,-791,317,2025-01-29 10:48:21,0.0
-12136,140,-5608,1537,-1605,462,2025-01-29 10:48:21,0.0
-11580,556,-5772,1397,-1793,442,2025-01-29 10:48:21,0.0
-11228,708,-6020,1192,-1187,303,2025-01-29 10:48:22,0.0
-11224,1008,-6488,996,-143,77,2025-01-29 10:48:22,0.0
-11120,812,-6920,726,666,-394,2025-01-29 10:48:22,0.0
-11692,748,-6184,540,1330,-906,2025-01-29 10:48:22,0.0
-12088,828,-5788,453,1564,-1342,2025-01-29 10:48:22,0.0
-12292,664,-6268,163,1423,-1880,2025-01-29 10:48:22,0.0
-12476,92,-6480,-189,880,-2329,2025-01-29 10:48:22,0.0
-11920,-776,-6492,-147,-49,-2659,2025-01-29 10:48:22,0.0
-11472,-1780,-5888,30,18,-2934,2025-01-29 10:48:22,0.0
-11572,-1992,-5792,211,218,-3128,2025-01-29 10:48:22,0.0
-11908,-2008,-5236,348,309,-3004,2025-01-29 10:48:22,0.0
-12136,-2472,-4724,352,275,-2781,2025-01-29 10:48:22,0.0
-12336,-2576,-4024,307,375,-2520,2025-01-29 10:48:22,0.0
-12296,-2332,-4016,148,685,-2343,2025-01-29 10:48:22,0.0
-12200,-2296,-3952,49,1123,-2325,2025-01-29 10:48:22,0.0
-12372,-2120,-4028,-12,1466,-2262,2025-01-29 10:48:22,0.0
-12500,-2644,-4244,-278,1477,-2202,2025-01-29 10:48:22,0.0
