acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-11748,-812,-6336,-522,80,-267,2025-01-29 10:43:29,0.0
-11860,-796,-6148,-468,177,-298,2025-01-29 10:43:29,0.0
-11864,-764,-6364,-472,135,-288,2025-01-29 10:43:29,0.0
-11912,-716,-6424,-481,34,-262,2025-01-29 10:43:29,0.0
-11780,-584,-6288,-440,34,-257,2025-01-29 10:43:29,0.0
-11852,-680,-6316,-484,40,-294,2025-01-29 10:43:29,0.0
-11868,-776,-6268,-452,14,-271,2025-01-29 10:43:29,0.0
-11804,-788,-6408,-453,73,-285,2025-01-29 10:43:29,0.0
-11856,-752,-6372,-375,158,-252,2025-01-29 10:43:29,0.0
-11836,-832,-6212,-301,218,-240,2025-01-29 10:43:29,0.0
-11812,-708,-6428,-308,233,-223,2025-01-29 10:43:29,0.0
-11904,-748,-6272,-264,215,-242,2025-01-29 10:43:29,0.0
-11840,-676,-6312,-219,209,-234,2025-01-29 10:43:29,0.0
-12068,-752,-6316,-192,156,-205,2025-01-29 10:43:29,0.0
-11808,-644,-6408,-178,74,-181,2025-01-29 10:43:29,0.0
-11780,-692,-6432,-242,69,-178,2025-01-29 10:43:29,0.0
-11756,-552,-6384,-207,110,-150,2025-01-29 10:43:29,0.0
-11728,-568,-6396,-207,203,-186,2025-01-29 10:43:29,0.0
-11860,-568,-6260,-198,265,-229,2025-01-29 10:43:29,0.0
-11868,-632,-6348,-143,254,-216,2025-01-29 10:43:29,0.0
-11912,-640,-6384,-174,247,-289,2025-01-29 10:43:29,0.0
-11956,-684,-6268,-178,147,-268,2025-01-29 10:43:29,0.0
-11900,-596,-6392,-209,63,-244,2025-01-29 10:43:29,0.0
-11900,-620,-6384,-270,111,-275,2025-01-29 10:43:29,0.0
-11756,-676,-6400,-263,111,-249,2025-01-29 10:43:29,0.0
-11708,-620,-6460,-325,189,-257,2025-01-29 10:43:29,0.0
-11712,-652,-6304,-319,295,-259,2025-01-29 10:43:29,0.0
-11812,-876,-6432,-335,364,-252,2025-01-29 10:43:29,0.0
-11840,-660,-6332,-306,307,-219,2025-01-29 10:43:29,0.0
-11876,-724,-6580,-339,249,-245,2025-01-29 10:43:29,0.0
-11928,-740,-6476,-303,190,-229,2025-01-29 10:43:29,0.0
-11864,-952,-6536,-283,102,-183,2025-01-29 10:43:29,0.0
-11852,-904,-6444,-253,80,-199,2025-01-29 10:43:29,0.0
-11836,-844,-6512,-164,121,-124,2025-01-29 10:43:29,0.0
-11876,-720,-6428,-84,156,-133,2025-01-29 10:43:29,0.0
-12000,-760,-6396,-53,148,-51,2025-01-29 10:43:29,0.0
-11864,-748,-6512,-46,24,2,2025-01-29 10:43:29,0.0
-11892,-692,-6624,-34,-121,74,2025-01-29 10:43:29,0.0
-11800,-748,-6440,-12,-86,91,2025-01-29 10:43:29,0.0
-11756,-792,-6172,19,42,98,2025-01-29 10:43:29,0.0
-11816,-848,-6136,155,86,168,2025-01-29 10:43:29,0.0
-11780,-960,-6228,272,119,216,2025-01-29 10:43:29,0.0
