acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-11120,-636,-7512,-153,256,-228,2025-01-29 11:49:01,0.0
-11192,-664,-7548,-153,201,-241,2025-01-29 11:49:01,0.0
-11056,-712,-7584,-136,172,-206,2025-01-29 11:49:01,0.0
-11188,-628,-7452,-155,163,-192,2025-01-29 11:49:01,0.0
-11120,-532,-7456,-180,244,-206,2025-01-29 11:49:01,0.0
-11124,-616,-7396,-208,325,-217,2025-01-29 11:49:01,0.0
-11128,-680,-7452,-219,334,-190,2025-01-29 11:49:01,0.0
-11184,-668,-7472,-190,318,-203,2025-01-29 11:49:01,0.0
-11164,-736,-7464,-181,261,-156,2025-01-29 11:49:01,0.0
-11164,-752,-7416,-163,243,-170,2025-01-29 11:49:01,0.0
-11052,-696,-7636,-157,248,-166,2025-01-29 11:49:01,0.0
-11064,-712,-7484,-159,298,-150,2025-01-29 11:49:01,0.0
-11176,-736,-7612,-125,318,-164,2025-01-29 11:49:01,0.0
-11092,-744,-7528,-107,352,-162,2025-01-29 11:49:01,0.0
-11144,-644,-7620,-103,317,-153,2025-01-29 11:49:01,0.0
-11224,-704,-7584,-86,261,-156,2025-01-29 11:49:02,0.0
-11200,-672,-7720,-134,205,-154,2025-01-29 11:49:02,0.0
-11196,-684,-7524,-129,120,-197,2025-01-29 11:49:02,0.0
-11176,-608,-7452,-154,112,-206,2025-01-29 11:49:02,0.0
-11236,-620,-7436,-181,146,-179,2025-01-29 11:49:02,0.0
-10948,-764,-7532,-148,49,-186,2025-01-29 11:49:02,0.0
-11048,-796,-7420,-122,166,-164,2025-01-29 11:49:02,0.0
-11016,-884,-7484,-78,270,-157,2025-01-29 11:49:02,0.0
-11088,-784,-7480,-87,351,-151,2025-01-29 11:49:02,0.0
-11076,-724,-7556,-136,138,-162,2025-01-29 11:49:02,0.0
-11092,-592,-7560,-103,186,-169,2025-01-29 11:49:02,0.0
-11088,-668,-7656,-103,171,-184,2025-01-29 11:49:02,0.0
-11032,-568,-7640,-119,175,-175,2025-01-29 11:49:02,0.0
-11172,-572,-7712,-131,167,-160,2025-01-29 11:49:02,0.0
-11144,-652,-7672,-224,153,-193,2025-01-29 11:49:02,0.0
