acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-10664,-688,-8152,-128,183,-196,2025-01-29 10:38:40,0.0
-10740,-460,-8064,-131,200,-203,2025-01-29 10:38:40,0.0
-10804,-648,-8252,-190,134,-212,2025-01-29 10:38:40,0.0
-10744,-512,-8100,-185,116,-166,2025-01-29 10:38:40,0.0
-10700,-652,-8228,-159,96,-172,2025-01-29 10:38:40,0.0
-10628,-668,-8216,-138,125,-171,2025-01-29 10:38:40,0.0
-10824,-516,-8088,-168,129,-206,2025-01-29 10:38:40,0.0
-10732,-556,-8156,-128,124,-182,2025-01-29 10:38:40,0.0
-10768,-652,-8080,-183,110,-195,2025-01-29 10:38:40,0.0
-10616,-564,-8136,-189,115,-186,2025-01-29 10:38:40,0.0
-10744,-508,-8060,-196,132,-178,2025-01-29 10:38:40,0.0
-10664,-556,-8128,-193,165,-191,2025-01-29 10:38:40,0.0
-10616,-704,-8188,-161,192,-173,2025-01-29 10:38:40,0.0
-10700,-620,-8252,-176,174,-187,2025-01-29 10:38:40,0.0
-10712,-644,-8260,-178,209,-173,2025-01-29 10:38:40,0.0
-10780,-584,-8092,-132,201,-171,2025-01-29 10:38:40,0.0
-10788,-556,-8284,-160,204,-168,2025-01-29 10:38:40,0.0
-10716,-588,-8216,-181,175,-181,2025-01-29 10:38:40,0.0
-10772,-588,-8140,-209,92,-173,2025-01-29 10:38:40,0.0
-10840,-612,-8348,-237,71,-167,2025-01-29 10:38:40,0.0
-10628,-576,-8112,-234,107,-171,2025-01-29 10:38:40,0.0
-10740,-596,-8092,-212,206,-189,2025-01-29 10:38:40,0.0
-10744,-732,-8200,-169,151,-188,2025-01-29 10:38:40,0.0
-10776,-716,-8224,-156,75,-154,2025-01-29 10:38:40,0.0
-10736,-704,-8204,-160,32,-170,2025-01-29 10:38:40,0.0
-10712,-676,-8180,-145,45,-159,2025-01-29 10:38:40,0.0
-10684,-468,-8056,-95,48,-127,2025-01-29 10:38:40,0.0
-10712,-484,-8060,-89,82,-120,2025-01-29 10:38:40,0.0
-10736,-680,-7904,-84,113,-108,2025-01-29 10:38:40,0.0
-10724,-724,-7956,-31,160,-116,2025-01-29 10:38:40,0.0
-10816,-796,-8148,-15,169,-107,2025-01-29 10:38:40,0.0
