acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-6168,956,15992,-150,148,-177,2025-02-06 14:58:11,0.0
-6176,1000,16020,-141,162,-181,2025-02-06 14:58:11,0.0
-6132,924,16092,-150,149,-183,2025-02-06 14:58:11,0.0
-6208,924,15956,-160,182,-181,2025-02-06 14:58:11,0.0
-5980,956,15932,-143,179,-183,2025-02-06 14:58:11,0.0
-6052,1052,15992,-159,155,-169,2025-02-06 14:58:11,0.0
-6172,940,16016,-170,143,-180,2025-02-06 14:58:11,0.0
-6184,928,15872,-142,159,-182,2025-02-06 14:58:11,0.0
-6212,824,16044,-170,166,-147,2025-02-06 14:58:11,0.0
-6104,948,16044,-155,113,-171,2025-02-06 14:58:11,0.0
-6148,1088,15968,-159,152,-163,2025-02-06 14:58:11,0.0
-6160,960,16132,-158,203,-164,2025-02-06 14:58:11,0.0
-6148,964,16128,-172,124,-175,2025-02-06 14:58:11,0.0
-5892,1020,15888,-175,138,-186,2025-02-06 14:58:11,0.0
-5932,1080,15884,-160,221,-155,2025-02-06 14:58:11,0.0
-6236,1048,15972,-154,217,-159,2025-02-06 14:58:11,0.0
-6260,976,15792,-157,156,-203,2025-02-06 14:58:11,0.0
-6148,924,15952,-153,115,-183,2025-02-06 14:58:11,0.0
-6068,876,15848,-146,160,-154,2025-02-06 14:58:11,0.0
-6148,964,15964,-163,181,-159,2025-02-06 14:58:11,0.0
-6088,1096,16000,-156,180,-187,2025-02-06 14:58:11,0.0
-6160,1016,15924,-163,212,-200,2025-02-06 14:58:11,0.0
-6212,948,15980,-148,162,-179,2025-02-06 14:58:11,0.0
-6044,944,16088,-137,76,-175,2025-02-06 14:58:11,0.0
-6128,888,16092,-171,123,-174,2025-02-06 14:58:11,0.0
-6180,852,16032,-169,190,-163,2025-02-06 14:58:11,0.0
-6020,960,15876,-160,230,-177,2025-02-06 14:58:11,0.0
-6164,976,15928,-166,194,-179,2025-02-06 14:58:12,0.0
-6212,968,15984,-157,148,-197,2025-02-06 14:58:12,0.0
-6168,904,15960,-164,144,-162,2025-02-06 14:58:12,0.0
-5964,928,15824,-168,115,-178,2025-02-06 14:58:12,0.0
-6116,924,15932,-166,127,-157,2025-02-06 14:58:12,0.0
-6072,836,16060,-148,172,-155,2025-02-06 14:58:12,0.0
-6036,996,15768,-174,195,-178,2025-02-06 14:58:12,0.0
-6160,956,15980,-148,188,-183,2025-02-06 14:58:12,0.0
-6176,1064,15796,-158,179,-185,2025-02-06 14:58:12,0.0
-6076,968,15756,-158,152,-167,2025-02-06 14:58:12,0.0
-6164,896,15892,-174,122,-162,2025-02-06 14:58:12,0.0
-6044,876,16044,-160,120,-166,2025-02-06 14:58:12,0.0
-6104,880,16096,-167,176,-183,2025-02-06 14:58:12,0.0
-6164,1060,15872,-159,203,-184,2025-02-06 14:58:12,0.0
-6176,1016,15852,-165,204,-170,2025-02-06 14:58:12,0.0
-6164,1140,15988,-170,90,-183,2025-02-06 14:58:12,0.0
-6104,888,15932,-160,98,-155,2025-02-06 14:58:12,0.0
-6048,900,15996,-158,107,-191,2025-02-06 14:58:12,0.0
-6076,900,16108,-170,207,-172,2025-02-06 14:58:12,0.0
-6080,960,15936,-150,210,-184,2025-02-06 14:58:12,0.0
-6156,900,15920,-163,163,-164,2025-02-06 14:58:12,0.0
-6212,892,15920,-156,156,-168,2025-02-06 14:58:12,0.0
-6116,1020,16100,-162,154,-172,2025-02-06 14:58:12,0.0
-6068,1008,15988,-153,101,-141,2025-02-06 14:58:12,0.0
-5984,760,16000,-180,168,-165,2025-02-06 14:58:12,0.0
-6080,896,16000,-156,248,-176,2025-02-06 14:58:12,0.0
-6184,1040,15896,-146,205,-175,2025-02-06 14:58:12,0.0
-6244,928,15944,-173,129,-189,2025-02-06 14:58:12,0.0
-6168,920,15948,-161,111,-188,2025-02-06 14:58:12,0.0
-6232,896,15952,-160,136,-178,2025-02-06 14:58:12,0.0
-6080,932,15960,-157,144,-167,2025-02-06 14:58:12,0.0
-6144,912,16040,-176,163,-172,2025-02-06 14:58:12,0.0
-6112,996,16056,-164,195,-176,2025-02-06 14:58:12,0.0
-6156,956,15948,-175,199,-185,2025-02-06 14:58:12,0.0
-6204,1052,15984,-183,132,-175,2025-02-06 14:58:12,0.0
-6040,972,16052,-171,135,-165,2025-02-06 14:58:12,0.0
-6156,844,15992,-146,145,-174,2025-02-06 14:58:12,0.0
-6132,944,15940,-156,178,-173,2025-02-06 14:58:12,0.0
-6076,964,16028,-148,198,-187,2025-02-06 14:58:12,0.0
-6192,912,15876,-181,191,-176,2025-02-06 14:58:12,0.0
-6292,972,15824,-163,162,-169,2025-02-06 14:58:12,0.0
-6184,992,15900,-174,103,-172,2025-02-06 14:58:12,0.0
-6036,944,15976,-148,109,-177,2025-02-06 14:58:12,0.0
-6136,980,16140,-176,165,-189,2025-02-06 14:58:12,0.0
-6048,916,15924,-190,181,-172,2025-02-06 14:58:12,0.0
-6036,960,16004,-156,191,-160,2025-02-06 14:58:12,0.0
-6232,924,15912,-166,171,-178,2025-02-06 14:58:12,0.0
-6180,984,16020,-171,145,-170,2025-02-06 14:58:12,0.0
-6068,968,15860,-169,122,-169,2025-02-06 14:58:12,0.0
-6168,892,15976,-166,153,-194,2025-02-06 14:58:12,0.0
-6124,920,16024,-159,148,-171,2025-02-06 14:58:12,0.0
-6144,992,16112,-138,160,-173,2025-02-06 14:58:12,0.0
-6124,908,16012,-160,179,-167,2025-02-06 14:58:12,0.0
-6184,1028,16040,-175,183,-186,2025-02-06 14:58:12,0.0
-6124,1000,15936,-158,156,-167,2025-02-06 14:58:12,0.0
-6080,996,15984,-170,145,-158,2025-02-06 14:58:12,0.0
-6200,984,16052,-169,166,-168,2025-02-06 14:58:12,0.0
-6224,940,16036,-149,179,-169,2025-02-06 14:58:12,0.0
-6156,920,15908,-166,156,-173,2025-02-06 14:58:12,0.0
-6156,976,16000,-163,184,-163,2025-02-06 14:58:12,0.0
-6092,932,15836,-168,136,-167,2025-02-06 14:58:12,0.0
-6172,896,16016,-155,148,-173,2025-02-06 14:58:12,0.0
-6088,904,15728,-156,133,-167,2025-02-06 14:58:13,0.0
-6196,888,16020,-181,156,-187,2025-02-06 14:58:13,0.0
-6144,924,15884,-165,166,-178,2025-02-06 14:58:13,0.0
-6192,912,15892,-170,152,-181,2025-02-06 14:58:13,0.0
-6052,1020,15900,-154,125,-171,2025-02-06 14:58:13,0.0
-6064,956,15984,-172,157,-186,2025-02-06 14:58:13,0.0
-6180,940,16056,-139,164,-193,2025-02-06 14:58:13,0.0
-6088,900,15976,-159,158,-178,2025-02-06 14:58:13,0.0
-6112,960,16056,-154,156,-188,2025-02-06 14:58:13,0.0
-6164,836,15936,-170,173,-185,2025-02-06 14:58:13,0.0
-6132,900,15916,-151,152,-193,2025-02-06 14:58:13,
-6172,976,15928,-146,141,-177,2025-02-06 14:58:13,0.0
-6188,896,15976,-163,139,-178,2025-02-06 14:58:13,0.0
-6240,912,16036,-169,157,-163,2025-02-06 14:58:13,0.0
-6092,948,16140,-167,139,-169,2025-02-06 14:58:13,0.0
-6200,1000,15968,-174,184,-156,2025-02-06 14:58:13,0.0
-6084,932,16104,-165,184,-175,2025-02-06 14:58:13,0.0
-6140,900,15884,-148,158,-173,2025-02-06 14:58:13,0.0
-6088,972,16056,-155,141,-190,2025-02-06 14:58:13,0.0
-6168,956,15924,-164,155,-163,2025-02-06 14:58:13,0.0
-6136,920,15944,-160,146,-180,2025-02-06 14:58:13,0.0
-6132,924,16036,-175,164,-176,2025-02-06 14:58:13,0.0
-6096,964,15924,-160,175,-160,2025-02-06 14:58:13,0.0
-6124,984,15944,-174,162,-170,2025-02-06 14:58:13,0.0
-6140,1064,15972,-164,174,-167,2025-02-06 14:58:13,0.0
-6164,932,16000,-151,166,-188,2025-02-06 14:58:13,0.0
-6024,916,15948,-145,165,-183,2025-02-06 14:58:13,0.0
-6136,976,16028,-170,114,-165,2025-02-06 14:58:13,0.0
-6116,956,15968,-184,172,-178,2025-02-06 14:58:13,0.0
-6040,1016,15840,-160,206,-170,2025-02-06 14:58:13,0.0
-6208,920,15960,-152,155,-162,2025-02-06 14:58:13,0.0
-6108,1012,15800,-168,124,-177,2025-02-06 14:58:13,0.0
-6140,1000,16004,-164,127,-166,2025-02-06 14:58:13,0.0
-6160,968,16000,-171,165,-139,2025-02-06 14:58:13,0.0
-6092,896,15808,-154,164,-181,2025-02-06 14:58:13,0.0
-6128,924,15844,-156,218,-175,2025-02-06 14:58:13,0.0
-6132,1084,15912,-161,159,-166,2025-02-06 14:58:13,0.0
-5988,1016,15876,-161,112,-155,2025-02-06 14:58:13,0.0
-6192,948,15920,-150,144,-194,2025-02-06 14:58:13,0.0
-5988,1016,15868,-172,160,-159,2025-02-06 14:58:13,0.0
-6136,876,15884,-168,152,-182,2025-02-06 14:58:13,0.0
-6180,1124,16100,-150,131,-171,2025-02-06 14:58:13,0.0
-6260,976,16036,-153,179,-157,2025-02-06 14:58:13,0.0
-6172,916,15932,-162,168,-167,2025-02-06 14:58:13,0.0
-6248,920,15980,-172,147,-167,2025-02-06 14:58:13,0.0
-6032,912,15912,-159,134,-203,2025-02-06 14:58:13,0.0
-6012,976,16060,-182,165,-157,2025-02-06 14:58:13,0.0
-6216,984,16108,-163,177,-175,2025-02-06 14:58:13,0.0
-6156,916,16068,-183,160,-189,2025-02-06 14:58:13,0.0
-6036,1048,16060,-161,150,-188,2025-02-06 14:58:13,0.0
-6180,1012,16008,-160,153,-184,2025-02-06 14:58:13,0.0
-6144,1036,15992,-155,166,-178,2025-02-06 14:58:13,0.0
-5980,880,16000,-163,160,-163,2025-02-06 14:58:13,0.0
-6164,1056,15996,-192,180,-163,2025-02-06 14:58:13,0.0
-6236,928,16060,-187,186,-183,2025-02-06 14:58:13,0.0
-6124,860,15824,-145,168,-167,2025-02-06 14:58:13,0.0
-6096,980,15880,-154,138,-182,2025-02-06 14:58:13,0.0
-6096,1056,15864,-181,135,-183,2025-02-06 14:58:13,0.0
-6084,972,15940,-135,129,-184,2025-02-06 14:58:13,0.0
-6260,972,15932,-155,145,-177,2025-02-06 14:58:13,0.0
-6208,916,16088,-164,133,-179,2025-02-06 14:58:13,0.0
-6028,860,15892,-168,146,-146,2025-02-06 14:58:14,0.0
-6196,832,16052,-162,199,-169,2025-02-06 14:58:14,0.0
-6144,1056,16128,-178,163,-194,2025-02-06 14:58:14,0.0
-6032,972,16048,-160,110,-174,2025-02-06 14:58:14,0.0
-6164,984,16076,-161,170,-180,2025-02-06 14:58:14,0.0
-6200,916,15976,-168,180,-165,2025-02-06 14:58:14,0.0
-6152,952,15996,-138,147,-158,2025-02-06 14:58:14,0.0
