acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-13792,-260,-3932,325,180,132,2025-02-06 17:28:56,0.0
-13620,-724,-3916,249,-712,166,2025-02-06 17:28:56,0.0
-13152,-1092,-3888,457,-697,415,2025-02-06 17:28:56,0.0
-12688,-1272,-4396,611,-418,384,2025-02-06 17:28:56,0.0
-12540,-1136,-4028,641,-154,181,2025-02-06 17:28:56,0.0
-12592,-940,-3996,682,-246,-54,2025-02-06 17:28:56,0.0
-12860,-276,-4372,625,-471,-135,2025-02-06 17:28:56,0.0
-12760,36,-4872,120,-670,-358,2025-02-06 17:28:56,0.0
-12752,-172,-4636,-292,-654,-402,2025-02-06 17:28:56,0.0
-12644,-356,-4488,-461,-398,-402,2025-02-06 17:28:56,0.0
-12748,-564,-4352,-663,-296,-431,2025-02-06 17:28:56,0.0
-12876,-456,-4420,-845,-377,-469,2025-02-06 17:28:56,0.0
-12876,-784,-4376,-1054,-664,-475,2025-02-06 17:28:56,0.0
-12656,-1084,-4340,-1231,-784,-495,2025-02-06 17:28:56,0.0
-12408,-1136,-4240,-1181,-708,-460,2025-02-06 17:28:56,0.0
-12232,-1076,-4416,-1231,-426,-480,2025-02-06 17:28:56,0.0
-12352,-1248,-4320,-1188,-65,-549,2025-02-06 17:28:56,0.0
-12508,-1196,-4124,-1114,317,-501,2025-02-06 17:28:56,0.0
-12768,-1208,-4300,-1036,363,-479,2025-02-06 17:28:56,0.0
-12904,-1024,-4352,-999,120,-426,2025-02-06 17:28:56,0.0
-12928,-1056,-4196,-1013,54,-416,2025-02-06 17:28:56,0.0
-12896,-1088,-4252,-961,-3,-381,2025-02-06 17:28:56,0.0
-12808,-1152,-4164,-864,-22,-318,2025-02-06 17:28:56,0.0
-12740,-1160,-4252,-807,51,-289,2025-02-06 17:28:56,0.0
-12852,-1136,-4040,-722,52,-284,2025-02-06 17:28:56,0.0
-12800,-1084,-4180,-703,-34,-265,2025-02-06 17:28:56,0.0
-12792,-1032,-4144,-701,-58,-252,2025-02-06 17:28:57,0.0
-12744,-1036,-4112,-629,-40,-228,2025-02-06 17:28:57,0.0
-12668,-1024,-4016,-584,24,-197,2025-02-06 17:28:57,0.0
-12756,-1044,-4184,-532,238,-145,2025-02-06 17:28:57,0.0
-12872,-1112,-4168,-512,262,-110,2025-02-06 17:28:57,0.0
-12916,-1108,-4288,-443,178,-58,2025-02-06 17:28:57,0.0
-12840,-1128,-4148,-343,38,14,2025-02-06 17:28:57,0.0
-12784,-1216,-4300,-329,-97,21,2025-02-06 17:28:57,0.0
-12796,-1092,-4272,-260,-52,50,2025-02-06 17:28:57,0.0
