acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-13704,-480,-48,-242,210,-194,2025-02-17 10:06:02,0.0
-13748,-396,-112,-202,292,-179,2025-02-17 10:06:02,0.0
-13832,-356,12,-210,287,-184,2025-02-17 10:06:02,0.0
-13764,-324,-104,-199,307,-150,2025-02-17 10:06:02,0.0
-13732,-312,-68,-210,280,-184,2025-02-17 10:06:02,0.0
-13768,-324,16,-211,244,-187,2025-02-17 10:06:02,0.0
-13856,-320,116,-204,152,-185,2025-02-17 10:06:02,0.0
-13892,-296,84,-176,111,-193,2025-02-17 10:06:02,0.0
-13736,-356,40,-144,134,-174,2025-02-17 10:06:02,0.0
-13800,-368,-172,-151,195,-217,2025-02-17 10:06:02,0.0
-13724,-308,-16,-154,237,-184,2025-02-17 10:06:02,0.0
-13784,-264,-88,-174,206,-200,2025-02-17 10:06:02,0.0
-13752,-348,64,-151,146,-210,2025-02-17 10:06:02,0.0
-13736,-400,-108,-137,97,-193,2025-02-17 10:06:02,0.0
-13732,-340,44,-145,109,-204,2025-02-17 10:06:02,0.0
-13680,-232,-252,-132,157,-187,2025-02-17 10:06:02,0.0
-13740,-220,-88,-146,238,-193,2025-02-17 10:06:02,0.0
-13772,-164,-180,-143,286,-172,2025-02-17 10:06:02,0.0
-13744,-288,-36,-151,321,-197,2025-02-17 10:06:02,0.0
-13708,-200,-192,-161,234,-205,2025-02-17 10:06:03,0.0
-13720,-400,-140,-117,245,-193,2025-02-17 10:06:03,0.0
-13668,-408,24,-55,314,-201,2025-02-17 10:06:03,0.0
-13772,-228,-84,-38,334,-202,2025-02-17 10:06:03,0.0
-13788,-172,-60,-43,284,-240,2025-02-17 10:06:03,0.0
-13780,-276,-136,-66,262,-222,2025-02-17 10:06:03,0.0
-13716,-256,-52,-55,293,-239,2025-02-17 10:06:03,0.0
-13628,-292,-124,-28,392,-233,2025-02-17 10:06:03,0.0
-13712,-156,-204,-72,378,-236,2025-02-17 10:06:03,0.0
-13948,-244,-284,-103,318,-207,2025-02-17 10:06:03,0.0
-13860,-256,-212,-120,265,-205,2025-02-17 10:06:03,0.0
-13776,-264,-200,-105,144,-210,2025-02-17 10:06:03,0.0
-13828,-276,-176,-173,90,-208,2025-02-17 10:06:03,0.0
-13748,-256,36,-200,80,-204,2025-02-17 10:06:03,0.0
-13732,-308,-128,-264,106,-188,2025-02-17 10:06:03,0.0
-13784,-284,-148,-256,109,-142,2025-02-17 10:06:03,0.0
-13672,-292,-56,-240,205,-134,2025-02-17 10:06:03,0.0
-13596,-296,8,-265,372,-128,2025-02-17 10:06:03,0.0
-13652,-296,200,-197,508,-124,2025-02-17 10:06:03,0.0
-13636,-388,108,-191,490,-138,2025-02-17 10:06:03,0.0
-13736,-328,-24,-146,379,-133,2025-02-17 10:06:03,0.0
-13592,-304,-260,-213,373,-180,2025-02-17 10:06:03,0.0
-13644,-280,-232,-219,496,-156,2025-02-17 10:06:03,0.0
-13676,-272,-188,-256,620,-154,2025-02-17 10:06:03,0.0
-13696,-280,-100,-276,716,-135,2025-02-17 10:06:03,0.0
-13844,-280,48,-267,670,-142,2025-02-17 10:06:03,0.0
-13856,-424,48,-257,567,-145,2025-02-17 10:06:03,0.0
-13840,-480,96,-232,330,-186,2025-02-17 10:06:03,0.0
-13940,-400,8,-204,121,-211,2025-02-17 10:06:03,0.0
-13844,-400,-108,-98,66,-208,2025-02-17 10:06:03,0.0
-13736,-496,52,-41,158,-187,2025-02-17 10:06:03,0.0
-13748,-408,-108,72,294,-197,2025-02-17 10:06:03,0.0
-13780,-348,-148,172,273,-168,2025-02-17 10:06:03,0.0
-13792,-404,-40,217,214,-175,2025-02-17 10:06:03,0.0
-13896,-224,-24,313,57,-136,2025-02-17 10:06:03,0.0
-13768,-160,-76,377,-27,-109,2025-02-17 10:06:03,0.0
-13680,-112,96,511,157,-30,2025-02-17 10:06:03,0.0
-13672,-128,-16,657,336,14,2025-02-17 10:06:03,0.0
-13720,-104,-296,812,571,96,2025-02-17 10:06:03,0.0
-13852,-208,-160,1012,656,140,2025-02-17 10:06:03,0.0
-13900,-108,-88,1098,1005,213,2025-02-17 10:06:03,0.0
-13868,40,16,1069,1779,273,2025-02-17 10:06:03,0.0
-13880,-56,16,1060,2284,174,2025-02-17 10:06:03,0.0
