acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-10624,-1004,11604,-157,176,-142,2025-02-17 11:36:40,0.0
-10512,-1084,11692,-231,174,-217,2025-02-17 11:36:40,0.0
-10616,-1184,11812,-211,347,-263,2025-02-17 11:36:40,0.0
-10796,-1216,11572,-153,403,-292,2025-02-17 11:36:40,0.0
-10736,-1164,11528,-157,286,-151,2025-02-17 11:36:40,0.0
-10720,-1148,11528,-215,274,-189,2025-02-17 11:36:41,0.0
-10704,-1128,11640,-265,430,-230,2025-02-17 11:36:41,0.0
-10884,-1164,11360,-314,505,-179,2025-02-17 11:36:41,0.0
-10876,-1136,11280,-353,187,-120,2025-02-17 11:36:41,0.0
-10748,-1196,11516,-341,69,-124,2025-02-17 11:36:41,0.0
-10540,-1112,11620,-283,247,-142,2025-02-17 11:36:41,0.0
-10596,-1300,11368,-356,254,-183,2025-02-17 11:36:41,0.0
-10772,-1228,11708,-197,148,-206,2025-02-17 11:36:41,0.0
-10724,-1120,11532,-167,194,-175,2025-02-17 11:36:41,0.0
-10576,-1292,11524,-264,160,-198,2025-02-17 11:36:41,0.0
-10604,-1176,11556,-303,297,-180,2025-02-17 11:36:41,0.0
-10608,-1124,11392,-349,450,-151,2025-02-17 11:36:41,0.0
-10824,-1236,11424,-347,522,-169,2025-02-17 11:36:41,0.0
-10924,-1260,11548,-330,289,-157,2025-02-17 11:36:41,0.0
-10988,-1304,11516,-415,46,-169,2025-02-17 11:36:41,0.0
-10752,-1260,11444,-522,-110,-140,2025-02-17 11:36:41,0.0
-10536,-1160,11640,-457,16,-128,2025-02-17 11:36:41,0.0
-10636,-1080,11648,-408,156,-164,2025-02-17 11:36:41,0.0
-10748,-1012,11544,-335,151,-186,2025-02-17 11:36:41,0.0
-10892,-1212,11592,-329,41,-168,2025-02-17 11:36:41,0.0
-10744,-1224,11732,-224,-28,-158,2025-02-17 11:36:41,0.0
-10636,-1304,11712,-138,58,-163,2025-02-17 11:36:41,0.0
-10568,-1280,11568,-170,147,-183,2025-02-17 11:36:41,0.0
-10624,-1256,11548,-115,216,-158,2025-02-17 11:36:41,0.0
-10692,-1328,11584,-175,302,-188,2025-02-17 11:36:41,0.0
-10764,-1192,11676,-196,309,-213,2025-02-17 11:36:41,0.0
-10888,-1200,11496,-168,283,-175,2025-02-17 11:36:41,0.0
-10812,-1324,11516,-223,205,-183,2025-02-17 11:36:41,0.0
-10844,-1420,11648,-223,151,-168,2025-02-17 11:36:41,0.0
-10700,-1304,11620,-201,205,-157,2025-02-17 11:36:41,0.0
-10552,-1400,11412,-180,225,-223,2025-02-17 11:36:41,0.0
-10644,-1180,11440,-225,194,-254,2025-02-17 11:36:41,0.0
-10696,-1272,11444,-217,148,-246,2025-02-17 11:36:41,0.0
-10848,-1236,11524,-101,190,-261,2025-02-17 11:36:41,0.0
-10772,-1200,11356,-113,159,-237,2025-02-17 11:36:41,0.0
-10804,-1144,11440,-168,12,-223,2025-02-17 11:36:41,0.0
-10944,-1060,11328,-273,-168,-241,2025-02-17 11:36:41,0.0
-10908,-1060,11620,-357,-234,-157,2025-02-17 11:36:41,0.0
-10768,-996,11568,-476,-274,-144,2025-02-17 11:36:41,0.0
-10464,-1196,11424,-589,-403,-141,2025-02-17 11:36:41,0.0
-10468,-1244,11728,-608,-194,-118,2025-02-17 11:36:41,0.0
-10560,-1036,11548,-665,43,-78,2025-02-17 11:36:41,0.0
-10848,-1096,11860,-658,119,-8,2025-02-17 11:36:41,0.0
-10932,-1008,11640,-751,123,126,2025-02-17 11:36:41,0.0
-10708,-1232,11596,-869,-8,13,2025-02-17 11:36:41,0.0
-10720,-1208,11432,-768,-9,-222,2025-02-17 11:36:41,0.0
-10832,-1384,11552,-697,-61,-297,2025-02-17 11:36:41,0.0
-10700,-1516,11184,-727,66,-225,2025-02-17 11:36:41,0.0
-10648,-1648,11228,-850,9,-272,2025-02-17 11:36:41,0.0
-10808,-1760,11592,-725,-49,-31,2025-02-17 11:36:41,0.0
-10660,-1800,11224,-703,-39,171,2025-02-17 11:36:41,0.0
-10244,-1560,11684,-484,-90,177,2025-02-17 11:36:41,0.0
-10292,-1384,11608,-299,114,72,2025-02-17 11:36:41,0.0
-10800,-1348,11704,-190,249,208,2025-02-17 11:36:41,0.0
-10488,-1468,11652,-244,-66,301,2025-02-17 11:36:41,0.0
