acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-12184,160,-5460,-184,262,-242,2025-02-17 10:26:52,0.0
-12496,36,-5400,-98,246,-172,2025-02-17 10:26:52,0.0
-12244,72,-5564,-4,263,-107,2025-02-17 10:26:52,0.0
-12184,196,-5628,-177,310,-260,2025-02-17 10:26:52,0.0
-12320,68,-5384,-232,361,-316,2025-02-17 10:26:52,0.0
-12316,52,-5268,-138,321,-213,2025-02-17 10:26:52,0.0
-12372,12,-5248,-100,188,-217,2025-02-17 10:26:52,0.0
-12384,20,-5536,-105,131,-190,2025-02-17 10:26:52,0.0
-12328,96,-5508,-110,108,-217,2025-02-17 10:26:52,0.0
-12352,104,-5352,-167,144,-285,2025-02-17 10:26:52,0.0
-12500,60,-5560,-86,129,-133,2025-02-17 10:26:52,0.0
-12276,120,-5500,-17,56,-89,2025-02-17 10:26:52,0.0
-12136,180,-5692,-209,61,-232,2025-02-17 10:26:52,0.0
-12452,-100,-5240,-103,129,-243,2025-02-17 10:26:52,0.0
-12332,32,-5540,-17,115,-135,2025-02-17 10:26:52,0.0
-12144,68,-5424,-193,201,-288,2025-02-17 10:26:52,0.0
-12352,-52,-5388,-93,187,-232,2025-02-17 10:26:52,0.0
-12336,44,-5536,-26,192,-106,2025-02-17 10:26:52,0.0
-12104,56,-5644,-326,212,-357,2025-02-17 10:26:52,0.0
-12468,-36,-5308,-298,278,-279,2025-02-17 10:26:52,0.0
-12460,36,-5356,-183,311,-170,2025-02-17 10:26:52,0.0
-12288,124,-5564,-284,238,-219,2025-02-17 10:26:52,0.0
-12280,12,-5432,-223,158,-269,2025-02-17 10:26:52,0.0
-12220,-84,-5316,-148,170,-176,2025-02-17 10:26:52,0.0
-12012,12,-5536,-215,307,-263,2025-02-17 10:26:52,0.0
-12216,156,-5448,-252,294,-358,2025-02-17 10:26:52,0.0
-12424,-64,-5220,-155,274,-225,2025-02-17 10:26:52,0.0
-12284,36,-5472,-126,243,-197,2025-02-17 10:26:52,0.0
-12312,-40,-5488,-184,192,-301,2025-02-17 10:26:52,0.0
-12480,-32,-5508,-67,186,-201,2025-02-17 10:26:52,0.0
-12148,-76,-5560,-147,172,-201,2025-02-17 10:26:52,0.0
-12292,68,-5368,-181,154,-307,2025-02-17 10:26:52,0.0
-12420,-48,-5064,-22,138,-168,2025-02-17 10:26:52,0.0
-12228,12,-5364,-27,153,-153,2025-02-17 10:26:52,0.0
-12352,8,-5508,-63,196,-201,2025-02-17 10:26:52,0.0
-12256,-100,-5460,-117,224,-181,2025-02-17 10:26:52,0.0
-12212,-84,-5448,-121,288,-239,2025-02-17 10:26:52,0.0
-12432,-160,-5392,-95,234,-221,2025-02-17 10:26:52,0.0
-12304,-24,-5268,-92,239,-209,2025-02-17 10:26:52,0.0
-12304,-120,-5444,-127,243,-246,2025-02-17 10:26:52,0.0
-12380,-184,-5376,-92,220,-234,2025-02-17 10:26:52,0.0
-12284,-104,-5272,-70,293,-194,2025-02-17 10:26:52,0.0
-12264,-12,-5452,-143,329,-199,2025-02-17 10:26:52,0.0
-12312,-136,-5468,-40,365,-221,2025-02-17 10:26:52,0.0
-12388,-112,-5324,53,286,-94,2025-02-17 10:26:52,0.0
-12260,128,-5416,107,286,-149,2025-02-17 10:26:52,0.0
-12320,-92,-5404,56,280,-229,2025-02-17 10:26:52,0.0
-12444,60,-5340,171,205,-140,2025-02-17 10:26:52,0.0
-12316,-4,-5552,153,171,-106,2025-02-17 10:26:52,0.0
-12204,-16,-5472,-10,197,-218,2025-02-17 10:26:52,0.0
-12244,-60,-5448,-17,272,-264,2025-02-17 10:26:52,0.0
-12576,-108,-5320,233,203,-48,2025-02-17 10:26:53,0.0
-12124,148,-5736,136,146,-58,2025-02-17 10:26:53,0.0
-12100,92,-5608,-158,153,-328,2025-02-17 10:26:53,0.0
-12428,-68,-5240,7,140,-195,2025-02-17 10:26:53,0.0
-12216,-32,-5472,26,255,-133,2025-02-17 10:26:53,0.0
-12136,28,-5672,-132,287,-250,2025-02-17 10:26:53,0.0
-12272,-140,-5380,-92,351,-215,2025-02-17 10:26:53,0.0
-12188,-20,-5500,-67,358,-230,2025-02-17 10:26:53,0.0
-12376,-4,-5472,-115,384,-280,2025-02-17 10:26:53,0.0
-12352,68,-5340,39,301,-201,2025-02-17 10:26:53,0.0
-12240,16,-5552,-25,254,-206,2025-02-17 10:26:53,0.0
-12312,12,-5448,-93,236,-299,2025-02-17 10:26:53,0.0
-12320,-52,-5360,-21,197,-225,2025-02-17 10:26:53,0.0
-12208,80,-5492,-46,211,-246,2025-02-17 10:26:53,0.0
-12332,-68,-5272,-3,107,-262,2025-02-17 10:26:53,0.0
-12256,-4,-5592,-33,130,-263,2025-02-17 10:26:53,0.0
-12152,-56,-5424,-120,297,-319,2025-02-17 10:26:53,0.0
-12348,-112,-5356,39,345,-164,2025-02-17 10:26:53,0.0
-12068,-60,-5792,10,432,-72,2025-02-17 10:26:53,0.0
-12076,-8,-5728,-228,480,-297,2025-02-17 10:26:53,0.0
-12428,-120,-5324,-180,386,-336,2025-02-17 10:26:53,0.0
-12568,-104,-5412,120,227,-111,2025-02-17 10:26:53,0.0
-12308,224,-5484,2,0,-142,2025-02-17 10:26:53,0.0
-12296,92,-5472,-93,-34,-301,2025-02-17 10:26:53,0.0
-12540,-176,-5280,111,-99,-135,2025-02-17 10:26:53,0.0
-12436,-160,-5572,142,-55,77,2025-02-17 10:26:53,0.0
-12356,0,-5376,129,67,67,2025-02-17 10:26:53,0.0
-12356,-220,-5452,190,92,64,2025-02-17 10:26:53,0.0
-12252,-80,-5512,135,230,66,2025-02-17 10:26:53,0.0
-12096,-8,-5308,267,357,99,2025-02-17 10:26:53,0.0
-11952,12,-5384,291,716,199,2025-02-17 10:26:53,0.0
-11824,-108,-5492,156,1373,48,2025-02-17 10:26:53,0.0
-12152,-268,-5476,-9,1812,-101,2025-02-17 10:26:53,0.0
-12480,-312,-5420,-83,1981,-320,2025-02-17 10:26:53,0.0
-12936,-196,-5224,-25,1679,-393,2025-02-17 10:26:53,0.0
-12936,-100,-5180,90,870,-364,2025-02-17 10:26:53,0.0
-12764,-32,-4916,322,-307,-361,2025-02-17 10:26:53,0.0
-12560,-144,-4784,534,-810,-336,2025-02-17 10:26:53,0.0
-12276,96,-4924,741,-856,-382,2025-02-17 10:26:53,0.0
-12192,184,-5148,826,-620,-441,2025-02-17 10:26:53,0.0
-12216,108,-5240,793,-384,-610,2025-02-17 10:26:53,0.0
-12496,208,-5184,731,-239,-779,2025-02-17 10:26:53,0.0
-12620,212,-5120,677,-302,-905,2025-02-17 10:26:53,0.0
-12624,324,-5284,828,-665,-911,2025-02-17 10:26:53,0.0
-12392,48,-5972,957,-1048,-854,2025-02-17 10:26:53,0.0
-12324,32,-6364,901,-1183,-741,2025-02-17 10:26:53,0.0
-12224,136,-6296,579,-998,-645,2025-02-17 10:26:53,0.0
-12224,196,-6220,346,-931,-576,2025-02-17 10:26:53,0.0
-12120,-116,-5376,181,-1221,-680,2025-02-17 10:26:53,
-12232,-604,-4300,359,-1573,-761,2025-02-17 10:26:53,0.0
-12080,-1020,-4008,1041,-1334,-776,2025-02-17 10:26:53,0.0
-12304,-1240,-3908,1488,-498,-822,2025-02-17 10:26:53,0.0
-12700,-1188,-4004,1509,461,-901,2025-02-17 10:26:53,0.0
-13012,-1120,-3868,1270,747,-1040,2025-02-17 10:26:53,0.0
-13348,-800,-3784,1262,66,-905,2025-02-17 10:26:53,0.0
-13260,-552,-3376,1243,-918,-928,2025-02-17 10:26:53,0.0
-12712,-676,-2832,1194,-1131,-1209,2025-02-17 10:26:53,0.0
-11980,-1028,-3252,883,-1108,-1394,2025-02-17 10:26:53,0.0
-11532,-1404,-3812,44,-204,-1871,2025-02-17 10:26:53,0.0
-11468,-1260,-4248,-804,1220,-2342,2025-02-17 10:26:53,0.0
-11460,-1012,-3988,-1518,2867,-2557,2025-02-17 10:26:53,0.0
-11268,-1000,-3644,-2293,3958,-2715,2025-02-17 10:26:54,0.0
-11316,-1052,-4248,-2709,3741,-2758,2025-02-17 10:26:54,0.0
-11432,-1072,-4876,-2962,3600,-2649,2025-02-17 10:26:54,0.0
-12048,-976,-5536,-3340,4245,-2373,2025-02-17 10:26:54,0.0
-12320,-1264,-5776,-3795,5235,-2010,2025-02-17 10:26:54,0.0
-12836,-1616,-4944,-4022,5865,-1786,2025-02-17 10:26:54,0.0
-13740,-2148,-4396,-3943,5070,-1999,2025-02-17 10:26:54,0.0
-14800,-2520,-4328,-3816,3715,-1733,2025-02-17 10:26:54,0.0
-15100,-2648,-3368,-3299,1913,-928,2025-02-17 10:26:54,0.0
-14792,-2556,-2712,-2252,174,-4,2025-02-17 10:26:54,0.0
-13520,-2304,-3316,-1670,-549,329,2025-02-17 10:26:54,0.0
-13064,-1944,-4064,-1727,-512,356,2025-02-17 10:26:54,0.0
-12756,-1728,-4224,-1771,-391,518,2025-02-17 10:26:54,0.0
-12736,-1932,-3580,-1256,129,747,2025-02-17 10:26:54,0.0
-12308,-2120,-3524,-922,781,522,2025-02-17 10:26:54,0.0
-12428,-1800,-4448,-695,882,218,2025-02-17 10:26:54,0.0
-13544,-844,-5336,-797,882,263,2025-02-17 10:26:54,0.0
-14464,300,-5340,-1009,366,541,2025-02-17 10:26:54,0.0
-14400,236,-4280,-444,-2208,146,2025-02-17 10:26:54,0.0
-14108,-1048,-3672,306,-5274,-527,2025-02-17 10:26:54,0.0
-13472,-2388,-3384,448,-8204,-956,2025-02-17 10:26:54,0.0
-12984,-3448,-4236,202,-9294,-1102,2025-02-17 10:26:54,0.0
-13428,-3300,-5564,-731,-7459,-804,2025-02-17 10:26:54,0.0
-13668,-2868,-6276,-2315,-2415,-722,2025-02-17 10:26:54,0.0
-13532,-3568,-7128,-4257,2867,-1288,2025-02-17 10:26:54,0.0
-14880,-4116,-7664,-5896,6177,-971,2025-02-17 10:26:54,0.0
-14836,-3860,-6604,-6450,6449,-611,2025-02-17 10:26:54,0.0
-15448,-2588,-5244,-5329,4736,-745,2025-02-17 10:26:54,0.0
-16620,-1152,-4996,-4098,1311,-563,2025-02-17 10:26:54,0.0
-15796,-1788,-5172,-3119,-3296,424,2025-02-17 10:26:54,0.0
-14348,-2288,-5320,-1845,-6906,1624,2025-02-17 10:26:54,0.0
-12584,-2180,-6944,-719,-7639,2687,2025-02-17 10:26:54,0.0
-10764,-636,-8208,-347,-7069,3341,2025-02-17 10:26:54,0.0
-9392,964,-7056,-178,-5091,3683,2025-02-17 10:26:54,0.0
-8632,2288,-5468,286,-3433,3718,2025-02-17 10:26:54,0.0
-8132,2480,-5060,798,-2078,3634,2025-02-17 10:26:54,0.0
-8360,2104,-5420,1207,-774,3424,2025-02-17 10:26:54,0.0
-9148,1484,-5888,1393,848,3206,2025-02-17 10:26:54,0.0
-10612,692,-6244,1078,2787,3214,2025-02-17 10:26:54,0.0
-11672,488,-5872,589,4745,3223,2025-02-17 10:26:54,0.0
-12868,452,-5416,-162,5029,3067,2025-02-17 10:26:54,0.0
-14392,1328,-5280,-497,3820,3319,2025-02-17 10:26:54,0.0
-14264,1040,-6144,-565,3403,3683,2025-02-17 10:26:54,0.0
-13364,1364,-5816,-318,777,3950,2025-02-17 10:26:54,0.0
-12180,1468,-6004,77,-4037,3547,2025-02-17 10:26:54,0.0
-11276,1372,-5760,-113,-8863,3005,2025-02-17 10:26:54,0.0
-11500,1460,-976,350,-8234,2547,2025-02-17 10:26:54,0.0
-10492,1504,-2064,920,-3678,3122,2025-02-17 10:26:54,0.0
-9228,1676,-3304,1172,-1634,3451,2025-02-17 10:26:54,0.0
-8680,2252,-3780,1468,40,2874,2025-02-17 10:26:54,0.0
-9824,2416,-3672,1498,1270,1824,2025-02-17 10:26:54,0.0
-11256,2284,-3100,1298,2115,1303,2025-02-17 10:26:54,0.0
-11896,2084,-2716,1695,1917,979,2025-02-17 10:26:54,0.0
-11628,2376,-2572,1939,869,554,2025-02-17 10:26:54,0.0
-11240,2540,-3112,1861,-24,-89,2025-02-17 10:26:54,0.0
-11256,2172,-2936,1580,-514,-586,2025-02-17 10:26:54,0.0
-11392,1892,-2624,1500,-330,-772,2025-02-17 10:26:54,0.0
-11372,2236,-2904,1439,-128,-988,2025-02-17 10:26:54,0.0
-11764,2404,-3768,1219,400,-1205,2025-02-17 10:26:54,0.0
-12208,2324,-3432,1066,909,-1299,2025-02-17 10:26:54,0.0
-12712,1604,-3720,1034,1488,-1231,2025-02-17 10:26:54,0.0
-13488,1244,-4976,1152,2002,-956,2025-02-17 10:26:55,0.0
-14656,1824,-5264,1165,2269,-118,2025-02-17 10:26:55,0.0
-15396,2080,-3812,1432,1728,550,2025-02-17 10:26:55,0.0
-15596,1068,-2828,1509,877,1132,2025-02-17 10:26:55,0.0
-15904,-28,-1080,1549,674,1827,2025-02-17 10:26:55,0.0
-15760,-232,60,2163,717,2203,2025-02-17 10:26:55,0.0
-16092,1848,-1232,3670,503,2580,2025-02-17 10:26:55,0.0
-16028,3868,-4784,4162,1034,3309,2025-02-17 10:26:55,0.0
-15780,5492,-7168,3680,475,3102,2025-02-17 10:26:55,0.0
-16132,6548,-7596,2666,-515,2501,2025-02-17 10:26:55,0.0
-16284,6356,-7448,1955,-1625,2112,2025-02-17 10:26:55,0.0
-15728,5664,-7712,1718,-2832,1784,2025-02-17 10:26:55,0.0
-14392,5048,-7908,1684,-4919,936,2025-02-17 10:26:55,0.0
-12244,4324,-7244,2053,-7283,-1151,2025-02-17 10:26:55,0.0
-10360,2792,-7232,1920,-9945,-3464,2025-02-17 10:26:55,0.0
-9612,996,-6916,1022,-12211,-5094,2025-02-17 10:26:55,0.0
-9224,-932,-5708,580,-11271,-4895,2025-02-17 10:26:55,0.0
-9944,-2624,-6536,-635,-6081,-3473,2025-02-17 10:26:55,0.0
-10632,-1928,-6288,-2000,1792,-1790,2025-02-17 10:26:55,0.0
-10664,-516,-5448,-2915,7491,-852,2025-02-17 10:26:55,0.0
-11044,1456,-4132,-3290,9248,-1307,2025-02-17 10:26:55,0.0
-11864,2820,-3008,-2350,6335,-3462,2025-02-17 10:26:55,0.0
-13516,2472,-3652,-1601,2464,-5064,2025-02-17 10:26:55,0.0
-13748,552,-4672,-1131,-952,-5564,2025-02-17 10:26:55,0.0
-13500,-1216,-4308,-325,-4103,-5231,2025-02-17 10:26:55,0.0
-12848,-1988,-4012,99,-6381,-4147,2025-02-17 10:26:55,0.0
-11420,-1688,-3424,328,-6982,-2701,2025-02-17 10:26:55,
-9856,-1352,-4172,420,-5495,-2073,2025-02-17 10:26:55,0.0
-9580,-564,-4332,-257,-2938,-1681,2025-02-17 10:26:55,0.0
-9380,-552,-3824,-988,786,-1682,2025-02-17 10:26:55,0.0
-9632,-940,-3700,-1510,3718,-1961,2025-02-17 10:26:55,0.0
-10912,-1272,-4224,-2301,5972,-1900,2025-02-17 10:26:55,0.0
-12164,-1376,-4064,-3121,7745,-1276,2025-02-17 10:26:55,0.0
-12672,-1104,-2868,-3486,8090,-748,2025-02-17 10:26:55,0.0
-12880,-768,-2404,-3021,6792,-695,2025-02-17 10:26:55,0.0
-13048,-636,-1940,-2408,3637,-867,2025-02-17 10:26:55,0.0
-13516,-612,-1996,-1354,864,-614,2025-02-17 10:26:55,0.0
-13032,-744,-2708,-751,-588,-70,2025-02-17 10:26:55,0.0
-11832,-576,-2776,-669,-556,-119,2025-02-17 10:26:55,0.0
-11760,-548,-2944,-799,-241,-541,2025-02-17 10:26:55,0.0
-12000,-320,-3172,-1072,252,-866,2025-02-17 10:26:55,0.0
-12600,-124,-2660,-1246,901,-1140,2025-02-17 10:26:55,0.0
-13140,288,-2520,-1093,1148,-1429,2025-02-17 10:26:55,0.0
-13868,-128,-2888,-1038,370,-2282,2025-02-17 10:26:55,0.0
-14740,-764,-2520,-1493,-1365,-3068,2025-02-17 10:26:55,0.0
-15352,-1384,-1672,-1913,-3545,-3411,2025-02-17 10:26:55,0.0
-15356,-1680,-860,-1792,-6174,-2923,2025-02-17 10:26:55,0.0
-14980,-1872,-296,-1520,-7823,-2320,2025-02-17 10:26:55,0.0
-13880,-2040,-3060,-1241,-7817,-2124,2025-02-17 10:26:55,0.0
-13760,-2160,-6348,-1546,-3809,-2543,2025-02-17 10:26:55,0.0
-14748,-2796,-9036,-3489,5197,-3323,2025-02-17 10:26:55,0.0
-14168,-3196,-8504,-4632,10406,-4537,2025-02-17 10:26:55,0.0
-14724,-2556,-7584,-4767,11529,-6192,2025-02-17 10:26:55,0.0
-16672,-2372,-6388,-4228,9768,-6627,2025-02-17 10:26:55,0.0
-18740,-1984,-4972,-2184,5984,-3926,2025-02-17 10:26:55,0.0
-17900,-1928,-5044,-334,2104,112,2025-02-17 10:26:55,0.0
-14108,-1032,-6332,1413,-2441,3843,2025-02-17 10:26:55,0.0
-10740,4,-7716,2003,-6424,4118,2025-02-17 10:26:55,0.0
-9028,908,-8184,1524,-9793,2619,2025-02-17 10:26:55,0.0
-9672,1432,-2700,1604,-8390,370,2025-02-17 10:26:55,0.0
-12428,-596,-5612,1028,-485,806,2025-02-17 10:26:56,0.0
-12568,-1540,-6424,-401,4797,3374,2025-02-17 10:26:56,0.0
-11932,-1580,-5028,-855,6572,4344,2025-02-17 10:26:56,0.0
-12492,-1148,-5424,-718,6293,4576,2025-02-17 10:26:56,0.0
