acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-12352,-228,8532,-163,126,-164,2025-02-17 10:46:44,0.0
-12308,-36,8596,-151,99,-140,2025-02-17 10:46:44,0.0
-12360,44,8616,-157,99,-114,2025-02-17 10:46:45,0.0
-12372,-96,8656,-164,92,-169,2025-02-17 10:46:45,0.0
-12496,-64,8844,-145,96,-183,2025-02-17 10:46:45,0.0
-12468,-60,8588,-131,116,-143,2025-02-17 10:46:45,0.0
-12492,-56,8696,-144,66,-111,2025-02-17 10:46:45,0.0
-12484,-16,8864,-147,49,-152,2025-02-17 10:46:45,0.0
-12320,-92,8564,-145,76,-176,2025-02-17 10:46:45,0.0
-12404,-56,8668,-159,90,-188,2025-02-17 10:46:45,0.0
-12416,-164,8644,-147,69,-203,2025-02-17 10:46:45,0.0
-12488,-208,8676,-157,59,-156,2025-02-17 10:46:45,0.0
-12408,-200,8684,-153,6,-166,2025-02-17 10:46:45,0.0
-12412,-156,8600,-165,25,-160,2025-02-17 10:46:45,0.0
-12460,-164,8796,-186,24,-154,2025-02-17 10:46:45,0.0
-12336,-184,8568,-129,35,-158,2025-02-17 10:46:45,0.0
-12340,-164,8644,-138,-2,-156,2025-02-17 10:46:45,0.0
-12440,-120,8696,-143,31,-172,2025-02-17 10:46:45,0.0
-12336,-72,8792,-159,13,-197,2025-02-17 10:46:45,0.0
-12300,-220,8680,-148,-11,-185,2025-02-17 10:46:45,0.0
-12268,-76,8792,-125,39,-141,2025-02-17 10:46:45,0.0
-12292,-76,8792,-137,51,-156,2025-02-17 10:46:45,0.0
-12348,4,8740,-165,93,-192,2025-02-17 10:46:45,0.0
-12264,-176,8784,-150,100,-175,2025-02-17 10:46:45,0.0
-12216,-100,8724,-104,33,-148,2025-02-17 10:46:45,0.0
-12432,-48,8920,-147,98,-192,2025-02-17 10:46:45,0.0
-12676,-40,8688,-146,118,-161,2025-02-17 10:46:45,0.0
-12488,-148,8520,-155,-67,-135,2025-02-17 10:46:45,0.0
-12328,-164,8544,-147,-118,-150,2025-02-17 10:46:45,0.0
-12260,-124,8708,-170,-141,-147,2025-02-17 10:46:45,0.0
-12164,-116,8692,-161,-237,-152,2025-02-17 10:46:45,0.0
-12256,-164,8840,-187,-203,-194,2025-02-17 10:46:45,0.0
-12272,-92,9040,-132,-160,-179,2025-02-17 10:46:45,0.0
-12248,-152,9004,-151,-69,-163,2025-02-17 10:46:45,0.0
-12268,-148,8920,-156,-25,-145,2025-02-17 10:46:45,0.0
-12260,-76,8896,-180,-9,-180,2025-02-17 10:46:45,0.0
-12444,-76,8872,-124,-1,-162,2025-02-17 10:46:45,0.0
-12288,-252,8716,-138,-15,-111,2025-02-17 10:46:45,0.0
-12288,-60,8808,-132,-25,-161,2025-02-17 10:46:45,0.0
-12272,-48,8916,-136,8,-148,2025-02-17 10:46:45,0.0
-12280,-100,8784,-178,-2,-167,2025-02-17 10:46:45,0.0
-12332,-124,8976,-163,1,-180,2025-02-17 10:46:45,0.0
-12328,-112,8772,-163,20,-148,2025-02-17 10:46:45,0.0
-12272,-40,8776,-165,4,-146,2025-02-17 10:46:45,0.0
-12244,-72,8924,-124,7,-124,2025-02-17 10:46:45,0.0
-12200,-128,9016,-133,-11,-158,2025-02-17 10:46:45,0.0
-12276,52,8936,-160,11,-148,2025-02-17 10:46:45,0.0
-12144,-52,8968,-147,18,-155,2025-02-17 10:46:45,0.0
-12268,-36,8788,-153,25,-142,2025-02-17 10:46:45,0.0
-12208,-40,8912,-122,39,-136,2025-02-17 10:46:45,0.0
-12300,-172,9004,-147,101,-153,2025-02-17 10:46:45,0.0
-12172,-144,8964,-152,95,-166,2025-02-17 10:46:45,0.0
-12176,0,9084,-151,114,-149,2025-02-17 10:46:45,0.0
-12236,-72,8928,-154,92,-145,2025-02-17 10:46:45,0.0
-12220,-132,8844,-124,103,-131,2025-02-17 10:46:45,0.0
-12304,-64,8836,-130,118,-137,2025-02-17 10:46:45,0.0
-12192,-12,8932,-138,118,-173,2025-02-17 10:46:45,0.0
-12152,-60,8792,-133,91,-156,2025-02-17 10:46:45,0.0
-12232,-72,8900,-146,81,-172,2025-02-17 10:46:45,0.0
-12212,-84,8928,-147,146,-166,2025-02-17 10:46:45,0.0
-12228,-116,8936,-145,135,-153,2025-02-17 10:46:46,0.0
-12276,-72,9044,-147,95,-135,2025-02-17 10:46:46,0.0
-12156,-104,9048,-150,95,-141,2025-02-17 10:46:46,0.0
-12084,-32,9156,-144,160,-171,2025-02-17 10:46:46,0.0
-12252,-96,9076,-169,197,-171,2025-02-17 10:46:46,0.0
-12304,-56,8856,-170,246,-157,2025-02-17 10:46:46,0.0
-12308,-96,9228,-176,233,-175,2025-02-17 10:46:46,0.0
-12268,-80,9028,-151,257,-197,2025-02-17 10:46:46,0.0
-12304,-112,9084,-124,341,-194,2025-02-17 10:46:46,0.0
-12464,4,8796,-129,314,-109,2025-02-17 10:46:46,0.0
-12304,-28,8676,-84,251,-109,2025-02-17 10:46:46,0.0
-12384,-32,9056,87,323,1,2025-02-17 10:46:46,0.0
-12392,232,9080,178,436,18,2025-02-17 10:46:46,0.0
-12340,592,9164,321,859,-155,2025-02-17 10:46:46,0.0
-12516,60,9456,454,1574,-370,2025-02-17 10:46:46,0.0
-13444,-820,8836,843,1233,-45,2025-02-17 10:46:46,0.0
-13084,-644,8084,792,-190,597,2025-02-17 10:46:46,0.0
-12804,-456,8328,571,-788,1120,2025-02-17 10:46:46,0.0
-12212,-128,8204,237,-442,1285,2025-02-17 10:46:46,0.0
-13008,-28,8764,221,664,1629,2025-02-17 10:46:46,0.0
-12396,32,7912,-66,548,1693,2025-02-17 10:46:46,0.0
-11796,420,7672,-437,-311,1388,2025-02-17 10:46:46,0.0
-11336,784,7848,-724,-736,954,2025-02-17 10:46:46,0.0
-11288,844,8620,-767,-478,493,2025-02-17 10:46:46,0.0
-11836,488,9364,-581,-175,278,2025-02-17 10:46:46,0.0
-11820,292,9584,-360,-200,-37,2025-02-17 10:46:46,0.0
-11468,592,9356,-381,-201,-453,2025-02-17 10:46:46,0.0
-11584,568,9548,-458,140,-812,2025-02-17 10:46:46,0.0
-11664,488,9516,-424,457,-993,2025-02-17 10:46:46,0.0
-11548,576,9256,-559,716,-1106,2025-02-17 10:46:46,0.0
-11600,380,9028,-741,891,-1293,2025-02-17 10:46:46,0.0
-12008,720,9044,-975,547,-1275,2025-02-17 10:46:46,0.0
-11812,948,9060,-1078,-67,-1151,2025-02-17 10:46:46,0.0
-11552,1012,10244,-1170,248,-1083,2025-02-17 10:46:46,0.0
-10804,772,10432,-1286,1291,-1254,2025-02-17 10:46:46,0.0
-10832,128,10416,-1406,2509,-1549,2025-02-17 10:46:46,0.0
-11348,-308,10540,-1225,3125,-1610,2025-02-17 10:46:46,0.0
-11232,-996,10340,-1001,3230,-1913,2025-02-17 10:46:46,0.0
-11328,-324,9364,-1055,3768,-2065,2025-02-17 10:46:46,0.0
-11492,-1080,9092,-1042,3432,-2642,2025-02-17 10:46:46,
-11768,-372,9220,-1192,3102,-2897,2025-02-17 10:46:46,0.0
-12608,-960,9028,-1288,3388,-3078,2025-02-17 10:46:46,0.0
-14468,-908,9632,-1341,4992,-2205,2025-02-17 10:46:46,0.0
-16172,-452,8800,-1737,5271,-906,2025-02-17 10:46:46,0.0
-14528,364,9812,-2476,6137,-502,2025-02-17 10:46:46,0.0
-12416,592,11044,-3036,9038,-788,2025-02-17 10:46:46,0.0
-12260,-456,11484,-3063,12310,-1513,2025-02-17 10:46:46,0.0
-13960,-1584,10124,-2358,13977,-2629,2025-02-17 10:46:46,0.0
-16336,-2032,9668,-1781,13623,-2817,2025-02-17 10:46:46,0.0
-17380,-2268,9628,-834,11271,-2918,2025-02-17 10:46:46,0.0
-18476,-1808,9572,-183,7226,-2197,2025-02-17 10:46:46,0.0
-17376,-756,7848,-39,4745,-1490,2025-02-17 10:46:46,0.0
-16420,-1096,6348,-79,5028,-1116,2025-02-17 10:46:46,0.0
-16180,-1444,6008,-41,6408,-881,2025-02-17 10:46:46,0.0
-16164,-1480,5952,241,6267,-642,2025-02-17 10:46:46,0.0
-15468,-1688,5208,601,5314,-693,2025-02-17 10:46:46,0.0
-15688,-804,4684,719,4791,-996,2025-02-17 10:46:46,0.0
-16028,-444,3976,815,5400,-1034,2025-02-17 10:46:46,0.0
-16676,-532,3816,697,6747,-857,2025-02-17 10:46:46,0.0
-16928,-1008,3580,546,7500,-702,2025-02-17 10:46:46,0.0
-15852,-924,3604,441,8052,-602,2025-02-17 10:46:46,0.0
-15436,-1012,3136,456,8876,-854,2025-02-17 10:46:46,0.0
-15976,-1032,2864,498,9444,-816,2025-02-17 10:46:46,0.0
-15908,-824,2396,471,9985,-618,2025-02-17 10:46:46,0.0
-15972,-1400,1832,559,9626,-491,2025-02-17 10:46:47,0.0
-15492,-1892,1620,555,8836,-803,2025-02-17 10:46:47,0.0
-15956,-2204,2228,789,8195,-1088,2025-02-17 10:46:47,0.0
-16048,-2012,2164,776,8013,-1195,2025-02-17 10:46:47,0.0
-16044,-2104,928,1065,7729,-1295,2025-02-17 10:46:47,0.0
-14976,-1336,-336,448,6277,-1491,2025-02-17 10:46:47,0.0
-15200,1072,612,-625,6159,-1222,2025-02-17 10:46:47,0.0
-14340,-184,888,8,5416,-366,2025-02-17 10:46:47,0.0
-13136,-596,-784,357,5337,110,2025-02-17 10:46:47,0.0
-14200,-1280,544,581,5728,737,2025-02-17 10:46:47,0.0
-13024,-1748,-496,529,5486,99,2025-02-17 10:46:47,0.0
-13076,-1532,452,1184,4342,-551,2025-02-17 10:46:47,0.0
-13304,-908,-348,1194,2772,-1089,2025-02-17 10:46:47,0.0
-4576,76,-1328,745,2616,-529,2025-02-17 10:46:47,0.0
-13012,-2016,1808,1457,1425,157,2025-02-17 10:46:47,0.0
-11900,-3320,1040,3662,290,1123,2025-02-17 10:46:47,0.0
-10708,-2264,-732,3705,665,1038,2025-02-17 10:46:47,0.0
-10436,-2080,-488,3540,952,-324,2025-02-17 10:46:47,0.0
-10932,-2380,-296,3342,1034,-913,2025-02-17 10:46:47,0.0
-10640,-2468,-168,3223,1523,-737,2025-02-17 10:46:47,0.0
-9604,-2496,300,3103,1134,-678,2025-02-17 10:46:47,0.0
-8700,-2852,-428,3352,-605,-1068,2025-02-17 10:46:47,0.0
-8808,-2504,-940,3403,-1109,-1137,2025-02-17 10:46:47,0.0
-8632,-2220,-360,3009,-109,-832,2025-02-17 10:46:47,0.0
-8652,-2560,136,2569,1350,-758,2025-02-17 10:46:47,0.0
-9432,-3200,1352,2841,2244,-810,2025-02-17 10:46:47,0.0
-10048,-3552,944,3103,1950,-315,2025-02-17 10:46:47,0.0
-10404,-3572,528,3531,1150,313,2025-02-17 10:46:47,0.0
-10688,-3072,396,3911,230,1076,2025-02-17 10:46:47,0.0
-10588,-2844,528,4317,-728,1542,2025-02-17 10:46:47,0.0
-10564,-2332,356,4468,-1489,1900,2025-02-17 10:46:47,0.0
-11252,-1928,140,4132,-2227,2047,2025-02-17 10:46:47,0.0
-11048,-1496,-72,3593,-3042,1859,2025-02-17 10:46:47,0.0
-11324,-1652,28,2949,-3242,1689,2025-02-17 10:46:47,0.0
-11216,-1716,-436,1694,-2533,1741,2025-02-17 10:46:47,0.0
-11568,-2036,-40,1020,-1908,1673,2025-02-17 10:46:47,0.0
