acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-13236,-912,-2776,-48,220,-152,2025-02-17 11:20:00,0.0
-13200,-792,-2824,-188,318,-223,2025-02-17 11:20:00,0.0
-13272,-984,-2784,-119,292,-266,2025-02-17 11:20:00,0.0
-13220,-932,-2672,32,283,-245,2025-02-17 11:20:00,0.0
-13200,-996,-2780,-58,270,-237,2025-02-17 11:20:00,0.0
-13228,-1016,-2888,-229,328,-313,2025-02-17 11:20:00,0.0
-13312,-1060,-2744,-134,303,-244,2025-02-17 11:20:00,0.0
-13220,-988,-2876,-110,255,-217,2025-02-17 11:20:00,0.0
-13236,-992,-2708,-57,205,-207,2025-02-17 11:20:00,0.0
-13244,-904,-3072,-95,202,-202,2025-02-17 11:20:00,0.0
-13128,-804,-2804,-229,320,-307,2025-02-17 11:20:00,0.0
-13300,-884,-2656,22,404,-205,2025-02-17 11:20:00,0.0
-13220,-900,-3076,2,327,-119,2025-02-17 11:20:00,0.0
-13300,-1016,-3112,-170,218,-229,2025-02-17 11:20:00,0.0
-13340,-972,-2716,-104,110,-209,2025-02-17 11:20:00,0.0
-13252,-984,-2880,-59,128,-217,2025-02-17 11:20:00,0.0
-13176,-988,-2836,7,115,-240,2025-02-17 11:20:00,0.0
-13216,-988,-2728,19,194,-254,2025-02-17 11:20:00,0.0
-13148,-880,-2968,-14,278,-255,2025-02-17 11:20:00,0.0
-13308,-1000,-3080,-40,273,-223,2025-02-17 11:20:00,0.0
-13144,-936,-3280,-161,204,-190,2025-02-17 11:20:00,0.0
-13348,-1072,-3048,-186,288,-222,2025-02-17 11:20:00,0.0
-13200,-1064,-2776,-86,325,-220,2025-02-17 11:20:01,0.0
-13152,-904,-2832,-28,288,-147,2025-02-17 11:20:01,0.0
-13244,-920,-3144,-51,358,-163,2025-02-17 11:20:01,0.0
-13148,-1004,-3076,-49,315,-195,2025-02-17 11:20:01,0.0
-13240,-972,-2936,-4,261,-140,2025-02-17 11:20:01,0.0
-13104,-944,-3072,-64,305,-181,2025-02-17 11:20:01,0.0
-13116,-1040,-3072,-173,277,-241,2025-02-17 11:20:01,0.0
-13096,-1056,-2864,-112,279,-214,2025-02-17 11:20:01,0.0
-13120,-1000,-2872,37,340,-194,2025-02-17 11:20:01,0.0
-13052,-952,-3076,127,295,-142,2025-02-17 11:20:01,0.0
-13176,-856,-3124,9,309,-168,2025-02-17 11:20:01,0.0
-13228,-1088,-2948,111,321,-109,2025-02-17 11:20:01,0.0
-13228,-960,-2972,246,312,-22,2025-02-17 11:20:01,0.0
-13172,-868,-3316,140,389,-117,2025-02-17 11:20:01,0.0
-13164,-868,-3208,99,408,-88,2025-02-17 11:20:01,0.0
-13240,-840,-3120,161,339,-47,2025-02-17 11:20:01,0.0
-13220,-996,-3088,183,294,-61,2025-02-17 11:20:01,0.0
-13088,-836,-2872,184,356,-76,2025-02-17 11:20:01,0.0
-13216,-776,-3136,159,365,-70,2025-02-17 11:20:01,0.0
-12992,-760,-2948,171,403,-125,2025-02-17 11:20:01,0.0
-13084,-828,-3108,100,496,-151,2025-02-17 11:20:01,0.0
-13136,-844,-3036,105,477,-159,2025-02-17 11:20:01,0.0
-13076,-888,-3096,118,577,-125,2025-02-17 11:20:01,0.0
-13056,-780,-3068,180,697,-45,2025-02-17 11:20:01,0.0
-13124,-820,-3260,131,761,-52,2025-02-17 11:20:01,0.0
-13144,-764,-3140,111,732,-94,2025-02-17 11:20:01,0.0
-13304,-808,-3328,60,710,-57,2025-02-17 11:20:01,0.0
-13172,-760,-3088,70,684,-39,2025-02-17 11:20:01,0.0
-13072,-616,-3004,118,733,-81,2025-02-17 11:20:01,0.0
-13164,-616,-2960,163,686,-95,2025-02-17 11:20:01,0.0
-13300,-652,-3088,210,679,-81,2025-02-17 11:20:01,0.0
-13208,-612,-3020,213,534,-84,2025-02-17 11:20:01,0.0
-13332,-608,-2944,286,425,-33,2025-02-17 11:20:01,0.0
-13208,-464,-3432,278,304,29,2025-02-17 11:20:01,0.0
-13276,-308,-3004,218,195,14,2025-02-17 11:20:01,0.0
-13272,-108,-3144,172,263,-5,2025-02-17 11:20:01,0.0
-13400,-16,-3092,124,212,-29,2025-02-17 11:20:01,0.0
-13696,20,-2816,141,97,-7,2025-02-17 11:20:01,0.0
-13772,160,-2768,143,-182,-23,2025-02-17 11:20:01,0.0
-13700,300,-2728,7,-477,-127,2025-02-17 11:20:01,0.0
-13428,200,-2824,-105,-1043,-389,2025-02-17 11:20:01,0.0
-13324,96,-2984,-407,-1761,-763,2025-02-17 11:20:01,0.0
-13344,-356,-3580,-1377,-1864,-1667,2025-02-17 11:20:01,0.0
-13044,-760,-3616,-1455,-1833,-1989,2025-02-17 11:20:01,0.0
-12932,-1044,-3868,-1424,-2078,-2044,2025-02-17 11:20:01,0.0
-12276,-1212,-3604,-1391,-2100,-2087,2025-02-17 11:20:01,0.0
