acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-12884,-420,-4300,474,-980,-491,2025-02-17 11:28:22,0.0
-12720,-508,-3992,891,-1360,-735,2025-02-17 11:28:22,0.0
-12736,-420,-4004,1175,-1420,-873,2025-02-17 11:28:22,0.0
-12932,-392,-4156,1036,-1308,-768,2025-02-17 11:28:22,0.0
-13044,-452,-4044,823,-952,-473,2025-02-17 11:28:22,0.0
-12824,-592,-3984,914,-505,-104,2025-02-17 11:28:22,0.0
-12664,-492,-4560,845,-298,-8,2025-02-17 11:28:22,0.0
-12692,-508,-4556,367,-45,19,2025-02-17 11:28:22,0.0
-12788,-516,-3964,30,346,-121,2025-02-17 11:28:22,0.0
-12980,-504,-3860,-6,514,-148,2025-02-17 11:28:22,0.0
-13008,-448,-3684,114,352,-94,2025-02-17 11:28:22,0.0
-13036,-360,-3800,291,50,-49,2025-02-17 11:28:22,0.0
-12940,-368,-4340,427,-186,-73,2025-02-17 11:28:22,0.0
-12756,-540,-4168,260,-94,32,2025-02-17 11:28:22,0.0
-12780,-360,-4268,289,116,49,2025-02-17 11:28:22,0.0
-12772,-308,-4076,360,257,128,2025-02-17 11:28:22,0.0
-12924,-104,-4336,-46,375,122,2025-02-17 11:28:22,0.0
-12760,-76,-4320,-616,680,-77,2025-02-17 11:28:22,0.0
-12784,-80,-4116,-1324,962,-200,2025-02-17 11:28:22,0.0
-12676,-232,-4176,-1538,1184,-140,2025-02-17 11:28:22,0.0
-12744,-456,-4012,-1193,1166,-62,2025-02-17 11:28:22,0.0
-12732,-424,-3916,-450,731,-63,2025-02-17 11:28:22,0.0
-12960,-280,-4088,-203,77,-138,2025-02-17 11:28:22,0.0
-12968,-236,-4028,-81,-387,-240,2025-02-17 11:28:22,0.0
-12676,-220,-4076,-115,-561,-356,2025-02-17 11:28:22,0.0
-12700,-296,-4004,21,-566,-416,2025-02-17 11:28:22,0.0
-12720,-188,-4224,-102,-306,-288,2025-02-17 11:28:22,0.0
-12680,-216,-4096,-151,-70,-329,2025-02-17 11:28:22,0.0
-12716,-220,-4084,-300,92,-317,2025-02-17 11:28:22,0.0
-12880,-304,-4116,-459,302,-310,2025-02-17 11:28:22,0.0
-13008,-292,-4012,-386,385,-237,2025-02-17 11:28:22,0.0
-12988,-352,-4048,-344,308,-233,2025-02-17 11:28:22,0.0
-12992,-396,-4064,-343,260,-248,2025-02-17 11:28:22,0.0
-12836,-376,-3912,-310,203,-268,2025-02-17 11:28:22,0.0
-12768,-372,-3888,-114,175,-248,2025-02-17 11:28:22,0.0
-12812,-288,-4364,-100,204,-258,2025-02-17 11:28:22,0.0
-12848,-308,-4116,-80,317,-241,2025-02-17 11:28:22,0.0
-12832,-324,-4072,-75,459,-180,2025-02-17 11:28:22,0.0
-12820,-468,-3868,77,458,-256,2025-02-17 11:28:22,0.0
-13068,-484,-4288,256,354,-48,2025-02-17 11:28:22,0.0
-12896,-416,-3960,413,314,152,2025-02-17 11:28:22,0.0
-13000,-204,-3652,589,325,281,2025-02-17 11:28:22,0.0
-13152,-72,-4016,899,275,459,2025-02-17 11:28:22,0.0
-13308,-136,-4392,747,524,589,2025-02-17 11:28:23,0.0
-13216,204,-4600,490,736,924,2025-02-17 11:28:23,0.0
-12928,108,-4632,359,872,1068,2025-02-17 11:28:23,0.0
-12416,28,-4248,604,723,1166,2025-02-17 11:28:23,0.0
-12252,-20,-3188,899,-434,896,2025-02-17 11:28:23,0.0
-11796,456,-3280,496,-1748,-23,2025-02-17 11:28:23,0.0
-11904,-8,-1816,393,-1357,-942,2025-02-17 11:28:23,0.0
-13120,-664,-1496,830,302,-860,2025-02-17 11:28:23,0.0
