acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-13200,-352,-3072,-256,171,-168,2025-01-29 15:05:52,0.0
-13236,-280,-3236,-243,117,-146,2025-01-29 15:05:52,0.0
-13048,-248,-3240,-191,18,-162,2025-01-29 15:05:52,0.0
-13100,-220,-3136,-211,39,-131,2025-01-29 15:05:52,0.0
-13028,-280,-3324,-165,66,-168,2025-01-29 15:05:52,0.0
-13012,-140,-3324,-185,182,-191,2025-01-29 15:05:52,0.0
-13168,-264,-3312,-191,242,-202,2025-01-29 15:05:52,0.0
-13152,-148,-3196,-182,275,-193,2025-01-29 15:05:52,0.0
-13096,-244,-3244,-185,125,-167,2025-01-29 15:05:52,0.0
-13128,-280,-3328,-207,4,-147,2025-01-29 15:05:53,0.0
-13116,-220,-2932,-269,137,-201,2025-01-29 15:05:53,0.0
-13112,-208,-3080,-275,164,-202,2025-01-29 15:05:53,0.0
-13196,-240,-3076,-241,123,-199,2025-01-29 15:05:53,0.0
-13152,-188,-3132,-219,126,-159,2025-01-29 15:05:53,0.0
-13260,-200,-3100,-304,124,-181,2025-01-29 15:05:53,0.0
-13124,-208,-3312,-278,93,-162,2025-01-29 15:05:53,0.0
-13104,-168,-3028,-261,105,-172,2025-01-29 15:05:53,0.0
-13236,-192,-3008,-232,132,-204,2025-01-29 15:05:53,0.0
-13156,-340,-2820,-110,209,-158,2025-01-29 15:05:53,0.0
-13200,-408,-3076,-52,154,-143,2025-01-29 15:05:53,0.0
-13256,-268,-3088,-69,76,-140,2025-01-29 15:05:53,0.0
-13176,-216,-3080,-9,44,-161,2025-01-29 15:05:53,0.0
-13080,-164,-3116,2,90,-163,2025-01-29 15:05:53,0.0
-12972,-244,-3208,-65,135,-174,2025-01-29 15:05:53,0.0
-13052,-164,-3124,-74,293,-188,2025-01-29 15:05:53,0.0
-13128,-128,-3000,-112,375,-190,2025-01-29 15:05:53,0.0
-13128,-100,-3060,-130,318,-202,2025-01-29 15:05:53,0.0
-13188,-132,-3008,-128,251,-195,2025-01-29 15:05:53,0.0
-13048,-80,-3184,-107,217,-201,2025-01-29 15:05:53,0.0
-13128,-208,-3184,-138,259,-199,2025-01-29 15:05:53,0.0
-13164,-92,-3156,-162,297,-188,2025-01-29 15:05:53,0.0
-13316,-168,-3100,-119,174,-131,2025-01-29 15:05:53,0.0
-12780,-296,-2392,-534,327,-1103,2025-01-29 15:05:53,0.0
-12964,-256,-2308,-367,595,-1183,2025-01-29 15:05:53,0.0
-13140,-160,-2452,-365,771,-1313,2025-01-29 15:05:53,0.0
-13436,-104,-2808,-288,820,-1360,2025-01-29 15:05:53,0.0
-13656,-36,-3192,-204,322,-1295,2025-01-29 15:05:53,0.0
-13696,-144,-2812,20,-181,-1269,2025-01-29 15:05:54,0.0
-13556,-340,-2544,148,-370,-1272,2025-01-29 15:05:54,0.0
-13484,-420,-2544,407,-524,-1362,2025-01-29 15:05:54,0.0
-13564,-488,-2476,600,-650,-1419,2025-01-29 15:05:54,0.0
