acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-13716,-936,-672,-163,214,-191,2025-01-29 15:14:53,0.0
-13616,-916,-504,-169,166,-181,2025-01-29 15:14:53,0.0
-13784,-944,-668,-116,139,-186,2025-01-29 15:14:53,0.0
-13692,-904,-600,-100,79,-169,2025-01-29 15:14:53,0.0
-13680,-980,-608,-105,98,-178,2025-01-29 15:14:53,0.0
-13508,-908,-552,-95,143,-186,2025-01-29 15:14:53,0.0
-13572,-964,-608,-82,276,-198,2025-01-29 15:14:53,0.0
-13704,-872,-620,-109,301,-189,2025-01-29 15:14:53,0.0
-13808,-948,-724,-77,212,-197,2025-01-29 15:14:53,0.0
-13656,-1024,-688,-55,193,-141,2025-01-29 15:14:53,0.0
-13544,-816,-552,-72,313,-154,2025-01-29 15:14:53,0.0
-13652,-976,-932,-111,109,-201,2025-01-29 15:14:53,0.0
-13740,-1028,-840,-91,-71,-205,2025-01-29 15:14:53,0.0
-13660,-1032,-724,-84,19,-190,2025-01-29 15:14:53,0.0
-13600,-804,-668,-55,98,-180,2025-01-29 15:14:53,0.0
-13644,-836,-588,-115,157,-168,2025-01-29 15:14:53,0.0
-13716,-804,-444,-114,174,-161,2025-01-29 15:14:53,0.0
-13660,-836,-760,-114,193,-139,2025-01-29 15:14:53,0.0
-13700,-792,-736,-161,167,-123,2025-01-29 15:14:53,0.0
-13668,-828,-860,-150,148,-176,2025-01-29 15:14:53,0.0
-13488,-904,-680,-162,156,-161,2025-01-29 15:14:53,0.0
-13608,-812,-812,-161,222,-172,2025-01-29 15:14:53,0.0
-13572,-748,-716,-194,315,-189,2025-01-29 15:14:53,0.0
-13744,-820,-720,-165,350,-186,2025-01-29 15:14:53,0.0
-13692,-812,-764,-192,302,-212,2025-01-29 15:14:53,0.0
-13772,-704,-780,-249,191,-160,2025-01-29 15:14:53,0.0
-13776,-880,-592,-249,105,-199,2025-01-29 15:14:53,0.0
-13700,-908,-664,-221,59,-175,2025-01-29 15:14:53,0.0
-13648,-864,-728,-204,92,-146,2025-01-29 15:14:53,0.0
-13528,-924,-592,-226,118,-160,2025-01-29 15:14:53,0.0
-13740,-796,-496,-209,138,-177,2025-01-29 15:14:53,0.0
-13592,-1000,-704,-212,113,-214,2025-01-29 15:14:53,0.0
-13716,-936,-800,-215,149,-167,2025-01-29 15:14:53,0.0
-13624,-1060,-668,-153,230,-198,2025-01-29 15:14:53,0.0
-13596,-1012,-660,-133,256,-224,2025-01-29 15:14:53,0.0
-13600,-1088,-564,-51,294,-239,2025-01-29 15:14:53,0.0
-13672,-1116,-708,0,280,-278,2025-01-29 15:14:53,0.0
-13716,-1020,-540,50,353,-261,2025-01-29 15:14:53,0.0
-13692,-1128,-760,117,452,-229,2025-01-29 15:14:53,0.0
-13680,-1080,-596,134,446,-195,2025-01-29 15:14:53,0.0
-13640,-916,-640,90,373,-187,2025-01-29 15:14:53,0.0
-13696,-840,-620,118,491,-190,2025-01-29 15:14:53,0.0
-13720,-928,-732,73,163,-199,2025-01-29 15:14:53,0.0
-13776,-900,-672,121,-42,-155,2025-01-29 15:14:54,0.0
-13668,-1000,-812,151,57,-159,2025-01-29 15:14:54,0.0
-13536,-776,-796,76,170,-153,2025-01-29 15:14:54,0.0
-13676,-756,-812,21,191,-155,2025-01-29 15:14:54,0.0
-13708,-624,-804,-97,303,-191,2025-01-29 15:14:54,0.0
-13684,-688,-904,-191,407,-192,2025-01-29 15:14:54,0.0
-13572,-688,-772,-249,339,-183,2025-01-29 15:14:54,0.0
-13628,-780,-708,-344,289,-177,2025-01-29 15:14:54,0.0
-13632,-748,-916,-396,244,-178,2025-01-29 15:14:54,0.0
-13612,-800,-1132,-448,266,-179,2025-01-29 15:14:54,0.0
-13772,-908,-1072,-461,242,-196,2025-01-29 15:14:54,0.0
-13872,-816,-732,-472,158,-123,2025-01-29 15:14:54,0.0
-13780,-768,-852,-479,112,-126,2025-01-29 15:14:54,0.0
-13808,-884,-836,-471,-80,-110,2025-01-29 15:14:54,0.0
-13792,-880,-856,-451,-282,-62,2025-01-29 15:14:54,0.0
-13648,-992,-1064,-377,-237,-2,2025-01-29 15:14:54,0.0
-13544,-924,-1028,-304,-87,-20,2025-01-29 15:14:54,0.0
-13580,-904,-980,-238,80,-21,2025-01-29 15:14:54,0.0
