acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-12160,2392,-5104,-65,271,-162,2025-02-17 17:35:23,0.0
-12100,2380,-5056,-210,189,-175,2025-02-17 17:35:23,0.0
-12072,2464,-5236,-272,116,-152,2025-02-17 17:35:23,0.0
-12016,2340,-5156,-310,118,-128,2025-02-17 17:35:23,0.0
-12232,2604,-5280,-315,97,-103,2025-02-17 17:35:23,0.0
-12240,2432,-5112,-337,152,-71,2025-02-17 17:35:23,0.0
-12236,2440,-5208,-251,243,-111,2025-02-17 17:35:23,0.0
-12072,2440,-5220,-223,304,-205,2025-02-17 17:35:23,0.0
-12052,2440,-5268,-186,239,-217,2025-02-17 17:35:23,0.0
-12000,2508,-5384,-217,126,-199,2025-02-17 17:35:23,0.0
-12080,2420,-5120,-206,43,-205,2025-02-17 17:35:23,0.0
-12016,2360,-5168,-170,165,-209,2025-02-17 17:35:23,0.0
-12264,2452,-5192,-147,259,-174,2025-02-17 17:35:23,0.0
-12200,2460,-5300,-229,204,-135,2025-02-17 17:35:23,0.0
-12160,2440,-5116,-347,144,-182,2025-02-17 17:35:23,0.0
-12260,2488,-5364,-382,161,-290,2025-02-17 17:35:23,0.0
-12200,2508,-5292,-305,186,-348,2025-02-17 17:35:23,0.0
-12056,2572,-5332,-225,181,-362,2025-02-17 17:35:23,0.0
-12084,2556,-5256,-134,150,-331,2025-02-17 17:35:23,0.0
-12076,2464,-5184,-112,85,-250,2025-02-17 17:35:23,0.0
-12212,2528,-5124,-41,75,-202,2025-02-17 17:35:23,0.0
-12104,2448,-5216,-40,55,-176,2025-02-17 17:35:23,0.0
-12064,2304,-5144,11,-40,-196,2025-02-17 17:35:23,0.0
-12084,2404,-5168,-28,-36,-218,2025-02-17 17:35:23,0.0
-12196,2312,-5052,-119,59,-239,2025-02-17 17:35:23,0.0
-12232,2368,-5244,-243,150,-149,2025-02-17 17:35:23,0.0
-12156,2312,-5040,-332,52,-207,2025-02-17 17:35:23,0.0
-12196,2440,-5212,-270,-1,-314,2025-02-17 17:35:23,0.0
-12200,2596,-5320,-157,-9,-289,2025-02-17 17:35:23,0.0
-12096,2456,-5220,-87,7,-217,2025-02-17 17:35:23,0.0
-12180,2580,-5128,-57,-14,-146,2025-02-17 17:35:23,0.0
-12052,2468,-5040,20,-81,-132,2025-02-17 17:35:24,0.0
