acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
2476,-16664,1696,-228,311,-305,2025-01-29 11:10:47,0.0
2540,-16764,1652,-140,177,-251,2025-01-29 11:10:47,0.0
2516,-16860,1668,-189,196,-162,2025-01-29 11:10:47,0.0
2552,-16832,1560,-217,201,-62,2025-01-29 11:10:47,0.0
2632,-16712,1632,-245,252,11,2025-01-29 11:10:47,0.0
2664,-16600,1736,-164,274,-43,2025-01-29 11:10:47,0.0
2808,-16488,1696,-9,82,-123,2025-01-29 11:10:47,0.0
2700,-16428,1572,18,129,-253,2025-01-29 11:10:47,0.0
2792,-16592,1312,-175,147,-380,2025-01-29 11:10:47,0.0
2824,-16764,1408,-289,163,-521,2025-01-29 11:10:47,0.0
2556,-16836,1520,-352,435,-576,2025-01-29 11:10:48,0.0
2388,-16712,1576,-393,484,-455,2025-01-29 11:10:48,0.0
2272,-16700,1592,-325,260,-219,2025-01-29 11:10:48,0.0
2324,-16656,1684,-333,92,-51,2025-01-29 11:10:48,0.0
2488,-16600,1508,-395,123,76,2025-01-29 11:10:48,0.0
2616,-16756,1456,-539,60,174,2025-01-29 11:10:48,0.0
2736,-17004,1648,-556,119,199,2025-01-29 11:10:48,0.0
2836,-17036,1708,-494,139,132,2025-01-29 11:10:48,0.0
2872,-16972,1712,-469,173,32,2025-01-29 11:10:48,0.0
2828,-16684,1772,-293,180,-38,2025-01-29 11:10:48,0.0
2660,-16532,1832,-68,105,-122,2025-01-29 11:10:48,0.0
2628,-16584,1720,69,49,-103,2025-01-29 11:10:48,0.0
2540,-16520,1664,195,109,-29,2025-01-29 11:10:48,0.0
2428,-16588,1344,213,160,70,2025-01-29 11:10:48,0.0
2508,-16716,1432,105,128,181,2025-01-29 11:10:48,0.0
2584,-16668,1244,25,179,146,2025-01-29 11:10:48,0.0
2500,-16748,1140,-193,155,47,2025-01-29 11:10:48,0.0
2516,-16608,1212,-413,224,-10,2025-01-29 11:10:48,0.0
2704,-16648,1500,-476,129,-151,2025-01-29 11:10:48,0.0
2560,-16604,1356,-437,159,-209,2025-01-29 11:10:48,0.0
