acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
2008,-244,18264,-60,600,-444,2025-01-29 11:09:43,0.0
1912,-312,18348,-188,586,-516,2025-01-29 11:09:43,0.0
1776,-272,18472,-268,216,-413,2025-01-29 11:09:44,0.0
1616,-168,18612,-365,-133,-288,2025-01-29 11:09:44,0.0
1716,-140,18684,-413,-208,-173,2025-01-29 11:09:44,0.0
1816,-180,18880,-359,-191,-127,2025-01-29 11:09:44,0.0
1860,-232,18892,-237,-131,-113,2025-01-29 11:09:44,0.0
1928,-112,18676,-97,-45,-108,2025-01-29 11:09:44,0.0
1892,-344,18396,-9,0,-90,2025-01-29 11:09:44,0.0
1828,-280,18352,-85,-76,-91,2025-01-29 11:09:44,0.0
1828,-136,18192,-248,110,-48,2025-01-29 11:09:44,0.0
1832,-84,18432,-353,318,-12,2025-01-29 11:09:44,0.0
1932,-224,18480,-338,589,16,2025-01-29 11:09:44,0.0
1976,-312,18764,-249,752,-39,2025-01-29 11:09:44,0.0
2084,-232,18840,-189,789,-91,2025-01-29 11:09:44,0.0
1980,-88,18632,-80,628,-168,2025-01-29 11:09:44,0.0
1888,-60,18468,-47,410,-178,2025-01-29 11:09:44,0.0
1908,-292,18400,-39,112,-199,2025-01-29 11:09:44,0.0
1940,-216,18508,-111,-124,-247,2025-01-29 11:09:44,0.0
1756,-240,18696,-160,-94,-215,2025-01-29 11:09:44,0.0
1840,-76,18596,-243,-122,-197,2025-01-29 11:09:44,0.0
1904,-76,18708,-193,-284,-117,2025-01-29 11:09:44,0.0
1904,-232,18952,-129,-211,-120,2025-01-29 11:09:44,0.0
2036,-300,18664,-24,-116,-135,2025-01-29 11:09:44,0.0
2072,-336,18436,-5,17,-164,2025-01-29 11:09:44,0.0
2132,-260,18352,-60,85,-205,2025-01-29 11:09:44,0.0
2088,-196,18328,-90,347,-245,2025-01-29 11:09:44,0.0
1916,-172,18312,-200,732,-304,2025-01-29 11:09:44,0.0
1736,-172,18344,-284,573,-270,2025-01-29 11:09:44,0.0
1664,-104,18600,-307,26,-118,2025-01-29 11:09:44,0.0
1904,-4,18600,-197,-220,-74,2025-01-29 11:09:44,0.0
2244,-52,18524,0,-40,-94,2025-01-29 11:09:44,0.0
2168,-176,18564,123,776,-248,2025-01-29 11:09:44,0.0
1956,-232,18428,138,1038,-427,2025-01-29 11:09:44,0.0
1588,-304,18484,52,675,-449,2025-01-29 11:09:44,0.0
1460,-8,18568,-27,-179,-287,2025-01-29 11:09:44,0.0
1744,-120,18652,-98,-713,-175,2025-01-29 11:09:44,0.0
2000,-196,18416,-181,-786,-191,2025-01-29 11:09:44,0.0
2164,-328,18624,-267,-576,-379,2025-01-29 11:09:44,0.0
1936,-252,18696,-357,-371,-497,2025-01-29 11:09:44,0.0
1700,-228,18648,-338,-166,-434,2025-01-29 11:09:44,0.0
1664,-160,18840,-261,-28,-261,2025-01-29 11:09:44,0.0
1844,-208,18832,-102,73,-70,2025-01-29 11:09:44,0.0
2220,-208,18776,28,-2,16,2025-01-29 11:09:44,0.0
2284,-240,18808,99,120,-61,2025-01-29 11:09:44,0.0
2328,-252,18568,63,365,-294,2025-01-29 11:09:44,0.0
2004,-232,18228,31,635,-387,2025-01-29 11:09:44,0.0
1964,-236,18404,-126,716,-414,2025-01-29 11:09:44,0.0
1896,-236,18348,-266,627,-358,2025-01-29 11:09:44,0.0
1916,-164,18680,-311,407,-329,2025-01-29 11:09:44,0.0
1896,-124,18696,-246,109,-311,2025-01-29 11:09:44,0.0
1828,-52,18724,-126,-12,-224,2025-01-29 11:09:44,0.0
1980,-64,18756,-69,-246,-141,2025-01-29 11:09:44,0.0
2184,-200,18656,-69,-610,-131,2025-01-29 11:09:44,0.0
2224,-216,18476,-181,-569,-267,2025-01-29 11:09:44,0.0
2104,-264,18412,-240,-418,-339,2025-01-29 11:09:44,0.0
2052,-80,18536,-296,-319,-326,2025-01-29 11:09:44,0.0
1992,-92,18380,-271,-94,-264,2025-01-29 11:09:44,0.0
2144,-8,18640,-210,158,-240,2025-01-29 11:09:44,0.0
2088,-132,18532,-152,242,-193,2025-01-29 11:09:44,0.0
2152,-252,18688,-162,466,-274,2025-01-29 11:09:44,0.0
2084,-104,18572,-124,594,-310,2025-01-29 11:09:44,0.0
1892,-108,18372,-83,616,-267,2025-01-29 11:09:44,0.0
1772,-196,18552,-187,265,-121,2025-01-29 11:09:45,0.0
1812,-156,18564,-257,26,-17,2025-01-29 11:09:45,0.0
2112,-56,18492,-223,240,5,2025-01-29 11:09:45,0.0
2204,-104,18704,-62,628,-131,2025-01-29 11:09:45,0.0
2164,-304,18724,57,660,-302,2025-01-29 11:09:45,0.0
1928,-220,18620,34,552,-383,2025-01-29 11:09:45,0.0
1756,-320,18636,-117,359,-404,2025-01-29 11:09:45,0.0
1812,-44,18500,-447,-247,-260,2025-01-29 11:09:45,0.0
1928,-88,18560,-603,-446,-137,2025-01-29 11:09:45,0.0
2064,-156,18768,-665,-516,-83,2025-01-29 11:09:45,0.0
2168,-268,18664,-656,-710,-18,2025-01-29 11:09:45,0.0
2152,-132,18776,-558,-1063,10,2025-01-29 11:09:45,0.0
2436,-340,18828,-362,-1187,-89,2025-01-29 11:09:45,0.0
2436,-284,18476,-117,-440,-322,2025-01-29 11:09:45,0.0
2312,-376,18328,-35,264,-434,2025-01-29 11:09:45,0.0
2156,-204,18216,-28,567,-419,2025-01-29 11:09:45,0.0
2060,-200,18312,-168,601,-376,2025-01-29 11:09:45,0.0
1980,-236,18052,-268,399,-253,2025-01-29 11:09:45,0.0
1920,-300,18184,-324,327,-143,2025-01-29 11:09:45,0.0
2112,-164,18624,-178,427,-56,2025-01-29 11:09:45,0.0
2284,-212,18728,20,457,-86,2025-01-29 11:09:45,0.0
2144,-68,19052,152,618,-105,2025-01-29 11:09:45,0.0
2000,-124,18880,120,347,11,2025-01-29 11:09:45,0.0
1904,-156,18556,9,-83,66,2025-01-29 11:09:45,0.0
2120,-88,18396,-181,-367,123,2025-01-29 11:09:45,0.0
2256,-180,18312,-382,-400,130,2025-01-29 11:09:45,0.0
2444,-128,18316,-562,-2,44,2025-01-29 11:09:45,0.0
2364,-248,18520,-564,375,-32,2025-01-29 11:09:45,0.0
2312,-60,18856,-564,593,-94,2025-01-29 11:09:45,0.0
2264,-284,18776,-444,672,-191,2025-01-29 11:09:45,0.0
2168,-368,18688,-230,705,-315,2025-01-29 11:09:45,0.0
