acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
1076,8,18624,-79,62,-234,2025-01-29 11:11:27,0.0
648,92,18636,29,-29,-279,2025-01-29 11:11:27,0.0
672,84,18456,20,69,-113,2025-01-29 11:11:27,0.0
836,32,18316,-58,130,-101,2025-01-29 11:11:27,0.0
940,-92,18352,-250,281,-88,2025-01-29 11:11:27,0.0
908,-60,18464,-395,205,-44,2025-01-29 11:11:27,0.0
1176,36,18740,-353,161,-157,2025-01-29 11:11:27,0.0
1064,-60,18640,-232,168,-215,2025-01-29 11:11:27,0.0
900,-8,18440,-276,125,-183,2025-01-29 11:11:27,0.0
924,-44,18592,-354,142,-115,2025-01-29 11:11:27,0.0
792,20,18500,-279,135,-131,2025-01-29 11:11:27,0.0
740,44,18292,-217,104,-43,2025-01-29 11:11:27,0.0
808,92,18416,-212,68,-47,2025-01-29 11:11:27,0.0
740,60,18404,-204,67,-36,2025-01-29 11:11:27,0.0
800,4,18688,-56,220,-103,2025-01-29 11:11:27,0.0
796,12,18548,143,182,-144,2025-01-29 11:11:27,0.0
904,8,18568,168,-30,-95,2025-01-29 11:11:27,0.0
964,-40,18604,55,-10,-73,2025-01-29 11:11:27,0.0
972,-28,18400,-129,204,-60,2025-01-29 11:11:27,0.0
1016,12,18456,-274,202,-45,2025-01-29 11:11:27,0.0
992,36,18708,-298,106,-41,2025-01-29 11:11:27,0.0
1044,-4,18640,-217,119,-79,2025-01-29 11:11:27,0.0
816,84,18612,-112,211,-69,2025-01-29 11:11:27,0.0
980,116,18412,-52,137,-134,2025-01-29 11:11:27,0.0
780,-8,18456,-76,111,-136,2025-01-29 11:11:27,0.0
864,24,18284,-65,72,-116,2025-01-29 11:11:27,0.0
872,32,18400,-121,107,-91,2025-01-29 11:11:27,0.0
1008,100,18472,-97,96,-92,2025-01-29 11:11:27,0.0
1028,60,18556,-70,274,-132,2025-01-29 11:11:27,0.0
1084,168,18632,-39,283,-162,2025-01-29 11:11:27,0.0
944,120,18560,-19,89,-182,2025-01-29 11:11:27,0.0
764,-20,18456,50,31,-157,2025-01-29 11:11:27,0.0
868,28,18384,-50,31,-129,2025-01-29 11:11:27,0.0
