acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
2104,180,18556,-171,161,-197,2025-01-29 10:29:42,0.0
2212,168,18504,-144,146,-163,2025-01-29 10:29:42,0.0
2184,108,18600,-167,155,-171,2025-01-29 10:29:42,0.0
2088,108,18532,-156,162,-172,2025-01-29 10:29:42,0.0
2072,52,18592,-158,152,-166,2025-01-29 10:29:42,0.0
2188,152,18644,-157,152,-177,2025-01-29 10:29:42,0.0
2076,188,18596,-155,145,-166,2025-01-29 10:29:42,0.0
2168,128,18488,-148,181,-166,2025-01-29 10:29:42,0.0
2172,208,18532,-140,166,-180,2025-01-29 10:29:42,0.0
2120,160,18568,-163,169,-184,2025-01-29 10:29:42,0.0
2024,104,18560,-162,166,-167,2025-01-29 10:29:42,0.0
2096,216,18564,-170,170,-190,2025-01-29 10:29:42,0.0
2024,112,18560,-176,141,-192,2025-01-29 10:29:42,0.0
2108,80,18512,-174,155,-162,2025-01-29 10:29:42,0.0
2060,148,18544,-147,145,-166,2025-01-29 10:29:42,0.0
2156,136,18580,-170,163,-150,2025-01-29 10:29:42,0.0
2144,128,18504,-148,156,-177,2025-01-29 10:29:42,0.0
2132,116,18464,-177,159,-163,2025-01-29 10:29:42,0.0
2188,152,18544,-138,144,-165,2025-01-29 10:29:43,0.0
2096,56,18608,-185,145,-167,2025-01-29 10:29:43,0.0
2124,112,18600,-162,177,-200,2025-01-29 10:29:43,0.0
2128,148,18576,-178,129,-189,2025-01-29 10:29:43,0.0
2188,92,18596,-144,156,-197,2025-01-29 10:29:43,0.0
2104,144,18428,-164,160,-149,2025-01-29 10:29:43,0.0
2132,116,18424,-162,162,-157,2025-01-29 10:29:43,0.0
2200,120,18532,-156,156,-161,2025-01-29 10:29:43,0.0
2156,92,18564,-164,156,-168,2025-01-29 10:29:43,0.0
2128,108,18568,-162,169,-194,2025-01-29 10:29:43,0.0
2120,212,18640,-181,176,-160,2025-01-29 10:29:43,0.0
2144,132,18712,-135,149,-173,2025-01-29 10:29:43,0.0
2124,76,18584,-152,180,-169,2025-01-29 10:29:43,0.0
2172,128,18524,-168,152,-172,2025-01-29 10:29:43,0.0
2092,56,18640,-174,165,-176,2025-01-29 10:29:43,0.0
2208,128,18512,-173,186,-182,2025-01-29 10:29:43,0.0
2120,188,18524,-173,150,-177,2025-01-29 10:29:43,0.0
2152,140,18540,-165,146,-181,2025-01-29 10:29:43,0.0
2176,104,18688,-170,174,-162,2025-01-29 10:29:43,0.0
2176,184,18596,-164,145,-176,2025-01-29 10:29:43,0.0
2116,64,18668,-147,161,-170,2025-01-29 10:29:43,0.0
2092,184,18620,-189,166,-177,2025-01-29 10:29:43,0.0
2112,104,18580,-160,163,-169,2025-01-29 10:29:43,0.0
2100,100,18620,-179,169,-190,2025-01-29 10:29:43,0.0
2176,108,18636,-139,159,-187,2025-01-29 10:29:43,0.0
2088,132,18532,-161,159,-202,2025-01-29 10:29:43,0.0
2156,168,18588,-145,154,-173,2025-01-29 10:29:43,0.0
2084,96,18684,-169,161,-200,2025-01-29 10:29:43,0.0
2128,112,18552,-164,167,-177,2025-01-29 10:29:43,0.0
2200,132,18556,-158,154,-193,2025-01-29 10:29:43,0.0
2068,124,18656,-175,160,-169,2025-01-29 10:29:43,0.0
2160,144,18524,-164,158,-180,2025-01-29 10:29:43,0.0
2100,132,18664,-159,166,-180,2025-01-29 10:29:43,0.0
2032,160,18676,-171,159,-172,2025-01-29 10:29:43,0.0
2196,124,18616,-161,163,-159,2025-01-29 10:29:43,0.0
2104,168,18416,-150,148,-165,2025-01-29 10:29:43,0.0
2216,112,18540,-139,154,-174,2025-01-29 10:29:43,0.0
2092,96,18612,-146,154,-186,2025-01-29 10:29:43,0.0
2168,176,18440,-170,162,-197,2025-01-29 10:29:43,0.0
2080,108,18628,-134,188,-182,2025-01-29 10:29:43,0.0
2132,204,18556,-162,153,-183,2025-01-29 10:29:43,0.0
2116,276,18672,-150,161,-180,2025-01-29 10:29:43,0.0
2072,240,18512,-184,145,-183,2025-01-29 10:29:43,0.0
2024,112,18624,-154,156,-161,2025-01-29 10:29:43,0.0
2104,168,18520,-151,160,-180,2025-01-29 10:29:43,0.0
2104,64,18472,-156,147,-159,2025-01-29 10:29:43,0.0
2068,72,18636,-160,148,-160,2025-01-29 10:29:43,0.0
2108,136,18564,-160,128,-183,2025-01-29 10:29:43,0.0
2200,76,18756,-134,164,-186,2025-01-29 10:29:43,0.0
2124,136,18568,-189,186,-186,2025-01-29 10:29:43,0.0
2108,84,18472,-170,158,-167,2025-01-29 10:29:43,0.0
2156,124,18496,-151,143,-190,2025-01-29 10:29:43,0.0
2064,84,18520,-134,156,-184,2025-01-29 10:29:43,0.0
2072,104,18596,-170,148,-177,2025-01-29 10:29:43,0.0
1988,96,18504,-139,189,-192,2025-01-29 10:29:43,0.0
2068,44,18544,-154,161,-159,2025-01-29 10:29:43,0.0
2172,164,18584,-137,160,-186,2025-01-29 10:29:43,0.0
