acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-11968,-1552,-5576,-221,288,-194,2025-01-29 11:55:01,0.0
-12280,-1504,-5632,-219,378,-196,2025-01-29 11:55:01,0.0
-12216,-1548,-5772,-174,204,-191,2025-01-29 11:55:01,0.0
-12208,-1580,-5876,-177,96,-197,2025-01-29 11:55:01,0.0
-12236,-1720,-5712,-169,51,-190,2025-01-29 11:55:01,0.0
-12180,-1656,-5672,-128,53,-149,2025-01-29 11:55:01,0.0
-12108,-1588,-5792,-96,100,-149,2025-01-29 11:55:01,0.0
-12164,-1480,-5712,-132,155,-159,2025-01-29 11:55:01,0.0
-12120,-1500,-5548,-101,185,-151,2025-01-29 11:55:01,0.0
-12096,-1544,-5548,-135,240,-155,2025-01-29 11:55:01,0.0
-12128,-1444,-5752,-155,240,-179,2025-01-29 11:55:01,0.0
-12196,-1388,-5776,-189,219,-205,2025-01-29 11:55:01,0.0
-12128,-1468,-5884,-204,143,-195,2025-01-29 11:55:01,0.0
-12224,-1496,-5716,-223,106,-189,2025-01-29 11:55:01,0.0
-12052,-1428,-5668,-278,170,-207,2025-01-29 11:55:01,0.0
-12056,-1404,-5584,-293,188,-202,2025-01-29 11:55:01,0.0
-12084,-1440,-5692,-294,194,-196,2025-01-29 11:55:01,0.0
-12092,-1548,-5616,-296,159,-208,2025-01-29 11:55:01,0.0
-12200,-1532,-5700,-270,115,-205,2025-01-29 11:55:01,0.0
-12204,-1604,-5608,-233,103,-208,2025-01-29 11:55:01,0.0
-12164,-1536,-5540,-204,145,-211,2025-01-29 11:55:01,0.0
-12120,-1524,-5468,-213,167,-184,2025-01-29 11:55:01,0.0
-12232,-1536,-5748,-228,181,-170,2025-01-29 11:55:01,0.0
-12192,-1600,-5796,-189,168,-170,2025-01-29 11:55:01,0.0
-12104,-1500,-5664,-194,206,-157,2025-01-29 11:55:01,0.0
-12112,-1476,-5768,-241,258,-163,2025-01-29 11:55:01,0.0
-12240,-1440,-5704,-251,224,-197,2025-01-29 11:55:01,0.0
-12136,-1472,-5688,-262,233,-198,2025-01-29 11:55:01,0.0
-12164,-1524,-5680,-260,170,-212,2025-01-29 11:55:01,0.0
-12020,-1524,-5804,-261,167,-193,2025-01-29 11:55:01,0.0
-11988,-1448,-5844,-273,182,-177,2025-01-29 11:55:01,0.0
-12092,-1532,-5576,-255,230,-164,2025-01-29 11:55:01,0.0
-12152,-1552,-5696,-265,274,-109,2025-01-29 11:55:01,0.0
-12044,-1588,-5676,-268,354,-133,2025-01-29 11:55:01,0.0
-12120,-1680,-5632,-266,389,-113,2025-01-29 11:55:01,0.0
-12116,-1460,-5760,-228,389,-53,2025-01-29 11:55:01,0.0
-12104,-1492,-5576,-239,470,3,2025-01-29 11:55:01,0.0
-12096,-1448,-5508,-182,560,31,2025-01-29 11:55:01,0.0
-12136,-1552,-5588,-122,717,136,2025-01-29 11:55:01,0.0
-12160,-1516,-5640,-77,952,286,2025-01-29 11:55:01,0.0
-11888,-1412,-6036,-37,1328,405,2025-01-29 11:55:01,0.0
-11964,-1244,-6152,-68,1846,594,2025-01-29 11:55:01,0.0
-12176,-1144,-6400,-240,2108,718,2025-01-29 11:55:01,0.0
-12532,-1008,-6476,-460,1853,811,2025-01-29 11:55:01,0.0
-12384,-1088,-6004,-532,1174,703,2025-01-29 11:55:01,0.0
-11980,-1176,-5536,-461,68,369,2025-01-29 11:55:01,0.0
