acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-11980,-2268,-5948,-281,129,-236,2025-01-29 12:01:45,0.0
-11932,-2176,-6028,-217,121,-193,2025-01-29 12:01:45,0.0
-11800,-2208,-6044,-195,103,-180,2025-01-29 12:01:45,0.0
-11796,-2160,-5992,-182,146,-183,2025-01-29 12:01:45,0.0
-11808,-2124,-6288,-169,216,-187,2025-01-29 12:01:45,0.0
-11784,-2136,-5988,-156,278,-187,2025-01-29 12:01:45,0.0
-11944,-2160,-5896,-118,296,-205,2025-01-29 12:01:45,0.0
-11952,-2160,-6124,-115,230,-169,2025-01-29 12:01:45,0.0
-11888,-2140,-6056,-98,146,-137,2025-01-29 12:01:45,0.0
-11868,-2140,-6200,-104,120,-138,2025-01-29 12:01:45,0.0
-11948,-2136,-6044,-131,129,-141,2025-01-29 12:01:45,0.0
-11820,-2048,-6148,-140,191,-153,2025-01-29 12:01:45,0.0
-11748,-2104,-6208,-137,215,-173,2025-01-29 12:01:45,0.0
-11888,-2152,-5908,-181,265,-192,2025-01-29 12:01:45,0.0
-11944,-2112,-6252,-148,251,-204,2025-01-29 12:01:45,0.0
-11888,-2160,-6156,-184,185,-186,2025-01-29 12:01:45,0.0
-11964,-2148,-6232,-196,107,-206,2025-01-29 12:01:45,0.0
-11840,-2104,-6100,-229,102,-188,2025-01-29 12:01:45,0.0
-11884,-2140,-5932,-217,187,-214,2025-01-29 12:01:45,0.0
-11860,-2160,-6148,-157,171,-192,2025-01-29 12:01:45,0.0
-11860,-2196,-6144,-158,195,-197,2025-01-29 12:01:45,0.0
-11772,-2232,-6136,-187,224,-216,2025-01-29 12:01:45,0.0
-11800,-2096,-6104,-133,218,-232,2025-01-29 12:01:45,0.0
-11776,-2072,-6012,-208,187,-212,2025-01-29 12:01:45,0.0
-12032,-2096,-5916,-247,154,-192,2025-01-29 12:01:45,0.0
-11948,-2136,-5956,-257,76,-197,2025-01-29 12:01:45,0.0
-11744,-2240,-5992,-276,118,-201,2025-01-29 12:01:45,0.0
-11732,-2196,-5952,-258,161,-264,2025-01-29 12:01:45,0.0
-11788,-2132,-6128,-214,282,-272,2025-01-29 12:01:45,0.0
-11696,-2080,-6180,-275,342,-282,2025-01-29 12:01:46,0.0
-11720,-2084,-6196,-316,410,-332,2025-01-29 12:01:46,0.0
-11680,-2172,-6164,-359,467,-433,2025-01-29 12:01:46,0.0
-11500,-2292,-6120,-383,603,-543,2025-01-29 12:01:46,0.0
-11620,-2392,-6292,-440,759,-610,2025-01-29 12:01:46,0.0
-11668,-2420,-6192,-426,865,-659,2025-01-29 12:01:46,0.0
-11620,-2440,-6376,-499,911,-822,2025-01-29 12:01:46,0.0
-11852,-2168,-6384,-692,793,-1008,2025-01-29 12:01:46,0.0
-12100,-2136,-6376,-826,581,-1047,2025-01-29 12:01:46,0.0
-12196,-2380,-6272,-794,345,-989,2025-01-29 12:01:46,0.0
-11896,-2716,-6548,-729,264,-1002,2025-01-29 12:01:46,0.0
-11676,-2864,-6436,-751,276,-1096,2025-01-29 12:01:46,0.0
-11756,-2900,-6260,-781,236,-1123,2025-01-29 12:01:46,0.0
-11904,-3016,-6084,-734,62,-967,2025-01-29 12:01:46,0.0
-12100,-2860,-5872,-746,-194,-705,2025-01-29 12:01:46,0.0
-12224,-2432,-5880,-896,-736,-124,2025-01-29 12:01:46,0.0
-11900,-2600,-5980,-984,-1180,459,2025-01-29 12:01:46,0.0
-11536,-2564,-6252,-1273,-974,434,2025-01-29 12:01:46,0.0
-11776,-2752,-5956,-1383,-436,313,2025-01-29 12:01:46,0.0
-12252,-3164,-5732,-1317,-99,264,2025-01-29 12:01:46,0.0
-12892,-3260,-5244,-1220,-219,333,2025-01-29 12:01:46,0.0
-13440,-3128,-5300,-1060,-765,756,2025-01-29 12:01:46,0.0
-13168,-2852,-5548,-943,-1434,1381,2025-01-29 12:01:46,0.0
-12464,-2540,-6236,-1141,-1754,1691,2025-01-29 12:01:46,0.0
-11432,-2292,-6728,-1214,-1674,1908,2025-01-29 12:01:46,0.0
-10368,-2016,-7076,-1045,-724,1745,2025-01-29 12:01:46,0.0
-9800,-1480,-7984,-1261,543,1191,2025-01-29 12:01:46,0.0
-10152,-900,-7204,-1800,1824,537,2025-01-29 12:01:46,0.0
-10944,-16,-6520,-1983,2273,136,2025-01-29 12:01:46,0.0
-12116,1200,-6812,-2243,2145,517,2025-01-29 12:01:46,0.0
-11816,1688,-6656,-2636,1887,523,2025-01-29 12:01:46,0.0
-11428,1104,-6360,-3371,1457,-328,2025-01-29 12:01:46,0.0
-12108,-48,-5328,-3808,1312,-1144,2025-01-29 12:01:46,0.0
-12880,-1304,-2620,-3484,1165,-1086,2025-01-29 12:01:46,0.0
-13776,-1640,-1232,-2113,1501,-508,2025-01-29 12:01:46,0.0
-14440,-1912,-892,-702,2357,379,2025-01-29 12:01:46,0.0
-14572,-1776,-2756,384,2546,1048,2025-01-29 12:01:46,0.0
-14356,-576,-4400,880,2127,1590,2025-01-29 12:01:46,0.0
-13968,756,-5296,716,1266,2201,2025-01-29 12:01:46,0.0
-12732,1476,-5016,452,137,2396,2025-01-29 12:01:46,0.0
-11632,1324,-4096,406,-591,2051,2025-01-29 12:01:46,0.0
-11356,348,-3344,688,-394,1407,2025-01-29 12:01:46,0.0
-11448,-740,-2480,1263,185,818,2025-01-29 12:01:46,0.0
-12452,-1344,-2884,2104,680,452,2025-01-29 12:01:46,0.0
-13376,-1224,-3444,2797,1021,386,2025-01-29 12:01:46,0.0
-14284,-956,-3508,3215,558,447,2025-01-29 12:01:46,0.0
-14036,-324,-2448,3458,-1086,277,2025-01-29 12:01:46,0.0
-12716,1044,-2620,3657,-3405,-373,2025-01-29 12:01:46,0.0
-11824,948,-4640,3598,-4087,-665,2025-01-29 12:01:46,0.0
-11476,84,-6496,3706,-2203,-442,2025-01-29 12:01:46,0.0
-11512,236,-9432,3406,530,-112,2025-01-29 12:01:46,0.0
-12468,772,-10020,1845,2710,834,2025-01-29 12:01:46,0.0
-12344,808,-9088,487,2884,1570,2025-01-29 12:01:46,0.0
-11524,-324,-8072,-575,549,1168,2025-01-29 12:01:46,0.0
-11192,-2184,-7048,-610,-1599,-437,2025-01-29 12:01:46,0.0
-11616,-3160,-7612,326,-1197,-1874,2025-01-29 12:01:46,0.0
-12120,-3124,-8488,873,-532,-2808,2025-01-29 12:01:46,0.0
-13012,-2488,-8172,1084,-222,-3355,2025-01-29 12:01:46,0.0
-13612,-1516,-7732,983,-1189,-2844,2025-01-29 12:01:46,0.0
-13492,-1020,-7120,374,-2925,-2135,2025-01-29 12:01:46,0.0
-12164,-1780,-5944,-337,-4111,-2274,2025-01-29 12:01:46,0.0
-11520,-2684,-5060,-803,-3832,-2752,2025-01-29 12:01:46,0.0
-11084,-3376,-4412,-823,-2788,-3076,2025-01-29 12:01:47,0.0
-10388,-3860,-4652,-531,-1668,-3115,2025-01-29 12:01:47,0.0
-10068,-3892,-5216,-190,-596,-3217,2025-01-29 12:01:47,0.0
-10144,-3588,-5240,6,665,-3176,2025-01-29 12:01:47,0.0
-10636,-3248,-5296,311,1937,-3243,2025-01-29 12:01:47,0.0
-11436,-3104,-4768,541,2487,-3484,2025-01-29 12:01:47,0.0
-12028,-3232,-4656,768,2002,-3722,2025-01-29 12:01:47,0.0
-12800,-3516,-4660,990,880,-3414,2025-01-29 12:01:47,0.0
-13260,-3460,-4704,1023,56,-2562,2025-01-29 12:01:47,
-12812,-3508,-4668,859,-561,-1658,2025-01-29 12:01:47,0.0
-11740,-3256,-4588,627,-805,-1285,2025-01-29 12:01:47,0.0
-11196,-2972,-4452,296,-702,-1267,2025-01-29 12:01:47,0.0
-10940,-3008,-4484,-70,-260,-999,2025-01-29 12:01:47,0.0
-11148,-3260,-4116,-464,557,-565,2025-01-29 12:01:47,0.0
-11392,-3500,-4148,-763,1216,-293,2025-01-29 12:01:47,0.0
-11984,-3280,-3860,-909,1475,-115,2025-01-29 12:01:47,0.0
-12604,-2964,-4276,-1085,1286,31,2025-01-29 12:01:47,0.0
-12800,-2548,-4296,-1515,677,114,2025-01-29 12:01:47,0.0
-12956,-2360,-4632,-1923,-67,178,2025-01-29 12:01:47,0.0
-12616,-2648,-4520,-2316,-576,274,2025-01-29 12:01:47,0.0
-12092,-3236,-4820,-2557,-602,104,2025-01-29 12:01:47,0.0
-11912,-3708,-4632,-2825,-254,-261,2025-01-29 12:01:47,0.0
-12048,-3480,-4392,-2955,-73,-667,2025-01-29 12:01:47,0.0
-12104,-3472,-4268,-2889,156,-947,2025-01-29 12:01:47,0.0
-11916,-3588,-4412,-2639,569,-1362,2025-01-29 12:01:47,0.0
-12092,-3616,-4236,-2712,760,-1827,2025-01-29 12:01:47,0.0
-12452,-3544,-4384,-2904,699,-2137,2025-01-29 12:01:47,0.0
-13260,-2964,-4640,-3387,633,-2377,2025-01-29 12:01:47,0.0
-13980,-2552,-4576,-3921,629,-2558,2025-01-29 12:01:47,0.0
-14348,-2752,-4476,-4731,552,-2547,2025-01-29 12:01:47,0.0
-14396,-3976,-3384,-5229,419,-2086,2025-01-29 12:01:47,0.0
-13308,-5060,-3632,-4849,329,-2136,2025-01-29 12:01:47,0.0
-12664,-5816,-5316,-3746,594,-2865,2025-01-29 12:01:47,0.0
-13356,-6592,-5516,-2650,2002,-3824,2025-01-29 12:01:47,0.0
-14912,-6380,-5136,-891,2241,-4144,2025-01-29 12:01:47,0.0
-16544,-6268,-6208,708,1653,-2825,2025-01-29 12:01:47,0.0
-16908,-6360,-7828,1428,604,-1288,2025-01-29 12:01:47,0.0
-16756,-6892,-8072,1512,-832,106,2025-01-29 12:01:47,0.0
-15828,-6376,-7988,1543,-3184,2048,2025-01-29 12:01:47,0.0
-12916,-4976,-8216,1542,-5781,4318,2025-01-29 12:01:47,0.0
-10084,-3428,-8600,1011,-7434,5856,2025-01-29 12:01:47,0.0
-7816,-1584,-9360,200,-6217,6501,2025-01-29 12:01:47,0.0
-6128,80,-9928,-870,-3348,5983,2025-01-29 12:01:47,0.0
-5076,1108,-8468,-1421,-130,4041,2025-01-29 12:01:47,0.0
-5016,1216,-6712,-746,2630,600,2025-01-29 12:01:47,0.0
-8776,-792,-6896,-813,4460,-1863,2025-01-29 12:01:47,0.0
-11744,-2252,-6256,-869,6285,-1888,2025-01-29 12:01:47,0.0
-13896,-3380,-5832,-539,6706,-812,2025-01-29 12:01:47,0.0
-14788,-3612,-6064,-106,5253,540,2025-01-29 12:01:47,0.0
-15168,-3652,-6576,704,2144,2320,2025-01-29 12:01:47,0.0
-14216,-3284,-6952,1549,-1254,3786,2025-01-29 12:01:47,0.0
-12848,-2656,-7140,1942,-2920,4687,2025-01-29 12:01:47,0.0
-11272,-1924,-5932,2187,-3059,5280,2025-01-29 12:01:47,0.0
-9628,-1492,-5144,2560,-2537,5391,2025-01-29 12:01:47,0.0
-8332,-1356,-4976,2792,-1471,5013,2025-01-29 12:01:47,0.0
-7816,-1140,-5236,2967,152,4104,2025-01-29 12:01:47,0.0
