acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-13140,-1388,-2844,-81,484,-263,2025-02-03 17:24:21,0.0
-13252,-1416,-2772,-20,494,-223,2025-02-03 17:24:21,0.0
-13232,-1436,-2688,-59,461,-223,2025-02-03 17:24:21,0.0
-13056,-1224,-2796,-38,443,-254,2025-02-03 17:24:21,0.0
-13108,-1276,-2648,-64,584,-275,2025-02-03 17:24:21,0.0
-13252,-1280,-2644,-37,553,-258,2025-02-03 17:24:21,0.0
-13272,-1468,-2780,-31,382,-190,2025-02-03 17:24:21,0.0
-13236,-1420,-2552,23,419,-145,2025-02-03 17:24:21,0.0
-13184,-1416,-2748,53,458,-156,2025-02-03 17:24:21,0.0
-13292,-1332,-2480,147,422,-197,2025-02-03 17:24:21,0.0
-13184,-1312,-2736,138,299,-219,2025-02-03 17:24:21,0.0
-13156,-1256,-2520,176,274,-242,2025-02-03 17:24:21,0.0
-13216,-1236,-2752,158,361,-223,2025-02-03 17:24:21,0.0
-13256,-1144,-2732,131,398,-198,2025-02-03 17:24:21,0.0
-13224,-1032,-2744,127,373,-171,2025-02-03 17:24:21,0.0
-13328,-1032,-2768,35,298,-156,2025-02-03 17:24:21,0.0
-13276,-1080,-2960,-77,220,-185,2025-02-03 17:24:21,0.0
-13316,-1020,-2948,-98,191,-192,2025-02-03 17:24:21,0.0
-13264,-1000,-2800,-166,109,-183,2025-02-03 17:24:21,0.0
-13216,-1124,-2880,-197,-2,-211,2025-02-03 17:24:21,0.0
-13216,-1084,-2692,-227,-37,-256,2025-02-03 17:24:21,0.0
-13316,-1260,-2796,-238,-106,-280,2025-02-03 17:24:21,0.0
-13276,-1176,-2696,-296,-243,-274,2025-02-03 17:24:21,0.0
-13228,-1116,-2856,-336,-256,-259,2025-02-03 17:24:21,0.0
-13216,-1128,-2772,-402,-255,-258,2025-02-03 17:24:21,0.0
-13028,-1276,-2720,-431,-154,-283,2025-02-03 17:24:21,0.0
-13112,-1344,-2760,-373,3,-232,2025-02-03 17:24:21,0.0
-13216,-1416,-2724,-295,143,-248,2025-02-03 17:24:21,0.0
-13256,-1456,-2804,-264,192,-249,2025-02-03 17:24:21,0.0
-13228,-1360,-3004,-276,180,-242,2025-02-03 17:24:21,0.0
-13200,-1316,-2736,-283,190,-244,2025-02-03 17:24:21,0.0
-13196,-1320,-3000,-209,218,-225,2025-02-03 17:24:21,0.0
-13028,-1264,-2904,-234,232,-181,2025-02-03 17:24:21,0.0
-13200,-1324,-2832,-272,206,-151,2025-02-03 17:24:21,0.0
-13136,-1284,-3188,-267,142,-163,2025-02-03 17:24:21,0.0
-13160,-1308,-2868,-273,167,-160,2025-02-03 17:24:21,0.0
-12996,-1180,-2816,-271,305,-153,2025-02-03 17:24:21,0.0
-13172,-1312,-2728,-248,402,-187,2025-02-03 17:24:21,0.0
-13260,-1328,-3032,-210,219,-134,2025-02-03 17:24:21,0.0
-13300,-1328,-2976,-231,92,-141,2025-02-03 17:24:21,0.0
-13220,-1284,-2844,-240,40,-150,2025-02-03 17:24:21,0.0
-13232,-1268,-2868,-242,-74,-153,2025-02-03 17:24:21,0.0
-13188,-1156,-2752,-261,-90,-159,2025-02-03 17:24:21,0.0
-13172,-1072,-2972,-288,25,-190,2025-02-03 17:24:21,0.0
-13236,-1124,-2992,-340,101,-159,2025-02-03 17:24:22,0.0
-13196,-1256,-2868,-324,165,-146,2025-02-03 17:24:22,0.0
-13204,-1344,-2864,-318,182,-157,2025-02-03 17:24:22,0.0
-13132,-1156,-2824,-347,194,-149,2025-02-03 17:24:22,0.0
-13120,-1264,-2760,-370,186,-162,2025-02-03 17:24:22,0.0
-13084,-1300,-2836,-370,221,-177,2025-02-03 17:24:22,0.0
-13172,-1316,-2864,-356,274,-172,2025-02-03 17:24:22,0.0
-13160,-1364,-2824,-317,285,-188,2025-02-03 17:24:22,0.0
-13208,-1332,-2788,-316,237,-161,2025-02-03 17:24:22,0.0
-13160,-1280,-2844,-316,209,-165,2025-02-03 17:24:22,0.0
-13096,-1164,-2912,-298,200,-172,2025-02-03 17:24:22,0.0
-13084,-1264,-2912,-284,240,-184,2025-02-03 17:24:22,0.0
-13132,-1168,-2872,-243,317,-153,2025-02-03 17:24:22,0.0
-13248,-1160,-2888,-221,311,-138,2025-02-03 17:24:22,0.0
-13276,-1240,-2732,-194,281,-108,2025-02-03 17:24:22,0.0
-13156,-1200,-2852,-189,233,-180,2025-02-03 17:24:22,0.0
-13160,-1264,-2928,-131,200,-213,2025-02-03 17:24:22,0.0
-13208,-1264,-2904,-78,147,-244,2025-02-03 17:24:22,0.0
-13076,-1352,-2956,-75,123,-279,2025-02-03 17:24:22,0.0
-13148,-1012,-3204,-89,143,-284,2025-02-03 17:24:22,0.0
-13140,-1036,-3068,-168,54,-262,2025-02-03 17:24:22,0.0
-13208,-1052,-2904,-211,35,-235,2025-02-03 17:24:22,0.0
-13228,-1196,-2932,-186,111,-238,2025-02-03 17:24:22,0.0
-13116,-1340,-2928,-109,5,-153,2025-02-03 17:24:22,0.0
-13216,-1328,-3244,-80,24,-134,2025-02-03 17:24:22,0.0
-13024,-1168,-3072,-47,141,-133,2025-02-03 17:24:22,0.0
-13132,-1076,-2952,-34,211,-125,2025-02-03 17:24:22,0.0
-13196,-1004,-3096,-54,231,-104,2025-02-03 17:24:22,0.0
-13144,-1088,-2948,-63,221,-112,2025-02-03 17:24:22,0.0
-13136,-1176,-2984,-12,162,-129,2025-02-03 17:24:22,0.0
