acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
3428,-16376,4376,-168,196,-168,2025-01-29 12:40:02,0.0
3524,-16440,4520,-168,170,-173,2025-01-29 12:40:02,0.0
3552,-16384,4528,-153,143,-178,2025-01-29 12:40:02,0.0
3680,-16428,4480,-164,180,-158,2025-01-29 12:40:02,0.0
3724,-16508,4452,-173,167,-185,2025-01-29 12:40:02,0.0
3632,-16368,4516,-170,182,-176,2025-01-29 12:40:02,0.0
3464,-16488,4592,-190,141,-189,2025-01-29 12:40:02,0.0
3540,-16432,4504,-168,163,-177,2025-01-29 12:40:02,0.0
3536,-16408,4360,-145,152,-194,2025-01-29 12:40:02,0.0
3544,-16436,4440,-164,149,-163,2025-01-29 12:40:02,0.0
3576,-16428,4456,-150,167,-174,2025-01-29 12:40:02,0.0
3596,-16448,4352,-163,160,-153,2025-01-29 12:40:02,0.0
3600,-16344,4420,-159,185,-184,2025-01-29 12:40:02,0.0
3612,-16444,4572,-143,163,-188,2025-01-29 12:40:02,0.0
3644,-16480,4396,-159,148,-179,2025-01-29 12:40:02,0.0
3656,-16344,4500,-137,194,-178,2025-01-29 12:40:02,0.0
3496,-16460,4504,-168,180,-183,2025-01-29 12:40:02,0.0
3664,-16420,4540,-152,152,-158,2025-01-29 12:40:02,0.0
3716,-16408,4556,-149,129,-180,2025-01-29 12:40:02,0.0
3528,-16352,4508,-147,189,-173,2025-01-29 12:40:02,0.0
3600,-16432,4516,-134,188,-179,2025-01-29 12:40:02,0.0
3480,-16400,4528,-185,141,-174,2025-01-29 12:40:02,0.0
3576,-16364,4612,-172,168,-188,2025-01-29 12:40:02,0.0
3672,-16400,4540,-152,180,-158,2025-01-29 12:40:02,0.0
3568,-16464,4476,-158,144,-181,2025-01-29 12:40:02,0.0
3560,-16524,4584,-169,168,-171,2025-01-29 12:40:02,0.0
3604,-16504,4548,-177,169,-189,2025-01-29 12:40:02,0.0
3652,-16332,4524,-174,193,-165,2025-01-29 12:40:02,0.0
3628,-16348,4544,-159,154,-172,2025-01-29 12:40:02,0.0
3584,-16384,4636,-156,139,-181,2025-01-29 12:40:02,0.0
3544,-16384,4388,-154,177,-172,2025-01-29 12:40:02,0.0
3696,-16400,4516,-181,164,-161,2025-01-29 12:40:02,0.0
3560,-16512,4404,-140,159,-176,2025-01-29 12:40:02,0.0
3556,-16480,4480,-173,133,-187,2025-01-29 12:40:02,0.0
3588,-16360,4384,-137,180,-187,2025-01-29 12:40:02,0.0
3560,-16420,4528,-169,180,-184,2025-01-29 12:40:02,0.0
3576,-16424,4424,-150,175,-158,2025-01-29 12:40:02,0.0
3544,-16456,4488,-157,149,-182,2025-01-29 12:40:02,0.0
3508,-16408,4532,-165,163,-175,2025-01-29 12:40:02,0.0
3600,-16412,4484,-162,152,-158,2025-01-29 12:40:02,0.0
3636,-16424,4580,-151,172,-186,2025-01-29 12:40:02,0.0
3576,-16516,4304,-151,181,-173,2025-01-29 12:40:02,0.0
3604,-16412,4504,-161,161,-174,2025-01-29 12:40:02,0.0
3620,-16524,4504,-136,177,-175,2025-01-29 12:40:02,0.0
3652,-16448,4488,-147,172,-181,2025-01-29 12:40:02,0.0
3644,-16456,4312,-158,165,-199,2025-01-29 12:40:02,0.0
3584,-16384,4440,-167,176,-163,2025-01-29 12:40:02,0.0
3628,-16376,4512,-181,159,-199,2025-01-29 12:40:02,0.0
3572,-16424,4612,-158,156,-164,2025-01-29 12:40:02,0.0
3628,-16464,4472,-165,171,-168,2025-01-29 12:40:02,0.0
3512,-16428,4516,-147,164,-194,2025-01-29 12:40:02,0.0
3640,-16436,4512,-143,187,-192,2025-01-29 12:40:02,0.0
3676,-16416,4488,-134,151,-167,2025-01-29 12:40:02,0.0
3604,-16480,4616,-168,131,-183,2025-01-29 12:40:02,0.0
3596,-16580,4408,-163,168,-171,2025-01-29 12:40:02,0.0
3576,-16492,4424,-170,182,-162,2025-01-29 12:40:02,0.0
3592,-16476,4564,-152,159,-176,2025-01-29 12:40:02,0.0
3576,-16408,4580,-158,151,-165,2025-01-29 12:40:02,0.0
3584,-16468,4352,-157,169,-212,2025-01-29 12:40:02,0.0
3692,-16356,4484,-157,168,-192,2025-01-29 12:40:03,0.0
3736,-16448,4428,-153,157,-166,2025-01-29 12:40:03,0.0
3644,-16388,4380,-150,176,-163,2025-01-29 12:40:03,0.0
3644,-16444,4380,-151,169,-181,2025-01-29 12:40:03,0.0
3600,-16328,4420,-150,163,-174,2025-01-29 12:40:03,0.0
3680,-16392,4392,-166,177,-163,2025-01-29 12:40:03,0.0
3568,-16408,4484,-160,187,-160,2025-01-29 12:40:03,0.0
3608,-16472,4552,-154,184,-171,2025-01-29 12:40:03,0.0
