acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
1628,16024,2916,-149,182,-191,2025-01-29 12:40:34,0.0
1660,16068,3104,-181,157,-146,2025-01-29 12:40:34,0.0
1652,16028,3096,-144,163,-188,2025-01-29 12:40:34,0.0
1612,16092,3184,-150,178,-158,2025-01-29 12:40:34,0.0
1660,15940,2952,-162,153,-182,2025-01-29 12:40:34,0.0
1652,16068,3000,-157,176,-186,2025-01-29 12:40:34,0.0
1604,15968,3144,-147,151,-189,2025-01-29 12:40:34,0.0
1628,15960,3016,-175,156,-159,2025-01-29 12:40:34,0.0
1740,15896,3120,-167,170,-194,2025-01-29 12:40:34,0.0
1676,16004,3072,-154,150,-159,2025-01-29 12:40:34,0.0
1592,15824,3048,-170,165,-161,2025-01-29 12:40:34,0.0
1696,15808,3048,-158,160,-190,2025-01-29 12:40:34,0.0
1672,15916,3100,-153,172,-184,2025-01-29 12:40:34,0.0
1688,15968,3092,-158,173,-178,2025-01-29 12:40:34,0.0
1688,15908,3096,-167,168,-189,2025-01-29 12:40:34,0.0
1688,15904,3020,-161,149,-150,2025-01-29 12:40:34,0.0
1764,16012,2980,-163,179,-176,2025-01-29 12:40:34,0.0
1764,15972,3124,-175,155,-184,2025-01-29 12:40:35,0.0
1680,16060,3108,-158,181,-166,2025-01-29 12:40:35,0.0
1656,15940,3008,-158,157,-186,2025-01-29 12:40:35,0.0
1688,15944,3000,-157,147,-182,2025-01-29 12:40:35,0.0
1680,16000,3224,-151,185,-179,2025-01-29 12:40:35,0.0
1700,16020,3124,-143,161,-172,2025-01-29 12:40:35,0.0
1704,15992,3020,-151,170,-168,2025-01-29 12:40:35,0.0
1652,15940,3084,-169,161,-179,2025-01-29 12:40:35,0.0
1576,16012,3048,-169,170,-176,2025-01-29 12:40:35,0.0
1692,16056,3160,-169,156,-161,2025-01-29 12:40:35,0.0
1616,16024,3148,-149,166,-175,2025-01-29 12:40:35,0.0
1668,15956,3016,-150,172,-172,2025-01-29 12:40:35,0.0
1644,15864,3132,-139,184,-166,2025-01-29 12:40:35,0.0
1744,15984,3012,-153,153,-184,2025-01-29 12:40:35,0.0
1652,16032,3044,-154,158,-192,2025-01-29 12:40:35,0.0
1616,15920,2976,-168,183,-163,2025-01-29 12:40:35,0.0
1580,16016,3044,-161,172,-176,2025-01-29 12:40:35,0.0
1660,15956,2980,-157,177,-181,2025-01-29 12:40:35,0.0
1628,15936,3056,-164,157,-158,2025-01-29 12:40:35,0.0
1644,16012,3144,-176,144,-154,2025-01-29 12:40:35,0.0
1592,15928,3156,-144,167,-165,2025-01-29 12:40:35,0.0
1572,16028,3092,-149,172,-177,2025-01-29 12:40:35,0.0
1728,15892,3072,-157,176,-154,2025-01-29 12:40:35,0.0
1700,15912,2936,-165,160,-171,2025-01-29 12:40:35,0.0
1596,15980,3016,-140,169,-172,2025-01-29 12:40:35,0.0
