acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
1920,120,18620,-150,166,-176,2025-01-29 12:38:10,0.0
1828,52,18520,-174,161,-172,2025-01-29 12:38:10,0.0
1792,88,18604,-163,176,-171,2025-01-29 12:38:10,0.0
1904,84,18700,-143,153,-163,2025-01-29 12:38:10,0.0
1916,104,18524,-177,171,-177,2025-01-29 12:38:10,0.0
1868,144,18588,-178,172,-174,2025-01-29 12:38:10,0.0
1984,52,18520,-170,176,-164,2025-01-29 12:38:10,0.0
1816,184,18580,-142,157,-188,2025-01-29 12:38:10,0.0
2004,116,18516,-165,183,-202,2025-01-29 12:38:10,0.0
1896,144,18572,-159,161,-179,2025-01-29 12:38:10,0.0
1784,124,18536,-161,170,-177,2025-01-29 12:38:10,0.0
1908,80,18604,-142,157,-161,2025-01-29 12:38:10,0.0
1896,168,18572,-190,167,-182,2025-01-29 12:38:10,0.0
1888,112,18576,-181,165,-173,2025-01-29 12:38:10,0.0
1956,140,18660,-143,188,-167,2025-01-29 12:38:11,0.0
1888,128,18512,-155,184,-167,2025-01-29 12:38:11,0.0
1856,112,18552,-143,168,-180,2025-01-29 12:38:11,0.0
1812,44,18592,-131,178,-186,2025-01-29 12:38:11,0.0
1960,144,18520,-174,164,-162,2025-01-29 12:38:11,0.0
1864,68,18484,-158,165,-188,2025-01-29 12:38:11,0.0
1836,136,18588,-156,163,-166,2025-01-29 12:38:11,0.0
1984,236,18608,-173,190,-189,2025-01-29 12:38:11,0.0
1852,96,18496,-152,166,-175,2025-01-29 12:38:11,0.0
1856,124,18696,-154,156,-177,2025-01-29 12:38:11,0.0
1968,32,18688,-141,174,-176,2025-01-29 12:38:11,0.0
2024,68,18448,-155,149,-169,2025-01-29 12:38:11,0.0
1844,148,18444,-156,165,-179,2025-01-29 12:38:11,0.0
1872,20,18576,-169,152,-173,2025-01-29 12:38:11,0.0
1924,100,18576,-161,154,-174,2025-01-29 12:38:11,0.0
1940,60,18596,-151,166,-169,2025-01-29 12:38:11,0.0
1880,104,18748,-165,178,-187,2025-01-29 12:38:11,0.0
1888,128,18500,-127,180,-164,2025-01-29 12:38:11,0.0
1928,68,18624,-145,179,-196,2025-01-29 12:38:11,0.0
1872,108,18376,-175,174,-197,2025-01-29 12:38:11,0.0
1920,164,18532,-123,160,-176,2025-01-29 12:38:11,0.0
1908,100,18684,-184,150,-180,2025-01-29 12:38:11,0.0
1840,128,18384,-143,178,-165,2025-01-29 12:38:11,0.0
1888,160,18544,-181,173,-191,2025-01-29 12:38:11,0.0
1828,172,18732,-162,181,-166,2025-01-29 12:38:11,0.0
1896,40,18636,-155,144,-147,2025-01-29 12:38:11,0.0
1904,160,18516,-185,158,-182,2025-01-29 12:38:11,0.0
1900,128,18524,-158,169,-182,2025-01-29 12:38:11,0.0
1932,188,18500,-157,168,-187,2025-01-29 12:38:11,0.0
1900,120,18660,-174,182,-187,2025-01-29 12:38:11,0.0
1916,76,18552,-162,154,-180,2025-01-29 12:38:11,0.0
2016,176,18684,-155,166,-170,2025-01-29 12:38:11,0.0
1796,100,18556,-127,177,-186,2025-01-29 12:38:11,0.0
1888,112,18636,-137,174,-176,2025-01-29 12:38:11,0.0
1852,208,18504,-138,166,-178,2025-01-29 12:38:11,0.0
1940,216,18540,-163,170,-162,2025-01-29 12:38:11,0.0
1888,40,18612,-163,166,-192,2025-01-29 12:38:11,0.0
1840,72,18524,-173,170,-183,2025-01-29 12:38:11,0.0
1812,148,18592,-198,167,-168,2025-01-29 12:38:11,0.0
1880,140,18516,-167,169,-173,2025-01-29 12:38:11,0.0
1856,112,18532,-163,165,-182,2025-01-29 12:38:11,0.0
1900,92,18580,-167,155,-159,2025-01-29 12:38:11,0.0
1944,112,18644,-188,157,-168,2025-01-29 12:38:11,0.0
1984,100,18616,-177,163,-181,2025-01-29 12:38:11,0.0
1936,80,18560,-164,151,-179,2025-01-29 12:38:11,0.0
1896,180,18552,-149,159,-164,2025-01-29 12:38:11,0.0
1896,148,18468,-172,177,-184,2025-01-29 12:38:11,0.0
1956,132,18452,-158,179,-180,2025-01-29 12:38:11,0.0
1808,172,18564,-155,163,-146,2025-01-29 12:38:11,0.0
1896,156,18532,-171,180,-187,2025-01-29 12:38:11,0.0
1860,20,18504,-171,181,-189,2025-01-29 12:38:11,0.0
1844,64,18640,-165,177,-174,2025-01-29 12:38:11,0.0
1904,124,18552,-154,172,-173,2025-01-29 12:38:11,0.0
1876,140,18476,-164,149,-161,2025-01-29 12:38:11,0.0
1992,240,18624,-165,162,-168,2025-01-29 12:38:11,0.0
1884,56,18420,-159,161,-189,2025-01-29 12:38:11,0.0
1836,108,18584,-159,170,-147,2025-01-29 12:38:11,0.0
1880,128,18540,-173,158,-184,2025-01-29 12:38:11,0.0
1964,160,18500,-159,166,-188,2025-01-29 12:38:11,0.0
1924,32,18468,-147,158,-175,2025-01-29 12:38:11,0.0
1916,160,18536,-179,167,-190,2025-01-29 12:38:11,0.0
1904,140,18616,-166,169,-150,2025-01-29 12:38:11,0.0
1896,196,18656,-169,177,-171,2025-01-29 12:38:11,0.0
1820,152,18532,-177,176,-179,2025-01-29 12:38:12,0.0
1964,160,18544,-160,171,-166,2025-01-29 12:38:12,0.0
1844,156,18452,-161,174,-168,2025-01-29 12:38:12,0.0
1832,136,18536,-160,158,-160,2025-01-29 12:38:12,0.0
1724,24,18460,-161,168,-161,2025-01-29 12:38:12,0.0
1968,180,18528,-140,191,-175,2025-01-29 12:38:12,0.0
1904,80,18596,-163,170,-159,2025-01-29 12:38:12,0.0
2008,112,18592,-161,144,-173,2025-01-29 12:38:12,0.0
1872,212,18564,-164,172,-187,2025-01-29 12:38:12,0.0
1852,80,18624,-163,177,-199,2025-01-29 12:38:12,0.0
1940,80,18696,-159,176,-165,2025-01-29 12:38:12,0.0
1784,176,18508,-185,178,-179,2025-01-29 12:38:12,0.0
1912,192,18672,-180,155,-186,2025-01-29 12:38:12,0.0
1880,208,18532,-149,143,-174,2025-01-29 12:38:12,0.0
1844,120,18520,-169,176,-172,2025-01-29 12:38:12,0.0
1896,68,18588,-119,168,-171,2025-01-29 12:38:12,0.0
1868,124,18472,-166,161,-160,2025-01-29 12:38:12,0.0
1804,184,18536,-171,171,-165,2025-01-29 12:38:12,0.0
1888,88,18248,-173,172,-180,2025-01-29 12:38:12,0.0
1856,148,18500,-154,151,-172,2025-01-29 12:38:12,0.0
1952,228,18528,-160,174,-181,2025-01-29 12:38:12,0.0
1904,100,18416,-155,161,-152,2025-01-29 12:38:12,0.0
1896,180,18596,-162,159,-164,2025-01-29 12:38:12,
1904,120,18440,-171,154,-177,2025-01-29 12:38:12,0.0
1924,92,18528,-180,173,-185,2025-01-29 12:38:12,0.0
1880,60,18532,-172,174,-175,2025-01-29 12:38:12,0.0
1836,132,18500,-154,155,-188,2025-01-29 12:38:12,0.0
1880,144,18712,-148,171,-187,2025-01-29 12:38:12,0.0
1976,64,18552,-155,160,-164,2025-01-29 12:38:12,0.0
1880,184,18532,-156,157,-167,2025-01-29 12:38:12,0.0
1804,64,18584,-164,155,-162,2025-01-29 12:38:12,0.0
1896,116,18468,-187,151,-173,2025-01-29 12:38:12,0.0
1860,108,18480,-183,160,-150,2025-01-29 12:38:12,0.0
1812,152,18552,-156,163,-154,2025-01-29 12:38:12,0.0
1888,80,18536,-168,166,-169,2025-01-29 12:38:12,0.0
1924,128,18704,-150,164,-174,2025-01-29 12:38:12,0.0
1828,84,18468,-166,177,-162,2025-01-29 12:38:12,0.0
1916,160,18680,-182,176,-167,2025-01-29 12:38:12,0.0
1868,72,18460,-151,173,-190,2025-01-29 12:38:12,0.0
1920,100,18564,-150,182,-186,2025-01-29 12:38:12,0.0
1860,84,18684,-166,182,-166,2025-01-29 12:38:12,0.0
2016,180,18560,-139,164,-184,2025-01-29 12:38:12,0.0
1828,124,18584,-138,153,-150,2025-01-29 12:38:12,0.0
1904,120,18404,-147,178,-171,2025-01-29 12:38:12,0.0
1876,176,18520,-190,179,-154,2025-01-29 12:38:12,0.0
1880,116,18464,-163,166,-147,2025-01-29 12:38:12,0.0
1888,72,18680,-153,159,-159,2025-01-29 12:38:12,0.0
1788,148,18532,-172,170,-155,2025-01-29 12:38:12,0.0
1896,60,18520,-145,160,-182,2025-01-29 12:38:12,0.0
1812,56,18532,-155,162,-186,2025-01-29 12:38:12,0.0
2040,120,18584,-180,174,-172,2025-01-29 12:38:12,0.0
1984,44,18592,-148,184,-165,2025-01-29 12:38:12,0.0
1880,144,18556,-174,157,-189,2025-01-29 12:38:12,0.0
1880,192,18616,-150,164,-175,2025-01-29 12:38:12,0.0
2012,4,18592,-158,160,-172,2025-01-29 12:38:12,0.0
1876,156,18560,-132,169,-188,2025-01-29 12:38:12,0.0
2012,40,18512,-153,144,-177,2025-01-29 12:38:12,0.0
1908,168,18616,-142,153,-171,2025-01-29 12:38:12,0.0
1868,92,18544,-143,163,-161,2025-01-29 12:38:12,0.0
1948,136,18580,-162,151,-150,2025-01-29 12:38:12,0.0
1900,120,18512,-162,164,-189,2025-01-29 12:38:13,0.0
1980,100,18544,-145,160,-167,2025-01-29 12:38:13,0.0
1864,84,18444,-157,173,-179,2025-01-29 12:38:13,0.0
1972,140,18464,-143,170,-186,2025-01-29 12:38:13,0.0
1848,100,18528,-179,175,-156,2025-01-29 12:38:13,0.0
1836,108,18516,-166,147,-170,2025-01-29 12:38:13,0.0
2000,108,18692,-161,173,-161,2025-01-29 12:38:13,0.0
1836,128,18632,-164,151,-173,2025-01-29 12:38:13,0.0
1912,216,18640,-160,155,-162,2025-01-29 12:38:13,0.0
1928,68,18600,-155,152,-181,2025-01-29 12:38:13,0.0
1944,136,18560,-181,160,-170,2025-01-29 12:38:13,0.0
1908,108,18600,-144,163,-207,2025-01-29 12:38:13,0.0
1884,124,18580,-166,168,-193,2025-01-29 12:38:13,0.0
1944,128,18428,-170,163,-167,2025-01-29 12:38:13,0.0
1836,148,18496,-154,168,-178,2025-01-29 12:38:13,0.0
1992,152,18536,-146,180,-167,2025-01-29 12:38:13,0.0
1852,116,18684,-155,178,-158,2025-01-29 12:38:13,0.0
1924,108,18592,-172,174,-184,2025-01-29 12:38:13,0.0
1824,132,18600,-170,176,-185,2025-01-29 12:38:13,0.0
1956,136,18492,-147,154,-178,2025-01-29 12:38:13,0.0
1936,112,18520,-157,165,-176,2025-01-29 12:38:13,0.0
1920,136,18500,-160,157,-183,2025-01-29 12:38:13,0.0
1844,48,18456,-168,162,-192,2025-01-29 12:38:13,0.0
1888,152,18440,-174,133,-167,2025-01-29 12:38:13,0.0
1896,136,18584,-152,162,-168,2025-01-29 12:38:13,0.0
1908,180,18516,-147,163,-176,2025-01-29 12:38:13,0.0
1896,104,18520,-154,141,-168,2025-01-29 12:38:13,0.0
1996,168,18608,-156,156,-169,2025-01-29 12:38:13,0.0
1852,148,18480,-170,177,-165,2025-01-29 12:38:13,0.0
1848,48,18496,-159,162,-170,2025-01-29 12:38:13,0.0
1948,212,18500,-150,155,-175,2025-01-29 12:38:13,0.0
1812,92,18352,-175,135,-165,2025-01-29 12:38:13,0.0
1932,164,18660,-158,176,-193,2025-01-29 12:38:13,0.0
1924,72,18608,-153,145,-183,2025-01-29 12:38:13,0.0
1876,152,18504,-172,193,-174,2025-01-29 12:38:13,0.0
1940,156,18568,-178,159,-181,2025-01-29 12:38:13,0.0
1840,48,18560,-175,162,-175,2025-01-29 12:38:13,0.0
1924,24,18552,-163,158,-173,2025-01-29 12:38:13,0.0
1868,92,18556,-185,149,-144,2025-01-29 12:38:13,0.0
1888,104,18492,-173,133,-180,2025-01-29 12:38:13,0.0
1940,180,18660,-148,171,-187,2025-01-29 12:38:13,0.0
1852,60,18484,-171,151,-166,2025-01-29 12:38:13,0.0
1932,176,18468,-172,177,-171,2025-01-29 12:38:13,0.0
1912,40,18488,-148,165,-189,2025-01-29 12:38:13,0.0
1988,92,18724,-145,161,-180,2025-01-29 12:38:13,0.0
1896,100,18572,-188,169,-175,2025-01-29 12:38:13,0.0
1924,148,18472,-165,160,-209,2025-01-29 12:38:13,0.0
1816,188,18672,-151,161,-160,2025-01-29 12:38:13,0.0
1860,120,18564,-153,159,-172,2025-01-29 12:38:13,0.0
1900,164,18620,-160,174,-172,2025-01-29 12:38:13,0.0
1932,120,18488,-145,150,-180,2025-01-29 12:38:13,0.0
1888,140,18420,-175,163,-161,2025-01-29 12:38:13,0.0
1916,104,18576,-167,167,-186,2025-01-29 12:38:13,0.0
1936,172,18520,-154,166,-186,2025-01-29 12:38:13,0.0
1880,136,18572,-150,169,-185,2025-01-29 12:38:13,0.0
1916,164,18524,-163,181,-204,2025-01-29 12:38:13,0.0
1868,76,18584,-162,176,-171,2025-01-29 12:38:13,0.0
2008,204,18516,-159,169,-176,2025-01-29 12:38:13,0.0
1888,92,18552,-147,166,-181,2025-01-29 12:38:14,0.0
1860,72,18628,-167,155,-165,2025-01-29 12:38:14,0.0
1936,168,18568,-151,164,-153,2025-01-29 12:38:14,0.0
1864,128,18516,-166,146,-185,2025-01-29 12:38:14,0.0
1896,192,18504,-150,158,-185,2025-01-29 12:38:14,
1940,56,18620,-165,175,-180,2025-01-29 12:38:14,0.0
1968,132,18552,-167,166,-168,2025-01-29 12:38:14,0.0
1840,124,18560,-141,176,-176,2025-01-29 12:38:14,0.0
1968,116,18756,-160,152,-174,2025-01-29 12:38:14,0.0
1836,128,18588,-162,159,-174,2025-01-29 12:38:14,0.0
1868,132,18644,-139,141,-174,2025-01-29 12:38:14,0.0
1900,128,18444,-161,186,-171,2025-01-29 12:38:14,0.0
1904,104,18568,-148,155,-175,2025-01-29 12:38:14,0.0
1880,164,18504,-147,163,-189,2025-01-29 12:38:14,0.0
1832,88,18488,-150,145,-160,2025-01-29 12:38:14,0.0
1832,160,18564,-151,167,-189,2025-01-29 12:38:14,0.0
1900,132,18556,-167,162,-169,2025-01-29 12:38:14,0.0
1832,168,18592,-151,172,-179,2025-01-29 12:38:14,0.0
1972,60,18624,-151,159,-165,2025-01-29 12:38:14,0.0
1932,136,18580,-169,178,-189,2025-01-29 12:38:14,0.0
1924,136,18596,-164,162,-187,2025-01-29 12:38:14,0.0
1796,80,18540,-157,174,-194,2025-01-29 12:38:14,0.0
1856,136,18556,-135,172,-186,2025-01-29 12:38:14,0.0
