acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
2124,-212,18716,-307,-208,-177,2025-01-29 11:08:20,0.0
2360,-260,18860,-240,-349,-11,2025-01-29 11:08:20,0.0
2588,-396,18764,-201,-44,-51,2025-01-29 11:08:20,0.0
2776,-432,18756,-189,338,-230,2025-01-29 11:08:20,0.0
2556,-492,18752,-117,509,-408,2025-01-29 11:08:20,0.0
2452,-392,18556,33,468,-410,2025-01-29 11:08:20,0.0
2332,-204,18588,57,318,-328,2025-01-29 11:08:20,0.0
2240,-180,18280,29,83,-230,2025-01-29 11:08:20,0.0
2240,-280,18224,-185,-10,-119,2025-01-29 11:08:20,0.0
2244,-268,18532,-405,-10,-132,2025-01-29 11:08:20,0.0
2472,-236,18436,-514,64,-156,2025-01-29 11:08:20,0.0
2516,-240,18444,-446,136,-138,2025-01-29 11:08:20,0.0
2540,-164,18676,-284,232,-127,2025-01-29 11:08:20,0.0
2588,-348,18736,-135,261,-157,2025-01-29 11:08:20,0.0
2280,-412,18660,-56,188,-177,2025-01-29 11:08:20,0.0
2296,-204,18580,49,90,-181,2025-01-29 11:08:20,0.0
2316,-292,18600,101,74,-179,2025-01-29 11:08:20,0.0
2528,-184,18516,-10,160,-166,2025-01-29 11:08:20,0.0
2476,-324,18488,-76,91,-193,2025-01-29 11:08:20,0.0
2620,-372,18444,-201,84,-181,2025-01-29 11:08:20,0.0
2468,-516,18268,-270,129,-165,2025-01-29 11:08:20,0.0
2524,-280,18744,-233,64,-141,2025-01-29 11:08:20,0.0
2420,-188,18692,-271,35,-103,2025-01-29 11:08:20,0.0
2588,-380,18568,-386,74,-77,2025-01-29 11:08:20,0.0
2676,-380,18460,-485,303,-170,2025-01-29 11:08:20,0.0
2628,-500,18328,-459,436,-247,2025-01-29 11:08:20,0.0
2380,-228,18716,-224,335,-190,2025-01-29 11:08:20,0.0
2296,-112,18700,71,168,-17,2025-01-29 11:08:20,0.0
2168,-332,18608,124,107,151,2025-01-29 11:08:20,0.0
2468,-440,18584,-30,229,106,2025-01-29 11:08:20,0.0
2608,-376,18224,-138,438,-126,2025-01-29 11:08:20,0.0
2588,-272,18552,-111,458,-371,2025-01-29 11:08:20,0.0
2400,-204,18632,7,229,-399,2025-01-29 11:08:20,0.0
2208,-216,18856,21,52,-249,2025-01-29 11:08:20,0.0
2224,-332,18744,-148,56,-86,2025-01-29 11:08:20,0.0
