acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-12316,-204,-5456,-185,151,-167,2025-01-29 10:33:01,0.0
-12400,-112,-5444,-199,141,-168,2025-01-29 10:33:01,0.0
-12220,-228,-5496,-195,122,-194,2025-01-29 10:33:01,0.0
-12252,-104,-5560,-196,105,-192,2025-01-29 10:33:01,0.0
-12300,-120,-5484,-186,183,-194,2025-01-29 10:33:01,0.0
-12292,-124,-5380,-220,187,-215,2025-01-29 10:33:01,0.0
-12336,-208,-5520,-206,162,-213,2025-01-29 10:33:01,0.0
-12456,-164,-5516,-212,191,-211,2025-01-29 10:33:01,0.0
-12292,-220,-5324,-195,134,-214,2025-01-29 10:33:01,0.0
-12352,-184,-5404,-206,116,-203,2025-01-29 10:33:01,0.0
-12288,-244,-5440,-202,132,-194,2025-01-29 10:33:01,0.0
-12296,-236,-5300,-158,116,-227,2025-01-29 10:33:01,0.0
-12296,-252,-5492,-142,130,-178,2025-01-29 10:33:01,0.0
-12340,-108,-5284,-172,156,-198,2025-01-29 10:33:01,0.0
-12328,-200,-5488,-152,206,-178,2025-01-29 10:33:01,0.0
-12312,-80,-5300,-162,241,-186,2025-01-29 10:33:01,0.0
-12288,-76,-5560,-178,197,-207,2025-01-29 10:33:01,0.0
-12280,-104,-5376,-222,142,-202,2025-01-29 10:33:01,0.0
-12168,-136,-5440,-244,155,-189,2025-01-29 10:33:01,0.0
-12156,-80,-5504,-279,258,-222,2025-01-29 10:33:01,0.0
-12224,-64,-5232,-269,301,-220,2025-01-29 10:33:01,0.0
-12256,-64,-5444,-282,172,-205,2025-01-29 10:33:01,0.0
-12380,-212,-5544,-301,77,-217,2025-01-29 10:33:01,0.0
-12352,-388,-5544,-258,62,-211,2025-01-29 10:33:01,0.0
-12308,-144,-5348,-238,123,-173,2025-01-29 10:33:01,0.0
-12300,-108,-5504,-226,203,-182,2025-01-29 10:33:01,0.0
-12260,0,-5420,-227,242,-168,2025-01-29 10:33:01,0.0
-12232,-172,-5440,-194,187,-181,2025-01-29 10:33:01,0.0
-12328,-216,-5452,-189,172,-140,2025-01-29 10:33:01,0.0
-12416,-228,-5588,-151,153,-132,2025-01-29 10:33:01,0.0
-12420,-144,-5528,-78,85,-117,2025-01-29 10:33:01,0.0
-12212,-184,-5656,-115,77,-82,2025-01-29 10:33:01,0.0
-12448,-8,-5688,-91,-9,-36,2025-01-29 10:33:01,0.0
-12364,108,-5852,-140,-77,3,2025-01-29 10:33:01,0.0
-12308,100,-5724,-249,-165,-34,2025-01-29 10:33:01,0.0
-12392,92,-5440,-297,-264,-75,2025-01-29 10:33:01,0.0
-12180,-208,-5220,-248,-308,-83,2025-01-29 10:33:01,0.0
-12188,-352,-5268,-137,-177,-51,2025-01-29 10:33:01,0.0
-12120,-220,-5392,11,11,-50,2025-01-29 10:33:01,0.0
-12264,120,-5452,47,121,-96,2025-01-29 10:33:01,0.0
-12464,160,-5308,70,93,-70,2025-01-29 10:33:01,0.0
-12472,24,-5088,144,-50,-37,2025-01-29 10:33:01,0.0
-12404,-116,-5084,259,-130,-44,2025-01-29 10:33:01,0.0
-12308,-144,-5044,325,-120,-58,2025-01-29 10:33:01,0.0
-12188,-84,-5040,456,-21,-141,2025-01-29 10:33:01,0.0
-12136,104,-5224,551,8,-190,2025-01-29 10:33:01,0.0
-12148,28,-5052,572,8,-187,2025-01-29 10:33:01,0.0
-12444,64,-5008,668,132,-136,2025-01-29 10:33:01,0.0
-12396,-36,-5208,713,247,-60,2025-01-29 10:33:01,0.0
-12432,-132,-5040,759,274,-45,2025-01-29 10:33:01,0.0
-12412,-252,-5052,811,239,45,2025-01-29 10:33:02,0.0
-12348,-296,-5100,894,340,55,2025-01-29 10:33:02,0.0
-12452,-380,-5084,1061,361,94,2025-01-29 10:33:02,0.0
-12488,-396,-5064,1206,333,77,2025-01-29 10:33:02,0.0
-12356,-512,-5008,1345,321,118,2025-01-29 10:33:02,0.0
-12408,-472,-5040,1504,268,103,2025-01-29 10:33:02,0.0
-12460,-416,-5336,1627,168,146,2025-01-29 10:33:02,0.0
-12388,-388,-5304,1630,75,152,2025-01-29 10:33:02,0.0
-12204,-248,-5500,1625,107,122,2025-01-29 10:33:02,0.0
-12296,36,-5636,1601,198,98,2025-01-29 10:33:02,0.0
-12368,80,-5700,1574,249,124,2025-01-29 10:33:02,0.0
-12356,60,-5528,1419,223,100,2025-01-29 10:33:02,0.0
-12500,88,-5560,1374,105,108,2025-01-29 10:33:02,0.0
-12424,72,-5376,1268,151,91,2025-01-29 10:33:02,0.0
-12176,-8,-5272,1239,358,13,2025-01-29 10:33:02,0.0
-12076,-128,-5604,1413,420,-70,2025-01-29 10:33:02,0.0
-12132,-376,-5812,1526,540,-151,2025-01-29 10:33:02,0.0
-12376,-476,-5536,1694,665,-222,2025-01-29 10:33:02,0.0
-12716,-452,-5564,1822,427,-227,2025-01-29 10:33:02,0.0
-12904,-404,-5468,1798,-33,-198,2025-01-29 10:33:02,0.0
-12964,108,-5544,1797,-582,-163,2025-01-29 10:33:02,0.0
-12588,492,-5460,1654,-894,-321,2025-01-29 10:33:02,0.0
-12184,524,-5328,1531,-1080,-421,2025-01-29 10:33:02,0.0
-12204,580,-5420,1570,-1064,-402,2025-01-29 10:33:02,0.0
-12112,652,-5760,1513,-648,-400,2025-01-29 10:33:02,0.0
-12296,980,-5660,1157,-354,-428,2025-01-29 10:33:02,0.0
-12452,1008,-5472,868,-374,-434,2025-01-29 10:33:02,0.0
-12224,1160,-5188,677,-693,-464,2025-01-29 10:33:02,0.0
-11792,1020,-5160,418,-1059,-580,2025-01-29 10:33:02,0.0
-11504,788,-5784,204,-926,-662,2025-01-29 10:33:02,0.0
-11352,360,-5676,91,-279,-691,2025-01-29 10:33:02,0.0
-11616,296,-5472,-107,144,-865,2025-01-29 10:33:02,0.0
-12144,44,-5272,-611,32,-1020,2025-01-29 10:33:02,0.0
-12412,200,-5116,-1014,-333,-1282,2025-01-29 10:33:02,0.0
-12380,232,-5572,-1560,-504,-1617,2025-01-29 10:33:02,0.0
-12208,-32,-5568,-1824,-594,-1933,2025-01-29 10:33:02,0.0
-11988,-792,-5444,-1834,-416,-2080,2025-01-29 10:33:02,0.0
-11624,-1656,-4976,-1712,115,-2249,2025-01-29 10:33:02,0.0
-11684,-2628,-4400,-1400,687,-2304,2025-01-29 10:33:02,0.0
-12228,-3356,-4012,-957,1184,-2079,2025-01-29 10:33:02,0.0
-12780,-3568,-4160,-443,1530,-1870,2025-01-29 10:33:02,0.0
-13344,-3552,-4216,-140,1325,-1910,2025-01-29 10:33:02,0.0
-13668,-3212,-3636,49,874,-1937,2025-01-29 10:33:02,0.0
-13484,-2704,-3456,57,251,-1928,2025-01-29 10:33:02,0.0
-12648,-2024,-3328,-98,198,-2167,2025-01-29 10:33:02,0.0
-12336,-1660,-3252,-203,590,-2394,2025-01-29 10:33:02,0.0
-12216,-1856,-3908,-415,917,-2385,2025-01-29 10:33:02,0.0
-12656,-1980,-4396,-546,1171,-2316,2025-01-29 10:33:02,0.0
-12924,-2064,-4380,-658,1396,-2190,2025-01-29 10:33:02,0.0
-12940,-1968,-4204,-874,1260,-2157,2025-01-29 10:33:02,
-12756,-2088,-4056,-1186,706,-2111,2025-01-29 10:33:02,0.0
-12580,-2232,-3804,-1357,251,-2002,2025-01-29 10:33:02,0.0
-12524,-2500,-3884,-1355,-53,-1789,2025-01-29 10:33:02,0.0
-12252,-2284,-3820,-1335,166,-1565,2025-01-29 10:33:02,0.0
-12212,-2372,-3688,-1395,566,-1335,2025-01-29 10:33:02,0.0
-12256,-2592,-3868,-1485,902,-955,2025-01-29 10:33:02,0.0
-12196,-2740,-4044,-1587,963,-559,2025-01-29 10:33:02,0.0
-12068,-2744,-4156,-1653,1064,-161,2025-01-29 10:33:02,0.0
-11980,-2472,-4104,-1709,1361,124,2025-01-29 10:33:02,0.0
-12364,-1872,-3832,-1713,1527,198,2025-01-29 10:33:02,0.0
-12736,-1588,-3768,-1891,1293,121,2025-01-29 10:33:02,0.0
-13476,-2200,-3760,-2059,772,-43,2025-01-29 10:33:03,0.0
-13616,-3008,-4096,-1966,433,-109,2025-01-29 10:33:03,0.0
-13244,-3108,-3716,-1498,321,-339,2025-01-29 10:33:03,0.0
-13232,-2252,-3308,-1658,119,-461,2025-01-29 10:33:03,0.0
-13152,-1268,-2912,-2107,-77,-560,2025-01-29 10:33:03,0.0
-13256,-720,-3024,-2579,-311,-691,2025-01-29 10:33:03,0.0
-13020,-520,-3044,-3131,-454,-887,2025-01-29 10:33:03,0.0
-12464,-604,-3488,-3866,-483,-1436,2025-01-29 10:33:03,0.0
-12192,-1216,-4032,-4772,-210,-1975,2025-01-29 10:33:03,0.0
-11920,-2068,-4204,-5304,424,-2148,2025-01-29 10:33:03,0.0
-12328,-2672,-4020,-5787,1558,-2295,2025-01-29 10:33:03,0.0
-13004,-2772,-3412,-6157,2144,-2314,2025-01-29 10:33:03,0.0
-13544,-3116,-3856,-6289,1603,-2341,2025-01-29 10:33:03,0.0
-13936,-3388,-5736,-5945,1102,-2583,2025-01-29 10:33:03,0.0
-14092,-4456,-4588,-5135,1789,-2837,2025-01-29 10:33:03,0.0
-14140,-5448,-2896,-3799,1372,-2596,2025-01-29 10:33:03,0.0
-14568,-5816,-3652,-2665,913,-1319,2025-01-29 10:33:03,0.0
-13988,-5296,-5780,-2405,1926,63,2025-01-29 10:33:03,0.0
-13364,-5088,-7056,-2186,3526,-82,2025-01-29 10:33:03,0.0
-14604,-5052,-6184,-1116,3666,-773,2025-01-29 10:33:03,0.0
-16616,-4308,-5476,117,2294,-629,2025-01-29 10:33:03,0.0
-18036,-2980,-5232,585,-352,881,2025-01-29 10:33:03,0.0
-17248,-1484,-5584,764,-2623,2388,2025-01-29 10:33:03,0.0
-14928,-1016,-6912,748,-4272,3342,2025-01-29 10:33:03,0.0
-12500,-924,-7680,648,-4567,3577,2025-01-29 10:33:03,0.0
-10384,-724,-7796,364,-3642,3397,2025-01-29 10:33:03,0.0
-8872,-772,-7392,418,-2268,3062,2025-01-29 10:33:03,0.0
-8436,-652,-7404,642,-1183,2765,2025-01-29 10:33:03,0.0
-8840,116,-8200,525,-359,2680,2025-01-29 10:33:03,0.0
-9232,1072,-8112,120,297,2664,2025-01-29 10:33:03,0.0
-9360,1780,-8116,-289,586,2536,2025-01-29 10:33:03,0.0
-9416,2340,-7960,-709,554,2158,2025-01-29 10:33:03,0.0
