acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-11944,-1080,-6156,179,211,-230,2025-01-29 10:47:29,0.0
-12004,-1032,-6212,240,301,-195,2025-01-29 10:47:29,0.0
-11904,-1268,-6332,236,330,-174,2025-01-29 10:47:29,0.0
-11856,-1116,-6328,285,268,-122,2025-01-29 10:47:29,0.0
-11804,-1224,-6272,341,270,-135,2025-01-29 10:47:29,0.0
-11800,-1160,-6280,414,403,-109,2025-01-29 10:47:29,0.0
-11852,-1184,-6348,443,528,-89,2025-01-29 10:47:29,0.0
-11896,-1184,-6372,433,470,-106,2025-01-29 10:47:29,0.0
-11972,-1040,-6492,354,266,-86,2025-01-29 10:47:29,0.0
-11784,-960,-6496,271,221,-71,2025-01-29 10:47:29,0.0
-11632,-876,-6680,148,291,-42,2025-01-29 10:47:29,0.0
-11564,-888,-6724,54,366,-56,2025-01-29 10:47:29,0.0
-11620,-1012,-6628,-30,476,-51,2025-01-29 10:47:29,0.0
-11712,-1136,-6660,-143,520,-90,2025-01-29 10:47:29,0.0
-12104,-1000,-6348,-104,494,-35,2025-01-29 10:47:29,0.0
-12096,-980,-6172,-148,283,-8,2025-01-29 10:47:29,0.0
-12128,-1096,-6072,-142,-13,74,2025-01-29 10:47:29,0.0
-11800,-1364,-6024,1,-68,142,2025-01-29 10:47:29,0.0
-11852,-1248,-5880,166,112,186,2025-01-29 10:47:29,0.0
-11632,-1260,-5904,420,348,144,2025-01-29 10:47:29,0.0
-11940,-1016,-5888,596,477,132,2025-01-29 10:47:29,0.0
-12000,-1004,-5788,809,489,162,2025-01-29 10:47:29,0.0
-12088,-968,-5984,898,459,116,2025-01-29 10:47:29,0.0
-12020,-968,-5952,1031,338,51,2025-01-29 10:47:29,0.0
-12064,-792,-6156,1126,247,-51,2025-01-29 10:47:29,0.0
-12060,-680,-6088,1195,134,-142,2025-01-29 10:47:29,0.0
-11924,-424,-6368,1188,138,-242,2025-01-29 10:47:29,0.0
-11960,-364,-6524,1035,222,-341,2025-01-29 10:47:29,0.0
-12220,-208,-6384,936,225,-359,2025-01-29 10:47:29,0.0
-12148,-132,-5988,840,92,-442,2025-01-29 10:47:29,0.0
-12084,-336,-6128,767,-27,-502,2025-01-29 10:47:29,0.0
-11932,-448,-5848,809,-71,-599,2025-01-29 10:47:29,0.0
-11920,-572,-5876,809,-39,-781,2025-01-29 10:47:29,0.0
-12040,-724,-5496,915,121,-869,2025-01-29 10:47:29,0.0
-11936,-568,-5460,1073,280,-994,2025-01-29 10:47:29,0.0
-12016,-600,-6144,1121,280,-1231,2025-01-29 10:47:29,0.0
-12052,-732,-6412,1038,213,-1480,2025-01-29 10:47:29,0.0
-11756,-568,-6672,1021,2,-1620,2025-01-29 10:47:29,0.0
-11344,-488,-6868,897,199,-1869,2025-01-29 10:47:30,0.0
-11436,-472,-6720,756,576,-2053,2025-01-29 10:47:30,0.0
-11008,-760,-6664,711,1039,-2098,2025-01-29 10:47:30,0.0
-10660,-860,-6212,704,1268,-2168,2025-01-29 10:47:30,0.0
-10496,-1292,-6524,692,1926,-1846,2025-01-29 10:47:30,0.0
-9892,-2144,-6244,578,2638,-1456,2025-01-29 10:47:30,0.0
-12140,-3044,-5556,746,2297,43,2025-01-29 10:47:30,0.0
-11160,-2796,-5876,1195,2123,48,2025-01-29 10:47:30,0.0
-10924,-1864,-6884,575,2667,-1019,2025-01-29 10:47:30,0.0
-12568,-212,-6888,157,2529,-2981,2025-01-29 10:47:30,0.0
-13584,-976,-5516,-707,2025,-1898,2025-01-29 10:47:30,0.0
-12460,-2096,-5280,-650,1723,-1642,2025-01-29 10:47:30,0.0
-11948,-2720,-5788,-812,1959,-2668,2025-01-29 10:47:30,0.0
-13612,-3356,-5492,-783,1880,-3048,2025-01-29 10:47:30,0.0
-12716,-3852,-5560,-451,1447,-2809,2025-01-29 10:47:30,0.0
-12036,-3708,-6472,-535,1640,-3024,2025-01-29 10:47:30,0.0
-12924,-3716,-6600,-1028,1982,-2449,2025-01-29 10:47:30,0.0
-13052,-3376,-4900,-918,998,-1731,2025-01-29 10:47:30,0.0
-11816,-3408,-5140,-684,-451,-1931,2025-01-29 10:47:30,0.0
-12196,-3456,-6252,-794,-929,-1650,2025-01-29 10:47:30,0.0
-11960,-3608,-5020,-613,-977,-1173,2025-01-29 10:47:30,0.0
-11776,-3280,-5104,83,-1313,-557,2025-01-29 10:47:30,0.0
-10500,-2900,-5284,-533,-1628,-395,2025-01-29 10:47:30,0.0
-10344,-2896,-5396,-203,-1126,-910,2025-01-29 10:47:30,0.0
-10924,-2912,-5344,-387,-318,-958,2025-01-29 10:47:30,0.0
-11224,-3156,-4772,-372,94,-755,2025-01-29 10:47:30,0.0
-11640,-3288,-5220,-459,64,-420,2025-01-29 10:47:30,0.0
-11256,-3260,-5024,-876,-69,63,2025-01-29 10:47:30,0.0
-11412,-3124,-5416,-1044,22,113,2025-01-29 10:47:30,0.0
-11864,-2868,-5700,-1494,-212,120,2025-01-29 10:47:30,0.0
-12088,-2760,-5720,-1942,-1107,296,2025-01-29 10:47:30,0.0
-11984,-2388,-5204,-2024,-2043,303,2025-01-29 10:47:30,0.0
-12416,-2688,-5144,-1849,-3033,346,2025-01-29 10:47:30,0.0
-12836,-3048,-4644,-1789,-4158,645,2025-01-29 10:47:30,0.0
-12632,-3176,-4800,-1681,-4587,644,2025-01-29 10:47:30,0.0
-12324,-3068,-4844,-1744,-4234,356,2025-01-29 10:47:30,0.0
-12584,-2768,-4328,-1750,-3970,246,2025-01-29 10:47:30,0.0
-12324,-2556,-4180,-1444,-3247,88,2025-01-29 10:47:30,0.0
-12580,-2676,-5096,-1788,-1415,75,2025-01-29 10:47:30,0.0
-12404,-2724,-4436,-2341,109,-360,2025-01-29 10:47:30,0.0
-13000,-2532,-4820,-2962,260,-1199,2025-01-29 10:47:30,0.0
-14152,-3108,-3760,-3202,-215,-1449,2025-01-29 10:47:30,0.0
-14932,-3584,-3652,-2780,-746,-880,2025-01-29 10:47:30,0.0
-15016,-4316,-4856,-2377,-977,-376,2025-01-29 10:47:30,0.0
-15380,-4536,-5072,-2554,-1324,-683,2025-01-29 10:47:30,0.0
-15888,-4436,-5232,-2280,-945,-1411,2025-01-29 10:47:30,0.0
-16488,-4460,-4716,-2194,-1249,-1603,2025-01-29 10:47:30,0.0
-16536,-4604,-4524,-1900,-2338,-1159,2025-01-29 10:47:30,0.0
-16512,-4560,-4364,-1536,-3439,-345,2025-01-29 10:47:30,0.0
-15560,-4380,-3960,-943,-4128,602,2025-01-29 10:47:30,0.0
-14700,-4140,-3648,-412,-4527,977,2025-01-29 10:47:30,0.0
-13968,-3248,-3632,-61,-5542,1361,2025-01-29 10:47:30,0.0
-13112,-2932,-4264,-102,-6305,1769,2025-01-29 10:47:30,0.0
-11492,-2264,-5020,322,-6037,2102,2025-01-29 10:47:30,0.0
-10632,-1928,-5552,213,-5434,2379,2025-01-29 10:47:30,0.0
-10564,-1616,-6920,357,-4668,2934,2025-01-29 10:47:30,0.0
-10260,-1280,-7184,368,-3383,3448,2025-01-29 10:47:30,0.0
-10572,-460,-6992,475,-1913,3659,2025-01-29 10:47:30,0.0
-11180,128,-6272,195,-1440,3733,2025-01-29 10:47:30,0.0
-11916,292,-5852,130,-1204,3830,2025-01-29 10:47:30,0.0
-12500,1548,-6424,253,-373,3243,2025-01-29 10:47:31,0.0
-12108,484,-5364,465,951,2576,2025-01-29 10:47:31,
-11972,-232,-5028,528,2623,2269,2025-01-29 10:47:31,0.0
-11924,-260,-5204,81,2860,2199,2025-01-29 10:47:31,0.0
-11980,-136,-5196,-487,1053,2246,2025-01-29 10:47:31,0.0
