acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-12020,-700,-6020,-106,260,-178,2025-01-29 11:59:31,0.0
-12144,-688,-6032,-58,250,-139,2025-01-29 11:59:31,0.0
-12080,-672,-5948,-101,188,-136,2025-01-29 11:59:31,0.0
-12108,-580,-6000,-150,147,-125,2025-01-29 11:59:31,0.0
-12072,-596,-6080,-180,138,-139,2025-01-29 11:59:31,0.0
-12064,-592,-6072,-211,148,-126,2025-01-29 11:59:31,0.0
-12008,-636,-5972,-218,101,-145,2025-01-29 11:59:31,0.0
-12080,-704,-5876,-240,124,-179,2025-01-29 11:59:31,0.0
-11996,-700,-5884,-233,169,-198,2025-01-29 11:59:31,0.0
-11988,-660,-5876,-249,199,-193,2025-01-29 11:59:31,0.0
-12096,-584,-5852,-265,215,-211,2025-01-29 11:59:32,0.0
-11996,-688,-5840,-229,77,27,2025-01-29 11:59:32,0.0
-11952,-728,-5856,-306,152,21,2025-01-29 11:59:32,0.0
-11852,-500,-6128,-427,166,-3,2025-01-29 11:59:32,0.0
-11776,-248,-6256,-675,270,-4,2025-01-29 11:59:32,0.0
-11860,-304,-6156,-886,470,-14,2025-01-29 11:59:32,0.0
-11932,-420,-6344,-1020,737,79,2025-01-29 11:59:32,0.0
-11984,-440,-6608,-1220,918,3,2025-01-29 11:59:32,0.0
-12284,-200,-6300,-1305,976,12,2025-01-29 11:59:32,0.0
-12720,-180,-5792,-1231,965,70,2025-01-29 11:59:32,0.0
-12816,-172,-5728,-1120,632,106,2025-01-29 11:59:32,0.0
-13008,20,-5912,-1004,-87,49,2025-01-29 11:59:32,0.0
-12888,280,-5676,-787,-894,-25,2025-01-29 11:59:32,0.0
-12552,100,-5472,-553,-1692,-116,2025-01-29 11:59:32,0.0
-12444,148,-5284,-173,-2111,-106,2025-01-29 11:59:32,0.0
-11904,236,-4892,15,-2347,-139,2025-01-29 11:59:32,0.0
-11476,232,-4416,157,-2750,-419,2025-01-29 11:59:32,0.0
-11520,120,-4640,525,-2319,-534,2025-01-29 11:59:32,0.0
-11748,432,-5064,836,-951,-380,2025-01-29 11:59:32,0.0
-11844,620,-5288,1049,-258,-413,2025-01-29 11:59:32,0.0
-12172,524,-5408,1126,-189,-473,2025-01-29 11:59:32,0.0
-12396,120,-5572,1252,-557,-406,2025-01-29 11:59:32,0.0
-12416,-388,-5552,1495,-1203,-286,2025-01-29 11:59:32,0.0
-12004,-668,-5660,1910,-1579,-139,2025-01-29 11:59:32,0.0
-11816,-1168,-5500,2217,-1514,-17,2025-01-29 11:59:32,0.0
-11720,-1184,-5280,2660,-991,188,2025-01-29 11:59:32,0.0
-11932,-1244,-5488,3107,-96,384,2025-01-29 11:59:32,0.0
-12224,-1628,-5464,3462,393,406,2025-01-29 11:59:32,0.0
-12556,-1212,-5988,3901,27,140,2025-01-29 11:59:32,0.0
-12764,-1084,-6688,4239,-435,-261,2025-01-29 11:59:32,0.0
-12564,-1172,-6364,4444,-694,-698,2025-01-29 11:59:32,0.0
-12616,-1400,-5596,4437,-758,-929,2025-01-29 11:59:32,0.0
-12448,-1760,-4400,4204,-603,-833,2025-01-29 11:59:32,0.0
-12344,-1604,-4044,3815,-54,-529,2025-01-29 11:59:32,0.0
-11940,-1108,-3548,3301,752,-490,2025-01-29 11:59:32,0.0
-11876,-520,-2928,2533,1326,-853,2025-01-29 11:59:32,0.0
-11656,-572,-3052,1535,1698,-1363,2025-01-29 11:59:32,0.0
-12028,-1440,-3216,583,2790,-2244,2025-01-29 11:59:32,0.0
-12764,-2156,-3432,270,3481,-2633,2025-01-29 11:59:32,0.0
-13376,-2532,-3252,58,3338,-2583,2025-01-29 11:59:32,0.0
-13356,-3012,-3004,220,2570,-2413,2025-01-29 11:59:32,0.0
-13364,-2936,-3116,254,1595,-2073,2025-01-29 11:59:32,0.0
-13064,-2788,-3604,-10,900,-1636,2025-01-29 11:59:32,0.0
-12568,-2308,-3564,-493,573,-1115,2025-01-29 11:59:32,0.0
-12032,-1496,-3592,-1183,703,-660,2025-01-29 11:59:32,0.0
-11880,-916,-3664,-1881,1062,-425,2025-01-29 11:59:32,0.0
-12244,-852,-3528,-2447,1406,-211,2025-01-29 11:59:32,0.0
-12416,-1104,-3608,-2825,1495,41,2025-01-29 11:59:32,0.0
-12636,-1768,-3648,-2978,1579,269,2025-01-29 11:59:32,0.0
-12348,-2580,-3836,-2824,1859,103,2025-01-29 11:59:32,0.0
-12744,-2708,-3528,-2691,2164,-747,2025-01-29 11:59:32,0.0
-13356,-2780,-3280,-2593,1935,-1401,2025-01-29 11:59:32,0.0
-13896,-2632,-3400,-2635,1244,-1779,2025-01-29 11:59:32,0.0
-13860,-2424,-3236,-2745,299,-1930,2025-01-29 11:59:32,0.0
-13488,-1924,-3224,-2935,-559,-2061,2025-01-29 11:59:32,0.0
-12884,-1664,-2888,-3351,-966,-2332,2025-01-29 11:59:32,0.0
-12668,-1540,-2508,-4147,-945,-2714,2025-01-29 11:59:32,0.0
-12616,-2528,-2688,-4821,-381,-3330,2025-01-29 11:59:32,0.0
-12712,-3504,-3576,-4982,-13,-4250,2025-01-29 11:59:32,0.0
-13608,-4208,-4828,-4871,238,-5097,2025-01-29 11:59:32,0.0
-14400,-4644,-5152,-4287,-329,-5806,2025-01-29 11:59:32,0.0
-15220,-5044,-4024,-2937,-1729,-6041,2025-01-29 11:59:32,0.0
-15088,-6168,-2932,-1059,-3585,-5875,2025-01-29 11:59:33,0.0
-14396,-7056,-4064,566,-5843,-5652,2025-01-29 11:59:33,0.0
-14784,-5960,-4708,983,-7402,-4927,2025-01-29 11:59:33,0.0
-15864,-4144,-5784,702,-7257,-2779,2025-01-29 11:59:33,0.0
-15664,-3796,-7540,54,-5472,1230,2025-01-29 11:59:33,0.0
-11692,-3764,-10872,-1093,-3073,2739,2025-01-29 11:59:33,0.0
-11436,-3264,-9356,-2433,-1001,1988,2025-01-29 11:59:33,0.0
-12328,-2596,-7156,-2050,23,1743,2025-01-29 11:59:33,0.0
-12868,-1120,-6192,-1240,-630,2225,2025-01-29 11:59:33,0.0
-12468,328,-5328,-132,-1593,2466,2025-01-29 11:59:33,0.0
-11720,1212,-6256,275,-2513,2112,2025-01-29 11:59:33,0.0
-11784,860,-6400,-63,-2061,1709,2025-01-29 11:59:33,0.0
-12284,-200,-6244,-344,-402,2079,2025-01-29 11:59:33,0.0
-12532,-1272,-6228,-357,1028,3056,2025-01-29 11:59:33,0.0
-12152,-2104,-5872,-259,1633,3646,2025-01-29 11:59:33,0.0
-12696,-2420,-4848,92,1547,4096,2025-01-29 11:59:33,0.0
-12480,-2236,-4324,654,1116,4411,2025-01-29 11:59:33,0.0
-12244,-1548,-4680,1121,529,4371,2025-01-29 11:59:33,0.0
-10796,400,-5472,1151,142,4432,2025-01-29 11:59:33,0.0
-10116,432,-4796,1069,27,3916,2025-01-29 11:59:33,0.0
-9752,20,-4288,1130,318,3179,2025-01-29 11:59:33,0.0
-9928,-280,-3832,1387,1373,2480,2025-01-29 11:59:33,0.0
-10752,8,-4320,1343,2733,2195,2025-01-29 11:59:33,0.0
-11452,332,-4844,1150,3368,2278,2025-01-29 11:59:33,0.0
-12156,1304,-5108,746,3211,2268,2025-01-29 11:59:33,0.0
-12620,1816,-4976,389,2194,1999,2025-01-29 11:59:33,0.0
-12808,1552,-4624,220,869,1491,2025-01-29 11:59:33,0.0
-12956,1208,-4324,232,-244,1000,2025-01-29 11:59:33,
-12904,608,-4268,230,-935,862,2025-01-29 11:59:33,0.0
-12216,276,-3864,376,-1438,1097,2025-01-29 11:59:33,0.0
-11632,-40,-3468,587,-1372,1268,2025-01-29 11:59:33,0.0
-11184,-344,-3260,842,-1041,1129,2025-01-29 11:59:33,0.0
-11184,-504,-3000,1051,-805,963,2025-01-29 11:59:33,0.0
-11468,-316,-2504,1385,-926,829,2025-01-29 11:59:33,0.0
-11932,68,-2776,1790,-1127,755,2025-01-29 11:59:33,0.0
-12176,648,-3248,2108,-1291,772,2025-01-29 11:59:33,0.0
-11824,888,-3588,2248,-1602,556,2025-01-29 11:59:33,0.0
-11952,744,-3084,2344,-1376,260,2025-01-29 11:59:33,0.0
-12016,744,-2704,2522,-1090,234,2025-01-29 11:59:33,0.0
-11836,1124,-3032,2613,-1124,293,2025-01-29 11:59:33,0.0
-12224,1920,-3248,2653,-371,715,2025-01-29 11:59:33,0.0
-12700,1264,-3884,2715,1056,742,2025-01-29 11:59:33,0.0
-13956,-344,-4188,2643,2298,828,2025-01-29 11:59:33,0.0
-14676,-96,-3564,2649,2568,976,2025-01-29 11:59:33,0.0
-15076,208,-2612,3128,1840,1134,2025-01-29 11:59:33,0.0
-14976,152,-2112,3586,992,1202,2025-01-29 11:59:33,0.0
-14968,-140,-1512,3954,727,1271,2025-01-29 11:59:33,0.0
-14292,-356,-1344,4513,1099,1405,2025-01-29 11:59:33,0.0
-14344,-68,-3316,4808,2393,1538,2025-01-29 11:59:33,0.0
-14652,192,-4348,5109,4515,1714,2025-01-29 11:59:33,0.0
-15824,2384,-6208,5002,6124,1881,2025-01-29 11:59:33,0.0
-17596,4908,-9080,2308,6495,2618,2025-01-29 11:59:33,0.0
-17676,5836,-9764,-44,4801,2693,2025-01-29 11:59:33,0.0
-16944,5292,-9788,-1803,2069,2198,2025-01-29 11:59:33,0.0
-16120,3332,-8200,-3025,-959,1300,2025-01-29 11:59:33,0.0
-14584,876,-6788,-3274,-3392,583,2025-01-29 11:59:33,0.0
-11432,-788,-5976,-2441,-5191,-330,2025-01-29 11:59:33,0.0
-8680,-1460,-6332,-1306,-5447,-1627,2025-01-29 11:59:33,0.0
-7576,-1312,-7836,-352,-4481,-2588,2025-01-29 11:59:33,0.0
