acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-10952,-648,-7856,-119,289,-284,2025-01-29 10:39:57,0.0
-11040,-692,-7984,-131,237,-234,2025-01-29 10:39:57,0.0
-10972,-608,-8084,-114,163,-177,2025-01-29 10:39:57,0.0
-10836,-728,-7876,-155,171,-190,2025-01-29 10:39:57,0.0
-10924,-744,-7852,-178,226,-160,2025-01-29 10:39:57,0.0
-10824,-580,-7884,-130,259,-134,2025-01-29 10:39:57,0.0
-10888,-544,-7832,-149,218,-182,2025-01-29 10:39:57,0.0
-10988,-632,-7888,-161,138,-164,2025-01-29 10:39:57,0.0
-10832,-680,-7864,-122,59,-164,2025-01-29 10:39:57,0.0
-10800,-720,-7920,-165,156,-211,2025-01-29 10:39:57,0.0
-10772,-728,-8032,-132,269,-219,2025-01-29 10:39:57,0.0
-10656,-648,-8268,-205,368,-205,2025-01-29 10:39:57,0.0
-10756,-688,-8248,-263,443,-217,2025-01-29 10:39:57,0.0
-10784,-784,-8304,-296,368,-219,2025-01-29 10:39:57,0.0
-11044,-704,-8140,-279,234,-114,2025-01-29 10:39:57,0.0
-10944,-924,-8104,-239,137,3,2025-01-29 10:39:57,0.0
-10836,-736,-8080,-175,77,195,2025-01-29 10:39:57,0.0
-10788,-660,-7848,-312,109,184,2025-01-29 10:39:57,0.0
-10752,-668,-7720,-233,218,272,2025-01-29 10:39:57,0.0
-10684,-668,-7960,-246,519,296,2025-01-29 10:39:57,0.0
-10636,-568,-7736,-176,842,357,2025-01-29 10:39:57,0.0
-10732,-352,-7684,-70,1053,374,2025-01-29 10:39:57,0.0
-10988,-172,-7568,-3,1244,443,2025-01-29 10:39:57,0.0
-11080,-188,-7336,167,1463,514,2025-01-29 10:39:57,0.0
-11220,116,-7688,253,1455,526,2025-01-29 10:39:57,0.0
-11412,244,-7736,252,1198,483,2025-01-29 10:39:57,0.0
-11556,288,-7688,316,751,457,2025-01-29 10:39:57,0.0
-11368,364,-7412,426,138,327,2025-01-29 10:39:57,0.0
-11512,680,-7344,492,-232,164,2025-01-29 10:39:57,0.0
-11488,740,-7712,549,-634,-62,2025-01-29 10:39:57,0.0
-11512,1036,-7884,531,-968,-128,2025-01-29 10:39:57,0.0
-11056,1140,-7732,415,-1061,-167,2025-01-29 10:39:57,0.0
-10708,984,-7592,235,-808,-345,2025-01-29 10:39:57,0.0
-10572,672,-7244,285,-243,-406,2025-01-29 10:39:57,0.0
-10560,752,-7296,339,303,-437,2025-01-29 10:39:57,0.0
-10664,852,-7568,362,475,-452,2025-01-29 10:39:57,0.0
-10988,768,-7992,330,425,-511,2025-01-29 10:39:57,0.0
-11340,164,-7868,334,360,-509,2025-01-29 10:39:57,0.0
-11136,4,-7848,513,-120,-413,2025-01-29 10:39:57,0.0
-10972,16,-7800,612,-598,-424,2025-01-29 10:39:57,0.0
-10892,68,-7736,718,-499,-656,2025-01-29 10:39:57,0.0
-10736,-192,-8100,967,-52,-877,2025-01-29 10:39:57,0.0
-10608,-120,-8204,1278,300,-1177,2025-01-29 10:39:57,0.0
-10528,-28,-8860,1492,425,-1693,2025-01-29 10:39:57,0.0
-10492,-332,-8292,1710,547,-2128,2025-01-29 10:39:57,0.0
-10536,-672,-7940,1932,770,-2264,2025-01-29 10:39:57,0.0
-10076,-1220,-7976,2103,1115,-2349,2025-01-29 10:39:57,0.0
-10032,-2000,-7636,2157,1604,-2379,2025-01-29 10:39:57,0.0
-9980,-2516,-6852,2142,2191,-2405,2025-01-29 10:39:57,0.0
-10692,-2956,-5984,2103,2786,-2341,2025-01-29 10:39:57,0.0
-11764,-2336,-5764,2010,3003,-1993,2025-01-29 10:39:57,0.0
-12036,-1952,-6684,1695,2559,-1755,2025-01-29 10:39:57,0.0
-12328,-1928,-6240,1123,1762,-1834,2025-01-29 10:39:57,0.0
-12664,-2072,-5644,782,966,-2144,2025-01-29 10:39:57,0.0
-12340,-2320,-6564,509,288,-2214,2025-01-29 10:39:57,0.0
-11908,-2492,-6980,359,112,-2164,2025-01-29 10:39:57,0.0
-11476,-2372,-6704,149,-135,-1813,2025-01-29 10:39:57,0.0
-10684,-2160,-6412,-139,-184,-1771,2025-01-29 10:39:57,0.0
-10752,-2344,-6140,-527,23,-1883,2025-01-29 10:39:57,0.0
-11092,-2756,-5820,-812,2,-1840,2025-01-29 10:39:58,0.0
-11292,-3008,-5764,-963,-43,-1587,2025-01-29 10:39:58,0.0
-11328,-2792,-5820,-1165,151,-1420,2025-01-29 10:39:58,0.0
-11600,-2420,-5872,-1513,227,-1223,2025-01-29 10:39:58,0.0
-11480,-2564,-5820,-1808,13,-1030,2025-01-29 10:39:58,0.0
-11212,-2844,-5716,-1914,-133,-1068,2025-01-29 10:39:58,0.0
-10888,-3124,-6252,-1938,-132,-1052,2025-01-29 10:39:58,0.0
-10444,-3328,-6668,-1815,324,-1053,2025-01-29 10:39:58,0.0
-10552,-2988,-7056,-1980,1064,-1136,2025-01-29 10:39:58,0.0
-11100,-2012,-7544,-2207,1659,-1349,2025-01-29 10:39:58,0.0
-12292,-1600,-7768,-2583,1833,-1388,2025-01-29 10:39:58,0.0
-12520,-2468,-7728,-2721,1485,-1322,2025-01-29 10:39:58,0.0
-12564,-3340,-7528,-2632,826,-1396,2025-01-29 10:39:58,0.0
-12760,-3372,-7212,-2568,-356,-1330,2025-01-29 10:39:58,0.0
-11852,-3124,-7256,-2666,-786,-1733,2025-01-29 10:39:58,0.0
-12408,-2740,-7204,-2981,-562,-2359,2025-01-29 10:39:58,0.0
-12864,-2144,-6956,-3668,-555,-2538,2025-01-29 10:39:58,0.0
-13200,-2040,-6416,-4662,-653,-2493,2025-01-29 10:39:58,0.0
-12792,-3304,-7136,-5165,-606,-2380,2025-01-29 10:39:58,0.0
-12836,-3912,-9468,-5191,77,-2720,2025-01-29 10:39:58,0.0
-13532,-5008,-8720,-4824,1265,-2973,2025-01-29 10:39:58,0.0
-14344,-6200,-6916,-3423,998,-3274,2025-01-29 10:39:58,0.0
-15220,-6724,-6584,-1725,-1556,-2641,2025-01-29 10:39:58,0.0
-15508,-6608,-8176,-595,-3991,-605,2025-01-29 10:39:58,0.0
-13676,-4996,-10332,30,-4358,1367,2025-01-29 10:39:58,0.0
-11424,-3144,-10556,84,-3314,1350,2025-01-29 10:39:58,0.0
-11272,-2580,-10260,-137,-3269,1028,2025-01-29 10:39:58,0.0
-10336,-3008,-9720,-669,-4139,1795,2025-01-29 10:39:58,0.0
-7764,-2060,-9168,-960,-4851,2430,2025-01-29 10:39:58,0.0
-6888,-528,-9548,-990,-3872,2615,2025-01-29 10:39:58,0.0
-6244,1112,-10284,-1406,-1875,2503,2025-01-29 10:39:58,0.0
-6056,2048,-9656,-1800,504,1784,2025-01-29 10:39:58,0.0
-6784,2024,-9448,-1761,2190,686,2025-01-29 10:39:58,0.0
-8512,1288,-9268,-2044,2750,89,2025-01-29 10:39:58,0.0
-10584,-236,-8220,-2511,3145,490,2025-01-29 10:39:58,0.0
-11560,-1296,-7672,-2262,2913,1131,2025-01-29 10:39:58,0.0
-12396,-2052,-8472,-1693,2459,1791,2025-01-29 10:39:58,0.0
-12832,-1872,-8908,-1069,1397,2541,2025-01-29 10:39:58,0.0
