acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-12789.25,-816.3,-26709.0,-285.675,25.652500000000003,-371.1825,2025-01-29 10:38:40,0.0
-12865.25,-588.3,-26621.0,-288.675,42.6525,-378.1825,2025-01-29 10:38:40,0.0
-12929.25,-776.3,-26809.0,-347.675,-23.347499999999997,-387.1825,2025-01-29 10:38:40,0.0
-12869.25,-640.3,-26657.0,-342.675,-41.3475,-341.1825,2025-01-29 10:38:40,0.0
-12825.25,-780.3,-26785.0,-316.675,-61.3475,-347.1825,2025-01-29 10:38:40,0.0
-12753.25,-796.3,-26773.0,-295.675,-32.3475,-346.1825,2025-01-29 10:38:40,0.0
-12949.25,-644.3,-26645.0,-325.675,-28.347499999999997,-381.1825,2025-01-29 10:38:40,0.0
-12857.25,-684.3,-26713.0,-285.675,-33.3475,-357.1825,2025-01-29 10:38:40,0.0
-12893.25,-780.3,-26637.0,-340.675,-47.3475,-370.1825,2025-01-29 10:38:40,0.0
-12741.25,-692.3,-26693.0,-346.675,-42.3475,-361.1825,2025-01-29 10:38:40,0.0
-12869.25,-636.3,-26617.0,-353.675,-25.347499999999997,-353.1825,2025-01-29 10:38:40,0.0
-12789.25,-684.3,-26685.0,-350.675,7.652500000000003,-366.1825,2025-01-29 10:38:40,0.0
-12741.25,-832.3,-26745.0,-318.675,34.6525,-348.1825,2025-01-29 10:38:40,0.0
-12825.25,-748.3,-26809.0,-333.675,16.652500000000003,-362.1825,2025-01-29 10:38:40,0.0
-12837.25,-772.3,-26817.0,-335.675,51.6525,-348.1825,2025-01-29 10:38:40,0.0
-12905.25,-712.3,-26649.0,-289.675,43.6525,-346.1825,2025-01-29 10:38:40,0.0
-12913.25,-684.3,-26841.0,-317.675,46.6525,-343.1825,2025-01-29 10:38:40,0.0
-12841.25,-716.3,-26773.0,-338.675,17.652500000000003,-356.1825,2025-01-29 10:38:40,0.0
-12897.25,-716.3,-26697.0,-366.675,-65.3475,-348.1825,2025-01-29 10:38:40,0.0
-12965.25,-740.3,-26905.0,-394.675,-86.3475,-342.1825,2025-01-29 10:38:40,0.0
-12753.25,-704.3,-26669.0,-391.675,-50.3475,-346.1825,2025-01-29 10:38:40,0.0
-12865.25,-724.3,-26649.0,-369.675,48.6525,-364.1825,2025-01-29 10:38:40,0.0
-12869.25,-860.3,-26757.0,-326.675,-6.347499999999997,-363.1825,2025-01-29 10:38:40,0.0
-12901.25,-844.3,-26781.0,-313.675,-82.3475,-329.1825,2025-01-29 10:38:40,0.0
-12861.25,-832.3,-26761.0,-317.675,-125.3475,-345.1825,2025-01-29 10:38:40,0.0
-12837.25,-804.3,-26737.0,-302.675,-112.3475,-334.1825,2025-01-29 10:38:40,0.0
-12809.25,-596.3,-26613.0,-252.675,-109.3475,-302.1825,2025-01-29 10:38:40,0.0
-12837.25,-612.3,-26617.0,-246.675,-75.3475,-295.1825,2025-01-29 10:38:40,0.0
-12861.25,-808.3,-26461.0,-241.675,-44.3475,-283.1825,2025-01-29 10:38:40,0.0
-12849.25,-852.3,-26513.0,-188.675,2.6525000000000034,-291.1825,2025-01-29 10:38:40,0.0
-12941.25,-924.3,-26705.0,-172.675,11.652500000000003,-282.1825,2025-01-29 10:38:40,0.0
-12869.25,-696.3,-26537.0,-115.67500000000001,-22.347499999999997,-303.1825,2025-01-29 10:38:40,0.0
-12929.25,-644.3,-26673.0,-160.675,-84.3475,-273.1825,2025-01-29 10:38:40,0.0
-12869.25,-728.3,-26617.0,-133.675,-96.3475,-252.1825,2025-01-29 10:38:40,0.0
-12869.25,-736.3,-26461.0,-184.675,6.652500000000003,-267.1825,2025-01-29 10:38:41,0.0
-12753.25,-736.3,-26657.0,-189.675,86.6525,-290.1825,2025-01-29 10:38:41,0.0
-12869.25,-728.3,-26701.0,-180.675,89.6525,-307.1825,2025-01-29 10:38:41,0.0
-12857.25,-748.3,-26793.0,-226.675,58.6525,-314.1825,2025-01-29 10:38:41,0.0
-12909.25,-736.3,-26861.0,-228.675,35.6525,-308.1825,2025-01-29 10:38:41,0.0
-12957.25,-772.3,-26785.0,-254.675,24.652500000000003,-315.1825,2025-01-29 10:38:41,0.0
-12837.25,-728.3,-26625.0,-246.675,0.6525000000000034,-322.1825,2025-01-29 10:38:41,0.0
-12921.25,-788.3,-26617.0,-269.675,-26.347499999999997,-326.1825,2025-01-29 10:38:41,0.0
-12825.25,-784.3,-26701.0,-276.675,-17.347499999999997,-326.1825,2025-01-29 10:38:41,0.0
-12845.25,-840.3,-26729.0,-269.675,8.652500000000003,-334.1825,2025-01-29 10:38:41,0.0
-12937.25,-768.3,-26629.0,-205.675,33.6525,-287.1825,2025-01-29 10:38:41,0.0
-12853.25,-840.3,-26725.0,-210.675,85.6525,-261.1825,2025-01-29 10:38:41,0.0
-12877.25,-828.3,-26637.0,-192.675,155.6525,-283.1825,2025-01-29 10:38:41,0.0
-12913.25,-860.3,-26717.0,-157.675,133.6525,-257.1825,2025-01-29 10:38:41,0.0
-12841.25,-748.3,-26817.0,-170.675,126.6525,-267.1825,2025-01-29 10:38:41,0.0
-12973.25,-668.3,-26637.0,-177.675,125.6525,-255.1825,2025-01-29 10:38:41,0.0
-12913.25,-660.3,-26773.0,-154.675,117.6525,-188.1825,2025-01-29 10:38:41,0.0
-12845.25,-696.3,-27049.0,-94.67500000000001,132.6525,-145.1825,2025-01-29 10:38:41,0.0
-12949.25,-648.3,-26813.0,-118.67500000000001,144.6525,-148.1825,2025-01-29 10:38:41,0.0
