acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
372,448,18276,-279,234,-250,2025-01-29 11:13:37,0.0
376,504,18324,-294,104,-291,2025-01-29 11:13:37,0.0
472,520,18172,-213,-2,-349,2025-01-29 11:13:37,0.0
492,276,18344,-224,61,-292,2025-01-29 11:13:37,0.0
460,424,18404,-305,283,-247,2025-01-29 11:13:37,0.0
600,436,18588,-307,440,-266,2025-01-29 11:13:37,0.0
428,404,18344,-231,276,-305,2025-01-29 11:13:37,0.0
300,448,18376,-177,313,-158,2025-01-29 11:13:37,0.0
260,524,18560,-95,424,-4,2025-01-29 11:13:37,0.0
400,388,18628,-82,179,34,2025-01-29 11:13:37,0.0
492,228,18380,-134,76,-43,2025-01-29 11:13:37,0.0
692,336,18224,-256,202,-208,2025-01-29 11:13:37,0.0
496,284,18168,-323,363,-332,2025-01-29 11:13:37,0.0
96,400,18264,-407,424,-277,2025-01-29 11:13:37,0.0
248,476,18536,-363,142,-131,2025-01-29 11:13:37,0.0
344,360,18492,-223,1,-190,2025-01-29 11:13:37,0.0
616,380,18508,-102,-105,-321,2025-01-29 11:13:37,0.0
524,392,18412,-31,-217,-463,2025-01-29 11:13:37,0.0
340,504,18456,-57,222,-379,2025-01-29 11:13:37,0.0
312,576,18592,-105,334,-203,2025-01-29 11:13:37,0.0
176,496,18552,-179,252,-49,2025-01-29 11:13:38,0.0
408,308,18644,-180,371,26,2025-01-29 11:13:38,0.0
708,472,18632,-148,145,-47,2025-01-29 11:13:38,0.0
516,220,18412,-78,212,-157,2025-01-29 11:13:38,0.0
492,404,18324,-116,502,-235,2025-01-29 11:13:38,0.0
392,416,18196,-140,531,-182,2025-01-29 11:13:38,0.0
224,304,18332,-211,386,-36,2025-01-29 11:13:38,0.0
208,228,18212,-253,396,-31,2025-01-29 11:13:38,0.0
212,196,18152,-247,152,-111,2025-01-29 11:13:38,0.0
412,336,18328,-165,135,-199,2025-01-29 11:13:38,0.0
584,488,18552,-83,180,-280,2025-01-29 11:13:38,0.0
452,444,18356,-32,233,-364,2025-01-29 11:13:38,0.0
316,432,18392,-103,214,-274,2025-01-29 11:13:38,0.0
340,440,18468,-138,98,-185,2025-01-29 11:13:38,0.0
400,388,18428,-175,115,-128,2025-01-29 11:13:38,0.0
456,324,18432,-280,199,-112,2025-01-29 11:13:38,0.0
520,344,18368,-350,341,-62,2025-01-29 11:13:38,0.0
