acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-13620,-576,-988,52,137,-174,2025-01-29 15:13:21,0.0
-13680,-476,-1120,45,150,-190,2025-01-29 15:13:21,0.0
-13652,-588,-1008,10,180,-171,2025-01-29 15:13:21,0.0
-13780,-428,-1052,-92,204,-170,2025-01-29 15:13:21,0.0
-13756,-536,-1072,-168,191,-134,2025-01-29 15:13:21,0.0
-13640,-432,-1028,-263,172,-168,2025-01-29 15:13:21,0.0
-13716,-504,-900,-289,178,-153,2025-01-29 15:13:21,0.0
-13712,-640,-932,-277,126,-161,2025-01-29 15:13:21,0.0
-13624,-520,-1048,-308,26,-145,2025-01-29 15:13:21,0.0
-13616,-700,-1108,-289,61,-184,2025-01-29 15:13:21,0.0
-13620,-692,-932,-298,149,-189,2025-01-29 15:13:21,0.0
-13564,-664,-852,-306,231,-188,2025-01-29 15:13:21,0.0
-13580,-688,-920,-293,250,-209,2025-01-29 15:13:21,0.0
-13644,-620,-1056,-282,198,-177,2025-01-29 15:13:21,0.0
-13628,-676,-1032,-257,187,-187,2025-01-29 15:13:21,0.0
-13768,-576,-900,-238,164,-129,2025-01-29 15:13:21,0.0
-13664,-596,-844,-231,182,-132,2025-01-29 15:13:22,0.0
-13588,-696,-880,-210,161,-161,2025-01-29 15:13:22,0.0
-13556,-560,-900,-199,177,-120,2025-01-29 15:13:22,0.0
-13740,-596,-1000,-143,209,-173,2025-01-29 15:13:22,0.0
-13616,-560,-900,-106,164,-123,2025-01-29 15:13:22,0.0
-13604,-516,-812,-142,151,-156,2025-01-29 15:13:22,0.0
-13628,-484,-708,-178,54,-172,2025-01-29 15:13:22,0.0
-13600,-424,-900,-150,62,-190,2025-01-29 15:13:22,0.0
-13636,-424,-1020,-165,143,-184,2025-01-29 15:13:22,0.0
-13472,-492,-956,-150,186,-194,2025-01-29 15:13:22,0.0
-13548,-508,-1000,-225,281,-236,2025-01-29 15:13:22,0.0
-13648,-384,-940,-218,391,-253,2025-01-29 15:13:22,0.0
-13688,-196,-952,-279,508,-254,2025-01-29 15:13:22,0.0
-13740,-276,-972,-287,461,-232,2025-01-29 15:13:22,0.0
-13860,-460,-924,-284,368,-163,2025-01-29 15:13:22,0.0
-13868,-624,-692,-232,333,-152,2025-01-29 15:13:22,0.0
-13740,-696,-596,-35,225,-171,2025-01-29 15:13:22,0.0
-13700,-568,-588,67,16,-180,2025-01-29 15:13:22,0.0
-13516,-488,-664,81,-84,-214,2025-01-29 15:13:22,0.0
-13344,-284,-700,58,84,-296,2025-01-29 15:13:22,0.0
-13388,-288,-964,1,393,-366,2025-01-29 15:13:22,0.0
-13464,-432,-1092,-11,579,-343,2025-01-29 15:13:22,0.0
-13712,-352,-1120,-12,711,-347,2025-01-29 15:13:22,0.0
-13792,-384,-1092,-76,644,-307,2025-01-29 15:13:22,0.0
-13916,-516,-924,-144,302,-286,2025-01-29 15:13:22,0.0
-13912,-436,-996,-184,-6,-298,2025-01-29 15:13:22,0.0
-13728,-324,-1080,-159,-122,-259,2025-01-29 15:13:22,0.0
-13560,-400,-1208,-139,-78,-262,2025-01-29 15:13:22,0.0
-13528,-492,-1308,-166,68,-331,2025-01-29 15:13:22,0.0
-13648,-728,-1180,-208,91,-328,2025-01-29 15:13:22,0.0
-13624,-1064,-972,-152,217,-322,2025-01-29 15:13:22,0.0
-13748,-1348,-1048,-99,242,-411,2025-01-29 15:13:22,0.0
-13760,-692,-708,-131,-34,-446,2025-01-29 15:13:22,0.0
-13692,-120,-756,-259,-202,-388,2025-01-29 15:13:22,0.0
-13452,116,-992,-368,-256,-505,2025-01-29 15:13:22,0.0
-13536,68,-1500,-485,-314,-517,2025-01-29 15:13:22,0.0
-13540,120,-1632,-716,-180,-559,2025-01-29 15:13:22,0.0
-13576,0,-1388,-819,66,-591,2025-01-29 15:13:22,0.0
-13540,-144,-1036,-902,285,-670,2025-01-29 15:13:22,0.0
-13692,-132,-864,-893,329,-683,2025-01-29 15:13:22,0.0
-13664,-252,-312,-783,359,-723,2025-01-29 15:13:22,0.0
-13676,-68,-144,-627,323,-737,2025-01-29 15:13:22,0.0
-13624,196,-108,-548,297,-823,2025-01-29 15:13:22,0.0
-13764,348,-252,-487,227,-861,2025-01-29 15:13:22,0.0
-13900,396,-56,-414,-44,-888,2025-01-29 15:13:22,0.0
-13868,432,-36,-431,-269,-900,2025-01-29 15:13:22,0.0
-13888,580,-372,-498,-533,-792,2025-01-29 15:13:22,0.0
-14080,556,-420,-666,-976,-728,2025-01-29 15:13:22,0.0
-13788,508,-272,-740,-1301,-632,2025-01-29 15:13:22,0.0
-13772,508,-192,-855,-1273,-596,2025-01-29 15:13:22,0.0
-13880,472,-452,-1003,-1172,-714,2025-01-29 15:13:22,0.0
