acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-13608,-640,-1600,-175,180,-192,2025-01-29 12:35:09,0.0
-13600,-628,-1668,-157,173,-181,2025-01-29 12:35:09,0.0
-13464,-652,-1468,-179,153,-177,2025-01-29 12:35:09,0.0
-13592,-648,-1500,-150,157,-178,2025-01-29 12:35:09,0.0
-13460,-576,-1492,-163,170,-179,2025-01-29 12:35:09,0.0
-13548,-552,-1532,-168,170,-162,2025-01-29 12:35:09,0.0
-13492,-608,-1512,-152,163,-169,2025-01-29 12:35:09,0.0
-13624,-512,-1592,-143,153,-182,2025-01-29 12:35:09,0.0
-13584,-588,-1448,-158,154,-172,2025-01-29 12:35:09,0.0
-13548,-636,-1468,-163,166,-174,2025-01-29 12:35:09,0.0
-13520,-636,-1444,-154,155,-184,2025-01-29 12:35:09,0.0
-13512,-576,-1448,-139,150,-171,2025-01-29 12:35:09,0.0
-13548,-680,-1528,-176,175,-172,2025-01-29 12:35:09,0.0
-13532,-604,-1456,-177,157,-174,2025-01-29 12:35:09,0.0
-13452,-636,-1500,-141,151,-189,2025-01-29 12:35:09,0.0
-13620,-600,-1480,-159,177,-179,2025-01-29 12:35:09,0.0
-13624,-644,-1416,-148,176,-162,2025-01-29 12:35:09,0.0
-13548,-620,-1436,-141,153,-185,2025-01-29 12:35:09,0.0
-13452,-624,-1304,-148,146,-169,2025-01-29 12:35:09,0.0
-13448,-596,-1420,-159,169,-167,2025-01-29 12:35:09,0.0
-13580,-652,-1528,-158,145,-158,2025-01-29 12:35:09,0.0
-13504,-656,-1420,-136,184,-189,2025-01-29 12:35:10,0.0
-13580,-684,-1480,-160,177,-171,2025-01-29 12:35:10,0.0
-13472,-604,-1472,-178,174,-174,2025-01-29 12:35:10,0.0
-13448,-612,-1360,-174,149,-177,2025-01-29 12:35:10,0.0
-13512,-672,-1512,-180,152,-166,2025-01-29 12:35:10,0.0
-13472,-592,-1280,-161,155,-166,2025-01-29 12:35:10,0.0
-13528,-572,-1468,-166,163,-183,2025-01-29 12:35:10,0.0
-13496,-552,-1504,-130,150,-173,2025-01-29 12:35:10,0.0
-13448,-612,-1608,-160,158,-155,2025-01-29 12:35:10,0.0
-13512,-664,-1480,-143,150,-164,2025-01-29 12:35:10,0.0
-13476,-644,-1424,-146,148,-184,2025-01-29 12:35:10,0.0
-13504,-576,-1392,-157,182,-183,2025-01-29 12:35:10,0.0
-13504,-644,-1492,-171,167,-170,2025-01-29 12:35:10,0.0
-13608,-624,-1592,-151,161,-177,2025-01-29 12:35:10,0.0
-13628,-592,-1512,-153,153,-176,2025-01-29 12:35:10,0.0
-13636,-592,-1456,-158,173,-178,2025-01-29 12:35:10,0.0
-13600,-628,-1616,-159,155,-182,2025-01-29 12:35:10,0.0
-13476,-560,-1468,-146,167,-180,2025-01-29 12:35:10,0.0
-13456,-596,-1460,-153,146,-186,2025-01-29 12:35:10,0.0
-13620,-652,-1504,-148,155,-168,2025-01-29 12:35:10,0.0
-13492,-636,-1496,-157,145,-166,2025-01-29 12:35:10,0.0
-13620,-640,-1488,-168,163,-168,2025-01-29 12:35:10,0.0
-13488,-640,-1420,-166,173,-171,2025-01-29 12:35:10,0.0
-13476,-728,-1548,-175,169,-170,2025-01-29 12:35:10,0.0
-13516,-616,-1560,-157,164,-164,2025-01-29 12:35:10,0.0
-13512,-636,-1444,-159,158,-173,2025-01-29 12:35:10,0.0
-13548,-672,-1464,-159,146,-166,2025-01-29 12:35:10,0.0
-13584,-568,-1492,-141,168,-172,2025-01-29 12:35:10,0.0
-13616,-636,-1388,-184,159,-172,2025-01-29 12:35:10,0.0
-13548,-588,-1568,-181,173,-174,2025-01-29 12:35:10,0.0
