acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
1808,4,18408,-191,174,-163,2025-01-29 12:39:02,0.0
1956,24,18620,-172,161,-173,2025-01-29 12:39:02,0.0
1916,28,18380,-166,163,-173,2025-01-29 12:39:02,0.0
1792,28,18540,-170,183,-169,2025-01-29 12:39:02,0.0
1828,-32,18632,-156,152,-184,2025-01-29 12:39:02,0.0
1852,68,18672,-152,167,-173,2025-01-29 12:39:02,0.0
1916,0,18640,-171,172,-188,2025-01-29 12:39:02,0.0
1816,84,18592,-145,172,-150,2025-01-29 12:39:02,0.0
1852,-32,18696,-163,160,-188,2025-01-29 12:39:02,0.0
1816,12,18584,-154,161,-172,2025-01-29 12:39:02,0.0
1864,-12,18612,-172,164,-183,2025-01-29 12:39:02,0.0
1896,100,18636,-154,153,-163,2025-01-29 12:39:02,0.0
1800,40,18564,-170,172,-169,2025-01-29 12:39:02,0.0
1940,96,18456,-164,167,-183,2025-01-29 12:39:02,0.0
1796,0,18576,-146,170,-170,2025-01-29 12:39:02,0.0
1888,32,18420,-187,164,-167,2025-01-29 12:39:02,0.0
1868,48,18632,-136,156,-165,2025-01-29 12:39:02,0.0
1884,-56,18620,-162,175,-163,2025-01-29 12:39:02,0.0
1856,24,18652,-153,195,-167,2025-01-29 12:39:02,0.0
1804,0,18476,-153,171,-185,2025-01-29 12:39:02,0.0
1896,24,18508,-157,145,-169,2025-01-29 12:39:02,0.0
1872,32,18532,-179,156,-158,2025-01-29 12:39:02,0.0
1864,68,18520,-157,160,-162,2025-01-29 12:39:02,0.0
1836,44,18592,-143,163,-173,2025-01-29 12:39:02,0.0
1820,72,18492,-165,150,-194,2025-01-29 12:39:02,0.0
1904,68,18508,-168,179,-176,2025-01-29 12:39:02,0.0
1868,48,18444,-148,146,-174,2025-01-29 12:39:02,0.0
1872,40,18564,-153,155,-177,2025-01-29 12:39:02,0.0
1912,40,18608,-153,178,-175,2025-01-29 12:39:02,0.0
1884,-12,18548,-169,157,-189,2025-01-29 12:39:02,0.0
1836,-8,18488,-158,167,-158,2025-01-29 12:39:02,0.0
1816,112,18704,-153,177,-184,2025-01-29 12:39:02,0.0
1852,-56,18616,-156,165,-174,2025-01-29 12:39:02,0.0
1848,-36,18464,-157,171,-174,2025-01-29 12:39:02,0.0
1896,-44,18556,-167,168,-173,2025-01-29 12:39:02,0.0
1868,20,18508,-160,185,-178,2025-01-29 12:39:02,0.0
1864,4,18672,-139,143,-187,2025-01-29 12:39:02,0.0
1848,36,18476,-153,184,-173,2025-01-29 12:39:02,0.0
1876,4,18564,-172,177,-171,2025-01-29 12:39:02,0.0
1852,-68,18536,-163,150,-178,2025-01-29 12:39:02,0.0
1964,-84,18464,-157,181,-180,2025-01-29 12:39:02,0.0
1888,36,18584,-176,163,-184,2025-01-29 12:39:02,0.0
1756,-36,18716,-175,159,-169,2025-01-29 12:39:02,0.0
1928,-60,18556,-172,183,-181,2025-01-29 12:39:02,0.0
1904,24,18592,-179,165,-165,2025-01-29 12:39:02,0.0
1856,-16,18568,-165,167,-168,2025-01-29 12:39:03,0.0
1856,92,18644,-144,164,-172,2025-01-29 12:39:03,0.0
1904,-8,18444,-164,173,-184,2025-01-29 12:39:03,0.0
1888,-40,18712,-162,165,-176,2025-01-29 12:39:03,0.0
1840,40,18652,-157,157,-180,2025-01-29 12:39:03,0.0
1976,64,18640,-157,187,-178,2025-01-29 12:39:03,0.0
1840,0,18576,-157,150,-181,2025-01-29 12:39:03,0.0
