acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-9428,1844,-9580,-152,185,-192,2025-02-17 16:22:18,0.0
-9428,1860,-9612,-133,154,-182,2025-02-17 16:22:19,0.0
-9448,1856,-9504,-148,164,-194,2025-02-17 16:22:19,0.0
-9464,1800,-9420,-140,156,-167,2025-02-17 16:22:19,0.0
-9604,1804,-9416,-140,159,-203,2025-02-17 16:22:19,0.0
-9432,1840,-9516,-176,195,-159,2025-02-17 16:22:19,0.0
-9532,1916,-9376,-146,161,-171,2025-02-17 16:22:19,0.0
-9548,1836,-9448,-185,165,-179,2025-02-17 16:22:19,0.0
-9552,1868,-9476,-146,166,-166,2025-02-17 16:22:19,0.0
-9548,1860,-9452,-184,149,-163,2025-02-17 16:22:19,0.0
-9404,1868,-9412,-166,150,-166,2025-02-17 16:22:19,0.0
-9532,1880,-9508,-134,154,-169,2025-02-17 16:22:19,0.0
-9540,1808,-9580,-149,182,-173,2025-02-17 16:22:19,0.0
-9536,1868,-9492,-157,175,-166,2025-02-17 16:22:19,0.0
-9540,1920,-9396,-157,175,-174,2025-02-17 16:22:19,0.0
-9640,1844,-9520,-190,187,-170,2025-02-17 16:22:19,0.0
-9556,1876,-9416,-161,165,-160,2025-02-17 16:22:19,0.0
-9564,1900,-9440,-157,195,-184,2025-02-17 16:22:19,0.0
-9480,1832,-9480,-126,169,-176,2025-02-17 16:22:19,0.0
-9552,1852,-9408,-165,165,-197,2025-02-17 16:22:19,0.0
-9616,1852,-9516,-182,165,-183,2025-02-17 16:22:19,0.0
-9492,1840,-9372,-161,174,-175,2025-02-17 16:22:19,0.0
-9480,1836,-9500,-166,158,-156,2025-02-17 16:22:19,0.0
-9552,1884,-9496,-148,158,-167,2025-02-17 16:22:19,0.0
-9464,1804,-9520,-162,177,-176,2025-02-17 16:22:19,0.0
-9388,1804,-9472,-153,155,-186,2025-02-17 16:22:19,0.0
-9484,1852,-9500,-177,152,-173,2025-02-17 16:22:19,0.0
-9480,1796,-9492,-168,173,-172,2025-02-17 16:22:19,0.0
-9448,1788,-9444,-143,148,-185,2025-02-17 16:22:19,0.0
-9504,1896,-9572,-177,150,-187,2025-02-17 16:22:19,0.0
