acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp
2504,-196,18596,-136,164,-163,2025-02-19 10:09:00
2532,-216,18528,-139,172,-173,2025-02-19 10:09:00
2588,-148,18512,-168,157,-175,2025-02-19 10:09:00
2496,-252,18604,-147,166,-201,2025-02-19 10:09:00
2496,-260,18456,-148,158,-184,2025-02-19 10:09:00
2556,-192,18448,-178,162,-164,2025-02-19 10:09:00
2568,-84,18720,-140,162,-184,2025-02-19 10:09:00
2500,-96,18584,-172,191,-154,2025-02-19 10:09:00
2448,-172,18468,-153,187,-187,2025-02-19 10:09:00
2520,-260,18644,-142,160,-206,2025-02-19 10:09:00
2588,-176,18500,-146,142,-189,2025-02-19 10:09:00
2472,-116,18552,-161,161,-177,2025-02-19 10:09:00
2596,-172,18444,-118,151,-156,2025-02-19 10:09:00
2544,-224,18488,-162,151,-182,2025-02-19 10:09:00
2588,-168,18480,-128,145,-198,2025-02-19 10:09:00
2444,-172,18452,-153,155,-196,2025-02-19 10:09:00
2556,-136,18520,-143,145,-181,2025-02-19 10:09:00
2512,-220,18580,-152,156,-182,2025-02-19 10:09:00
2504,-144,18500,-147,162,-167,2025-02-19 10:09:00
2500,-228,18432,-158,148,-207,2025-02-19 10:09:00
2592,-212,18460,-157,176,-160,2025-02-19 10:09:00
2468,-252,18584,-144,159,-172,2025-02-19 10:09:00
2604,-168,18424,-149,160,-185,2025-02-19 10:09:00
2556,-136,18472,-141,158,-182,2025-02-19 10:09:01
2444,-156,18604,-149,182,-182,2025-02-19 10:09:01
2536,-168,18528,-152,147,-184,2025-02-19 10:09:01
2464,-180,18576,-142,183,-173,2025-02-19 10:09:01
2636,-172,18520,-156,158,-172,2025-02-19 10:09:01
2504,-160,18548,-145,163,-188,2025-02-19 10:09:01
2452,-116,18392,-138,150,-167,2025-02-19 10:09:01
2576,-168,18492,-128,140,-163,2025-02-19 10:09:01
2604,-160,18512,-155,167,-181,2025-02-19 10:09:01
2484,-196,18488,-134,167,-173,2025-02-19 10:09:01
2464,-192,18484,-144,176,-175,2025-02-19 10:09:01
2552,-248,18404,-141,156,-191,2025-02-19 10:09:01
2540,-232,18464,-131,184,-180,2025-02-19 10:09:01
2472,-172,18520,-149,184,-173,2025-02-19 10:09:01
2560,-224,18516,-161,144,-174,2025-02-19 10:09:01
2480,-204,18548,-137,157,-187,2025-02-19 10:09:01
2476,-172,18496,-138,165,-171,2025-02-19 10:09:01
2576,-152,18548,-142,145,-189,2025-02-19 10:09:01
2540,-152,18432,-178,148,-161,2025-02-19 10:09:01
2524,-184,18552,-136,146,-154,2025-02-19 10:09:01
2540,-144,18476,-169,165,-187,2025-02-19 10:09:01
2568,-208,18568,-159,149,-168,2025-02-19 10:09:01
2540,-124,18504,-149,148,-183,2025-02-19 10:09:01
2620,-100,18504,-180,181,-192,2025-02-19 10:09:01
2444,-200,18472,-156,168,-177,2025-02-19 10:09:01
2520,-212,18592,-155,155,-183,2025-02-19 10:09:01
2548,-140,18540,-153,186,-181,2025-02-19 10:09:01
2512,-216,18584,-126,169,-158,2025-02-19 10:09:01
2548,-192,18368,-137,152,-188,2025-02-19 10:09:01
2496,-136,18488,-130,164,-166,2025-02-19 10:09:01
2448,-236,18524,-157,165,-155,2025-02-19 10:09:01
2468,-168,18676,-158,140,-176,2025-02-19 10:09:01
2588,-208,18356,-142,147,-173,2025-02-19 10:09:01
2488,-208,18452,-146,132,-175,2025-02-19 10:09:01
2568,-144,18628,-183,141,-163,2025-02-19 10:09:01
2504,-248,18484,-140,173,-170,2025-02-19 10:09:01
2580,-260,18612,-158,141,-187,2025-02-19 10:09:01
2620,-96,18444,-132,172,-167,2025-02-19 10:09:01
2516,-240,18576,-128,160,-186,2025-02-19 10:09:01
2564,-124,18608,-147,159,-180,2025-02-19 10:09:01
2544,-192,18508,-149,149,-174,2025-02-19 10:09:01
2520,-116,18336,-135,155,-183,2025-02-19 10:09:01
2564,-108,18584,-118,156,-178,2025-02-19 10:09:01
2408,-216,18412,-152,183,-172,2025-02-19 10:09:01
2524,-256,18532,-124,169,-182,2025-02-19 10:09:01
2576,-96,18656,-161,159,-190,2025-02-19 10:09:01
2520,-172,18524,-164,157,-159,2025-02-19 10:09:01
