acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-12652,1264,-3832,39,477,-103,2025-02-06 16:36:52,0.0
-12776,1460,-3956,5,721,-99,2025-02-06 16:36:52,0.0
-12808,1620,-4080,-33,862,-115,2025-02-06 16:36:52,0.0
-12948,1500,-4128,-55,698,-104,2025-02-06 16:36:52,0.0
-12980,1428,-3876,-101,328,-109,2025-02-06 16:36:52,0.0
-12808,1448,-3900,-92,-19,-157,2025-02-06 16:36:52,0.0
-12848,1364,-3972,-82,-249,-122,2025-02-06 16:36:52,0.0
-12828,1380,-3976,-86,-337,-98,2025-02-06 16:36:52,0.0
-12600,1336,-3968,-25,-231,-203,2025-02-06 16:36:52,0.0
-12744,1252,-3668,42,-30,-315,2025-02-06 16:36:52,0.0
-12688,1172,-3584,40,147,-419,2025-02-06 16:36:52,0.0
-12828,924,-3428,36,304,-414,2025-02-06 16:36:52,0.0
-13072,872,-3400,141,593,-283,2025-02-06 16:36:52,0.0
-12920,868,-3628,187,834,-183,2025-02-06 16:36:52,0.0
-12864,1076,-3692,216,845,-161,2025-02-06 16:36:52,0.0
-12872,1064,-3760,313,815,-289,2025-02-06 16:36:52,0.0
-12964,1048,-3616,355,686,-330,2025-02-06 16:36:52,0.0
-13000,840,-3776,405,526,-327,2025-02-06 16:36:52,0.0
-12924,836,-3744,399,468,-307,2025-02-06 16:36:52,0.0
-12864,956,-3772,400,389,-236,2025-02-06 16:36:52,0.0
-12860,844,-3832,401,504,-207,2025-02-06 16:36:52,0.0
-12852,1084,-3748,418,724,-193,2025-02-06 16:36:52,0.0
-12912,972,-3824,430,835,-242,2025-02-06 16:36:52,0.0
-12996,912,-3820,388,704,-234,2025-02-06 16:36:52,0.0
-12932,740,-4008,345,346,-194,2025-02-06 16:36:52,0.0
-13008,820,-4164,336,125,-218,2025-02-06 16:36:52,0.0
-12972,856,-4044,343,-12,-187,2025-02-06 16:36:52,0.0
-13036,792,-4020,275,-154,-127,2025-02-06 16:36:53,0.0
-12872,732,-3868,267,-244,-68,2025-02-06 16:36:53,0.0
-12816,772,-3952,293,-211,-117,2025-02-06 16:36:53,0.0
-12660,876,-3904,327,-192,-120,2025-02-06 16:36:53,0.0
-12848,808,-3872,362,-155,-137,2025-02-06 16:36:53,0.0
-12924,856,-3840,346,-149,-96,2025-02-06 16:36:53,0.0
-12904,884,-3872,328,-130,-126,2025-02-06 16:36:53,0.0
-12804,788,-3908,321,-91,-180,2025-02-06 16:36:53,0.0
-12920,808,-4072,284,42,-202,2025-02-06 16:36:53,0.0
-12908,872,-4044,314,18,-80,2025-02-06 16:36:53,0.0
-12896,740,-3872,389,-124,-33,2025-02-06 16:36:53,0.0
-12904,656,-3952,360,-185,27,2025-02-06 16:36:53,0.0
-12920,804,-3800,319,-3,-19,2025-02-06 16:36:53,0.0
-12984,1016,-3984,355,151,114,2025-02-06 16:36:53,0.0
-12932,1160,-4044,220,57,203,2025-02-06 16:36:53,0.0
-12848,1108,-3920,51,-67,135,2025-02-06 16:36:53,0.0
-12844,1092,-3992,30,94,118,2025-02-06 16:36:53,0.0
-12788,1168,-4072,-68,53,248,2025-02-06 16:36:53,0.0
-12764,1088,-3852,-182,169,136,2025-02-06 16:36:53,0.0
-12808,1064,-3824,-258,330,-11,2025-02-06 16:36:53,0.0
-12904,1256,-3656,-188,315,-92,2025-02-06 16:36:53,0.0
-12784,1104,-3684,-156,109,-175,2025-02-06 16:36:53,0.0
-12776,1264,-3712,-125,7,-201,2025-02-06 16:36:53,0.0
-12564,1108,-3680,-69,4,-314,2025-02-06 16:36:53,0.0
-12612,760,-3636,7,95,-462,2025-02-06 16:36:53,0.0
-12676,776,-3752,133,510,-420,2025-02-06 16:36:53,0.0
-12800,704,-3860,185,751,-338,2025-02-06 16:36:53,0.0
