acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
3813.6,-1191.6,7650.0,5753.4,13005.4,2924.5999999999985,2025-01-27 12:40:32,0.0
577.6,84.40000000000009,1182.0,3157.3999999999996,15621.4,2924.5999999999985,2025-01-27 12:40:32,0.0
-2582.4,-1035.6,-402.0,-104.60000000000036,10776.4,2924.5999999999985,2025-01-27 12:40:32,0.0
-4518.4,-2295.6,26.0,-1172.6000000000004,-1840.6000000000004,2924.5999999999985,2025-01-27 12:40:32,0.0
-3250.4,-3267.6,1414.0,-215.60000000000036,-15895.6,2924.5999999999985,2025-01-27 12:40:32,0.0
4733.6,-1019.5999999999999,1830.0,819.3999999999996,-17007.6,2924.5999999999985,2025-01-27 12:40:32,0.0
5041.6,604.4000000000001,1162.0,2180.3999999999996,-8328.6,2924.5999999999985,2025-01-27 12:40:32,0.0
717.6,2420.4,-3090.0,-1013.6000000000004,-184.60000000000036,-3794.4000000000015,2025-01-27 12:40:32,0.0
-1734.4,2652.4,-4866.0,-3869.6000000000004,1550.3999999999996,-7324.4000000000015,2025-01-27 12:40:32,0.0
-2798.4,3048.4,-4906.0,-5534.6,2303.3999999999996,-9353.400000000001,2025-01-27 12:40:32,0.0
-3094.4,3620.4,-5070.0,-6505.6,4847.4,-11163.400000000001,2025-01-27 12:40:32,0.0
-3970.4,4424.4,-3542.0,-7959.6,5392.4,-12717.400000000001,2025-01-27 12:40:32,0.0
-2554.4,4116.4,-1106.0,-9289.6,2713.3999999999996,-14103.400000000001,2025-01-27 12:40:32,0.0
12293.6,4288.4,7218.0,-6391.6,4556.4,-22410.4,2025-01-27 12:40:32,0.0
15069.6,7616.4,5686.0,-4953.6,12628.4,-35229.4,2025-01-27 12:40:32,0.0
12173.6,6580.4,5914.0,-4518.6,25300.4,-46840.4,2025-01-27 12:40:32,0.0
3061.6,3364.4,2154.0,-3969.6000000000004,36905.4,-54488.4,2025-01-27 12:40:32,0.0
-3170.4,916.4000000000001,-3046.0,-6015.6,36905.4,-55005.4,2025-01-27 12:40:32,0.0
-7686.4,804.4000000000001,-8066.0,-9591.6,36604.4,-51853.4,2025-01-27 12:40:32,0.0
-12354.4,2764.4,-5386.0,-11950.6,32279.4,-45931.4,2025-01-27 12:40:32,0.0
-11346.4,3000.4,954.0,-9712.6,30036.4,-40430.4,2025-01-27 12:40:32,0.0
-6026.4,3824.4,518.0,-7661.6,22864.4,-41783.4,2025-01-27 12:40:32,0.0
-7766.4,4240.4,2438.0,-5337.6,16070.4,-43860.4,2025-01-27 12:40:32,0.0
-10766.4,5724.4,286.0,-3524.6000000000004,12374.4,-41732.4,2025-01-27 12:40:32,0.0
-8722.4,5324.4,-1510.0,-3508.6000000000004,11586.4,-38537.4,2025-01-27 12:40:32,0.0
-6682.4,4384.4,-2330.0,-4036.6000000000004,14329.4,-36137.4,2025-01-27 12:40:32,0.0
-6390.4,4108.4,-1714.0,-3786.6000000000004,16648.4,-35990.4,2025-01-27 12:40:32,0.0
-9302.4,5200.4,-1394.0,-3773.6000000000004,15327.4,-36115.4,2025-01-27 12:40:32,0.0
-11930.4,6368.4,-1586.0,-5212.6,10548.4,-35350.4,2025-01-27 12:40:32,0.0
-11122.4,6724.4,-1866.0,-8863.6,5760.4,-34494.4,2025-01-27 12:40:32,0.0
-8778.4,5492.4,-1030.0,-11795.6,6844.4,-34390.4,2025-01-27 12:40:32,0.0
-8382.4,4648.4,-762.0,-13309.6,11865.4,-34849.4,2025-01-27 12:40:32,0.0
-9534.4,4280.4,-2162.0,-14557.6,13885.4,-35494.4,2025-01-27 12:40:32,0.0
-10806.4,3512.4,-4610.0,-16841.6,11547.4,-35520.4,2025-01-27 12:40:32,0.0
-9762.4,3580.4,-3910.0,-19653.6,8880.4,-34449.4,2025-01-27 12:40:32,0.0
-9058.4,1048.4,-3666.0,-19766.6,7777.4,-32890.4,2025-01-27 12:40:32,0.0
-7786.4,240.4000000000001,-4338.0,-19945.6,8234.4,-31849.4,2025-01-27 12:40:32,0.0
-8618.4,-459.5999999999999,-4378.0,-19405.6,9514.4,-30469.4,2025-01-27 12:40:32,0.0
-8778.4,-1079.6,-4554.0,-18496.6,9204.4,-29447.4,2025-01-27 12:40:32,0.0
-8538.4,-1391.6,-5330.0,-17888.6,8364.4,-28917.4,2025-01-27 12:40:32,0.0
-8062.4,-1115.6,-6438.0,-17733.6,8178.4,-28379.4,2025-01-27 12:40:33,0.0
-7882.4,-703.5999999999999,-7494.0,-18305.6,9614.4,-26833.4,2025-01-27 12:40:33,0.0
-8094.4,-51.59999999999991,-7706.0,-18972.6,10864.4,-24567.4,2025-01-27 12:40:33,0.0
