acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
90.0,-62.0,-22.399999999999636,-77.19999999999999,-16.299999999999997,4.399999999999977,2025-01-29 10:43:29,0.0
-22.0,-46.0,165.60000000000036,-23.19999999999999,80.7,-26.600000000000023,2025-01-29 10:43:29,0.0
-26.0,-14.0,-50.399999999999636,-27.19999999999999,38.7,-16.600000000000023,2025-01-29 10:43:29,0.0
-74.0,34.0,-110.39999999999964,-36.19999999999999,-62.3,9.399999999999977,2025-01-29 10:43:29,0.0
58.0,166.0,25.600000000000364,4.800000000000011,-62.3,14.399999999999977,2025-01-29 10:43:29,0.0
-14.0,70.0,-2.399999999999636,-39.19999999999999,-56.3,-22.600000000000023,2025-01-29 10:43:29,0.0
-30.0,-26.0,45.600000000000364,-7.199999999999989,-82.3,0.39999999999997726,2025-01-29 10:43:29,0.0
34.0,-38.0,-94.39999999999964,-8.199999999999989,-23.299999999999997,-13.600000000000023,2025-01-29 10:43:29,0.0
-18.0,-2.0,-58.399999999999636,69.80000000000001,61.7,19.399999999999977,2025-01-29 10:43:29,0.0
2.0,-82.0,101.60000000000036,143.8,121.7,31.399999999999977,2025-01-29 10:43:29,0.0
26.0,42.0,-114.39999999999964,136.8,136.7,48.39999999999998,2025-01-29 10:43:29,0.0
-66.0,2.0,41.600000000000364,180.8,118.7,29.399999999999977,2025-01-29 10:43:29,0.0
-2.0,74.0,1.6000000000003638,225.8,112.7,37.39999999999998,2025-01-29 10:43:29,0.0
-230.0,-2.0,-2.399999999999636,252.8,59.7,66.39999999999998,2025-01-29 10:43:29,0.0
30.0,106.0,-94.39999999999964,266.8,-22.299999999999997,90.39999999999998,2025-01-29 10:43:29,0.0
58.0,58.0,-118.39999999999964,202.8,-27.299999999999997,93.39999999999998,2025-01-29 10:43:29,0.0
82.0,198.0,-70.39999999999964,237.8,13.700000000000003,121.39999999999998,2025-01-29 10:43:29,0.0
110.0,182.0,-82.39999999999964,237.8,106.7,85.39999999999998,2025-01-29 10:43:29,0.0
-22.0,182.0,53.600000000000364,246.8,168.7,42.39999999999998,2025-01-29 10:43:29,0.0
-30.0,118.0,-34.399999999999636,301.8,157.7,55.39999999999998,2025-01-29 10:43:29,0.0
-74.0,110.0,-70.39999999999964,270.8,150.7,-17.600000000000023,2025-01-29 10:43:29,0.0
-118.0,66.0,45.600000000000364,266.8,50.7,3.3999999999999773,2025-01-29 10:43:29,0.0
-62.0,154.0,-78.39999999999964,235.8,-33.3,27.399999999999977,2025-01-29 10:43:29,0.0
-62.0,130.0,-70.39999999999964,174.8,14.700000000000003,-3.6000000000000227,2025-01-29 10:43:29,0.0
82.0,74.0,-86.39999999999964,181.8,14.700000000000003,22.399999999999977,2025-01-29 10:43:29,0.0
130.0,130.0,-146.39999999999964,119.80000000000001,92.7,14.399999999999977,2025-01-29 10:43:29,0.0
126.0,98.0,9.600000000000364,125.80000000000001,198.7,12.399999999999977,2025-01-29 10:43:29,0.0
26.0,-126.0,-118.39999999999964,109.80000000000001,267.7,19.399999999999977,2025-01-29 10:43:29,0.0
-2.0,90.0,-18.399999999999636,138.8,210.7,52.39999999999998,2025-01-29 10:43:29,0.0
-38.0,26.0,-266.39999999999964,105.80000000000001,152.7,26.399999999999977,2025-01-29 10:43:29,0.0
-90.0,10.0,-162.39999999999964,141.8,93.7,42.39999999999998,2025-01-29 10:43:29,0.0
-26.0,-202.0,-222.39999999999964,161.8,5.700000000000003,88.39999999999998,2025-01-29 10:43:29,0.0
-14.0,-154.0,-130.39999999999964,191.8,-16.299999999999997,72.39999999999998,2025-01-29 10:43:29,0.0
2.0,-94.0,-198.39999999999964,280.8,24.700000000000003,147.39999999999998,2025-01-29 10:43:29,0.0
-38.0,30.0,-114.39999999999964,360.8,59.7,138.39999999999998,2025-01-29 10:43:29,0.0
-162.0,-10.0,-82.39999999999964,391.8,51.7,220.39999999999998,2025-01-29 10:43:29,0.0
-26.0,2.0,-198.39999999999964,398.8,-72.3,273.4,2025-01-29 10:43:29,0.0
-54.0,58.0,-310.39999999999964,410.8,-217.3,345.4,2025-01-29 10:43:29,0.0
38.0,2.0,-126.39999999999964,432.8,-182.3,362.4,2025-01-29 10:43:29,0.0
